date,open_price,high_price,low_price,close_price,volume,dividend,split
2000-04-17,15.81,15.81,13.88,14.75,463000,0.0,1.0
2000-04-18,15.69,15.88,14.0,14.63,554000,0.0,1.0
2000-04-19,14.94,15.56,14.88,15.5,203100,0.0,1.0
2000-04-20,15.88,18.69,15.88,18.25,489600,0.0,1.0
2000-04-24,17.81,18.75,17.63,18.25,227200,0.0,1.0
2000-04-25,18.63,18.75,17.69,17.88,325900,0.0,1.0
2000-04-26,18.75,18.75,17.5,17.81,304000,0.0,1.0
2000-04-27,17.31,18.75,17.13,18.0,309500,0.0,1.0
2000-04-28,19.13,19.5,18.38,19.06,211900,0.0,1.0
2000-05-01,19.28,24.63,19.06,24.5,578400,0.0,1.0
2000-05-02,24.63,30.88,24.5,26.88,680800,0.0,1.0
2000-05-03,27.5,28.5,27.13,27.94,967000,0.0,1.0
2000-05-04,28.13,29.38,28.13,28.13,242900,0.0,1.0
2000-05-05,28.38,28.63,28.0,28.13,171300,0.0,1.0
2000-05-08,27.75,27.88,26.5,26.5,206600,0.0,1.0
2000-05-09,27.13,28.25,26.5,26.56,273500,0.0,1.0
2000-05-10,26.0,26.06,21.5,23.13,302700,0.0,1.0
2000-05-11,23.38,23.5,21.5,22.31,177700,0.0,1.0
2000-05-12,22.0,22.0,20.25,21.0,230800,0.0,1.0
2000-05-15,21.13,21.13,20.25,21.0,77100,0.0,1.0
2000-05-16,20.25,21.5,20.25,21.5,210900,0.0,1.0
2000-05-17,21.38,21.38,20.75,21.13,170400,0.0,1.0
2000-05-18,20.81,21.06,20.38,20.38,111600,0.0,1.0
2000-05-19,20.13,23.38,20.13,22.63,225300,0.0,1.0
2000-05-22,22.25,22.5,16.38,18.25,371900,0.0,1.0
2000-05-23,18.0,19.0,16.75,17.38,194400,0.0,1.0
2000-05-24,17.48,18.0,17.0,17.69,230100,0.0,1.0
2000-05-25,17.63,18.0,17.44,17.63,221000,0.0,1.0
2000-05-26,18.13,18.38,17.63,18.0,85500,0.0,1.0
2000-05-30,18.13,18.75,18.0,18.56,152900,0.0,1.0
2000-05-31,18.63,18.88,18.25,18.25,421000,0.0,1.0
2000-06-01,24.25,24.25,20.0,21.5,218800,0.0,1.0
2000-06-02,21.5,24.0,21.13,22.5,142700,0.0,1.0
2000-06-05,22.75,30.0,22.69,29.06,353200,0.0,1.0
2000-06-06,27.63,33.75,27.56,29.31,192000,0.0,1.0
2000-06-07,29.38,31.25,28.63,30.94,429400,0.0,1.0
2000-06-08,30.91,31.5,26.75,29.0,166400,0.0,1.0
2000-06-09,29.25,30.31,28.75,30.06,308300,0.0,1.0
2000-06-12,31.13,31.19,30.0,30.94,266600,0.0,1.0
2000-06-13,30.63,30.63,28.5,29.94,195300,0.0,1.0
2000-06-14,29.38,30.44,29.0,29.75,213700,0.0,1.0
2000-06-15,29.75,29.88,28.63,29.19,64500,0.0,1.0
2000-06-16,28.5,28.75,27.0,28.31,30100,0.0,1.0
2000-06-19,28.0,29.5,28.0,28.81,166300,0.0,1.0
2000-06-20,29.88,29.94,28.0,28.94,167700,0.0,1.0
2000-06-21,28.63,32.0,28.63,32.0,520500,0.0,1.0
2000-06-22,31.63,35.61,31.0,32.5,220400,0.0,1.0
2000-06-23,32.69,32.69,29.63,29.63,79500,0.0,1.0
2000-06-26,30.0,30.0,29.38,29.56,57600,0.0,1.0
2000-06-27,29.38,30.0,29.25,29.88,41200,0.0,1.0
2000-06-28,29.88,34.5,29.63,33.94,193000,0.0,1.0
2000-06-29,35.0,36.5,34.0,35.25,198200,0.0,1.0
