date,open_price,high_price,low_price,close_price,volume,dividend,split
2018-02-23,12.19,12.19,12.19,12.19,740,0.0,1.0
2018-03-05,11.9,11.9,11.9,11.9,780,0.0,1.0
2018-03-06,12.3,12.5,12.3,12.4,78625,0.0,1.0
2018-03-07,12.57,12.65,12.57,12.65,41045,0.0,1.0
2018-03-09,12.55,12.55,12.55,12.55,2740,0.0,1.0
2018-03-13,12.8,12.8,12.74,12.76,1305,0.0,1.0
2018-04-23,12.76,12.76,12.76,12.76,30,0.0,1.0
2018-05-17,10.85,10.85,10.85,10.85,100,0.0,1.0
2018-05-22,10.85,10.85,10.85,10.85,60,0.0,1.0
2018-06-01,10.2,10.2,10.2,10.2,560,0.0,1.0
2018-06-04,10.05,10.05,10.05,10.05,380,0.0,1.0
2018-06-08,10.15,10.15,10.15,10.15,1900,0.0,1.0
2018-06-13,11.15,11.15,11.15,11.15,295,0.0,1.0
2018-06-14,11.15,11.15,11.15,11.15,5775,0.0,1.0
2018-07-12,11.84,11.84,11.84,11.84,175,0.0,1.0
2018-07-18,11.9,11.9,11.9,11.9,1050,0.0,1.0
2018-08-16,11.6,11.6,11.6,11.6,1160,0.0,1.0
2018-08-23,11.9,11.9,11.9,11.9,320,0.0,1.0
2018-09-27,11.9,11.9,11.9,11.9,720,0.0,1.0
2018-10-04,13.0,13.0,13.0,13.0,150,0.0,1.0
2018-10-05,13.0,13.0,13.0,13.0,85,0.0,1.0
2018-12-03,13.0,13.0,13.0,13.0,7020,0.0,1.0
2018-12-14,10.35,10.35,10.35,10.35,240,0.0,1.0
2018-12-27,10.35,10.35,10.35,10.35,3790,0.0,1.0
2018-12-31,10.0,10.0,10.0,10.0,365,0.0,1.0
2019-01-03,10.0,10.0,10.0,10.0,95,0.0,1.0
2019-01-15,10.72,10.72,10.72,10.72,600,0.0,1.0
2019-01-18,11.22,11.22,11.22,11.22,185,0.0,1.0
2019-01-29,11.22,11.22,11.22,11.22,3135,0.0,1.0
2019-01-30,11.22,11.22,11.22,11.22,525,0.0,1.0
2019-01-31,10.9,10.9,10.8,10.8,25490,0.0,1.0
2019-02-01,10.75,10.75,10.75,10.75,2590,0.0,1.0
2019-02-07,11.07,11.07,11.07,11.07,200,0.0,1.0
2019-02-19,11.07,11.07,11.07,11.07,1715,0.0,1.0
2019-02-25,11.5,11.5,11.5,11.5,2305,0.0,1.0
2019-03-15,12.97,12.97,12.97,12.97,165,0.0,1.0
2019-04-03,12.97,12.97,12.97,12.97,75,0.0,1.0
2019-04-10,12.97,12.97,12.97,12.97,80,0.0,1.0
2019-05-03,12.97,12.97,12.97,12.97,20,0.0,1.0
2019-05-22,10.99,10.99,10.99,10.99,5030,0.0,1.0
2019-06-05,10.99,10.99,10.99,10.99,205,0.0,1.0
2019-06-10,10.51,10.51,10.51,10.51,2215,0.0,1.0
2019-06-14,10.19,10.19,10.19,10.19,420,0.0,1.0
2019-06-18,10.4,10.41,10.4,10.4,945,0.0,1.0
2019-06-19,10.4,10.4,10.4,10.4,20,0.0,1.0
2019-06-20,10.8,10.88,10.8,10.88,440,0.0,1.0
2019-06-24,10.88,10.88,10.88,10.88,2170,0.0,1.0
2019-06-26,11.08,11.08,11.08,11.08,360,0.0,1.0
2019-06-27,11.08,11.08,11.08,11.08,60,0.0,1.0
2019-06-28,11.08,11.08,11.08,11.08,70,0.0,1.0
2019-07-01,11.08,11.08,11.08,11.08,9435,0.0,1.0
2019-07-03,11.08,11.08,11.08,11.08,4400,0.0,1.0
2019-07-09,11.2,11.2,11.2,11.2,110,0.0,1.0
2019-07-30,11.2,11.2,11.2,11.2,95,0.0,1.0
2019-08-12,9.82,9.82,9.82,9.82,440,0.0,1.0
2019-08-20,9.74,9.74,9.74,9.74,305,0.0,1.0
2019-08-27,9.74,9.74,9.74,9.74,1280,0.0,1.0
2019-08-28,10.36,10.36,10.36,10.36,525,0.0,1.0
2019-08-30,10.36,10.36,10.36,10.36,20,0.0,1.0
2019-09-12,10.36,10.36,10.36,10.36,4025,0.0,1.0
2019-09-16,10.78,10.78,10.78,10.78,800,0.0,1.0
2019-09-19,10.55,10.55,10.55,10.55,660,0.0,1.0
2019-10-08,10.2,10.2,10.2,10.2,585,0.0,1.0
2019-11-08,10.2,10.2,10.2,10.2,505,0.0,1.0
2019-11-21,10.2,10.2,10.2,10.2,210,0.0,1.0
2019-12-06,12.45,12.45,12.45,12.45,800,0.0,1.0
2019-12-18,12.07,12.07,12.07,12.07,170,0.0,1.0
2019-12-27,12.07,12.07,12.07,12.07,315,0.0,1.0
2020-01-08,12.07,12.07,12.07,12.07,615,0.0,1.0
2020-01-10,12.07,12.07,12.07,12.07,170,0.0,1.0
2020-01-31,11.75,11.75,11.75,11.75,611,0.0,1.0
2020-02-11,12.07,12.07,12.07,12.07,469,0.0,1.0
2020-02-12,12.07,12.07,12.07,12.07,235,0.0,1.0
2020-02-27,10.81,10.81,10.81,10.81,3186,0.0,1.0
2020-03-03,10.55,10.55,10.55,10.55,155,0.0,1.0
2020-03-09,9.25,9.25,9.25,9.25,350,0.0,1.0
2020-03-10,8.51,8.51,8.51,8.51,611,0.0,1.0
2020-03-11,8.51,8.51,8.51,8.51,180,0.0,1.0
2020-03-13,8.53,8.53,8.53,8.53,3037,0.0,1.0
2020-03-16,8.53,8.53,8.53,8.53,2045,0.0,1.0
2020-03-17,8.14,8.14,8.14,8.14,6078,0.0,1.0
2020-03-23,8.18,8.18,8.18,8.18,619,0.0,1.0
2020-03-25,8.18,8.18,8.18,8.18,750,0.0,1.0
2020-03-26,9.77,9.77,9.77,9.77,35297,0.0,1.0
2020-03-27,9.0,9.0,9.0,9.0,1903,0.0,1.0
2020-03-30,9.0,9.0,9.0,9.0,230,0.0,1.0
2020-03-31,9.0,9.0,9.0,9.0,130,0.0,1.0
2020-04-03,9.67,9.67,9.67,9.67,575,0.0,1.0
2020-04-06,9.67,9.67,9.67,9.67,83,0.0,1.0
2020-04-21,8.89,8.89,8.89,8.89,1539,0.0,1.0
2020-04-24,8.89,8.89,8.89,8.89,865,0.0,1.0
2020-05-07,10.2,10.2,10.2,10.2,940,0.0,1.0
2020-05-11,10.7,10.72,10.7,10.72,1430,0.0,1.0
2020-05-12,11.0,11.0,11.0,11.0,2527,0.0,1.0
2020-05-18,10.65,10.65,10.65,10.65,140,0.0,1.0
2020-05-27,10.9,10.9,10.9,10.9,1045,0.0,1.0
2020-05-28,11.67,11.73,11.6,11.72,55703,0.0,1.0
2020-06-10,11.72,11.72,11.72,11.72,4060,0.0,1.0
2020-06-11,13.19,13.19,13.19,13.19,783,0.0,1.0
2020-06-12,13.19,13.19,13.19,13.19,4200,0.0,1.0
2020-06-16,13.67,13.67,13.67,13.67,900,0.0,1.0
2020-06-24,13.5,13.5,13.5,13.5,440,0.0,1.0
2020-06-29,13.5,13.5,13.5,13.5,125,0.0,1.0
2020-07-07,14.61,14.61,14.61,14.61,2400,0.0,1.0
2020-07-22,14.61,14.61,14.61,14.61,0,0.0,1.0
2020-07-23,14.61,14.61,14.61,14.61,2356,0.0,1.0
2020-07-24,14.61,14.61,14.61,14.61,0,0.0,1.0
2020-07-27,14.61,14.61,14.61,14.61,0,0.0,1.0
2020-07-28,14.61,14.61,14.61,14.61,0,0.0,1.0
2020-07-29,14.61,14.61,14.61,14.61,0,0.0,1.0
2020-07-30,14.61,14.61,14.61,14.61,0,0.0,1.0
2020-07-31,14.61,14.61,14.61,14.61,0,0.0,1.0
2020-08-03,14.61,14.61,14.61,14.61,0,0.0,1.0
2020-08-04,14.61,14.61,14.61,14.61,0,0.0,1.0
2020-08-05,14.89,14.89,14.89,14.89,21678,0.0,1.0
2020-08-06,14.89,14.89,14.89,14.89,0,0.0,1.0
2020-08-07,14.89,14.89,14.89,14.89,0,0.0,1.0
2020-08-10,14.89,14.89,14.89,14.89,0,0.0,1.0
2020-08-11,14.89,14.89,14.89,14.89,500,0.0,1.0
2020-08-12,15.51,15.51,15.3,15.3,3350,0.0,1.0
2020-08-13,15.3,15.3,15.3,15.3,0,0.0,1.0
2020-08-14,15.3,15.3,15.3,15.3,0,0.0,1.0
2020-08-17,15.3,15.3,15.3,15.3,3350,0.0,1.0
2020-08-18,15.35,15.35,15.35,15.35,0,0.0,1.0
2020-08-19,15.35,15.35,15.35,15.35,0,0.0,1.0
2020-08-20,15.35,15.35,15.35,15.35,0,0.0,1.0
2020-08-21,15.35,15.35,15.35,15.35,0,0.0,1.0
2020-08-24,15.35,15.35,15.35,15.35,0,0.0,1.0
2020-08-25,15.35,15.35,15.35,15.35,0,0.0,1.0
2020-08-26,15.35,15.35,15.35,15.35,0,0.0,1.0
2020-08-27,15.35,15.35,15.35,15.35,0,0.0,1.0
2020-08-28,15.35,15.35,15.35,15.35,0,0.0,1.0
2020-08-31,15.35,15.35,15.35,15.35,0,0.0,1.0
2020-09-01,15.35,15.35,15.35,15.35,0,0.0,1.0
2020-09-02,14.9,14.9,14.9,14.9,130,0.0,1.0
2020-09-03,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-04,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-08,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-09,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-10,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-11,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-14,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-15,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-16,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-17,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-18,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-21,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-22,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-23,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-24,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-25,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-28,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-29,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-09-30,14.9,14.9,14.9,14.9,0,0.0,1.0
2020-10-01,13.8,13.8,13.8,13.8,500,0.0,1.0
2020-10-02,13.8,13.8,13.8,13.8,0,0.0,1.0
2020-10-05,13.8,13.8,13.8,13.8,0,0.0,1.0
2020-10-06,13.8,13.8,13.8,13.8,0,0.0,1.0
2020-10-07,13.8,13.8,13.8,13.8,0,0.0,1.0
