date,open_price,high_price,low_price,close_price,volume,dividend,split
2010-01-05,21.0,21.0,21.0,21.0,0,0.0,1.0
2010-01-06,21.0,21.0,21.0,21.0,0,0.0,1.0
2010-01-07,21.0,21.0,21.0,21.0,0,0.0,1.0
2010-01-08,23.2,23.2,23.1,23.1,361,0.0,1.0
2010-01-11,22.85,22.85,22.85,22.85,230,0.0,1.0
2010-01-12,22.85,22.85,22.85,22.85,0,0.0,1.0
2010-01-13,23.85,23.85,23.85,23.85,120,0.0,1.0
2010-01-14,23.85,23.85,23.85,23.85,0,0.0,1.0
2010-01-15,23.85,23.85,23.85,23.85,0,0.0,1.0
2010-01-19,23.85,23.85,23.85,23.85,0,0.0,1.0
2010-01-20,23.85,23.85,23.85,23.85,0,0.0,1.0
2010-01-21,23.55,23.55,23.55,23.55,530,0.0,1.0
2010-01-22,23.55,23.55,23.55,23.55,0,0.0,1.0
2010-01-25,23.55,23.55,23.55,23.55,0,0.0,1.0
2010-01-26,23.45,23.45,23.45,23.45,260,0.0,1.0
2010-01-27,23.45,23.45,23.45,23.45,0,0.0,1.0
2010-01-28,22.2,22.2,22.2,22.2,170,0.0,1.0
2010-01-29,22.2,22.2,22.2,22.2,1000,0.0,1.0
2010-02-01,22.2,22.2,22.2,22.2,0,0.0,1.0
2010-02-02,22.2,22.2,22.2,22.2,0,0.0,1.0
2010-02-03,22.2,22.2,22.2,22.2,0,0.0,1.0
2010-02-04,22.2,22.2,22.2,22.2,0,0.0,1.0
2010-02-05,21.75,21.75,21.75,21.75,200,0.0,1.0
2010-02-08,21.75,21.75,21.75,21.75,0,0.0,1.0
2010-02-09,21.75,21.75,21.75,21.75,0,0.0,1.0
2010-02-10,21.75,21.75,21.75,21.75,0,0.0,1.0
2010-02-11,21.75,21.75,21.75,21.75,0,0.0,1.0
2010-02-12,21.75,21.75,21.75,21.75,1390,0.0,1.0
2010-02-16,21.75,21.75,21.75,21.75,0,0.0,1.0
2010-02-17,21.75,21.75,21.75,21.75,0,0.0,1.0
2010-02-18,21.75,21.75,21.75,21.75,0,0.0,1.0
2010-02-19,21.75,21.75,21.75,21.75,0,0.0,1.0
2010-02-22,21.75,21.75,21.75,21.75,0,0.0,1.0
2010-02-23,24.95,24.95,24.95,24.95,220,0.0,1.0
2010-02-24,24.95,24.95,24.95,24.95,0,0.0,1.0
2010-02-25,24.95,24.95,24.95,24.95,0,0.0,1.0
2010-02-26,24.95,24.95,24.95,24.95,0,0.0,1.0
2010-03-01,23.75,23.75,23.75,23.75,1116,0.0,1.0
2010-03-02,24.0,24.0,24.0,24.0,370,0.0,1.0
2010-03-03,23.75,23.75,23.75,23.75,105,0.0,1.0
2010-03-04,23.75,23.75,23.75,23.75,0,0.0,1.0
2010-03-05,23.75,23.75,23.75,23.75,0,0.0,1.0
2010-03-08,23.75,23.75,23.75,23.75,0,0.0,1.0
2010-03-09,23.75,23.75,23.75,23.75,0,0.0,1.0
2010-03-10,23.75,23.75,23.75,23.75,0,0.0,1.0
2010-03-11,23.75,23.75,23.75,23.75,0,0.0,1.0
2010-03-12,23.75,23.75,23.75,23.75,0,0.0,1.0
2010-03-15,23.75,23.75,23.75,23.75,0,0.0,1.0
2010-03-16,23.75,23.75,23.75,23.75,0,0.0,1.0
2010-03-17,23.75,23.75,23.75,23.75,0,0.0,1.0
2010-03-18,24.9,24.9,24.9,24.9,1320,0.0,1.0
2010-03-19,24.9,24.9,24.9,24.9,0,0.0,1.0
2010-03-22,24.9,24.9,24.9,24.9,0,0.0,1.0
2010-03-23,24.9,24.9,24.9,24.9,0,0.0,1.0
2010-03-24,24.9,24.9,24.9,24.9,0,0.0,1.0
2010-03-25,24.9,24.9,24.9,24.9,0,0.0,1.0
2010-03-26,24.9,24.9,24.9,24.9,0,0.0,1.0
2010-03-29,24.0,24.0,24.0,24.0,140,0.0,1.0
2010-03-30,24.0,24.0,24.0,24.0,0,0.0,1.0
2010-03-31,24.0,24.0,24.0,24.0,300,0.0,1.0
2010-04-01,24.0,24.0,24.0,24.0,0,0.0,1.0
2010-04-05,24.26,24.26,24.26,24.26,2743,0.0,1.0
2010-04-06,24.26,24.26,24.26,24.26,0,0.0,1.0
2010-04-07,24.26,24.26,24.26,24.26,0,0.0,1.0
2010-04-08,24.26,24.26,24.26,24.26,0,0.0,1.0
2010-04-09,24.26,24.26,24.26,24.26,0,0.0,1.0
2010-04-12,24.26,24.26,24.26,24.26,0,0.0,1.0
2010-04-13,24.26,24.26,24.26,24.26,0,0.0,1.0
2010-04-14,24.26,24.26,24.26,24.26,0,0.0,1.0
2010-04-15,24.26,24.26,24.26,24.26,0,0.0,1.0
2010-04-16,24.25,24.25,24.25,24.25,100,0.0,1.0
2010-04-19,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-04-20,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-04-21,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-04-22,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-04-23,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-04-26,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-04-27,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-04-28,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-04-29,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-04-30,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-05-03,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-05-04,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-05-05,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-05-06,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-05-07,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-05-10,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-05-11,22.75,22.75,22.75,22.75,200,0.0,1.0
2010-05-12,22.75,22.75,22.75,22.75,0,0.0,1.0
2010-05-13,22.75,22.75,22.75,22.75,0,0.0,1.0
2010-05-14,22.75,22.75,22.75,22.75,0,0.0,1.0
2010-05-17,22.75,22.75,22.75,22.75,0,0.0,1.0
2010-05-18,22.75,22.75,22.75,22.75,0,0.0,1.0
2010-05-19,23.52,23.52,23.52,23.52,6034,0.0,1.0
2010-05-20,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-05-21,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-05-24,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-05-25,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-05-26,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-05-27,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-05-28,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-01,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-02,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-03,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-04,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-07,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-08,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-09,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-10,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-11,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-14,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-15,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-16,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-17,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-18,23.52,23.52,23.52,23.52,0,0.0,1.0
2010-06-21,23.52,23.52,23.52,23.52,0,0.0,1.0
