date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,24.94,25.5,24.25,24.38,199800,0.0,1.0
1999-11-02,24.25,24.88,24.19,24.75,221800,0.0,1.0
1999-11-03,24.56,25.19,24.44,25.0,48700,0.0,1.0
1999-11-04,25.25,25.25,24.5,24.63,210000,0.0,1.0
1999-11-05,24.81,25.06,24.38,24.5,41900,0.0,1.0
1999-11-08,24.56,25.0,24.5,24.88,34500,0.0,1.0
1999-11-09,25.0,25.0,24.5,24.63,97300,0.0,1.0
1999-11-10,24.56,24.75,24.5,24.5,41500,0.0,1.0
1999-11-11,24.63,24.75,24.56,24.56,40500,0.0,1.0
1999-11-12,24.56,24.75,24.56,24.56,38800,0.0,1.0
1999-11-15,24.63,24.81,24.56,24.75,109900,0.0,1.0
1999-11-16,24.69,24.88,24.63,24.81,78100,0.0,1.0
1999-11-17,24.81,25.0,24.75,24.81,89100,0.0,1.0
1999-11-18,24.88,25.06,24.63,24.88,210500,0.0,1.0
1999-11-19,24.94,25.25,24.75,25.25,121800,0.0,1.0
1999-11-22,25.31,25.5,25.0,25.13,112300,0.0,1.0
1999-11-23,25.13,25.19,24.5,24.63,349600,0.0,1.0
1999-11-24,24.63,24.94,24.56,24.88,61400,0.0,1.0
1999-11-26,24.69,24.88,24.63,24.63,30100,0.0,1.0
1999-11-29,24.63,24.88,24.63,24.81,59500,0.0,1.0
1999-11-30,24.94,25.5,24.75,25.5,134200,0.0,1.0
1999-12-01,25.19,25.31,24.88,25.06,51600,0.0,1.0
1999-12-02,25.19,25.25,25.0,25.06,40400,0.0,1.0
1999-12-03,25.13,25.25,24.63,24.75,93800,0.0,1.0
1999-12-06,24.94,25.25,24.75,24.75,99700,0.0,1.0
1999-12-07,25.0,25.06,24.75,24.81,44200,0.0,1.0
1999-12-08,24.69,24.81,24.56,24.56,129400,0.0,1.0
1999-12-09,24.69,25.0,24.69,24.69,61000,0.0,1.0
1999-12-10,24.56,24.88,24.5,24.56,84400,0.0,1.0
1999-12-13,24.5,25.25,24.5,25.25,85400,0.0,1.0
1999-12-14,24.69,25.13,24.38,24.5,211700,0.0,1.0
1999-12-15,25.25,25.25,24.75,24.81,227700,0.0,1.0
1999-12-16,24.88,25.0,24.56,24.94,129600,0.0,1.0
1999-12-17,25.75,27.88,25.56,26.5,865700,0.0,1.0
1999-12-20,27.5,27.5,26.69,26.69,392900,0.0,1.0
1999-12-21,26.5,26.94,26.44,26.75,206100,0.0,1.0
1999-12-22,26.94,27.13,26.75,27.13,140200,0.0,1.0
1999-12-23,27.13,27.75,26.88,27.69,212000,0.0,1.0
1999-12-27,27.69,28.13,27.69,28.0,143400,0.0,1.0
1999-12-28,28.25,28.63,27.94,28.31,176400,0.0,1.0
1999-12-29,27.69,27.94,27.56,27.88,115600,0.62,1.0
1999-12-30,27.94,28.19,27.56,27.63,99500,0.0,1.0
1999-12-31,27.44,27.69,27.31,27.44,66900,0.0,1.0
2000-01-03,27.44,27.44,26.75,26.88,152400,0.0,1.0
2000-01-04,26.88,26.88,26.06,26.5,117400,0.0,1.0
2000-01-05,26.56,26.94,26.38,26.94,123300,0.0,1.0
2000-01-06,26.88,27.69,26.88,27.56,301700,0.0,1.0
2000-01-07,27.56,28.0,27.56,27.94,200600,0.0,1.0
2000-01-10,28.0,28.38,28.0,28.19,269000,0.0,1.0
2000-01-11,28.19,28.44,28.19,28.25,266100,0.0,1.0
2000-01-12,28.25,28.25,27.75,27.75,89000,0.0,1.0
2000-01-13,27.75,28.06,27.63,27.63,163400,0.0,1.0
2000-01-14,27.69,28.06,27.5,27.63,135700,0.0,1.0
2000-01-18,27.75,27.94,27.31,27.81,132400,0.0,1.0
2000-01-19,27.94,28.38,27.88,27.88,82100,0.0,1.0
2000-01-20,27.94,28.0,27.5,27.69,98900,0.0,1.0
2000-01-21,27.56,27.75,27.31,27.38,109200,0.0,1.0
2000-01-24,27.25,27.5,27.06,27.13,107900,0.0,1.0
2000-01-25,27.75,27.75,27.0,27.25,128200,0.0,1.0
2000-01-26,27.38,27.5,27.0,27.13,180400,0.0,1.0
2000-01-27,27.0,27.56,27.0,27.31,131900,0.0,1.0
2000-01-28,27.31,27.31,26.94,27.13,102000,0.0,1.0
2000-01-31,27.25,27.44,26.88,27.0,71700,0.0,1.0
2000-02-01,27.0,27.19,26.88,27.0,119700,0.0,1.0
2000-02-02,27.0,27.13,26.94,27.13,193700,0.0,1.0
2000-02-03,27.25,27.44,27.0,27.25,76100,0.0,1.0
2000-02-04,27.06,27.63,27.06,27.06,61900,0.0,1.0
2000-02-07,26.75,27.25,26.75,27.25,53400,0.0,1.0
2000-02-08,27.5,27.56,26.56,26.94,52000,0.0,1.0
2000-02-09,27.0,27.13,26.81,26.94,57000,0.0,1.0
2000-02-10,26.88,27.19,26.81,27.06,157500,0.0,1.0
2000-02-11,27.06,27.13,26.88,26.88,99700,0.0,1.0
2000-02-14,26.88,26.88,26.13,26.25,120000,0.0,1.0
2000-02-15,26.5,26.75,25.63,25.81,102600,0.0,1.0
2000-02-16,25.69,26.06,25.69,25.94,102500,0.0,1.0
2000-02-17,25.94,26.25,25.75,26.25,75800,0.0,1.0
2000-02-18,25.94,25.94,25.75,25.88,54100,0.0,1.0
2000-02-22,25.81,26.5,25.81,26.25,261300,0.0,1.0
2000-02-23,26.44,26.44,26.06,26.19,45900,0.0,1.0
2000-02-24,26.5,26.75,26.0,26.13,68200,0.0,1.0
2000-02-25,26.06,26.5,26.0,26.06,59100,0.0,1.0
2000-02-28,26.19,26.19,25.75,25.94,147400,0.0,1.0
2000-02-29,25.94,26.25,25.88,26.0,207200,0.0,1.0
2000-03-01,26.0,26.13,25.88,26.0,80600,0.0,1.0
