date,open_price,high_price,low_price,close_price,volume,dividend,split
2002-12-18,89.0,90.2,89.0,89.5,37900,0.0,1.0
2002-12-19,89.4,90.01,89.3,89.55,53400,0.0,1.0
2002-12-20,89.54,89.54,86.0,86.6,64600,0.0,1.0
2002-12-23,84.7,86.75,84.5,86.49,34500,0.0,1.0
2002-12-24,86.4,86.85,86.3,86.35,24600,0.0,1.0
2002-12-26,86.36,86.36,81.6,83.2,101500,0.0,1.0
2002-12-27,83.3,83.8,79.58,79.81,109700,0.0,1.0
2002-12-30,79.81,79.81,77.55,78.7,89500,0.0,1.0
2002-12-31,78.6,79.4,77.0,77.01,165900,0.0,1.0
2003-01-02,77.05,79.55,77.05,78.64,200800,0.0,1.0
2003-01-03,78.6,79.5,77.6,77.62,137200,0.0,1.0
2003-01-06,77.63,77.63,75.21,76.2,217600,0.0,1.0
2003-01-07,76.0,78.3,75.37,75.95,138100,0.0,1.0
2003-01-08,75.35,76.55,73.0,73.92,614000,0.0,1.0
2003-01-09,73.5,74.99,73.2,74.75,242400,1.5,1.0
2003-01-10,74.65,75.85,74.4,74.9,124200,0.0,1.0
2003-01-13,75.1,75.55,74.6,74.86,146800,0.0,1.0
2003-01-14,75.0,77.53,75.0,76.35,205100,0.0,1.0
2003-01-15,77.25,79.05,76.1,76.1,222500,0.0,1.0
2003-01-16,76.1,77.5,72.25,74.43,483200,0.0,1.0
2003-01-17,74.1,74.1,64.7,65.1,854900,0.0,1.0
2003-01-21,58.19,63.94,57.03,59.3,1077200,0.0,1.0
2003-01-22,59.2,61.1,58.1,60.8,255700,0.0,1.0
2003-01-23,61.15,61.46,59.55,59.94,161200,0.0,1.0
2003-01-24,60.1,63.45,58.0,58.0,332100,0.0,1.0
2003-01-27,58.95,60.5,58.4,58.5,257200,0.0,1.0
2003-01-28,58.5,59.4,58.01,58.15,114400,0.0,1.0
2003-01-29,58.5,59.4,58.01,58.15,117400,0.0,1.0
2003-01-30,59.1,64.0,59.1,63.65,334400,0.0,1.0
2003-01-31,63.65,66.15,63.65,66.1,96900,0.0,1.0
2003-02-03,67.3,69.3,67.2,68.4,101100,0.0,1.0
2003-02-04,67.0,67.01,63.15,64.25,199900,0.0,1.0
2003-02-05,64.8,65.3,63.11,63.35,92500,0.0,1.0
2003-02-06,63.4,63.75,61.2,62.3,106300,0.0,1.0
2003-02-07,62.3,63.64,60.95,63.2,101800,0.0,1.0
2003-02-10,64.2,65.2,62.0,62.29,125200,0.0,1.0
2003-02-11,72.0,73.5,68.65,73.36,281900,0.0,1.0
2003-02-12,70.87,70.88,62.2,63.8,294400,0.0,1.0
2003-02-13,63.35,64.8,61.1,63.41,98300,0.0,1.0
2003-02-14,63.41,65.02,63.06,63.95,50300,0.0,1.0
2003-02-18,60.0,63.89,60.0,60.49,98800,0.0,1.0
2003-02-19,60.51,61.4,57.4,58.2,174800,0.0,1.0
2003-02-20,58.05,59.59,56.45,57.36,154000,0.0,1.0
2003-02-21,57.9,59.0,57.1,57.64,83500,0.0,1.0
2003-02-24,57.6,57.99,56.05,56.23,54800,0.0,1.0
2003-02-25,55.3,55.85,52.2,53.06,126700,0.0,1.0
2003-02-26,52.5,53.54,50.5,51.5,112100,0.0,1.0
2003-02-27,52.3,52.49,51.0,51.85,65600,0.0,1.0
2003-02-28,51.75,55.05,51.75,53.76,73500,0.0,1.0
2003-03-03,54.01,55.2,53.26,53.39,49900,0.0,1.0
2003-03-04,53.5,54.9,52.91,54.5,52800,0.0,1.0
2003-03-05,54.5,55.3,53.68,54.59,88400,0.0,1.0
2003-03-06,54.6,55.6,54.01,55.1,61300,0.0,1.0
2003-03-07,54.97,57.1,54.05,56.7,53800,0.0,1.0
2003-03-10,56.7,56.7,53.7,54.08,104000,0.0,1.0
2003-03-11,54.08,54.25,50.01,50.51,111300,0.0,1.0
2003-03-12,49.75,50.55,46.71,47.56,113500,0.0,1.0
2003-03-13,48.35,51.68,48.0,50.8,123800,0.0,1.0
2003-03-14,52.25,52.5,49.1,51.75,108100,0.0,1.0
2003-03-17,50.5,52.75,50.0,52.5,45900,0.0,1.0
2003-03-18,53.51,53.95,52.06,53.41,26800,0.0,1.0
2003-03-19,54.4,55.6,54.4,55.0,48500,0.0,1.0
2003-03-20,55.0,60.7,55.0,58.5,69900,0.0,1.0
2003-03-21,58.51,59.6,57.85,57.87,51400,0.0,1.0
2003-03-24,56.8,57.67,55.65,56.75,46500,0.0,1.0
2003-03-25,56.7,58.09,55.55,57.26,39100,0.0,1.0
2003-03-26,57.1,58.02,56.55,56.7,65000,0.0,1.0
2003-03-27,56.71,56.71,54.79,55.3,37300,0.0,1.0
2003-03-28,55.05,55.25,51.71,51.91,85400,0.0,1.0
2003-03-31,51.7,51.7,50.26,50.95,69800,0.0,1.0
2003-04-01,52.0,53.26,51.5,53.26,90700,0.0,1.0
2003-04-02,53.26,55.45,51.64,55.3,87700,0.0,1.0
2003-04-03,55.3,55.93,54.46,54.85,59800,0.0,1.0
2003-04-04,54.86,55.9,53.87,55.9,50500,0.0,1.0
2003-04-07,57.25,57.49,55.08,55.2,38900,0.0,1.0
2003-04-08,55.2,57.5,55.2,56.68,33100,0.0,1.0
2003-04-09,57.02,57.87,55.75,55.75,40900,0.0,1.0
2003-04-10,56.47,57.08,55.8,55.99,30700,0.0,1.0
2003-04-11,56.9,57.75,56.12,57.75,25900,0.0,1.0
2003-04-14,59.25,63.6,59.25,60.65,124500,0.0,1.0
2003-04-15,60.85,61.9,60.76,61.7,94200,0.0,1.0
2003-04-16,61.85,65.35,61.6,62.38,86200,0.0,1.0
2003-04-17,62.6,65.9,62.5,65.46,42400,0.0,1.0
2003-04-21,66.5,72.95,66.5,72.31,123100,0.0,1.0
2003-04-22,74.25,79.7,72.99,78.61,158900,0.0,1.0
2003-04-23,78.85,80.9,75.6,79.18,117600,0.0,1.0
2003-04-24,78.6,79.0,76.35,78.76,61200,0.0,1.0
2003-04-25,78.4,79.43,78.0,78.3,26700,0.0,1.0
2003-04-28,78.55,83.9,78.55,83.69,92000,0.0,1.0
2003-04-29,86.8,87.8,85.21,85.9,98500,0.0,1.0
2003-04-30,85.9,89.0,82.95,86.65,68200,0.0,1.0
2003-05-01,86.59,88.3,85.91,86.9,49100,0.0,1.0
2003-05-02,86.6,87.1,85.5,85.74,35700,0.0,1.0
2003-05-05,90.7,96.79,90.7,96.0,306400,0.0,1.0
2003-05-06,96.1,97.25,95.27,95.27,262000,0.0,1.0
2003-05-07,92.0,94.0,90.02,90.6,122500,0.0,1.0
2003-05-08,87.0,88.27,86.51,86.51,67100,0.0,1.0
2003-05-09,88.0,89.5,87.26,88.33,39700,0.0,1.0
2003-05-12,85.57,88.7,85.56,88.2,36300,0.0,1.0
2003-05-13,88.45,88.53,86.79,87.58,28300,0.0,1.0
2003-05-14,87.5,89.45,87.04,89.11,31100,0.0,1.0
2003-05-15,89.0,89.41,87.67,87.67,51100,0.0,1.0
2003-05-16,89.0,91.8,86.5,89.71,91800,0.0,1.0
2003-05-19,89.6,89.75,86.2,86.4,45100,0.0,1.0
2003-05-20,87.5,88.6,85.84,86.55,47900,0.0,1.0
2003-05-21,82.85,87.55,82.85,87.44,39500,0.0,1.0
2003-05-22,86.3,88.8,86.3,87.52,37000,0.0,1.0
2003-05-23,88.5,90.6,88.5,89.43,37800,0.0,1.0
2003-05-27,89.0,89.2,88.39,88.46,29800,0.0,1.0
2003-05-28,93.0,98.65,92.63,97.55,110800,0.0,1.0
2003-05-29,97.3,107.3,96.38,104.69,128600,0.0,1.0
2003-05-30,109.0,120.4,109.0,120.1,290100,0.0,1.0
2003-06-02,125.5,129.0,124.25,127.8,292500,0.0,1.0
2003-06-03,125.0,130.75,122.45,130.1,216900,0.0,1.0
2003-06-04,130.1,145.0,129.6,144.95,299400,0.0,1.0
2003-06-05,144.0,152.5,141.5,152.2,324500,0.0,1.0
2003-06-06,157.36,162.8,145.3,147.05,290700,0.0,1.0
2003-06-09,144.5,151.5,143.5,143.93,118100,0.0,1.0
2003-06-10,144.0,146.0,132.25,133.2,190800,0.0,1.0
2003-06-11,133.2,138.5,128.8,135.8,169300,0.0,1.0
2003-06-12,138.0,140.49,135.0,135.81,89300,0.0,1.0
2003-06-13,137.0,140.1,133.75,139.6,95300,0.0,1.0
2003-06-16,141.9,145.2,140.01,143.1,49100,0.0,1.0
2003-06-17,146.0,148.6,145.3,147.8,79200,0.0,1.0
2003-06-18,147.55,152.3,144.3,148.49,63500,0.0,1.0
2003-06-19,147.3,149.14,144.0,146.9,77400,0.0,1.0
2003-06-20,147.7,148.0,146.1,147.0,38900,0.0,1.0
2003-06-23,146.0,147.04,145.0,146.75,40600,0.0,1.0
2003-06-24,146.93,151.3,146.0,150.75,35800,0.0,1.0
2003-06-25,152.0,154.75,151.6,151.6,25800,0.0,1.0
2003-06-26,151.55,152.56,148.13,151.96,14200,0.0,1.0
2003-06-27,153.4,153.4,150.87,150.87,10900,0.0,1.0
