date,open_price,high_price,low_price,close_price,volume,dividend,split
2011-12-12,11.62,11.62,11.29,11.29,800,0.0,1.0
2011-12-13,11.29,11.29,11.29,11.29,0,0.0,1.0
2011-12-14,11.29,11.29,11.29,11.29,0,0.0,1.0
2011-12-15,11.29,11.29,11.29,11.29,0,0.0,1.0
2011-12-16,11.29,11.29,11.29,11.29,0,0.0,1.0
2011-12-19,11.29,11.29,11.29,11.29,0,0.0,1.0
2011-12-20,11.29,11.29,11.29,11.29,0,0.0,1.0
2011-12-21,11.29,11.29,11.29,11.29,0,0.0,1.0
2011-12-22,11.29,11.29,11.29,11.29,0,0.0,1.0
2011-12-23,11.58,11.7,11.58,11.7,400,0.0,1.0
2011-12-27,11.7,11.7,11.7,11.7,0,0.0,1.0
2011-12-28,11.7,11.7,11.7,11.7,0,0.0,1.0
2011-12-29,11.7,11.7,11.7,11.7,0,0.0,1.0
2011-12-30,11.7,11.7,11.7,11.7,0,0.0,1.0
2012-01-03,11.7,11.7,11.7,11.7,0,0.0,1.0
2012-01-04,11.7,11.7,11.7,11.7,0,0.0,1.0
2012-01-05,11.7,11.7,11.7,11.7,0,0.0,1.0
2012-01-06,11.7,11.7,11.7,11.7,0,0.0,1.0
2012-01-09,11.7,11.7,11.7,11.7,0,0.0,1.0
2012-01-10,12.15,12.15,12.15,12.15,200,0.0,1.0
2012-01-11,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-12,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-13,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-17,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-18,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-19,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-20,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-23,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-24,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-25,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-26,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-27,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-30,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-01-31,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-02-01,12.15,12.15,12.15,12.15,0,0.0,1.0
2012-02-02,12.95,12.95,12.95,12.95,2300,0.0,1.0
2012-02-03,12.85,12.87,12.84,12.87,7235,0.0,1.0
2012-02-06,12.87,12.87,12.87,12.87,0,0.0,1.0
2012-02-07,12.87,12.87,12.87,12.87,0,0.0,1.0
