date,open_price,high_price,low_price,close_price,volume,dividend,split
2009-07-21,8.9,8.9,8.9,8.9,500,0.0,1.0
2009-07-22,8.9,8.9,8.9,8.9,0,0.0,1.0
2009-07-23,8.9,8.9,8.9,8.9,0,0.0,1.0
2009-07-24,8.9,8.9,8.9,8.9,0,0.0,1.0
2009-07-27,8.9,8.9,8.9,8.9,0,0.0,1.0
2009-07-28,8.91,8.91,8.91,8.91,200,0.0,1.0
2009-07-29,8.91,8.91,8.91,8.91,0,0.0,1.0
2009-07-30,8.91,8.91,8.91,8.91,0,0.0,1.0
2009-07-31,8.91,8.91,8.91,8.91,0,0.0,1.0
2009-08-03,8.91,8.91,8.91,8.91,0,0.0,1.0
2009-08-04,8.91,8.91,8.91,8.91,0,0.0,1.0
2009-08-05,9.31,9.31,9.31,9.31,225,0.0,1.0
2009-08-06,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-07,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-10,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-11,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-12,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-13,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-14,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-17,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-18,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-19,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-20,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-21,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-24,9.31,9.31,9.31,9.31,0,0.0,1.0
2009-08-25,9.25,9.25,9.25,9.25,500,0.0,1.0
2009-08-26,9.25,9.25,9.25,9.25,0,0.0,1.0
2009-08-27,9.25,9.25,9.25,9.25,0,0.0,1.0
2009-08-28,9.25,9.25,9.25,9.25,0,0.0,1.0
2009-08-31,9.25,9.25,9.25,9.25,0,0.0,1.0
2009-09-01,8.97,8.97,8.97,8.97,225,0.0,1.0
2009-09-02,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-03,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-04,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-08,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-09,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-10,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-11,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-14,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-15,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-16,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-17,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-18,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-21,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-22,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-23,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-24,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-25,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-28,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-29,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-09-30,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-01,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-02,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-05,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-06,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-07,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-08,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-09,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-12,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-13,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-14,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-15,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-16,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-19,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-20,8.97,8.97,8.97,8.97,0,0.0,1.0
2009-10-21,8.45,8.45,8.45,8.45,450,0.0,1.0
2009-10-22,8.58,8.58,8.5,8.5,1380,0.0,1.0
2009-10-23,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-10-26,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-10-27,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-10-28,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-10-29,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-10-30,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-02,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-03,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-04,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-05,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-06,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-09,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-10,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-11,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-12,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-13,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-16,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-17,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-18,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-19,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-20,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-23,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-24,8.58,8.58,8.5,8.5,0,0.0,1.0
2009-11-25,8.65,8.65,8.65,8.65,500,0.0,1.0
2009-11-27,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-11-30,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-01,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-02,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-03,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-04,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-07,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-08,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-09,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-10,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-11,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-14,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-15,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-16,8.65,8.65,8.65,8.65,0,0.0,1.0
2009-12-17,8.65,8.65,8.65,8.65,0,0.0,1.0
