date,open_price,high_price,low_price,close_price,volume,dividend,split
2011-06-30,7.82,7.91,7.82,7.91,21865,0.0,1.0
2011-07-01,7.88,7.92,7.88,7.92,1300,0.0,1.0
2011-07-05,7.88,8.04,7.88,8.04,18280,0.0,1.0
2011-07-06,7.87,8.0,7.87,8.0,14400,0.0,1.0
2011-07-07,8.19,8.19,8.12,8.14,17415,0.0,1.0
2011-07-08,8.17,8.17,8.09,8.1,5700,0.0,1.0
2011-07-11,7.99,8.0,7.89,7.9,26400,0.0,1.0
2011-07-12,7.9,7.93,7.9,7.93,2051,0.0,1.0
2011-07-13,8.15,8.15,8.15,8.15,2151,0.0,1.0
2011-07-14,8.05,8.05,7.98,7.98,1620,0.0,1.0
2011-07-15,8.08,8.1,8.08,8.1,5500,0.0,1.0
2011-07-18,8.01,8.01,7.75,7.93,29283,0.0,1.0
2011-07-19,8.05,8.05,7.92,7.97,3000,0.0,1.0
2011-07-20,8.0,8.0,7.95,8.0,3800,0.0,1.0
2011-07-21,7.85,7.89,7.83,7.89,63100,0.0,1.0
2011-07-22,7.89,7.89,7.89,7.89,0,0.0,1.0
2011-07-25,7.89,7.89,7.89,7.89,250,0.0,1.0
2011-07-26,7.93,7.98,7.93,7.98,4700,0.0,1.0
2011-07-27,7.93,7.93,7.85,7.85,7000,0.0,1.0
2011-07-28,7.8,7.8,7.8,7.8,1000,0.0,1.0
2011-07-29,7.73,7.93,7.71,7.71,66423,0.0,1.0
2011-08-01,7.92,7.92,7.78,7.78,4500,0.0,1.0
2011-08-02,7.55,7.55,7.5,7.52,1700,0.0,1.0
2011-08-03,7.29,7.29,7.09,7.11,5850,0.0,1.0
2011-08-04,6.95,6.95,6.45,6.48,13350,0.0,1.0
2011-08-05,6.9,7.25,6.78,6.79,14945,0.0,1.0
2011-08-08,6.42,6.62,5.95,6.3,10050,0.0,1.0
2011-08-09,6.15,6.29,6.15,6.25,15000,0.0,1.0
2011-08-10,6.25,6.25,5.8,5.96,14830,0.0,1.0
2011-08-11,5.95,6.75,5.95,6.35,10250,0.0,1.0
2011-08-12,6.65,6.65,6.63,6.63,1200,0.0,1.0
2011-08-15,6.78,7.0,6.77,7.0,3023,0.0,1.0
2011-08-16,6.52,6.75,6.4,6.4,19700,0.0,1.0
2011-08-17,7.0,7.0,6.64,6.64,2825,0.0,1.0
2011-08-18,5.96,5.97,5.94,5.94,8800,0.0,1.0
2011-08-19,5.73,6.0,5.73,6.0,36200,0.0,1.0
2011-08-22,6.0,6.0,6.0,6.0,0,0.0,1.0
2011-08-23,6.13,6.13,6.13,6.13,1000,0.0,1.0
2011-08-24,6.45,6.6,6.45,6.5,24959,0.0,1.0
