date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,79.0,80.0,78.94,79.5,1348700,0.0,1.0
1999-11-02,78.75,79.56,77.88,78.75,845300,0.0,1.0
1999-11-03,78.5,78.5,76.63,76.81,551700,0.0,1.0
1999-11-04,78.13,79.81,78.0,79.31,1090700,0.0,1.0
1999-11-05,85.0,85.5,80.75,80.75,2999900,0.0,1.0
1999-11-08,81.0,83.75,81.0,82.06,885100,0.0,1.0
1999-11-09,85.0,87.13,84.38,85.63,1269100,0.0,1.0
1999-11-10,85.56,88.69,85.56,86.44,1289000,0.0,1.0
1999-11-11,86.56,86.88,83.0,84.44,706300,0.0,1.0
1999-11-12,85.25,90.56,84.81,90.38,947300,0.0,1.0
1999-11-15,89.81,93.5,86.56,86.75,5363000,0.0,1.0
1999-11-16,89.0,92.5,88.5,92.0,3092400,0.0,1.0
1999-11-17,94.5,96.44,93.5,95.38,1975000,0.0,1.0
1999-11-18,95.63,96.5,94.19,96.5,1617700,0.0,1.0
1999-11-19,96.63,97.75,95.94,97.38,1093000,0.0,1.0
1999-11-22,97.5,99.38,97.38,99.38,1090400,0.0,1.0
1999-11-23,101.9,101.9,98.25,99.63,1550300,0.0,1.0
1999-11-24,99.38,99.44,97.5,99.19,765300,0.0,1.0
1999-11-26,99.31,99.94,99.0,99.25,518500,0.0,1.0
1999-11-29,99.75,99.75,97.69,97.88,814900,0.18,1.0
1999-11-30,97.63,97.63,92.38,93.69,1613200,0.0,1.0
1999-12-01,93.25,98.0,93.0,96.25,1963300,0.0,1.0
1999-12-02,98.75,99.25,97.38,97.56,1183300,0.0,1.0
1999-12-03,97.75,104.3,97.63,104.3,1921900,0.0,1.0
1999-12-06,105.0,106.5,102.9,105.0,2229100,0.0,1.0
1999-12-07,108.0,110.0,105.0,105.3,2401000,0.0,1.0
1999-12-08,105.4,110.6,103.9,107.2,1760700,0.0,1.0
1999-12-09,113.5,116.3,108.3,115.8,2381400,0.0,1.0
1999-12-10,117.1,119.9,116.0,117.0,2413200,0.0,1.0
1999-12-13,118.5,120.8,117.3,119.1,1438900,0.0,1.0
1999-12-14,118.5,119.3,112.7,113.3,1548500,0.0,1.0
1999-12-15,111.0,111.1,100.6,105.5,3926600,0.0,1.0
1999-12-16,109.0,111.4,108.5,108.8,2368300,0.0,1.0
1999-12-17,110.5,113.12,108.94,112.5,2351900,0.0,1.0
1999-12-20,112.9,115.2,112.6,114.4,1079200,0.0,1.0
1999-12-21,115.5,116.0,112.3,112.6,1447900,0.0,1.0
1999-12-22,114.5,119.0,112.8,118.8,1118500,0.0,1.0
1999-12-23,121.0,127.0,120.5,123.1,1186600,0.0,1.0
1999-12-27,122.8,124.3,116.8,120.0,1136100,0.0,1.0
1999-12-28,120.4,126.0,120.3,122.6,767400,0.0,1.0
1999-12-29,123.1,125.5,122.1,124.1,503200,0.0,1.0
1999-12-30,124.3,124.4,121.6,121.9,407000,0.0,1.0
1999-12-31,122.6,129.1,122.6,128.9,377900,0.0,1.0
2000-01-03,129.13,129.94,118.81,121.81,1550100,0.0,1.0
2000-01-04,119.3,119.5,109.1,110.0,2004000,0.0,1.0
2000-01-05,110.0,110.6,103.3,106.6,3132400,0.0,1.0
2000-01-06,106.8,108.3,104.4,105.0,2413000,0.0,1.0
2000-01-07,106.0,116.9,105.9,116.9,3688700,0.0,1.0
2000-01-10,120.8,120.9,116.1,118.0,1814800,0.0,1.0
2000-01-11,114.0,114.6,107.1,107.4,1936100,0.0,1.0
2000-01-12,108.5,108.6,103.0,103.8,1965700,0.0,1.0
2000-01-13,105.0,117.5,103.5,116.8,2728700,0.0,1.0
2000-01-14,118.0,118.3,111.4,112.0,1876700,0.0,1.0
2000-01-18,112.2,129.1,112.0,125.5,3628900,0.0,1.0
2000-01-19,125.7,140.0,124.6,133.7,4615900,0.0,1.0
2000-01-20,139.0,157.9,138.5,155.8,6293900,0.0,1.0
2000-01-21,156.9,163.3,150.0,162.0,4520400,0.0,1.0
2000-01-24,162.0,175.5,154.0,155.0,4393400,0.0,1.0
2000-01-25,152.8,155.0,147.4,151.3,4038500,0.0,1.0
2000-01-26,153.0,159.8,152.5,156.0,6649300,0.0,1.0
2000-01-27,158.8,176.5,158.4,162.0,4904700,0.0,1.0
2000-01-28,161.5,166.5,145.5,147.0,3983900,0.0,1.0
2000-01-31,147.1,158.5,144.8,154.3,3001200,0.0,1.0
2000-02-01,150.0,151.8,145.1,147.3,3103600,0.0,1.0
2000-02-02,147.4,149.9,146.3,148.3,2398300,0.0,1.0
2000-02-03,150.0,154.3,145.3,154.3,3099900,0.0,1.0
2000-02-04,164.9,167.0,162.6,164.9,3289000,0.0,1.0
2000-02-07,164.6,165.6,158.0,165.6,1990200,0.0,1.0
2000-02-08,168.0,170.3,160.3,169.8,2331300,0.0,1.0
2000-02-09,169.6,169.7,163.2,165.0,1627500,0.0,1.0
2000-02-10,164.0,179.8,160.4,171.5,2836600,0.0,1.0
2000-02-11,171.9,172.9,163.8,165.8,1577900,0.0,1.0
2000-02-14,166.0,180.5,162.6,180.0,4017700,0.0,1.0
2000-02-15,178.9,180.9,174.5,175.8,3359100,0.0,1.0
2000-02-16,175.8,179.3,173.3,178.0,2132000,0.0,1.0
2000-02-17,179.3,192.5,178.6,191.1,3464600,0.0,1.0
2000-02-18,191.1,194.9,190.0,193.3,2670900,0.0,1.0
2000-02-22,196.0,198.1,184.4,190.0,2563800,0.0,1.0
2000-02-23,191.0,191.3,186.4,188.3,2638300,0.0,1.0
2000-02-24,189.6,194.3,186.8,192.3,1981100,0.0,1.0
2000-02-25,193.3,193.5,184.5,187.8,1493600,0.0,1.0
2000-02-28,187.1,187.6,168.5,179.8,3563700,0.0,1.0
2000-02-29,181.5,188.5,180.9,188.0,2721900,0.0,1.0
2000-03-01,190.0,203.0,189.9,203.0,3131200,0.0,1.0
2000-03-02,200.0,207.3,192.0,205.9,2848800,0.18,1.0
2000-03-03,206.9,207.9,200.1,205.3,2877200,0.0,1.0
2000-03-06,207.3,212.4,201.9,209.6,2406600,0.0,1.0
2000-03-07,214.0,216.9,194.5,197.0,3315300,0.0,1.0
2000-03-08,200.9,204.1,182.3,188.9,3903500,0.0,1.0
2000-03-09,191.6,198.9,184.4,191.3,2722300,0.0,1.0
2000-03-10,195.8,201.0,187.0,191.5,2032800,0.0,1.0
2000-03-13,183.0,187.6,181.0,184.6,2377200,0.0,1.0
2000-03-14,186.0,187.9,177.0,178.5,2567000,0.0,1.0
2000-03-15,176.3,176.3,168.0,170.3,3797800,0.0,1.0
2000-03-16,181.0,181.0,167.0,174.4,4930500,0.0,1.0
2000-03-17,179.75,195.5,178.06,189.38,4857000,0.0,1.0
2000-03-20,192.0,199.9,189.6,197.0,2691000,0.0,1.0
2000-03-21,195.3,195.9,187.9,192.0,2641100,0.0,1.0
2000-03-22,198.8,204.5,196.0,204.0,3550900,0.0,1.0
2000-03-23,204.5,226.0,203.0,219.9,4241300,0.0,1.0
2000-03-24,220.0,226.44,211.5,214.37,2298700,0.0,1.0
2000-03-27,214.3,214.4,207.8,209.0,1951300,0.0,1.0
2000-03-28,208.8,208.8,204.3,204.8,2275500,0.0,1.0
2000-03-29,204.8,205.9,192.0,197.5,2840000,0.0,1.0
2000-03-30,193.5,198.1,180.1,188.0,3327000,0.0,1.0
2000-03-31,188.0,197.2,180.1,194.0,3173900,0.0,1.0
2000-04-03,196.0,196.0,179.9,180.9,2740700,0.0,1.0
2000-04-04,183.5,185.0,141.0,168.0,6745100,0.0,1.0
2000-04-05,164.0,174.5,158.0,166.0,4924600,0.0,1.0
2000-04-06,167.3,175.9,166.5,175.6,2770100,0.0,1.0
2000-04-07,178.0,198.0,178.0,196.0,2692400,0.0,1.0
2000-04-10,195.6,196.3,188.0,189.2,2519800,0.0,1.0
2000-04-11,178.0,180.3,165.0,170.3,3764400,0.0,1.0
2000-04-12,168.8,170.3,152.0,154.0,4811800,0.0,1.0
2000-04-13,153.3,168.8,148.3,153.0,4768500,0.0,1.0
2000-04-14,148.5,157.0,133.0,144.0,5494500,0.0,1.0
2000-04-17,141.3,152.5,128.5,148.5,5735000,0.0,1.0
2000-04-18,148.0,161.0,145.1,157.3,4317600,0.0,1.0
2000-04-19,160.5,163.9,154.0,160.0,3202500,0.0,1.0
2000-04-20,160.0,160.5,151.5,152.1,2061100,0.0,1.0
2000-04-24,148.0,154.6,146.4,151.0,2312600,0.0,1.0
2000-04-25,168.0,180.0,167.5,177.0,4694400,0.0,1.0
2000-04-26,180.0,185.3,179.0,180.8,2938900,0.0,1.0
2000-04-27,179.0,195.0,176.4,189.9,3135900,0.0,1.0
2000-04-28,194.8,201.0,192.7,197.5,2547400,0.0,1.0
2000-05-01,196.0,200.8,196.0,199.5,1867800,0.0,1.0
2000-05-02,198.0,199.8,191.0,191.8,2052500,0.0,1.0
2000-05-03,191.9,192.8,174.0,181.0,3360000,0.0,1.0
2000-05-04,180.0,183.9,177.5,181.6,1764900,0.0,1.0
2000-05-05,182.5,190.8,180.6,189.1,1731700,0.0,1.0
2000-05-08,186.5,186.8,183.0,183.4,1412600,0.0,1.0
2000-05-09,185.4,186.0,176.3,178.3,1616100,0.0,1.0
2000-05-10,175.0,175.5,164.2,172.8,2944700,0.0,1.0
2000-05-11,173.5,185.3,169.1,181.5,2516200,0.0,1.0
2000-05-12,182.5,194.9,182.5,187.7,2587100,0.0,1.0
2000-05-15,186.0,186.8,179.3,179.3,1671700,0.0,1.0
2000-05-16,180.5,195.3,180.5,193.8,3705000,0.0,1.0
2000-05-17,190.0,199.9,188.3,195.5,2526100,0.0,1.0
2000-05-18,197.5,199.5,191.3,196.3,1937300,0.0,1.0
2000-05-19,188.8,191.1,180.0,182.4,1941200,0.0,1.0
2000-05-22,182.6,183.5,169.8,177.0,2713400,0.0,1.0
2000-05-23,174.0,176.0,164.0,164.0,2298600,0.0,1.0
2000-05-24,164.5,171.9,157.3,170.0,3255400,0.0,1.0
2000-05-25,174.0,177.4,171.0,173.0,2300200,0.0,1.0
2000-05-26,173.0,176.3,165.9,168.0,1236700,0.0,1.0
2000-05-30,177.0,187.2,175.6,185.0,2044800,0.0,1.0
2000-05-31,183.3,192.0,182.6,189.8,3042400,0.0,1.0
2000-06-01,193.5,196.5,191.3,194.5,2056900,0.18,1.0
2000-06-02,199.9,210.4,199.9,208.9,3675400,0.0,1.0
2000-06-05,205.5,215.4,205.1,211.0,2557000,0.0,1.0
2000-06-06,212.3,221.9,210.8,217.3,3107300,0.0,1.0
2000-06-07,215.5,218.3,208.0,211.3,2915900,0.0,1.0
2000-06-08,212.8,217.9,208.8,213.0,1937300,0.0,1.0
2000-06-09,214.5,217.0,210.5,212.0,1222800,0.0,1.0
2000-06-12,229.9,234.9,223.0,233.0,4583600,0.0,1.0
2000-06-13,229.6,249.0,225.0,249.0,4361700,0.0,1.0
2000-06-14,241.8,245.6,232.5,237.0,3245000,0.0,1.0
2000-06-15,237.9,249.9,235.6,249.8,3103700,0.0,1.0
2000-06-16,246.1,248.3,241.6,246.0,2236300,0.0,1.0
2000-06-19,245.1,257.2,243.0,253.3,2280200,0.0,1.0
2000-06-20,248.5,250.0,240.0,243.3,3014200,0.0,1.0
2000-06-21,241.9,248.5,241.3,244.3,2126700,0.0,1.0
2000-06-22,242.4,246.4,240.0,240.0,1797000,0.0,1.0
2000-06-23,241.9,248.5,239.3,240.0,1859500,0.0,1.0
2000-06-26,245.0,263.9,243.5,260.2,2632900,0.0,1.0
2000-06-27,256.0,259.6,249.8,253.3,2262200,0.0,1.0
2000-06-28,253.0,269.4,251.0,264.7,2677500,0.0,1.0
2000-06-29,264.6,271.0,258.8,264.0,2842500,0.0,1.0
2000-06-30,266.5,269.9,257.0,264.0,2182700,0.0,1.0
2000-07-03,268.5,275.0,265.5,273.5,841800,0.0,1.0
2000-07-05,273.5,277.9,252.4,257.6,2860500,0.0,1.0
2000-07-06,255.8,256.8,238.0,248.0,3953800,0.0,1.0
2000-07-07,249.5,259.9,247.2,256.7,2642900,0.0,1.0
2000-07-10,256.9,262.4,241.8,248.3,3754100,0.0,1.0
