date,open_price,high_price,low_price,close_price,volume,dividend,split
2019-02-06,1.7,1.7,1.7,1.7,1000,0.0,1.0
2019-02-07,1.7,1.7,1.7,1.7,2000,0.0,1.0
2019-02-12,1.77,1.77,1.77,1.77,20000,0.0,1.0
2019-02-19,1.77,1.77,1.77,1.77,2600,0.0,1.0
2019-03-15,1.88,1.88,1.88,1.88,20000,0.0,1.0
2019-04-16,1.84,1.84,1.84,1.84,2000,0.0,1.0
2019-05-21,2.0,2.0,2.0,2.0,1080,0.0,1.0
2019-05-31,2.0,2.0,2.0,2.0,85,0.0,1.0
2019-06-25,2.0,2.0,2.0,2.0,85,0.0,1.0
2019-06-28,2.0,2.0,2.0,2.0,2200,0.0,1.0
2019-08-01,1.36,1.36,1.36,1.36,1000,0.0,1.0
2019-08-26,1.36,1.36,1.36,1.36,10000,0.0,1.0
2019-09-19,1.36,1.36,1.36,1.36,7200,0.0,1.0
2019-09-23,1.36,1.36,1.36,1.36,11600,0.0,1.0
2019-11-06,1.36,1.36,1.36,1.36,4800,0.0,1.0
2019-11-11,1.36,1.36,1.36,1.36,85,0.0,1.0
2019-12-13,1.36,1.36,1.36,1.36,15,0.0,1.0
2019-12-16,1.36,1.36,1.36,1.36,11,0.0,1.0
2019-12-18,1.36,1.36,1.36,1.36,4,0.0,1.0
2019-12-23,2.55,2.55,2.55,2.55,7350,0.0,1.0
2019-12-24,2.55,2.55,2.55,2.55,463,0.0,1.0
2019-12-30,2.55,2.55,2.55,2.55,290,0.0,1.0
2020-01-02,2.56,2.56,2.56,2.56,200,0.0,1.0
2020-01-03,2.56,2.56,2.56,2.56,4,0.0,1.0
2020-01-06,2.7,2.7,2.7,2.7,463,0.0,1.0
2020-01-07,2.7,2.7,2.7,2.7,26,0.0,1.0
2020-01-08,2.7,2.7,2.7,2.7,85,0.0,1.0
2020-01-10,2.7,2.7,2.7,2.7,2000,0.0,1.0
2020-01-13,2.8,2.8,2.8,2.8,265,0.0,1.0
2020-01-14,3.1,3.1,3.1,3.1,3822,0.0,1.0
2020-01-15,2.85,2.85,2.85,2.85,210,0.0,1.0
2020-01-16,2.85,2.85,2.85,2.85,200,0.0,1.0
2020-01-21,2.5,2.5,2.5,2.5,322,0.0,1.0
2020-01-22,2.6,3.2,2.6,3.2,507,0.0,1.0
2020-01-23,2.85,2.85,2.85,2.85,1000,0.0,1.0
2020-01-24,2.9,2.9,2.9,2.9,1500,0.0,1.0
2020-01-27,3.01,3.01,2.85,2.85,746,0.0,1.0
2020-01-29,2.84,2.84,2.84,2.84,100,0.0,1.0
2020-02-04,2.8,4.01,2.8,3.5,12360,0.0,1.0
2020-02-05,3.52,6.65,3.5,3.55,5230,0.0,1.0
2020-02-06,3.6,3.62,3.3,3.3,2829,0.0,1.0
2020-02-07,3.5,4.0,3.5,3.7,9013,0.0,1.0
2020-02-10,4.18,4.7,4.07,4.2,17474,0.0,1.0
2020-02-11,4.2,4.71,3.98,4.5,11039,0.0,1.0
2020-02-12,4.5,4.7,4.5,4.7,8181,0.0,1.0
2020-02-13,4.44,4.7,4.25,4.5,19809,0.0,1.0
2020-02-14,4.65,4.65,4.65,4.65,1498,0.0,1.0
2020-02-18,4.7,4.7,4.3,4.55,3551,0.0,1.0
2020-02-19,4.55,4.55,3.5,3.5,3606,0.0,1.0
2020-02-20,4.3,4.79,3.5,3.5,1319,0.0,1.0
2020-02-21,4.25,4.3,4.25,4.3,450,0.0,1.0
2020-02-24,4.0,4.0,3.5,3.65,3189,0.0,1.0
2020-02-25,4.25,4.25,3.9,3.9,8000,0.0,1.0
2020-02-26,3.9,4.4,3.9,4.4,1363,0.0,1.0
2020-02-27,4.39,4.39,4.0,4.0,307,0.0,1.0
2020-02-28,4.0,4.0,3.5,3.65,718,0.0,1.0
2020-03-02,7.65,7.65,3.65,3.65,2998,0.0,1.0
2020-03-03,4.7,4.7,4.2,4.2,617,0.0,1.0
2020-03-04,4.3,4.3,3.75,3.75,610,0.0,1.0
2020-03-05,2.46,3.8,2.46,3.8,900,0.0,1.0
2020-03-09,3.8,3.8,3.5,3.51,6667,0.0,1.0
2020-03-12,3.5,3.5,2.75,2.75,2827,0.0,1.0
2020-03-13,2.75,2.75,2.75,2.75,1,0.0,1.0
2020-03-16,2.95,2.95,2.05,2.05,2200,0.0,1.0
2020-03-17,2.75,2.75,2.75,2.75,200,0.0,1.0
2020-03-19,2.2,4.0,2.2,4.0,670,0.0,1.0
2020-03-23,4.0,4.0,4.0,4.0,16,0.0,1.0
2020-03-24,3.0,3.0,3.0,3.0,1420,0.0,1.0
2020-03-25,3.5,3.5,3.5,3.5,400,0.0,1.0
