date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,17.44,17.5,17.13,17.25,390100,0.0,1.0
1999-11-02,17.31,17.38,16.94,16.94,442900,0.0,1.0
1999-11-03,17.13,17.31,16.75,16.81,416500,0.0,1.0
1999-11-04,17.13,17.13,16.13,16.63,312200,0.0,1.0
1999-11-05,16.69,17.0,16.0,16.13,645600,0.0,1.0
1999-11-08,16.19,16.38,16.06,16.19,839700,0.0,1.0
1999-11-09,16.44,16.88,16.38,16.5,742900,0.0,1.0
1999-11-10,16.75,17.88,16.5,17.44,818700,0.0,1.0
1999-11-11,18.0,19.5,17.94,18.75,1017800,0.0,1.0
1999-11-12,19.5,19.75,18.5,19.19,606700,0.0,1.0
1999-11-15,19.44,19.88,19.0,19.03,439800,0.0,1.0
1999-11-16,19.06,19.25,18.5,18.63,675300,0.0,1.0
1999-11-17,18.63,18.88,18.31,18.56,764400,0.0,1.0
1999-11-18,18.63,18.88,18.25,18.56,1196300,0.0,1.0
1999-11-19,18.63,18.69,18.5,18.5,618900,0.0,1.0
1999-11-22,18.63,18.63,18.25,18.31,395300,0.0,1.0
1999-11-23,18.38,18.81,18.0,18.5,527100,0.0,1.0
1999-11-24,18.56,19.13,18.44,18.91,336400,0.0,1.0
1999-11-26,18.94,19.25,18.69,18.88,178300,0.0,1.0
1999-11-29,19.06,19.13,18.5,18.56,450800,0.0,1.0
1999-11-30,18.56,18.75,18.5,18.69,467300,0.0,1.0
1999-12-01,18.56,18.69,18.5,18.69,435400,0.0,1.0
1999-12-02,18.69,23.88,18.63,22.75,1810600,0.0,1.0
1999-12-03,24.06,28.88,23.75,27.19,3657400,0.0,1.0
1999-12-06,26.88,26.94,24.75,25.06,1043400,0.0,1.0
1999-12-07,24.88,25.5,24.63,25.38,769100,0.0,1.0
1999-12-08,25.53,26.06,24.06,24.5,597400,0.0,1.0
1999-12-09,24.75,25.38,24.13,24.88,428800,0.0,1.0
1999-12-10,25.06,25.38,24.13,24.69,282900,0.0,1.0
1999-12-13,24.69,25.75,24.56,25.25,592800,0.0,1.0
1999-12-14,25.63,25.88,24.63,24.63,272900,0.0,1.0
1999-12-15,25.0,25.75,24.19,25.44,471200,0.0,1.0
1999-12-16,25.38,25.94,24.94,25.0,272700,0.0,1.0
1999-12-17,25.0,25.25,24.63,25.0,593300,0.0,1.0
1999-12-20,24.75,26.06,24.75,25.56,504200,0.0,1.0
1999-12-21,25.94,26.13,25.88,26.06,660800,0.0,1.0
1999-12-22,26.06,26.13,24.88,26.06,690300,0.0,1.0
1999-12-23,26.06,28.5,26.0,28.25,465400,0.0,1.0
1999-12-27,28.06,28.19,25.13,26.0,525500,0.0,1.0
