date,open_price,high_price,low_price,close_price,volume,dividend,split
2010-11-01,1.49,1.49,1.49,1.49,1090,0.0,1.0
2010-11-02,1.49,1.49,1.49,1.49,0,0.0,1.0
2010-11-03,1.49,1.63,1.49,1.63,5157,0.0,1.0
2010-11-04,1.49,1.63,1.49,1.61,5257,0.0,1.0
2010-11-05,1.49,1.63,1.49,1.6,13305,0.0,1.0
2010-11-08,1.49,1.7,1.49,1.7,15638,0.0,1.0
2010-11-09,1.49,1.7,1.49,1.7,0,0.0,1.0
2010-11-10,1.49,1.79,1.49,1.79,21664,0.0,1.0
2010-11-11,1.49,1.79,1.49,1.79,0,0.0,1.0
2010-11-12,1.49,1.79,1.49,1.79,0,0.0,1.0
2010-11-15,1.49,1.79,1.49,1.66,23164,0.0,1.0
2010-11-16,1.49,1.79,1.49,1.57,24378,0.0,1.0
2010-11-17,1.49,1.79,1.49,1.57,0,0.0,1.0
2010-11-18,1.49,1.79,1.49,1.57,0,0.0,1.0
2010-11-19,1.49,1.79,1.49,1.57,0,0.0,1.0
2010-11-22,1.49,1.79,1.49,1.53,25778,0.0,1.0
2010-11-23,1.49,1.79,1.49,1.53,0,0.0,1.0
2010-11-24,1.49,1.79,1.49,1.53,0,0.0,1.0
2010-11-26,1.49,1.79,1.49,1.53,0,0.0,1.0
2010-11-29,1.49,1.79,1.49,1.53,0,0.0,1.0
2010-11-30,1.49,1.79,1.3,1.32,32380,0.0,1.0
2010-12-01,1.49,1.79,1.3,1.32,0,0.0,1.0
2010-12-02,1.49,1.79,1.3,1.32,0,0.0,1.0
2010-12-03,1.49,1.79,1.3,1.44,33328,0.0,1.0
2010-12-06,1.49,1.79,1.3,1.39,34028,0.0,1.0
2010-12-07,1.49,1.79,1.3,1.39,0,0.0,1.0
2010-12-08,1.49,1.79,1.3,1.3,37820,0.0,1.0
2010-12-09,1.49,1.79,1.3,1.33,38644,0.0,1.0
2010-12-10,1.49,1.79,1.3,1.33,0,0.0,1.0
2010-12-13,1.49,1.79,1.3,1.33,0,0.0,1.0
2010-12-14,1.49,1.79,1.3,1.34,40118,0.0,1.0
2010-12-15,1.49,1.79,1.3,1.34,0,0.0,1.0
2010-12-16,1.49,1.79,1.3,1.34,0,0.0,1.0
2010-12-17,1.49,1.79,1.3,1.34,0,0.0,1.0
2010-12-20,1.49,1.79,1.3,1.37,40278,0.0,1.0
2010-12-21,1.49,1.79,1.3,1.37,0,0.0,1.0
2010-12-22,1.49,1.79,1.3,1.31,40909,0.0,1.0
2010-12-23,1.49,1.79,1.29,1.29,93811,0.0,1.0
2010-12-27,1.49,1.79,1.21,1.21,100443,0.0,1.0
2010-12-28,1.49,1.79,1.21,1.28,101443,0.0,1.0
2010-12-29,1.49,1.79,1.21,1.25,106183,0.0,1.0
2010-12-30,1.49,1.79,1.21,1.32,113767,0.0,1.0
2010-12-31,1.49,1.79,1.21,1.32,0,0.0,1.0
2011-01-03,1.49,1.79,1.21,1.31,114241,0.0,1.0
2011-01-04,1.49,1.79,1.21,1.37,114461,0.0,1.0
2011-01-05,1.49,1.79,1.21,1.3,114807,0.0,1.0
