date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-18,76.5,77.28,76.5,76.5,400,0.0,1.0
2007-07-19,76.5,77.28,76.5,76.5,0,0.0,1.0
2007-07-20,76.5,77.28,76.5,76.5,0,0.0,1.0
2007-07-23,78.75,78.75,78.75,78.75,1900,0.0,1.0
2007-07-24,77.5,77.5,77.5,77.5,100,0.0,1.0
2007-07-25,77.5,77.5,77.5,77.5,0,0.0,1.0
2007-07-26,77.5,77.5,77.5,77.5,0,0.0,1.0
2007-07-27,77.5,77.5,77.5,77.5,0,0.0,1.0
2007-07-30,77.5,77.5,77.5,77.5,0,0.0,1.0
2007-07-31,77.5,77.5,77.5,77.5,0,0.0,1.0
2007-08-01,77.5,77.5,77.5,77.5,0,0.0,1.0
2007-08-02,77.5,77.5,77.5,77.5,0,0.0,1.0
2007-08-03,71.95,71.95,71.95,71.95,100,0.0,1.0
2007-08-06,71.95,71.95,71.95,71.95,0,0.0,1.0
2007-08-07,72.75,72.75,72.75,72.75,24000,0.0,1.0
2007-08-08,76.25,76.77,76.25,76.25,2000,0.0,1.0
2007-08-09,75.24,75.24,75.24,75.24,2000,0.0,1.0
2007-08-10,74.6,74.6,74.6,74.6,500,0.0,1.0
2007-08-13,74.0,74.0,74.0,74.0,200,0.0,1.0
2007-08-14,71.75,71.75,71.75,71.75,200,0.0,1.0
2007-08-15,72.0,72.0,72.0,72.0,300,0.0,1.0
2007-08-16,72.0,72.0,72.0,72.0,0,0.0,1.0
2007-08-17,72.0,72.0,72.0,72.0,0,0.0,1.0
2007-08-20,73.2,73.2,73.2,73.2,3500,0.0,1.0
2007-08-21,73.2,73.2,73.2,73.2,0,0.0,1.0
2007-08-22,74.23,74.23,74.23,74.23,800,0.0,1.0
2007-08-23,74.23,74.23,74.23,74.23,0,0.0,1.0
2007-08-24,74.23,74.23,74.23,74.23,0,0.0,1.0
2007-08-27,74.23,74.23,74.23,74.23,0,0.0,1.0
2007-08-28,74.72,74.72,74.72,74.72,23000,0.0,1.0
2007-08-29,74.72,74.72,74.72,74.72,0,0.0,1.0
2007-08-30,74.26,74.26,74.26,74.26,20800,0.0,1.0
2007-08-31,74.26,74.26,74.26,74.26,0,0.0,1.0
2007-09-04,76.75,76.75,76.75,76.75,1200,0.0,1.0
2007-09-05,76.75,76.75,76.75,76.75,0,0.0,1.0
2007-09-06,75.4,75.4,75.4,75.4,550,0.0,1.0
2007-09-07,74.9,74.9,74.9,74.9,100,0.0,1.0
2007-09-10,74.9,74.9,74.9,74.9,0,0.0,1.0
2007-09-11,74.9,74.9,74.9,74.9,0,0.0,1.0
2007-09-12,74.9,74.9,74.9,74.9,0,0.0,1.0
2007-09-13,78.65,78.65,78.65,78.65,1600,0.0,1.0
2007-09-14,78.65,78.65,78.65,78.65,0,0.0,1.0
2007-09-17,77.75,77.75,77.75,77.75,100,0.0,1.0
2007-09-18,79.25,79.25,79.25,79.25,3300,0.0,1.0
2007-09-19,80.3,80.3,80.3,80.3,100,0.0,1.0
2007-09-20,79.5,79.5,79.5,79.5,700,0.0,1.0
2007-09-21,79.5,79.5,79.5,79.5,0,0.0,1.0
2007-09-24,79.5,79.5,79.5,79.5,0,0.0,1.0
2007-09-25,80.65,80.65,80.65,80.65,100,0.0,1.0
2007-09-26,80.0,81.0,80.0,80.0,2200,0.0,1.0
2007-09-27,80.0,81.0,80.0,80.0,0,0.0,1.0
2007-09-28,80.0,81.0,80.0,80.0,0,0.0,1.0
2007-10-01,79.25,79.25,79.25,79.25,750,0.0,1.0
2007-10-02,79.25,79.25,79.25,79.25,0,0.0,1.0
2007-10-03,77.75,77.85,77.75,77.75,800,0.0,1.0
2007-10-04,77.75,77.85,77.75,77.75,0,0.0,1.0
2007-10-05,77.75,77.85,77.75,77.75,0,0.0,1.0
2007-10-08,77.75,77.85,77.75,77.75,0,0.0,1.0
2007-10-09,78.45,78.45,78.45,78.45,200,0.0,1.0
2007-10-10,78.45,78.45,78.45,78.45,0,0.0,1.0
2007-10-11,78.45,78.45,78.45,78.45,0,0.0,1.0
2007-10-12,75.05,75.05,75.05,75.05,200,0.0,1.0
2007-10-15,75.05,75.05,75.05,75.05,0,0.0,1.0
2007-10-16,76.6,76.6,76.6,76.6,500,0.0,1.0
2007-10-17,76.6,76.6,76.6,76.6,0,0.0,1.0
2007-10-18,81.15,81.15,81.15,81.15,300,0.0,1.0
2007-10-19,81.15,81.15,81.15,81.15,0,0.0,1.0
2007-10-22,82.23,82.23,82.23,82.23,400,0.0,1.0
2007-10-23,82.23,82.23,82.23,82.23,0,0.0,1.0
2007-10-24,82.23,82.23,82.23,82.23,0,0.0,1.0
2007-10-25,86.5,86.5,86.5,86.5,250,0.0,1.0
2007-10-26,87.5,87.5,87.5,87.5,300,0.0,1.0
2007-10-29,85.5,85.5,85.5,85.5,100,0.0,1.0
2007-10-30,85.68,85.68,85.68,85.68,450,0.0,1.0
2007-10-31,85.68,85.68,85.68,85.68,0,0.0,1.0
2007-11-01,85.68,85.68,85.68,85.68,0,0.0,1.0
2007-11-02,86.55,86.55,86.55,86.55,200,0.0,1.0
2007-11-05,86.55,86.55,86.55,86.55,0,0.0,1.0
2007-11-06,86.5,86.5,86.5,86.5,100,0.0,1.0
2007-11-07,85.8,85.8,85.8,85.8,900,0.0,1.0
2007-11-08,85.8,85.8,85.8,85.8,0,0.0,1.0
2007-11-09,84.75,84.75,84.75,84.75,200,0.0,1.0
2007-11-12,84.0,84.0,84.0,84.0,200,0.0,1.0
2007-11-14,84.1,84.1,84.1,84.1,100,0.0,1.0
2007-11-15,84.1,84.1,84.1,84.1,100,0.0,1.0
2007-11-16,84.1,84.1,84.1,84.1,100,0.0,1.0
2007-11-19,88.85,88.85,88.85,88.85,1600,0.0,1.0
2007-11-21,88.85,88.85,88.85,88.85,1600,0.0,1.0
2007-11-23,88.85,88.85,88.85,88.85,1600,0.0,1.0
2007-11-26,88.85,88.85,88.85,88.85,1600,0.0,1.0
2007-11-27,88.85,88.85,88.85,88.85,0,0.0,1.0
2007-11-28,88.85,88.85,88.85,88.85,1600,0.0,1.0
2007-11-29,89.35,89.35,89.35,89.35,700,0.0,1.0
2007-11-30,89.35,89.35,89.35,89.35,700,0.0,1.0
2007-12-03,89.35,89.35,89.35,89.35,0,0.0,1.0
2007-12-04,89.35,89.35,89.35,89.35,0,0.0,1.0
2007-12-05,89.35,89.35,89.35,89.35,0,0.0,1.0
2007-12-06,89.35,89.35,89.35,89.35,0,0.0,1.0
2007-12-07,89.35,89.35,89.35,89.35,0,0.0,1.0
2007-12-10,89.35,89.35,89.35,89.35,0,0.0,1.0
2007-12-11,89.35,89.35,89.35,89.35,0,0.0,1.0
2007-12-12,89.35,89.35,89.35,89.35,0,0.0,1.0
2007-12-13,89.35,89.35,89.35,89.35,0,0.0,1.0
2007-12-14,89.35,89.35,89.35,89.35,0,0.0,1.0
2007-12-17,83.68,83.68,83.68,83.68,1200,0.0,1.0
2007-12-18,83.68,83.68,83.68,83.68,0,0.0,1.0
2007-12-19,83.68,83.68,83.68,83.68,0,0.0,1.0
2007-12-20,83.68,83.68,83.68,83.68,0,0.0,1.0
2007-12-21,83.68,83.68,83.68,83.68,0,0.0,1.0
2007-12-24,83.68,83.68,83.68,83.68,0,0.0,1.0
2007-12-26,83.68,83.68,83.68,83.68,0,0.0,1.0
2007-12-27,83.68,83.68,83.68,83.68,0,0.0,1.0
2007-12-28,91.4,91.4,91.4,91.4,1300,0.0,1.0
2007-12-31,91.4,91.4,91.4,91.4,0,0.0,1.0
2008-01-02,91.4,91.4,91.4,91.4,0,0.0,1.0
2008-01-03,89.8,89.8,89.8,89.8,128000,0.0,1.0
2008-01-04,88.75,88.75,88.75,88.75,350,0.0,1.0
2008-01-07,88.75,88.75,88.75,88.75,0,0.0,1.0
2008-01-08,94.0,94.0,94.0,94.0,5100,0.0,1.0
2008-01-09,91.3,91.3,91.3,91.3,2000,0.0,1.0
2008-01-10,89.4,89.4,89.4,89.4,1200,0.0,1.0
2008-01-11,85.5,86.75,85.5,85.5,700,0.0,1.0
2008-01-14,85.5,86.75,85.5,85.5,0,0.0,1.0
2008-01-15,86.1,86.1,86.1,86.1,150,0.0,1.0
2008-01-16,86.25,86.25,86.25,86.25,370,0.0,1.0
2008-01-17,86.25,86.25,86.25,86.25,0,0.0,1.0
2008-01-18,86.0,86.0,86.0,86.0,700,0.0,1.0
2008-01-22,86.0,86.0,86.0,86.0,0,0.0,1.0
2008-01-23,86.0,86.0,86.0,86.0,0,0.0,1.0
2008-01-24,86.0,86.0,86.0,86.0,0,0.0,1.0
2008-01-25,78.25,78.25,78.25,78.25,200,0.0,1.0
2008-01-28,77.75,77.75,77.75,77.75,240,0.0,1.0
2008-01-29,77.75,77.75,77.75,77.75,0,0.0,1.0
2008-01-30,77.75,77.75,77.75,77.75,0,0.0,1.0
2008-01-31,77.75,77.75,77.75,77.75,0,0.0,1.0
2008-02-01,82.0,82.5,82.0,82.0,2100,0.0,1.0
2008-02-04,79.5,79.81,79.5,79.5,2700,0.0,1.0
2008-02-05,79.5,79.81,79.5,79.5,0,0.0,1.0
2008-02-06,79.5,79.81,79.5,79.5,0,0.0,1.0
2008-02-07,75.75,75.75,75.75,75.75,200,0.0,1.0
2008-02-08,76.65,76.8,76.65,76.65,4400,0.0,1.0
2008-02-11,76.65,76.8,76.65,76.65,0,0.0,1.0
2008-02-12,76.65,76.8,76.65,76.65,0,0.0,1.0
2008-02-13,76.65,76.8,76.65,76.65,0,0.0,1.0
2008-02-14,78.44,78.44,78.44,78.44,270,0.0,1.0
2008-02-15,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-02-19,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-02-20,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-02-21,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-02-22,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-02-25,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-02-26,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-02-27,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-02-28,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-02-29,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-03,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-04,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-05,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-06,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-07,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-10,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-11,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-12,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-13,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-14,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-17,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-18,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-19,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-20,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-24,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-25,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-26,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-27,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-28,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-03-31,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-01,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-02,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-03,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-04,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-07,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-08,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-09,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-10,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-11,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-14,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-15,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-16,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-17,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-18,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-21,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-22,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-23,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-24,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-25,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-28,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-29,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-04-30,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-01,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-02,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-05,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-06,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-07,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-08,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-09,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-12,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-13,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-14,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-15,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-16,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-19,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-20,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-21,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-22,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-23,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-27,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-28,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-29,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-05-30,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-02,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-03,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-04,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-05,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-06,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-09,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-10,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-11,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-12,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-13,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-16,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-17,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-18,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-19,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-20,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-23,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-24,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-25,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-26,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-27,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-06-30,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-07-01,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-07-02,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-07-03,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-07-07,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-07-08,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-07-09,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-07-10,78.44,78.44,78.44,78.44,0,0.0,1.0
2008-07-11,78.44,78.44,78.44,78.44,0,0.0,1.0
