date,open_price,high_price,low_price,close_price,volume,dividend,split
2011-06-02,7.75,8.5,7.25,7.65,8145975,0.0,1.0
2011-06-03,7.36,7.67,7.23,7.4,13414028,0.0,1.0
2011-06-06,7.37,7.45,7.25,7.25,3984589,0.0,1.0
2011-06-07,7.2,7.35,7.2,7.28,3104936,0.0,1.0
2011-06-08,7.22,7.28,7.2,7.21,2314459,0.0,1.0
2011-06-09,7.13,7.25,7.08,7.2,6680867,0.0,1.0
2011-06-10,7.2,7.25,7.14,7.22,1229264,0.0,1.0
2011-06-13,7.15,7.21,7.09,7.16,899567,0.0,1.0
2011-06-14,7.17,7.28,7.17,7.25,1142857,0.0,1.0
2011-06-15,7.16,7.25,7.05,7.08,733333,0.0,1.0
2011-06-16,7.04,7.13,7.01,7.03,937662,0.0,1.0
2011-06-17,7.1,7.13,7.1,7.13,459740,0.0,1.0
2011-06-20,7.09,7.15,7.0,7.09,1593593,0.0,1.0
2011-06-21,7.0,7.2,7.0,7.19,1098701,0.0,1.0
2011-06-22,7.12,7.19,7.1,7.1,741299,0.0,1.0
2011-06-23,7.01,7.09,6.9,7.03,874978,0.0,1.0
2011-06-24,7.05,7.05,6.89,6.92,710130,0.0,1.0
2011-06-27,6.9,7.05,6.85,7.01,471862,0.0,1.0
2011-06-28,7.01,7.09,7.0,7.08,508398,0.0,1.0
2011-06-29,7.1,7.28,7.1,7.26,1360693,0.0,1.0
2011-06-30,7.27,7.56,7.27,7.51,786147,0.0,1.0
2011-07-01,7.49,7.64,7.24,7.6,879481,0.0,1.0
2011-07-05,7.35,7.63,7.35,7.54,686407,0.0,1.0
2011-07-06,7.54,7.55,7.35,7.5,1330390,0.0,1.0
2011-07-07,7.55,7.55,7.49,7.5,922771,0.0,1.0
2011-07-08,7.45,7.67,7.45,7.65,789437,0.0,1.0
2011-07-11,7.4,7.55,7.4,7.55,1122078,0.0,1.0
2011-07-12,7.51,7.51,7.4,7.43,2899048,0.0,1.0
2011-07-13,7.5,7.5,7.33,7.42,3060260,0.0,1.0
2011-07-14,7.45,7.55,7.35,7.5,6736105,0.0,1.0
2011-07-15,7.52,7.69,7.5,7.69,1301299,0.0,1.0
2011-07-18,7.64,7.78,7.54,7.78,5377663,0.0,1.0
2011-07-19,7.81,7.99,7.8,7.94,1233074,0.0,1.0
2011-07-20,8.01,8.08,7.92,8.08,1269784,0.0,1.0
2011-07-21,8.09,8.16,7.96,8.13,1110476,0.0,1.0
2011-07-22,8.09,8.12,7.95,8.05,605714,0.0,1.0
2011-07-25,7.93,8.04,7.79,8.0,484329,0.0,1.0
2011-07-26,7.98,7.98,7.92,7.96,258355,0.0,1.0
2011-07-27,8.0,8.0,7.68,7.85,794286,0.0,1.0
2011-07-28,7.88,8.06,7.86,7.99,1755325,0.0,1.0
2011-07-29,7.95,8.05,7.86,7.96,1532641,0.0,1.0
2011-08-01,8.07,8.07,7.8,7.9,394459,0.0,1.0
2011-08-02,7.83,7.84,7.5,7.57,1150996,0.0,1.0
2011-08-03,7.59,7.75,7.5,7.75,1979394,0.0,1.0
2011-08-04,7.59,7.61,7.34,7.4,616450,0.0,1.0
2011-08-05,7.46,7.53,7.03,7.21,771082,0.0,1.0
2011-08-08,7.08,7.08,6.33,6.61,773160,0.0,1.0
2011-08-09,6.78,6.9,6.64,6.9,349437,0.0,1.0
2011-08-10,6.8,6.87,6.66,6.82,66320,0.0,1.0
2011-08-11,6.83,7.02,6.63,7.01,1292295,0.0,1.0
2011-08-12,7.09,7.15,6.83,7.06,373160,0.0,1.0
2011-08-15,7.1,7.37,7.03,7.2,887619,0.0,1.0
2011-08-16,7.13,7.21,6.87,7.08,475671,0.0,1.0
2011-08-17,7.11,7.16,6.9,7.11,1144416,0.0,1.0
2011-08-18,6.88,7.1,6.8,6.9,688485,0.0,1.0
2011-08-19,6.84,6.9,6.53,6.75,486926,0.0,1.0
2011-08-22,6.85,6.97,6.55,6.84,927619,0.0,1.0
2011-08-23,6.87,6.87,6.7,6.8,714805,0.0,1.0
2011-08-24,6.8,6.92,6.63,6.83,109437,0.0,1.0
2011-08-25,6.87,6.92,6.64,6.71,119827,0.0,1.0
2011-08-26,6.63,6.71,6.55,6.64,147013,0.0,1.0
2011-08-29,6.69,6.99,6.66,6.77,210909,0.0,1.0
2011-08-30,6.78,6.9,6.75,6.8,248831,0.0,1.0
2011-08-31,6.83,7.0,6.65,6.88,708398,0.0,1.0
2011-09-01,6.88,6.95,6.8,6.93,225455,0.0,1.0
2011-09-02,6.79,6.86,6.71,6.8,26667,0.0,1.0
2011-09-06,6.58,6.8,6.53,6.74,666667,0.0,1.0
2011-09-07,6.85,6.99,6.75,6.78,169351,0.0,1.0
2011-09-08,6.72,6.9,6.72,6.8,103203,0.0,1.0
2011-09-09,6.5,6.65,6.15,6.39,3733853,0.0,1.0
2011-09-12,6.3,6.46,6.24,6.42,733507,0.0,1.0
2011-09-13,6.54,6.54,6.26,6.37,1015585,0.0,1.0
2011-09-14,6.41,6.41,6.32,6.34,142857,0.0,1.0
2011-09-15,6.43,6.44,5.91,6.3,397576,0.0,1.0
2011-09-16,6.3,6.35,6.18,6.25,389784,0.0,1.0
2011-09-19,6.15,6.25,6.15,6.2,154286,0.0,1.0
2011-09-20,6.23,6.3,6.17,6.23,1953593,0.0,1.0
2011-09-21,6.21,6.25,6.05,6.1,2009005,0.0,1.0
2011-09-22,5.81,5.9,5.48,5.52,2862511,0.0,1.0
2011-09-23,5.74,5.77,5.3,5.76,2918269,0.0,1.0
2011-09-26,5.8,5.9,5.75,5.89,2727100,0.0,1.0
2011-09-27,6.0,6.39,5.95,6.27,3600347,0.0,1.0
2011-09-28,6.3,6.44,6.3,6.4,5897490,0.0,1.0
2011-09-29,6.54,6.56,6.32,6.39,4699914,0.0,1.0
2011-09-30,6.28,6.4,6.25,6.39,1083290,0.0,1.0
2011-10-03,6.32,6.37,6.15,6.28,1162771,0.0,1.0
2011-10-04,6.22,6.24,6.04,6.19,479134,0.0,1.0
2011-10-05,6.19,6.25,6.07,6.19,362078,0.0,1.0
2011-10-06,6.21,6.25,6.0,6.24,247100,0.0,1.0
2011-10-07,6.3,6.4,6.15,6.33,605022,0.0,1.0
2011-10-10,6.4,6.5,6.3,6.48,1223204,0.0,1.0
2011-10-11,6.45,6.5,6.43,6.45,2680693,0.0,1.0
2011-10-12,6.49,6.52,6.3,6.35,1033247,0.0,1.0
2011-10-13,6.36,6.37,6.21,6.33,379740,0.0,1.0
2011-10-14,6.43,6.75,6.37,6.67,2032381,0.0,1.0
2011-10-17,6.63,6.63,6.45,6.45,292641,0.0,1.0
2011-10-18,6.5,6.61,6.47,6.51,394459,0.0,1.0
2011-10-19,6.55,6.55,6.48,6.5,1553247,0.0,1.0
2011-10-20,6.47,6.49,6.15,6.31,408658,0.0,1.0
2011-10-21,6.34,6.35,6.22,6.31,112035,0.0,1.0
2011-10-24,6.33,6.43,6.26,6.42,149784,0.0,1.0
2011-10-25,6.43,6.45,6.29,6.33,338355,0.0,1.0
2011-10-26,6.4,6.43,6.27,6.3,543723,0.0,1.0
2011-10-27,6.36,6.42,6.26,6.31,297836,0.0,1.0
2011-10-28,6.3,6.5,6.3,6.48,818182,0.0,1.0
2011-10-31,6.44,6.48,6.24,6.41,238961,0.0,1.0
2011-11-01,6.26,6.26,5.95,6.1,599654,0.0,1.0
2011-11-02,6.16,6.16,5.88,5.97,463030,0.0,1.0
2011-11-03,5.99,6.1,5.75,5.99,474978,0.0,1.0
2011-11-04,5.93,6.0,5.85,5.89,252121,0.0,1.0
2011-11-07,5.92,6.0,5.82,6.0,350476,0.0,1.0
2011-11-08,6.01,6.06,5.82,5.9,378528,0.0,1.0
2011-11-09,5.79,5.79,5.46,5.52,312554,0.0,1.0
2011-11-10,5.54,5.62,5.43,5.62,251255,0.0,1.0
2011-11-11,5.78,5.78,5.55,5.62,301126,0.0,1.0
2011-11-14,5.6,5.62,5.39,5.48,1512727,0.0,1.0
2011-11-15,5.46,5.48,5.31,5.4,1722598,0.0,1.0
2011-11-16,5.4,5.42,5.27,5.33,1273074,0.0,1.0
2011-11-17,5.31,5.4,5.24,5.37,225628,0.0,1.0
2011-11-18,5.4,5.51,5.3,5.38,2806061,0.0,1.0
2011-11-21,5.33,5.36,4.97,5.2,702684,0.0,1.0
2011-11-22,5.16,5.2,5.08,5.18,1667533,0.0,1.0
2011-11-23,5.12,5.14,4.9,5.08,571429,0.0,1.0
2011-11-25,5.04,5.04,4.9,4.98,336797,0.0,1.0
2011-11-28,5.1,5.2,5.05,5.09,1600000,0.0,1.0
2011-11-29,5.14,5.2,5.04,5.18,1261472,0.0,1.0
2011-11-30,5.3,5.54,5.3,5.53,686234,0.0,1.0
2011-12-01,5.28,5.28,5.0,5.18,544589,0.518,1.09999989
2011-12-02,5.22,5.43,5.22,5.36,997333,0.0,1.0
2011-12-05,5.45,5.63,5.45,5.58,1272762,0.0,1.0
2011-12-06,5.56,5.58,5.17,5.54,279810,0.0,1.0
2011-12-07,5.45,5.51,5.3,5.5,2158095,0.0,1.0
2011-12-08,5.44,5.58,5.34,5.45,603429,0.0,1.0
2011-12-09,5.42,5.5,5.33,5.4,904191,0.0,1.0
2011-12-12,5.33,5.33,5.14,5.23,762095,0.0,1.0
2011-12-13,5.14,5.18,5.05,5.18,1884000,0.0,1.0
2011-12-14,4.99,5.0,4.81,4.96,2682095,0.0,1.0
2011-12-15,4.93,4.94,4.77,4.9,2607619,0.0,1.0
2011-12-16,4.9,4.93,4.85,4.91,2064381,0.0,1.0
2011-12-19,4.96,5.12,4.96,5.1,608571,0.0,1.0
2011-12-20,5.2,5.4,5.15,5.23,1469905,0.0,1.0
2011-12-21,5.25,5.54,5.25,5.5,7197143,0.0,1.0
2011-12-22,5.5,5.5,5.34,5.36,250667,0.0,1.0
2011-12-23,5.39,5.6,5.39,5.6,662095,0.0,1.0
2011-12-27,5.56,5.65,5.44,5.64,127048,0.0,1.0
2011-12-28,5.61,5.61,5.38,5.5,390095,0.0,1.0
2011-12-29,5.47,5.63,5.42,5.6,630286,0.0,1.0
2011-12-30,5.56,5.57,5.4,5.53,438476,0.0,1.0
2012-01-03,5.6,5.68,5.33,5.52,662857,0.0,1.0
2012-01-04,5.52,5.53,5.39,5.48,373333,0.0,1.0
2012-01-05,5.49,5.49,5.35,5.44,603238,0.0,1.0
2012-01-06,5.44,5.44,5.35,5.39,322476,0.0,1.0
2012-01-09,5.32,5.5,5.32,5.38,230857,0.0,1.0
2012-01-10,5.4,5.53,5.36,5.49,586286,0.0,1.0
2012-01-11,5.48,5.75,5.32,5.65,523810,0.0,1.0
2012-01-12,5.64,5.73,5.59,5.67,598476,0.0,1.0
2012-01-13,5.65,5.65,5.5,5.51,325143,0.0,1.0
2012-01-17,5.54,5.7,5.37,5.68,766476,0.0,1.0
2012-01-18,5.69,5.94,5.69,5.92,4383238,0.0,1.0
2012-01-19,5.91,6.16,5.86,6.05,2918476,0.0,1.0
2012-01-20,6.07,6.19,5.96,6.17,852571,0.0,1.0
2012-01-23,6.15,6.36,6.07,6.28,1976572,0.0,1.0
2012-01-24,6.32,6.43,6.24,6.39,2713714,0.0,1.0
2012-01-25,6.42,6.49,6.27,6.45,2386286,0.0,1.0
2012-01-26,6.5,6.5,6.35,6.36,1053905,0.0,1.0
2012-01-27,6.34,6.5,6.34,6.49,974095,0.0,1.0
2012-01-30,6.44,6.45,6.3,6.38,2270095,0.0,1.0
2012-01-31,6.45,6.45,6.25,6.35,485524,0.0,1.0
2012-02-01,6.39,6.45,6.33,6.43,878286,0.0,1.0
2012-02-02,6.49,6.9,6.45,6.85,2965333,0.0,1.0
2012-02-03,6.79,6.95,6.71,6.92,1300571,0.0,1.0
2012-02-06,6.87,6.9,6.78,6.86,623429,0.0,1.0
2012-02-07,6.89,7.02,6.8,6.97,1434667,0.0,1.0
2012-02-08,6.98,7.05,6.95,7.0,2431810,0.0,1.0
2012-02-09,6.97,6.99,6.81,6.82,1676572,0.0,1.0
2012-02-10,6.8,6.83,6.66,6.7,996000,0.0,1.0
2012-02-13,6.76,6.85,6.64,6.66,1381333,0.0,1.0
2012-02-14,6.65,6.8,6.6,6.68,1553333,0.0,1.0
2012-02-15,6.76,6.84,6.59,6.65,2071810,0.0,1.0
2012-02-16,6.62,6.63,6.54,6.56,1431619,0.0,1.0
2012-02-17,6.69,6.71,6.52,6.66,1681143,0.0,1.0
2012-02-21,6.69,6.79,6.65,6.68,2630857,0.0,1.0
