date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,1.55,1.55,1.55,1.55,2000,0.0,1.0
2007-07-16,1.55,1.55,1.55,1.55,6000,0.0,1.0
2007-07-17,1.55,1.55,1.55,1.55,0,0.0,1.0
2007-07-18,1.55,1.55,1.55,1.55,0,0.0,1.0
2007-07-19,1.55,1.55,1.55,1.55,0,0.0,1.0
2007-07-20,1.58,1.58,1.58,1.58,5000,0.0,1.0
2007-07-23,1.58,1.58,1.58,1.58,0,0.0,1.0
2007-07-24,1.55,1.55,1.55,1.55,750,0.0,1.0
2007-07-25,1.55,1.55,1.55,1.55,0,0.0,1.0
2007-07-26,1.55,1.55,1.55,1.55,0,0.0,1.0
2007-07-27,1.5,1.5,1.5,1.5,2000,0.0,1.0
2007-07-30,1.5,1.5,1.5,1.5,500,0.0,1.0
2007-07-31,1.5,1.5,1.5,1.5,0,0.0,1.0
2007-08-01,1.43,1.43,1.43,1.43,1000,0.0,1.0
2007-08-02,1.43,1.43,1.43,1.43,0,0.0,1.0
2007-08-03,1.43,1.43,1.43,1.43,0,0.0,1.0
2007-08-06,1.43,1.43,1.43,1.43,0,0.0,1.0
2007-08-07,1.43,1.43,1.43,1.43,0,0.0,1.0
2007-08-08,1.46,1.46,1.46,1.46,2000,0.0,1.0
2007-08-09,1.46,1.46,1.46,1.46,0,0.0,1.0
2007-08-10,1.46,1.46,1.46,1.46,0,0.0,1.0
2007-08-13,1.3,1.3,1.3,1.3,900,0.0,1.0
2007-08-14,1.35,1.6,1.35,1.35,3500,0.0,1.0
2007-08-15,1.35,1.6,1.35,1.35,0,0.0,1.0
2007-08-16,1.35,1.6,1.35,1.35,0,0.0,1.0
2007-08-17,1.35,1.6,1.35,1.35,0,0.0,1.0
2007-08-20,1.35,1.6,1.35,1.35,0,0.0,1.0
2007-08-21,1.35,1.6,1.35,1.35,0,0.0,1.0
2007-08-22,1.35,1.6,1.35,1.35,0,0.0,1.0
2007-08-23,1.35,1.6,1.35,1.35,0,0.0,1.0
2007-08-24,1.35,1.6,1.35,1.35,0,0.0,1.0
2007-08-27,1.35,1.6,1.35,1.35,0,0.0,1.0
2007-08-28,1.27,1.27,1.27,1.27,37000,0.0,1.0
2007-08-29,1.2,1.21,1.2,1.2,1115,0.0,1.0
2007-08-30,1.2,1.21,1.2,1.2,0,0.0,1.0
2007-08-31,1.2,1.21,1.2,1.2,0,0.0,1.0
2007-09-04,1.2,1.21,1.2,1.2,0,0.0,1.0
2007-09-05,1.2,1.21,1.2,1.2,0,0.0,1.0
2007-09-06,1.22,1.22,1.22,1.22,1000,0.0,1.0
2007-09-07,1.28,1.28,1.28,1.28,200,0.0,1.0
2007-09-10,1.26,1.26,1.26,1.26,200,0.0,1.0
2007-09-11,1.26,1.26,1.26,1.26,0,0.0,1.0
2007-09-12,1.26,1.26,1.26,1.26,0,0.0,1.0
2007-09-13,1.26,1.26,1.26,1.26,0,0.0,1.0
2007-09-14,1.26,1.26,1.26,1.26,0,0.0,1.0
2007-09-17,1.26,1.26,1.26,1.26,0,0.0,1.0
2007-09-18,1.26,1.26,1.26,1.26,0,0.0,1.0
2007-09-19,1.34,1.34,1.34,1.34,1000,0.0,1.0
2007-09-20,1.34,1.34,1.34,1.34,0,0.0,1.0
2007-09-21,1.33,1.33,1.33,1.33,600,0.0,1.0
2007-09-24,1.33,1.33,1.33,1.33,0,0.0,1.0
2007-09-25,1.33,1.33,1.33,1.33,0,0.0,1.0
2007-09-26,1.33,1.33,1.33,1.33,0,0.0,1.0
2007-09-27,1.33,1.33,1.33,1.33,0,0.0,1.0
2007-09-28,1.33,1.33,1.33,1.33,0,0.0,1.0
2007-10-01,1.33,1.33,1.33,1.33,0,0.0,1.0
2007-10-02,1.33,1.33,1.33,1.33,0,0.0,1.0
2007-10-03,1.33,1.33,1.33,1.33,0,0.0,1.0
2007-10-04,1.33,1.33,1.33,1.33,0,0.0,1.0
2007-10-05,1.33,1.33,1.33,1.33,0,0.0,1.0
2007-10-08,1.35,1.35,1.35,1.35,3000,0.0,1.0
