date,open_price,high_price,low_price,close_price,volume,dividend,split
2012-07-24,20.52,20.85,20.5,20.85,600,0.0,1.0
2012-07-25,20.52,20.85,20.5,20.85,0,0.0,1.0
2012-07-26,20.89,20.89,20.89,20.89,400,0.0,1.0
2012-07-27,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-07-30,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-07-31,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-01,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-02,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-03,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-06,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-07,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-08,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-09,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-10,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-13,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-14,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-15,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-16,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-17,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-20,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-21,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-22,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-23,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-24,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-27,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-28,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-29,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-30,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-08-31,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-09-04,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-09-05,20.89,20.89,20.89,20.89,0,0.0,1.0
2012-09-06,22.53,22.53,22.53,22.53,150,0.0,1.0
2012-09-07,22.53,22.53,22.53,22.53,0,0.0,1.0
2012-09-10,22.53,22.53,22.53,22.53,0,0.0,1.0
