date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,17.5,17.5,17.06,17.25,21586,0.0,1.0
1999-11-02,17.06,17.62,17.06,17.44,15770,0.0,1.0
1999-11-03,17.44,17.44,16.81,16.94,50504,0.0,1.0
1999-11-04,16.87,16.94,16.06,16.94,56115,0.0,1.0
1999-11-05,16.5,16.62,16.0,16.62,43336,0.0,1.0
1999-11-08,15.87,16.37,15.75,16.37,42598,0.0,1.0
1999-11-09,15.94,16.0,15.94,16.0,4751,0.0,1.0
1999-11-10,16.06,16.12,15.94,16.06,41984,0.0,1.0
1999-11-11,16.12,16.12,15.94,15.94,13312,0.0,1.0
1999-11-12,16.06,16.12,15.62,16.12,12820,0.0,1.0
1999-11-15,15.25,15.37,14.87,15.0,39526,0.0,1.0
1999-11-16,15.25,15.25,14.25,14.44,26092,0.0,1.0
1999-11-17,14.56,14.75,14.5,14.63,25723,0.0,1.0
1999-11-18,14.69,15.0,14.69,15.0,31785,0.0,1.0
1999-11-19,15.19,16.37,15.19,16.37,16466,0.0,1.0
1999-11-22,17.12,17.75,17.12,17.5,50995,0.0,1.0
1999-11-23,17.38,17.44,17.0,17.31,14828,0.0,1.0
1999-11-24,17.12,17.31,17.0,17.0,4424,0.0,1.0
1999-11-26,17.25,17.5,17.12,17.25,14582,0.0,1.0
1999-11-29,17.31,17.38,17.0,17.31,8028,0.0,1.0
1999-11-30,17.19,17.25,17.0,17.12,11674,0.0,1.0
1999-12-01,17.06,17.06,16.25,16.5,16916,0.0,1.0
1999-12-02,16.62,16.81,15.69,16.25,22405,0.0,1.0
1999-12-03,16.06,16.06,15.56,15.75,23388,0.0,1.0
1999-12-06,15.75,15.75,15.31,15.62,30433,0.0,1.0
1999-12-07,15.44,15.56,15.37,15.5,57631,0.0,1.0
1999-12-08,15.5,15.5,15.0,15.37,63324,0.0,1.0
1999-12-09,15.0,15.13,14.87,15.13,46981,0.0,1.0
1999-12-10,15.31,15.37,14.81,15.13,72499,0.0,1.0
1999-12-13,15.13,15.19,15.0,15.13,22036,0.0,1.0
1999-12-14,15.0,15.13,14.87,15.0,28754,0.0,1.0
1999-12-15,15.06,15.13,15.0,15.06,71393,0.0,1.0
1999-12-16,15.06,16.25,15.06,16.25,23142,0.0,1.0
1999-12-17,16.37,16.37,15.87,16.12,51241,0.0,1.0
1999-12-20,16.12,16.19,15.81,16.0,58696,0.0,1.0
1999-12-21,16.06,16.06,15.75,16.0,86057,0.0,1.0
1999-12-22,16.25,18.19,16.12,18.19,91791,0.0,1.0
1999-12-23,18.19,20.87,18.19,20.44,68608,0.0,1.0
1999-12-27,20.69,22.75,20.5,22.37,123986,0.0,1.0
1999-12-28,22.5,22.5,21.56,22.0,55706,0.0,1.0
