date,open_price,high_price,low_price,close_price,volume,dividend,split
2012-12-11,33.06,33.06,32.75,32.77,1292,0.0,1.0
2012-12-12,32.6,33.06,32.6,32.98,28941,0.0,1.0
2012-12-13,32.73,32.88,32.7,32.74,47316,0.0,1.0
2012-12-14,32.52,32.84,32.5,32.7,21419,0.0,1.0
2012-12-17,32.4,32.5,32.34,32.46,88414,0.0,1.0
2012-12-18,32.04,32.41,32.0,32.37,27499,0.0,1.0
2012-12-19,32.7,33.15,32.7,33.08,44791,0.0,1.0
2012-12-20,33.15,33.2,32.67,32.78,70089,0.0,1.0
2012-12-21,32.7,32.8,32.56,32.69,17764,0.0,1.0
2012-12-24,32.6,33.19,32.6,32.75,6848,0.0,1.0
2012-12-26,32.61,33.03,32.61,33.03,3718,0.0,1.0
2012-12-27,33.05,33.12,32.9,33.12,7033,0.0,1.0
2012-12-28,33.11,33.45,33.08,33.41,20988,0.0,1.0
2012-12-31,33.45,33.63,33.21,33.57,12636,0.0,1.0
2013-01-02,33.97,35.1,33.72,33.9,26055,0.0,1.0
2013-01-03,33.9,33.98,33.66,33.69,25943,0.0,1.0
2013-01-04,33.49,33.87,33.49,33.87,15321,0.0,1.0
2013-01-07,33.5,33.81,33.43,33.71,14322,0.0,1.0
2013-01-08,33.79,33.85,33.6,33.7,15139,0.0,1.0
2013-01-09,33.45,33.74,33.36,33.65,14686,0.0,1.0
2013-01-10,32.97,33.25,32.8,33.08,10693,0.0,1.0
2013-01-11,33.08,33.22,32.95,33.17,35153,0.0,1.0
2013-01-14,32.7,32.91,32.59,32.75,61092,0.0,1.0
2013-01-15,32.73,33.21,32.72,33.16,36216,0.0,1.0
2013-01-16,33.54,33.77,33.48,33.49,11570,0.0,1.0
2013-01-17,33.66,33.99,33.66,33.93,16976,0.0,1.0
2013-01-18,33.84,34.01,33.68,33.99,6447,0.0,1.0
2013-01-22,33.59,33.85,33.5,33.81,11476,0.0,1.0
2013-01-23,34.23,34.29,34.0,34.14,3705,0.0,1.0
2013-01-24,34.17,34.26,34.01,34.08,9895,0.0,1.0
2013-01-25,34.54,34.89,34.53,34.87,9337,0.0,1.0
2013-01-28,34.85,35.0,34.75,34.93,26932,0.0,1.0
2013-01-29,34.79,34.99,34.76,34.95,7804,0.0,1.0
2013-01-30,35.54,35.82,35.54,35.7,7578,0.0,1.0
2013-01-31,35.24,35.26,34.99,35.22,60847,0.0,1.0
2013-02-01,36.14,36.51,36.14,36.35,23539,0.0,1.0
2013-02-04,35.85,35.94,35.66,35.87,23682,0.0,1.0
2013-02-05,35.9,36.2,35.9,36.17,15916,0.0,1.0
2013-02-06,36.13,36.41,36.04,36.38,17058,0.0,1.0
2013-02-07,35.86,36.01,35.35,35.41,25522,0.0,1.0
2013-02-08,35.29,35.35,35.08,35.15,18035,0.0,1.0
2013-02-11,35.1,35.27,34.52,34.56,73068,0.0,1.0
2013-02-12,34.7,35.02,34.7,35.01,35120,0.0,1.0
2013-02-13,36.95,37.0,36.79,36.88,10133,0.0,1.0
2013-02-14,36.42,36.51,36.18,36.43,7469,0.0,1.0
2013-02-15,36.35,36.45,36.21,36.44,13651,0.0,1.0
2013-02-19,36.46,36.75,36.46,36.74,23669,0.0,1.0
2013-02-20,37.24,37.24,36.75,36.75,29954,0.0,1.0
2013-02-21,36.13,36.26,35.93,35.98,35618,0.0,1.0
2013-02-22,36.24,36.28,36.08,36.28,2365,0.0,1.0
2013-02-25,36.74,36.74,35.96,35.96,29001,0.0,1.0
2013-02-26,36.28,36.45,36.05,36.2,9987,0.0,1.0
2013-02-27,36.3,36.64,36.3,36.64,9695,0.0,1.0
2013-02-28,37.09,37.49,37.09,37.43,12729,0.0,1.0
2013-03-01,37.09,37.41,37.09,37.27,5007,0.0,1.0
2013-03-04,37.34,37.36,37.15,37.36,14241,0.0,1.0
2013-03-05,37.35,37.39,36.91,37.0,46482,0.0,1.0
2013-03-06,36.64,36.77,36.57,36.74,16031,0.0,1.0
2013-03-07,37.36,37.46,37.19,37.46,6673,0.0,1.0
2013-03-08,37.23,37.36,37.05,37.36,14162,0.0,1.0
2013-03-11,37.37,37.67,37.37,37.67,10254,0.0,1.0
