date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,51.15,51.45,51.15,51.15,3413,0.0,1.0
2007-07-16,50.8,51.2,50.8,50.8,3185,0.0,1.0
2007-07-17,50.2,50.9,50.2,50.2,19879,0.0,1.0
2007-07-18,49.45,50.15,49.45,49.45,5673,0.0,1.0
2007-07-19,50.05,50.1,50.05,50.05,4540,0.0,1.0
2007-07-20,49.55,49.55,49.55,49.55,1497,0.0,1.0
2007-07-23,49.0,49.15,49.0,49.0,7658,0.0,1.0
2007-07-24,48.5,49.25,48.5,48.5,5184,0.0,1.0
2007-07-25,48.3,48.55,48.3,48.3,10406,0.0,1.0
2007-07-26,46.1,47.4,46.1,46.1,11121,0.0,1.0
2007-07-27,46.25,46.4,46.25,46.25,13337,0.0,1.0
2007-07-30,47.75,48.1,47.75,47.75,5176,0.0,1.0
2007-07-31,49.35,49.4,49.35,49.35,11664,0.0,1.0
2007-08-01,47.05,47.7,47.05,47.05,9507,0.0,1.0
2007-08-02,46.35,46.8,46.35,46.35,17829,0.0,1.0
2007-08-03,46.4,46.55,46.4,46.4,16832,0.0,1.0
2007-08-06,46.7,46.8,46.7,46.7,6201,0.0,1.0
2007-08-07,46.5,46.65,46.5,46.5,4116,0.0,1.0
2007-08-08,46.75,46.75,46.75,46.75,6847,0.0,1.0
2007-08-09,44.85,45.7,44.85,44.85,5352,0.0,1.0
2007-08-10,44.08,44.7,44.08,44.08,6119,0.0,1.0
2007-08-13,44.0,44.45,44.0,44.0,4765,0.0,1.0
2007-08-14,43.75,44.5,43.75,43.75,7549,0.0,1.0
2007-08-15,43.5,43.95,43.5,43.5,18905,0.0,1.0
2007-08-16,41.65,41.9,41.65,41.65,18605,0.0,1.0
2007-08-17,42.9,42.9,42.9,42.9,8578,0.0,1.0
2007-08-20,42.45,42.5,42.45,42.45,39924,0.0,1.0
2007-08-21,42.95,43.35,42.95,42.95,13204,0.0,1.0
2007-08-22,43.3,43.54,43.3,43.3,15278,0.0,1.0
2007-08-23,43.9,44.35,43.9,43.9,12830,0.0,1.0
2007-08-24,44.2,44.59,44.2,44.2,13296,0.0,1.0
2007-08-27,44.25,44.64,44.25,44.25,59065,0.0,1.0
2007-08-28,44.56,45.15,44.56,44.56,10841,0.0,1.0
2007-08-29,46.2,46.25,46.2,46.2,11431,0.0,1.0
2007-08-30,46.4,46.55,46.4,46.4,17410,0.0,1.0
2007-08-31,46.85,47.65,46.85,46.85,14478,0.0,1.0
2007-09-04,47.1,47.1,47.1,47.1,4368,0.0,1.0
2007-09-05,46.15,46.45,46.15,46.15,4997,0.0,1.0
2007-09-06,46.5,46.64,46.5,46.5,36404,0.0,1.0
2007-09-07,45.5,46.3,45.5,45.5,11147,0.0,1.0
2007-09-10,45.85,46.0,45.85,45.85,6423,0.0,1.0
2007-09-11,45.7,46.0,45.7,45.7,7942,0.0,1.0
2007-09-12,46.8,46.8,46.8,46.8,4696,0.0,1.0
2007-09-13,46.75,46.75,46.75,46.75,12355,0.0,1.0
2007-09-14,46.65,46.65,46.65,46.65,135093,0.0,1.0
2007-09-17,46.05,46.32,46.05,46.05,6836,0.0,1.0
2007-09-18,46.92,46.95,46.92,46.92,8527,0.0,1.0
2007-09-19,46.31,46.45,46.31,46.31,9423,0.0,1.0
2007-09-20,46.9,46.95,46.9,46.9,20103,0.0,1.0
2007-09-21,46.73,47.2,46.73,46.73,17167,0.0,1.0
2007-09-24,46.85,46.9,46.85,46.85,14627,0.0,1.0
2007-09-25,46.26,46.55,46.26,46.26,22420,0.0,1.0
2007-09-26,46.15,46.45,46.15,46.15,12214,0.0,1.0
2007-09-27,47.15,47.32,47.15,47.15,31005,0.0,1.0
2007-09-28,46.95,47.32,46.95,46.95,167132,0.0,1.0
2007-10-01,47.1,47.4,47.1,47.1,11081,0.0,1.0
2007-10-02,46.15,46.5,46.15,46.15,9141,0.0,1.0
2007-10-03,45.13,45.6,45.13,45.13,8411,0.0,1.0
2007-10-04,44.9,45.15,44.9,44.9,31753,0.0,1.0
2007-10-05,45.2,45.5,45.2,45.2,8502,0.0,1.0
2007-10-08,44.7,45.15,44.7,44.7,3836,0.0,1.0
2007-10-09,44.35,44.55,44.35,44.35,13334,0.0,1.0
2007-10-10,45.5,45.75,45.5,45.5,6990,0.0,1.0
2007-10-11,46.89,47.5,46.89,46.89,13242,0.0,1.0
2007-10-12,47.1,47.38,47.1,47.1,6160,0.0,1.0
2007-10-15,46.5,47.35,46.5,46.5,8753,0.0,1.0
2007-10-16,45.8,45.85,45.8,45.8,13347,0.0,1.0
2007-10-17,45.73,46.1,45.73,45.73,9608,0.0,1.0
2007-10-18,46.6,47.02,46.6,46.6,22834,0.0,1.0
2007-10-19,46.5,46.55,46.5,46.5,28586,0.0,1.0
2007-10-22,45.5,45.95,45.5,45.5,7537,0.0,1.0
2007-10-23,46.4,46.68,46.4,46.4,29363,0.0,1.0
2007-10-24,46.3,46.36,46.3,46.3,35319,0.0,1.0
2007-10-25,45.55,45.99,45.55,45.55,43782,0.0,1.0
2007-10-26,45.85,46.13,45.85,45.85,36077,0.0,1.0
2007-10-29,46.25,46.25,46.25,46.25,22899,0.0,1.0
2007-10-30,45.6,45.86,45.6,45.6,14772,0.0,1.0
2007-10-31,45.55,46.35,45.55,45.55,27426,0.0,1.0
2007-11-01,46.2,46.55,46.2,46.2,15642,0.0,1.0
2007-11-02,46.85,46.85,46.85,46.85,25836,0.0,1.0
2007-11-05,46.35,46.5,46.35,46.35,10048,0.0,1.0
2007-11-06,47.2,47.2,47.2,47.2,10643,0.0,1.0
2007-11-07,48.5,49.1,48.5,48.5,44558,0.0,1.0
2007-11-08,48.8,49.15,48.8,48.8,16693,0.0,1.0
2007-11-09,50.0,50.0,50.0,50.0,36732,0.0,1.0
2007-11-12,49.55,49.75,49.55,49.55,7976,0.0,1.0
2007-11-14,50.45,50.6,50.45,50.45,30459,0.0,1.0
2007-11-15,50.45,50.6,50.45,50.45,30459,0.0,1.0
2007-11-16,50.65,50.75,50.65,50.65,6938,0.0,1.0
2007-11-19,49.9,50.75,49.9,49.9,13167,0.0,1.0
2007-11-21,51.3,51.91,51.3,51.3,7043,0.0,1.0
2007-11-23,51.3,51.91,51.3,51.3,7043,0.0,1.0
2007-11-26,48.85,48.9,48.85,48.85,16943,0.0,1.0
2007-11-27,48.55,49.1,48.55,48.55,45297,0.0,1.0
2007-11-28,49.5,49.85,49.5,49.5,38935,0.0,1.0
2007-11-29,49.5,49.5,49.5,49.5,12131,0.0,1.0
2007-11-30,49.9,51.0,49.9,49.9,22888,0.0,1.0
2007-12-03,50.85,51.4,50.85,50.85,6082,0.0,1.0
2007-12-04,52.1,52.45,52.1,52.1,4155,0.0,1.0
2007-12-05,52.35,53.0,52.35,52.35,9709,0.0,1.0
2007-12-06,53.15,53.15,53.15,53.15,9040,0.0,1.0
2007-12-07,52.4,52.8,52.4,52.4,33906,0.0,1.0
2007-12-10,53.1,53.15,53.1,53.1,12648,0.0,1.0
2007-12-11,52.0,53.15,52.0,52.0,10254,0.0,1.0
2007-12-12,52.9,53.65,52.9,52.9,13270,0.0,1.0
2007-12-13,53.05,53.15,53.05,53.05,16762,0.0,1.0
2007-12-14,51.55,51.6,51.55,51.55,11748,0.0,1.0
2007-12-17,50.85,51.45,50.85,50.85,7745,0.0,1.0
2007-12-18,50.25,50.8,50.25,50.25,23814,0.0,1.0
2007-12-19,49.2,49.9,49.2,49.2,18547,0.0,1.0
2007-12-20,49.95,50.7,49.95,49.95,148697,0.0,1.0
2007-12-21,50.55,50.9,50.55,50.55,33931,0.0,1.0
2007-12-24,50.55,50.9,50.55,50.55,0,0.0,1.0
