date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-08-14,104.5,104.5,104.5,104.5,100,0.0,1.0
2007-08-15,104.0,104.0,104.0,104.0,500,0.0,1.0
2007-08-16,104.0,104.0,104.0,104.0,0,0.0,1.0
2007-08-17,104.0,104.0,104.0,104.0,0,0.0,1.0
2007-08-20,104.0,104.0,104.0,104.0,0,0.0,1.0
2007-08-21,104.0,104.0,104.0,104.0,0,0.0,1.0
2007-08-22,104.0,104.0,104.0,104.0,0,0.0,1.0
2007-08-23,106.5,106.5,106.5,106.5,150,0.0,1.0
2007-08-24,106.5,106.5,106.5,106.5,0,0.0,1.0
2007-08-27,106.5,106.5,106.5,106.5,0,0.0,1.0
2007-08-28,106.5,106.5,106.5,106.5,0,0.0,1.0
2007-08-29,106.5,106.5,106.5,106.5,0,0.0,1.0
2007-08-30,106.5,106.5,106.5,106.5,0,0.0,1.0
2007-08-31,106.5,106.5,106.5,106.5,0,0.0,1.0
2007-09-04,106.5,106.5,106.5,106.5,0,0.0,1.0
2007-09-05,106.5,106.5,106.5,106.5,0,0.0,1.0
2007-09-06,106.5,106.5,106.5,106.5,0,0.0,1.0
2007-09-07,106.5,106.5,106.5,106.5,0,0.0,1.0
2007-09-10,106.5,106.5,106.5,106.5,0,0.0,1.0
2007-09-11,106.5,106.5,106.5,106.5,0,0.0,1.0
2007-09-12,109.25,109.25,109.25,109.25,100,0.0,1.0
2007-09-13,109.25,109.25,109.25,109.25,0,0.0,1.0
2007-09-14,110.0,110.0,110.0,110.0,900,0.0,1.0
2007-09-17,110.0,110.0,110.0,110.0,0,0.0,1.0
2007-09-18,110.0,110.0,110.0,110.0,0,0.0,1.0
2007-09-19,110.0,110.0,110.0,110.0,0,0.0,1.0
2007-09-20,110.0,110.0,110.0,110.0,0,0.0,1.0
2007-09-21,110.0,110.0,110.0,110.0,0,0.0,1.0
2007-09-24,110.0,110.0,110.0,110.0,0,0.0,1.0
2007-09-25,110.0,110.0,110.0,110.0,0,0.0,1.0
2007-09-26,112.5,112.5,112.5,112.5,100,0.0,1.0
2007-09-27,113.5,113.5,113.5,113.5,100,0.0,1.0
2007-09-28,111.25,111.25,111.25,111.25,100,0.0,1.0
2007-10-01,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-02,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-03,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-04,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-05,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-08,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-09,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-10,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-11,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-12,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-15,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-16,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-17,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-18,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-19,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-22,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-23,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-24,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-25,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-26,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-29,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-30,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-10-31,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-01,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-02,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-05,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-06,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-07,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-08,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-09,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-12,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-13,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-14,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-15,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-16,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-19,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-20,111.25,111.25,111.25,111.25,0,0.0,1.0
2007-11-21,118.0,118.0,118.0,118.0,300,0.0,1.0
2007-11-23,118.0,118.0,118.0,118.0,300,0.0,1.0
2007-11-26,118.0,118.0,118.0,118.0,300,0.0,1.0
2007-11-27,120.5,120.5,120.5,120.5,200,0.0,1.0
2007-11-28,120.5,120.5,120.5,120.5,200,0.0,1.0
2007-11-29,120.5,120.5,120.5,120.5,200,0.0,1.0
2007-11-30,120.5,120.5,120.5,120.5,200,0.0,1.0
2007-12-03,120.5,120.5,120.5,120.5,0,0.0,1.0
2007-12-04,120.5,120.5,120.5,120.5,0,0.0,1.0
2007-12-05,127.0,127.5,127.0,127.0,3900,0.0,1.0
2007-12-06,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-07,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-10,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-11,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-12,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-13,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-14,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-17,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-18,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-19,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-20,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-21,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-24,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-26,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-27,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-28,127.0,127.5,127.0,127.0,0,0.0,1.0
2007-12-31,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-02,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-03,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-04,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-07,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-08,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-09,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-10,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-11,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-14,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-15,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-16,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-17,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-18,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-22,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-23,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-24,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-25,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-28,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-29,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-30,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-01-31,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-01,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-04,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-05,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-06,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-07,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-08,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-11,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-12,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-13,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-14,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-15,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-19,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-20,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-21,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-22,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-25,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-26,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-27,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-28,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-02-29,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-03,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-04,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-05,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-06,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-07,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-10,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-11,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-12,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-13,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-14,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-17,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-18,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-19,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-20,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-24,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-25,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-26,127.0,127.5,127.0,127.0,0,0.0,1.0
2008-03-27,127.0,127.5,126.5,127.0,100,0.0,1.0
2008-03-28,127.0,127.5,126.5,127.0,0,0.0,1.0
2008-03-31,127.0,127.5,126.5,127.0,0,0.0,1.0
2008-04-01,127.0,127.5,126.5,127.0,0,0.0,1.0
2008-04-02,127.0,127.5,126.5,127.0,0,0.0,1.0
2008-04-03,127.0,127.5,126.5,127.0,0,0.0,1.0
2008-04-04,127.0,127.5,126.5,127.0,0,0.0,1.0
