date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,24.5,24.63,24.13,24.25,54600,0.0,1.0
1999-11-02,24.13,24.5,24.13,24.31,115900,0.0,1.0
1999-11-03,24.44,24.44,24.06,24.19,219900,0.0,1.0
1999-11-04,24.31,24.5,24.13,24.44,253400,0.0,1.0
1999-11-05,24.5,24.5,23.5,23.69,1612100,0.0,1.0
1999-11-08,23.19,23.69,23.06,23.5,158600,0.555,1.0
1999-11-09,23.63,23.81,23.38,23.56,102000,0.0,1.0
1999-11-10,23.56,23.56,23.25,23.31,88000,0.0,1.0
1999-11-11,23.31,23.63,23.25,23.38,185900,0.0,1.0
1999-11-12,23.38,23.44,23.13,23.31,181600,0.0,1.0
1999-11-15,23.25,23.38,23.0,23.06,101900,0.0,1.0
1999-11-16,23.31,23.31,23.06,23.13,301300,0.0,1.0
1999-11-17,23.06,23.13,23.0,23.0,330700,0.0,1.0
1999-11-18,23.13,23.13,22.75,22.81,70400,0.0,1.0
1999-11-19,22.69,22.88,22.56,22.75,296600,0.0,1.0
1999-11-22,22.94,22.94,22.44,22.5,344800,0.0,1.0
1999-11-23,22.56,22.63,22.31,22.31,281400,0.0,1.0
1999-11-24,22.5,22.75,22.38,22.38,311000,0.0,1.0
1999-11-26,22.31,22.69,22.31,22.63,40500,0.0,1.0
1999-11-29,22.5,22.5,22.25,22.31,295100,0.0,1.0
1999-11-30,22.31,22.56,21.94,22.0,444000,0.0,1.0
1999-12-01,22.13,22.25,22.0,22.19,220600,0.0,1.0
1999-12-02,22.19,22.25,21.88,21.88,204900,0.0,1.0
1999-12-03,21.94,22.25,21.94,22.13,172100,0.0,1.0
1999-12-06,22.13,22.13,21.75,21.81,254700,0.0,1.0
1999-12-07,21.75,21.81,21.44,21.69,195500,0.0,1.0
1999-12-08,21.81,21.88,21.5,21.5,159900,0.0,1.0
1999-12-09,21.38,21.63,21.06,21.06,126100,0.0,1.0
1999-12-10,21.13,21.25,20.75,20.75,217800,0.0,1.0
1999-12-13,20.81,21.13,20.75,20.75,382700,0.0,1.0
1999-12-14,20.56,20.81,20.25,20.25,285100,0.0,1.0
1999-12-15,20.5,20.88,20.44,20.63,370100,0.0,1.0
1999-12-16,20.56,22.13,20.56,21.0,412400,0.0,1.0
1999-12-17,21.0,22.19,21.0,21.62,282800,0.0,1.0
1999-12-20,21.69,22.13,21.56,21.81,221200,0.0,1.0
1999-12-21,22.0,22.44,22.0,22.0,460400,0.0,1.0
1999-12-22,21.94,22.25,21.88,21.88,519500,0.0,1.0
1999-12-23,21.88,22.31,21.81,21.81,174800,0.0,1.0
1999-12-27,21.75,22.38,21.75,21.88,134900,0.0,1.0
1999-12-28,21.94,22.44,21.94,22.13,520200,0.0,1.0
1999-12-29,22.13,22.75,22.06,22.5,224900,0.0,1.0
1999-12-30,22.5,22.88,22.44,22.44,144300,0.0,1.0
1999-12-31,22.38,23.63,22.38,23.63,233100,0.0,1.0
2000-01-03,23.12,23.12,22.25,22.44,124200,0.0,1.0
2000-01-04,22.5,22.5,21.75,22.38,131500,0.0,1.0
2000-01-05,22.19,22.31,21.94,22.0,192400,0.0,1.0
2000-01-06,22.13,23.06,21.94,23.06,335400,0.0,1.0
2000-01-07,23.19,23.19,22.94,23.06,162000,0.0,1.0
2000-01-10,23.25,23.56,23.13,23.5,189300,0.0,1.0
2000-01-11,23.44,23.63,23.31,23.31,247100,0.0,1.0
2000-01-12,23.38,23.38,23.0,23.06,147500,0.0,1.0
2000-01-13,22.94,23.31,22.94,23.19,49900,0.0,1.0
2000-01-14,23.13,23.63,23.13,23.63,158000,0.0,1.0
2000-01-18,23.13,23.63,23.13,23.44,132300,0.0,1.0
2000-01-19,23.69,23.81,23.13,23.25,105600,0.0,1.0
2000-01-20,23.38,23.44,23.19,23.19,50900,0.0,1.0
2000-01-21,23.13,23.25,22.88,23.19,78000,0.0,1.0
2000-01-24,22.94,23.94,22.94,23.25,278400,0.0,1.0
2000-01-25,23.38,23.63,23.25,23.44,253300,0.0,1.0
2000-01-26,23.31,23.5,22.63,22.88,235200,0.0,1.0
2000-01-27,23.13,23.19,22.88,23.06,106800,0.0,1.0
2000-01-28,23.06,23.06,22.81,23.0,61900,0.0,1.0
2000-01-31,22.75,23.19,22.69,22.75,81200,0.0,1.0
2000-02-01,22.88,22.88,22.5,22.69,102500,0.0,1.0
