date,open_price,high_price,low_price,close_price,volume,dividend,split
2016-01-04,75.91,75.91,75.55,75.55,578,0.0,1.0
2016-01-05,75.25,75.25,75.25,75.25,296,0.0,1.0
2016-01-06,74.8,75.04,74.35,75.04,1420,0.0,1.0
2016-01-07,73.94,74.25,73.94,74.25,347,0.0,1.0
2016-01-08,73.5,73.5,72.81,72.81,2359,0.0,1.0
2016-01-11,72.84,73.11,72.84,73.11,951,0.0,1.0
2016-01-12,73.11,73.11,73.11,73.11,91,0.0,1.0
2016-01-13,74.25,74.25,72.64,72.64,1094,0.0,1.0
2016-01-19,72.06,72.06,72.06,72.06,13,0.0,1.0
2016-01-20,70.51,72.1,70.51,72.1,1641,0.0,1.0
2016-01-21,71.5,72.17,71.42,72.17,1249,0.0,1.0
2016-01-22,73.29,73.85,73.04,73.85,1671,0.0,1.0
2016-01-25,74.18,74.18,74.18,74.18,488,0.0,1.0
2016-01-26,74.6,74.6,74.6,74.6,212,0.0,1.0
2016-01-27,76.11,76.11,76.11,76.11,370,0.0,1.0
2016-01-28,75.46,75.46,75.46,75.46,142,0.0,1.0
2016-01-29,76.4,76.4,76.4,76.4,279,0.0,1.0
2016-02-01,77.5,78.57,77.48,78.57,1992,0.0,1.0
2016-02-02,78.0,78.25,77.34,77.34,2002,0.0,1.0
2016-02-03,78.99,79.29,78.71,79.29,1466,0.0,1.0
2016-02-04,78.05,78.05,77.01,77.54,983,0.0,1.0
2016-02-05,76.14,76.14,75.16,75.84,1550,0.0,1.0
2016-02-08,73.54,73.59,73.54,73.59,717,0.0,1.0
2016-02-09,73.0,73.0,73.0,73.0,135,0.0,1.0
2016-02-10,71.78,72.51,71.78,72.47,621,0.0,1.0
2016-02-11,71.2,71.58,70.75,71.55,1644,0.0,1.0
2016-02-12,71.4,71.4,70.63,71.3,1287,0.0,1.0
2016-02-16,72.47,72.79,72.3,72.79,1662,0.0,1.0
2016-02-17,73.42,73.78,72.85,73.75,989,0.0,1.0
2016-02-18,73.49,73.49,72.9,73.34,2002,0.0,1.0
2016-02-19,73.4,73.4,72.91,73.25,762,0.0,1.0
2016-02-22,73.25,73.25,73.25,73.25,251,0.0,1.0
2016-02-23,73.84,73.95,73.63,73.91,1946,0.0,1.0
2016-02-24,72.58,73.52,72.58,73.52,498,0.0,1.0
2016-02-25,73.65,73.65,73.65,73.65,443,0.0,1.0
2016-02-26,73.35,73.35,73.19,73.19,2286,0.0,1.0
2016-03-01,73.88,74.9,73.88,74.61,1270,0.0,1.0
2016-03-02,73.72,74.21,73.72,74.01,714,0.0,1.0
2016-03-03,73.7,74.2,73.54,74.2,1661,0.0,1.0
2016-03-04,74.31,75.11,74.31,75.11,696,0.0,1.0
2016-03-07,73.99,74.44,73.99,74.44,355,0.0,1.0
2016-03-08,75.06,75.2,74.9,75.01,1076,0.0,1.0
2016-03-09,75.93,75.93,75.64,75.7,2613,0.0,1.0
2016-03-10,76.46,76.95,75.35,75.81,1332,0.0,1.0
2016-03-11,76.94,77.03,76.31,77.03,2007,0.0,1.0
2016-03-14,75.86,76.0,75.86,76.0,295,0.0,1.0
2016-03-15,75.51,75.75,75.14,75.14,1340,0.0,1.0
2016-03-16,75.0,75.61,75.0,75.61,334,0.0,1.0
2016-03-17,75.5,75.88,75.5,75.83,780,0.0,1.0
2016-03-18,77.29,77.29,77.29,77.29,1928,0.0,1.0
2016-03-21,77.29,77.29,77.29,77.29,142,0.0,1.0
2016-03-22,75.3,75.94,75.3,75.5,1376,0.0,1.0
2016-03-23,75.5,75.5,75.5,75.5,540,0.0,1.0
2016-03-24,76.07,76.15,75.67,75.67,1875,0.0,1.0
2016-03-28,75.62,75.62,75.62,75.62,343,0.0,1.0
2016-04-01,77.5,77.57,77.5,77.57,2841,0.0,1.0
2016-04-04,78.61,79.08,78.44,78.44,520,0.0,1.0
2016-04-05,78.5,78.89,78.27,78.27,1556,0.0,1.0
2016-04-06,78.29,78.96,78.29,78.96,2112,0.0,1.0
2016-04-07,78.55,78.55,78.55,78.55,203,0.0,1.0
2016-04-08,79.05,79.72,79.05,79.72,371,0.0,1.0
2016-04-11,79.17,79.17,78.55,78.55,1091,0.0,1.0
2016-04-12,78.64,78.9,78.6,78.9,3373,0.0,1.0
2016-04-13,79.0,79.26,78.74,79.26,1649,0.0,1.0
2016-04-14,79.66,79.75,79.09,79.09,572,0.0,1.0
2016-04-15,79.74,80.35,79.74,80.35,338,0.0,1.0
2016-04-18,80.75,80.81,80.49,80.64,1139,0.0,1.0
2016-04-19,82.89,82.89,82.53,82.63,595,0.0,1.0
2016-04-20,82.49,83.0,81.99,81.99,688,0.0,1.0
2016-05-02,83.14,83.3,82.6,82.78,3030,0.0,1.0
2016-05-03,83.09,83.34,82.65,82.73,984,0.0,1.0
2016-05-04,82.26,82.26,81.79,81.79,1018,0.0,1.0
2016-05-05,81.38,82.03,81.24,81.24,743,0.0,1.0
2016-05-06,81.71,81.71,81.63,81.68,742,0.0,1.0
2016-05-09,83.38,83.6,83.38,83.6,651,0.0,1.0
2016-05-10,82.72,82.72,82.5,82.5,700,0.0,1.0
2016-05-11,82.05,82.05,82.01,82.01,656,0.0,1.0
2016-05-12,81.93,81.99,81.93,81.99,606,0.0,1.0
2016-05-13,80.9,81.55,80.9,81.24,1346,0.0,1.0
2016-05-16,81.81,81.94,81.81,81.81,1054,0.0,1.0
2016-05-17,81.81,81.81,81.81,81.81,22,0.0,1.0
2016-05-18,80.38,80.38,80.15,80.15,729,0.0,1.0
2016-05-19,78.94,79.6,78.86,79.6,701,0.0,1.0
2016-05-20,80.9,80.9,80.9,80.9,300,0.0,1.0
2016-05-23,79.55,80.2,79.55,80.08,550,0.0,1.0
2016-05-24,80.8,80.8,80.8,80.8,270,0.0,1.0
2016-05-25,81.06,81.06,81.06,81.06,256,0.0,1.0
2016-05-26,82.0,82.0,82.0,82.0,653,0.0,1.0
2016-05-27,82.0,82.0,82.0,82.0,42,0.0,1.0
2016-05-31,81.67,81.67,81.55,81.55,462,0.0,1.0
2016-06-01,83.0,83.0,82.66,82.78,439,0.0,1.0
2016-06-02,83.35,83.38,83.35,83.38,372,0.0,1.0
2016-06-03,83.67,83.83,83.55,83.83,3640,0.0,1.0
2016-06-06,84.3,84.3,84.3,84.3,288,0.0,1.0
2016-06-07,84.85,84.96,84.85,84.94,2208,0.0,1.0
2016-06-08,84.0,84.72,84.0,84.05,690,0.0,1.0
2016-06-09,83.25,83.25,83.25,83.25,568,0.0,1.0
2016-06-10,80.69,80.69,80.69,80.69,256,0.0,1.0
2016-06-13,80.69,80.69,80.69,80.69,181,0.0,1.0
2016-06-14,78.09,78.09,78.09,78.09,130,0.0,1.0
2016-06-15,78.42,78.93,78.04,78.04,3874,0.0,1.0
2016-06-16,78.01,78.1,78.01,78.1,315,0.0,1.0
2016-06-17,78.14,78.75,78.14,78.7,988,0.0,1.0
2016-06-20,81.02,81.02,81.02,81.02,275,0.0,1.0
2016-06-21,81.02,81.02,81.02,81.02,148,0.0,1.0
2016-06-22,80.74,80.74,79.91,80.45,1180,0.0,1.0
2016-06-23,81.62,81.9,81.62,81.9,806,0.0,1.0
2016-06-24,78.57,78.75,78.57,78.75,1881,0.0,1.0
2016-06-27,75.94,76.05,75.94,76.05,363,0.0,1.0
2016-06-28,77.6,77.6,77.6,77.6,930,0.0,1.0
2016-06-29,78.2,78.48,78.2,78.39,4595,0.0,1.0
2016-06-30,81.35,82.05,81.15,82.05,739,0.0,1.0
2016-07-01,82.4,82.4,81.35,82.01,1197,0.0,1.0
2016-07-05,79.84,79.84,79.84,79.84,201,0.0,1.0
2016-07-06,79.8,79.8,79.8,79.8,272,0.0,1.0
2016-07-07,80.27,80.27,79.35,79.35,498,0.0,1.0
2016-07-08,79.35,79.35,79.35,79.35,211,0.0,1.0
2016-07-11,80.25,80.95,80.25,80.95,406,0.0,1.0
2016-07-12,80.66,80.66,80.45,80.45,606,0.0,1.0
2016-07-13,81.34,81.34,80.89,80.89,697,0.0,1.0
2016-07-14,80.95,80.95,80.95,80.95,499,0.0,1.0
2016-07-15,80.5,80.5,80.05,80.05,1415,0.0,1.0
2016-07-18,80.85,80.85,80.35,80.85,1230,0.0,1.0
2016-07-19,79.6,79.6,79.6,79.6,160,0.0,1.0
2016-07-20,80.61,80.61,80.61,80.61,258,0.0,1.0
2016-07-21,79.85,80.74,79.85,80.64,1668,0.0,1.0
2016-07-22,80.63,80.63,80.5,80.5,400,0.0,1.0
2016-07-25,80.5,80.5,80.5,80.5,98,0.0,1.0
2016-07-26,81.33,81.33,81.13,81.13,351,0.0,1.0
2016-07-27,81.75,81.75,81.29,81.58,1613,0.0,1.0
2016-07-28,82.7,82.7,82.7,82.7,685,0.0,1.0
2016-07-29,83.59,83.59,83.59,83.59,203,0.0,1.0
2016-08-01,82.45,82.45,81.39,81.39,776,0.0,1.0
2016-08-02,81.89,81.89,81.84,81.84,419,0.0,1.0
2016-08-03,81.7,81.7,81.7,81.7,350,0.0,1.0
2016-08-04,81.06,81.06,81.06,81.06,236,0.0,1.0
2016-08-08,81.05,81.05,80.38,80.38,559,0.0,1.0
2016-08-09,81.41,81.41,81.41,81.41,265,0.0,1.0
2016-08-10,81.5,81.5,81.2,81.2,500,0.0,1.0
2016-08-11,81.2,81.2,81.2,81.2,50,0.0,1.0
2016-08-12,82.21,82.21,81.66,81.66,400,0.0,1.0
2016-08-15,82.15,82.15,82.15,82.15,315,0.0,1.0
2016-08-16,82.36,82.43,82.36,82.43,517,0.0,1.0
2016-08-17,82.25,82.3,81.62,81.7,974,0.0,1.0
2016-08-18,81.7,81.7,81.7,81.7,60,0.0,1.0
2016-08-19,81.7,81.7,81.7,81.7,20,0.0,1.0
2016-08-22,82.25,82.25,81.69,82.25,1347,0.0,1.0
2016-08-23,82.25,82.25,82.25,82.25,132,0.0,1.0
2016-08-24,80.46,80.46,80.46,80.46,353,0.0,1.0
2016-08-25,80.52,80.52,80.52,80.52,374,0.0,1.0
2016-08-29,80.52,80.52,80.52,80.52,94,0.0,1.0
2016-08-30,81.41,81.5,81.35,81.43,1101,0.0,1.0
2016-08-31,80.75,80.75,80.75,80.75,293,0.0,1.0
2016-09-01,80.55,80.8,80.02,80.8,2480,0.0,1.0
2016-09-02,82.05,82.3,81.95,81.95,2824,0.0,1.0
2016-09-06,82.85,82.85,82.85,82.85,315,0.0,1.0
2016-09-07,82.85,82.85,82.85,82.85,104,0.0,1.0
2016-09-08,81.99,82.48,81.99,81.99,3985,0.0,1.0
2016-09-09,79.77,80.22,79.77,80.13,642,0.0,1.0
2016-09-12,80.3,80.3,80.3,80.3,131,0.0,1.0
2016-09-13,79.5,79.5,79.5,79.5,175,0.0,1.0
2016-09-14,79.4,80.03,79.21,79.82,868,0.0,1.0
2016-09-15,79.82,79.82,79.82,79.82,75,0.0,1.0
2016-09-16,78.45,78.82,78.45,78.82,1557,0.0,1.0
2016-09-19,79.18,79.18,79.18,79.18,416,0.0,1.0
2016-09-20,79.18,79.18,79.18,79.18,307,0.0,1.0
2016-09-21,80.56,80.56,80.56,80.56,400,0.0,1.0
2016-09-22,81.58,81.58,81.58,81.58,190,0.0,1.0
2016-09-23,81.8,81.9,81.8,81.9,2156,0.0,1.0
2016-09-26,80.85,80.85,80.4,80.5,1402,0.0,1.0
2016-09-27,80.5,81.05,80.5,81.05,1048,0.0,1.0
2016-09-30,79.65,79.65,79.65,79.65,230,0.0,1.0
2016-10-03,79.65,79.65,79.65,79.65,93,0.0,1.0
2016-10-04,79.65,79.65,79.65,79.65,169,0.0,1.0
2016-10-05,79.65,79.65,79.65,79.65,65,0.0,1.0
2016-10-06,79.73,80.06,79.73,80.06,622,0.0,1.0
2016-10-07,79.42,79.42,78.69,78.69,306,0.0,1.0
2016-10-11,79.61,79.65,79.61,79.65,491,0.0,1.0
2016-10-17,78.55,78.55,78.55,78.55,1354,0.0,1.0
2016-10-18,79.15,79.15,79.15,79.15,887,0.0,1.0
2016-10-19,79.2,80.0,79.2,79.25,783,0.0,1.0
2016-10-20,79.68,80.11,79.35,80.11,1086,0.0,1.0
2016-10-21,80.07,80.1,80.05,80.05,650,0.0,1.0
2016-10-24,80.02,80.4,80.02,80.4,744,0.0,1.0
2016-10-25,80.3,80.3,80.15,80.15,1241,0.0,1.0
2016-10-26,77.66,77.66,76.93,77.39,1184,0.0,1.0
2016-10-27,77.69,77.69,77.11,77.11,829,0.0,1.0
2016-10-28,77.47,77.47,77.47,77.47,114,0.0,1.0
2016-12-01,68.64,68.64,67.8,68.0,1011,0.0,1.0
2016-12-02,69.0,69.0,67.99,67.99,732,0.0,1.0
2016-12-05,68.95,68.95,68.19,68.19,1368,0.0,1.0
2016-12-06,68.84,69.26,68.44,68.44,2130,0.0,1.0
2016-12-07,68.6,68.6,68.6,68.6,417,0.0,1.0
2016-12-08,68.5,68.6,68.5,68.6,14076,0.0,1.0
2016-12-09,68.85,69.33,68.85,69.33,470,0.0,1.0
2016-12-12,69.2,69.8,69.13,69.8,4550,0.0,1.0
2016-12-13,70.72,71.35,70.72,71.28,4649,0.0,1.0
2016-12-14,70.6,70.66,70.56,70.66,1953,0.0,1.0
2016-12-15,68.45,69.05,68.12,68.12,3530,0.0,1.0
2016-12-16,69.35,69.35,68.8,68.98,4186,0.0,1.0
2016-12-19,69.5,69.6,68.95,69.6,2462,0.0,1.0
2016-12-20,69.29,69.29,68.85,68.85,3228,0.0,1.0
2016-12-21,69.51,69.6,68.82,68.82,1819,0.0,1.0
2016-12-22,69.4,69.4,69.4,69.4,1405,0.0,1.0
2016-12-23,69.23,69.29,68.74,69.29,782,0.0,1.0
2016-12-27,69.71,69.71,69.71,69.71,334,0.0,1.0
2016-12-28,68.7,68.77,68.2,68.58,1223,0.0,1.0
2016-12-29,68.58,68.58,68.58,68.58,10,0.0,1.0
2016-12-30,70.0,70.13,69.16,69.7,4514,0.0,1.0
2017-01-03,69.0,69.12,68.7,69.12,1766,0.0,1.0
2017-01-04,70.05,70.05,69.8,69.8,2260,0.0,1.0
2017-01-05,70.81,70.81,69.9,70.2,1052,0.0,1.0
2017-01-06,70.2,70.2,70.2,70.2,446,0.0,1.0
2017-01-09,69.7,70.31,69.7,70.31,6584,0.0,1.0
2017-01-10,70.2,70.55,69.75,70.55,3519,0.0,1.0
2017-01-11,69.53,69.53,68.8,69.5,2783,0.0,1.0
2017-01-12,69.5,69.5,69.5,69.5,120,0.0,1.0
2017-01-13,70.11,70.15,69.32,69.32,5018,0.0,1.0
2017-01-17,69.8,70.05,69.8,70.01,3347,0.0,1.0
2017-01-18,69.98,70.18,69.98,70.18,994,0.0,1.0
2017-01-19,70.04,70.15,69.75,69.75,722,0.0,1.0
2017-01-20,70.15,70.95,70.15,70.95,1041,0.0,1.0
2017-01-23,70.81,70.87,70.81,70.87,341,0.0,1.0
2017-01-24,70.8,71.15,70.3,70.69,25678,0.0,1.0
2017-01-25,70.66,70.66,70.33,70.34,6861,0.0,1.0
2017-01-26,70.41,70.73,70.41,70.73,1895,0.0,1.0
2017-01-27,70.95,70.95,70.1,70.1,961,0.0,1.0
2017-01-30,70.25,70.35,69.5,70.35,1521,0.0,1.0
2017-01-31,70.5,70.75,70.5,70.75,9057,0.0,1.0
2017-02-01,69.92,69.92,69.8,69.8,967,0.0,1.0
2017-02-02,71.07,71.07,70.95,70.95,600,0.0,1.0
2017-02-03,72.0,72.44,72.0,72.44,1300,0.0,1.0
2017-02-06,71.71,71.71,71.71,71.71,200,0.0,1.0
2017-02-07,71.87,71.87,71.75,71.75,1000,0.0,1.0
2017-02-08,72.97,73.39,72.97,73.39,1100,0.0,1.0
2017-02-09,73.05,73.3,72.4,73.17,7300,0.0,1.0
2017-02-10,72.1,72.92,72.1,72.92,1000,0.0,1.0
2017-02-13,72.55,72.63,72.54,72.63,1100,0.0,1.0
2017-02-14,72.78,72.85,71.55,71.55,2100,0.0,1.0
2017-02-15,73.76,73.8,73.72,73.8,2500,0.0,1.0
2017-02-16,74.0,74.81,74.0,74.47,2700,0.0,1.0
2017-02-17,75.79,75.84,75.75,75.75,1100,0.0,1.0
2017-02-21,76.0,76.25,76.0,76.25,3200,0.0,1.0
2017-02-22,76.25,76.25,76.25,76.25,0,0.0,1.0
2017-02-23,75.6,75.97,75.6,75.8,3000,0.0,1.0
2017-02-24,76.16,76.16,76.16,76.16,700,0.0,1.0
2017-02-27,76.2,76.7,76.2,76.7,1000,0.0,1.0
2017-02-28,76.26,76.4,76.26,76.4,600,0.0,1.0
2017-03-01,76.12,76.18,76.12,76.18,200,0.0,1.0
