date,open_price,high_price,low_price,close_price,volume,dividend,split
2013-01-10,27.65,27.65,27.65,27.65,300,0.0,1.0
2013-01-11,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-14,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-15,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-16,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-17,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-18,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-22,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-23,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-24,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-25,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-28,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-29,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-30,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-01-31,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-02-01,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-02-04,27.65,27.65,27.65,27.65,0,0.0,1.0
2013-02-05,30.52,30.52,30.52,30.52,200,0.0,1.0
2013-02-06,30.52,30.52,30.52,30.52,0,0.0,1.0
2013-02-07,30.52,30.52,30.52,30.52,0,0.0,1.0
2013-02-08,30.52,30.52,30.52,30.52,0,0.0,1.0
2013-02-11,29.64,29.64,29.55,29.55,300,0.0,1.0
2013-02-12,29.55,29.55,29.55,29.55,0,0.0,1.0
2013-02-13,29.55,29.55,29.55,29.55,0,0.0,1.0
2013-02-14,29.55,29.55,29.55,29.55,0,0.0,1.0
2013-02-15,30.67,30.67,30.67,30.67,150,0.0,1.0
2013-02-19,30.67,30.67,30.67,30.67,0,0.0,1.0
2013-02-20,30.67,30.67,30.67,30.67,0,0.0,1.0
2013-02-21,30.43,30.49,30.43,30.49,900,0.0,1.0
2013-02-22,30.49,30.49,30.49,30.49,0,0.0,1.0
2013-02-25,30.19,30.69,30.19,30.69,200,0.0,1.0
2013-02-26,30.69,30.69,30.69,30.69,0,0.0,1.0
2013-02-27,30.69,30.69,30.69,30.69,0,0.0,1.0
2013-02-28,30.69,30.69,30.69,30.69,0,0.0,1.0
2013-03-01,31.4,31.8,31.4,31.8,500,0.0,1.0
2013-03-04,31.55,31.6,31.55,31.6,200,0.0,1.0
2013-03-05,31.6,31.6,31.6,31.6,0,0.0,1.0
2013-03-06,31.6,31.6,31.6,31.6,0,0.0,1.0
2013-03-07,31.8,31.8,31.8,31.8,100,0.0,1.0
2013-03-08,31.58,31.58,31.58,31.58,100,0.0,1.0
2013-03-11,32.01,32.06,32.01,32.06,200,0.0,1.0
2013-03-12,32.06,32.06,32.06,32.06,0,0.0,1.0
2013-03-13,32.06,32.06,32.06,32.06,0,0.0,1.0
2013-03-14,32.06,32.06,32.06,32.06,0,0.0,1.0
2013-03-15,32.06,32.06,32.06,32.06,0,0.0,1.0
2013-03-18,32.06,32.06,32.06,32.06,0,0.0,1.0
2013-03-19,32.06,32.06,32.06,32.06,0,0.0,1.0
2013-03-20,32.06,32.06,32.06,32.06,0,0.0,1.0
2013-03-21,32.06,32.06,32.06,32.06,0,0.0,1.0
2013-03-22,32.09,32.09,32.09,32.09,100,0.0,1.0
