date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-10-19,56.5,56.5,56.5,56.5,53000,0.0,1.0
2017-11-07,54.6,54.6,54.6,54.6,170,0.0,1.0
2017-11-13,54.84,54.84,54.84,54.84,107,0.0,1.0
2017-11-22,51.9,51.9,51.9,51.9,130,0.0,1.0
2017-11-27,51.9,51.9,51.9,51.9,1500,0.0,1.0
2017-11-29,51.8,51.8,51.8,51.8,250,0.0,1.0
2017-12-07,51.8,51.8,51.8,51.8,1700,0.0,1.0
2017-12-13,51.8,51.8,51.8,51.8,200,0.0,1.0
2018-01-11,51.8,51.8,51.8,51.8,100,0.0,1.0
2018-01-22,51.8,51.8,51.8,51.8,5200,0.0,1.0
2018-01-24,53.5,53.5,53.5,53.5,153,0.0,1.0
2018-01-25,51.93,51.93,51.75,51.75,4775,0.0,1.0
2018-01-26,51.75,51.75,51.75,51.75,2500,0.0,1.0
2018-02-01,50.33,50.33,50.33,50.33,200,0.0,1.0
2018-02-16,50.33,50.33,50.33,50.33,13,0.0,1.0
2018-03-01,50.33,50.33,50.33,50.33,16,0.0,1.0
2018-03-02,50.33,50.33,50.33,50.33,6,0.0,1.0
2018-03-05,50.33,50.33,50.33,50.33,17,0.0,1.0
2018-03-07,50.33,50.33,50.33,50.33,10,0.0,1.0
2018-03-28,50.33,50.33,50.33,50.33,55,0.0,1.0
2018-04-06,50.33,50.33,50.33,50.33,35,0.0,1.0
2018-04-10,50.33,50.33,50.33,50.33,19,0.0,1.0
2018-04-12,51.25,51.25,51.25,51.25,110,0.0,1.0
2018-04-13,53.25,53.25,53.25,53.25,160,0.0,1.0
2018-04-17,53.25,53.25,53.25,53.25,10069,0.0,1.0
2018-04-18,53.25,53.25,53.25,53.25,41,0.0,1.0
2018-04-19,53.25,53.25,53.25,53.25,13,0.0,1.0
2018-05-01,53.25,53.25,53.25,53.25,45,0.0,1.0
2018-05-03,53.5,53.5,53.5,53.5,100,0.0,1.0
2018-05-15,53.5,53.5,53.5,53.5,16,0.0,1.0
2018-05-18,53.5,53.5,53.5,53.5,18,0.0,1.0
2018-05-25,53.5,53.5,53.5,53.5,1700,0.0,1.0
2018-05-30,53.5,53.5,53.5,53.5,7100,0.0,1.0
2018-06-04,53.5,53.5,53.5,53.5,26,0.0,1.0
2018-06-07,58.7,58.7,58.7,58.7,9120,0.0,1.0
2018-06-08,58.7,58.7,58.7,58.7,35,0.0,1.0
2018-06-12,59.8,59.8,59.8,59.8,3050,0.0,1.0
2018-06-13,59.8,59.8,59.8,59.8,5915,0.0,1.0
2018-06-15,59.8,59.8,59.8,59.8,2029,0.0,1.0
2018-06-18,59.8,59.8,59.8,59.8,16,0.0,1.0
2018-06-19,59.8,59.8,59.8,59.8,116,0.0,1.0
2018-06-20,59.8,59.8,59.8,59.8,32,0.0,1.0
2018-06-21,59.8,59.8,59.8,59.8,263,0.0,1.0
2018-06-25,59.8,59.8,59.8,59.8,104515,0.0,1.0
2018-06-27,56.7,56.7,56.7,56.7,127,0.0,1.0
2018-06-28,56.75,56.75,56.75,56.75,200,0.0,1.0
2018-06-29,56.75,56.75,56.75,56.75,17,0.0,1.0
2018-07-03,56.75,56.75,56.75,56.75,529,0.0,1.0
2018-07-05,54.8,54.8,54.8,54.8,113,0.0,1.0
2018-07-06,54.8,54.8,54.8,54.8,31,0.0,1.0
2018-07-09,54.0,54.0,54.0,54.0,250,0.0,1.0
