date,open_price,high_price,low_price,close_price,volume,dividend,split
2010-06-24,17.5,17.8,17.06,17.4,2595100,0.0,1.0
2010-06-25,17.35,17.85,17.25,17.61,106800,0.0,1.0
2010-06-28,17.71,17.78,17.32,17.45,44000,0.0,1.0
2010-06-29,17.23,17.8,16.71,17.33,91800,0.0,1.0
2010-06-30,17.24,17.47,17.06,17.25,74200,0.0,1.0
2010-07-01,17.25,17.44,16.75,17.0,420500,0.0,1.0
2010-07-02,17.0,17.11,16.82,16.99,231200,0.0,1.0
2010-07-06,17.1,17.24,16.61,16.71,119400,0.0,1.0
2010-07-07,16.7,16.85,16.32,16.53,44800,0.0,1.0
2010-07-08,16.53,16.53,16.15,16.39,206700,0.0,1.0
2010-07-09,16.35,16.6,16.23,16.5,250300,0.0,1.0
2010-07-12,16.41,16.61,16.25,16.4,83100,0.0,1.0
2010-07-13,16.48,16.82,16.4,16.76,52800,0.0,1.0
2010-07-14,16.55,16.85,16.55,16.77,24000,0.0,1.0
2010-07-15,16.92,16.98,16.56,16.7,231200,0.0,1.0
2010-07-16,16.75,16.75,16.4,16.55,80200,0.0,1.0
2010-07-19,16.65,16.65,15.76,16.0,363400,0.0,1.0
2010-07-20,15.75,16.03,15.45,16.01,115600,0.0,1.0
2010-07-21,16.08,16.16,15.84,15.86,89800,0.0,1.0
2010-07-22,15.87,16.5,14.68,16.15,204700,0.0,1.0
2010-07-23,16.0,16.16,15.92,16.15,120200,0.0,1.0
2010-07-26,15.9,16.5,15.9,16.42,81200,0.0,1.0
2010-07-27,16.43,16.43,16.03,16.26,63500,0.0,1.0
2010-07-28,16.18,16.18,16.0,16.1,39700,0.0,1.0
2010-07-29,16.13,16.46,15.93,16.3,36300,0.0,1.0
2010-07-30,16.16,16.46,16.01,16.46,46500,0.0,1.0
2010-08-02,16.53,16.75,16.33,16.75,31800,0.0,1.0
2010-08-03,16.66,16.81,16.26,16.7,24800,0.0,1.0
2010-08-04,16.67,17.0,16.62,16.77,47400,0.0,1.0
2010-08-05,16.7,16.7,16.45,16.6,14800,0.0,1.0
2010-08-06,16.6,16.64,16.17,16.64,142900,0.0,1.0
2010-08-09,16.69,16.71,16.27,16.6,24700,0.0,1.0
2010-08-10,16.35,16.65,16.2,16.64,13300,0.0,1.0
2010-08-11,16.41,16.44,16.14,16.27,20900,0.0,1.0
2010-08-12,16.25,16.51,16.25,16.27,26300,0.0,1.0
2010-08-13,16.41,16.76,16.41,16.59,47400,0.0,1.0
2010-08-16,16.46,16.5,16.25,16.5,20600,0.0,1.0
