date,open_price,high_price,low_price,close_price,volume,dividend,split
2010-03-26,13.5,15.5,13.49,13.92,5831800,0.0,1.0
2010-03-29,14.12,14.91,14.1,14.75,1157600,0.0,1.0
2010-03-30,14.61,15.25,14.26,14.47,665800,0.0,1.0
2010-03-31,14.63,15.1,14.33,14.98,558100,0.0,1.0
2010-04-01,15.02,16.0,15.02,16.0,703400,0.0,1.0
2010-04-05,16.56,18.58,16.07,17.12,851300,0.0,1.0
2010-04-06,17.26,17.71,16.1,16.89,378500,0.0,1.0
2010-04-07,17.03,17.32,16.4,16.75,213900,0.0,1.0
2010-04-08,16.58,16.66,16.05,16.19,127500,0.0,1.0
2010-04-09,16.5,16.75,15.39,16.24,311900,0.0,1.0
2010-04-12,16.41,16.46,15.98,16.19,105700,0.0,1.0
2010-04-13,16.01,16.26,15.65,15.81,263400,0.0,1.0
2010-04-14,15.67,16.0,14.96,15.05,751400,0.0,1.0
2010-04-15,14.98,15.75,14.67,15.58,269300,0.0,1.0
2010-04-16,15.5,15.5,15.2,15.4,47400,0.0,1.0
2010-04-19,15.3,16.48,15.25,16.45,396100,0.0,1.0
2010-04-20,16.5,16.55,15.84,16.54,118800,0.0,1.0
2010-04-21,16.71,16.71,16.0,16.03,92500,0.0,1.0
2010-04-22,15.88,16.41,15.52,16.34,50900,0.0,1.0
2010-04-23,16.34,16.56,16.04,16.56,47900,0.0,1.0
2010-04-26,16.73,16.73,16.35,16.49,56000,0.0,1.0
2010-04-27,16.4,16.7,16.25,16.25,88600,0.0,1.0
2010-04-28,16.25,16.33,15.53,15.6,110000,0.0,1.0
2010-04-29,15.57,15.58,15.0,15.13,115000,0.0,1.0
2010-04-30,15.1,15.45,14.93,15.09,110200,0.0,1.0
2010-05-03,15.02,15.17,14.95,15.1,39500,0.0,1.0
2010-05-04,15.05,15.06,14.5,14.54,102500,0.0,1.0
2010-05-05,14.5,14.52,13.95,14.1,262400,0.0,1.0
2010-05-06,13.94,14.19,13.81,13.96,368300,0.0,1.0
2010-05-07,14.0,14.39,13.98,14.28,60500,0.0,1.0
2010-05-10,14.35,15.41,14.35,15.15,63900,0.0,1.0
2010-05-11,15.0,15.08,14.75,14.78,201300,0.0,1.0
2010-05-12,14.79,15.0,14.52,14.67,43600,0.0,1.0
2010-05-13,14.7,14.92,14.52,14.69,29400,0.0,1.0
2010-05-14,14.89,14.89,14.53,14.67,65500,0.0,1.0
2010-05-17,14.73,15.0,14.58,14.99,139600,0.0,1.0
2010-05-18,15.16,15.25,14.63,15.05,69300,0.0,1.0
2010-05-19,14.97,15.02,14.32,14.5,209300,0.0,1.0
2010-05-20,14.5,14.54,14.01,14.4,26600,0.0,1.0
2010-05-21,14.14,14.49,13.86,14.27,43400,0.0,1.0
2010-05-24,14.17,14.63,14.17,14.39,3700,0.0,1.0
2010-05-25,14.03,14.4,13.96,14.2,12000,0.0,1.0
2010-05-26,14.42,14.42,13.85,14.03,19800,0.0,1.0
2010-05-27,14.24,14.59,14.1,14.1,18900,0.0,1.0
2010-05-28,14.2,14.34,14.2,14.34,14300,0.0,1.0
2010-06-01,14.6,14.9,14.2,14.29,26100,0.0,1.0
2010-06-02,14.25,14.41,14.1,14.26,20300,0.0,1.0
2010-06-03,14.18,14.58,14.11,14.11,30000,0.0,1.0
2010-06-04,14.1,14.22,14.1,14.22,12900,0.0,1.0
2010-06-07,14.17,14.18,14.05,14.05,24300,0.0,1.0
2010-06-08,14.06,14.11,13.9,13.9,26200,0.0,1.0
2010-06-09,14.45,14.47,14.05,14.08,17000,0.0,1.0
2010-06-10,13.91,14.15,13.91,14.1,38300,0.0,1.0
2010-06-11,13.98,14.1,13.9,13.9,11600,0.0,1.0
2010-06-14,13.9,14.4,13.9,14.0,13700,0.0,1.0
2010-06-15,14.0,14.08,13.9,14.08,30700,0.0,1.0
2010-06-16,13.97,14.37,13.97,14.16,23800,0.0,1.0
2010-06-17,14.37,14.39,14.16,14.39,10400,0.0,1.0
2010-06-18,14.35,14.6,14.35,14.54,5400,0.0,1.0
2010-06-21,14.6,15.42,14.6,15.04,58700,0.0,1.0
2010-06-22,14.98,15.24,14.8,14.99,9900,0.0,1.0
2010-06-23,14.96,15.39,14.8,15.39,11800,0.0,1.0
2010-06-24,15.39,16.05,15.06,16.0,99400,0.0,1.0
2010-06-25,16.07,16.2,16.0,16.06,40600,0.0,1.0
2010-06-28,16.05,16.18,15.7,15.75,47000,0.0,1.0
2010-06-29,15.73,15.77,15.08,15.32,28900,0.0,1.0
2010-06-30,15.3,15.64,15.02,15.27,59700,0.0,1.0
2010-07-01,15.42,15.42,14.8,15.21,44100,0.0,1.0
2010-07-02,15.41,15.41,14.8,15.06,113300,0.0,1.0
2010-07-06,15.35,15.42,15.0,15.13,60400,0.0,1.0
2010-07-07,14.76,15.21,14.26,14.9,187200,0.0,1.0
2010-07-08,14.88,14.88,14.5,14.55,21500,0.0,1.0
2010-07-09,14.55,14.88,14.38,14.5,32000,0.0,1.0
2010-07-12,14.59,15.41,14.59,15.25,99500,0.0,1.0
2010-07-13,15.3,15.4,15.06,15.15,103300,0.0,1.0
2010-07-14,15.15,15.2,15.1,15.1,7200,0.0,1.0
2010-07-15,15.1,15.5,15.02,15.1,14900,0.0,1.0
2010-07-16,15.02,15.14,14.66,14.84,9800,0.0,1.0
2010-07-19,15.0,15.0,14.82,14.82,38100,0.0,1.0
2010-07-20,14.84,15.24,14.84,15.23,11200,0.0,1.0
2010-07-21,15.24,15.46,15.24,15.3,23200,0.0,1.0
2010-07-22,15.46,15.6,15.3,15.6,27600,0.0,1.0
2010-07-23,15.6,15.9,15.3,15.75,32800,0.0,1.0
2010-07-26,15.6,16.06,15.6,16.06,35700,0.0,1.0
2010-07-27,16.03,16.48,16.02,16.4,76800,0.0,1.0
2010-07-28,16.37,17.18,16.26,17.08,236100,0.0,1.0
2010-07-29,17.08,17.6,17.08,17.59,120900,0.0,1.0
