date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-11-10,126.0,126.0,126.0,126.0,500,0.0,1.0
2017-12-13,126.0,126.0,126.0,126.0,40,0.0,1.0
2018-02-09,134.25,134.25,134.25,134.25,1350,0.0,1.0
2018-03-02,133.75,133.75,133.75,133.75,222,0.0,1.0
2018-05-21,132.67,132.67,132.15,132.15,470,0.0,1.0
2018-08-29,135.61,135.61,135.6,135.6,500,0.0,1.0
2019-02-27,135.6,135.6,135.6,135.6,50,0.0,1.0
2019-03-28,135.6,135.6,135.6,135.6,24,0.0,1.0
2019-05-08,153.85,153.85,153.85,153.85,100,5.8738,1.0
2019-06-14,153.85,153.85,153.85,153.85,700,0.0,1.0
2019-07-26,153.85,153.85,153.85,153.85,28,0.0,1.0
2019-08-06,153.7,153.7,153.7,153.7,176,0.0,1.0
2019-08-23,164.55,164.55,164.55,164.55,185,0.0,1.0
2019-09-06,163.6,163.6,163.6,163.6,280,0.0,1.0
2019-09-19,163.6,163.6,163.6,163.6,9,0.0,1.0
2019-10-22,176.51,176.51,176.51,176.51,358,0.0,1.0
2019-10-29,176.51,176.51,176.51,176.51,1,0.0,1.0
2019-12-18,193.53,193.53,193.53,193.53,839,0.0,1.0
2020-01-02,193.53,193.53,193.53,193.53,36,0.0,1.0
2020-01-23,193.53,193.53,193.53,193.53,2,0.0,1.0
2020-03-17,122.16,122.16,122.16,122.16,369,0.0,1.0
2020-03-23,122.16,122.16,122.16,122.16,85,0.0,1.0
2020-03-24,140.92,140.92,140.64,140.64,828,0.0,1.0
2020-03-25,148.55,148.55,148.55,148.55,782,0.0,1.0
2020-04-07,148.55,148.55,148.55,148.55,40,0.0,1.0
2020-04-15,148.55,148.55,148.55,148.55,40,0.0,1.0
2020-05-14,141.16,141.16,141.16,141.16,185,0.0,1.0
2020-06-03,141.16,141.16,141.16,141.16,5,0.0,1.0
2020-06-09,182.0,182.0,182.0,182.0,330,0.0,1.0
2020-06-11,182.0,182.0,182.0,182.0,1,0.0,1.0
2020-06-12,171.5,171.5,171.5,171.5,165,0.0,1.0
2020-06-15,171.5,171.5,171.5,171.5,1,0.0,1.0
2020-06-16,171.5,171.5,171.5,171.5,94,0.0,1.0
2020-06-19,172.65,172.65,172.65,172.65,100,0.0,1.0
2020-06-23,172.65,172.65,172.65,172.65,80,0.0,1.0
2020-07-22,172.65,172.65,172.65,172.65,0,0.0,1.0
2020-07-23,172.65,172.65,172.65,172.65,80,0.0,1.0
2020-07-24,172.65,172.65,172.65,172.65,0,0.0,1.0
2020-07-27,172.65,172.65,172.65,172.65,0,0.0,1.0
2020-07-28,172.65,172.65,172.65,172.65,0,0.0,1.0
2020-07-29,172.65,172.65,172.65,172.65,0,0.0,1.0
2020-07-30,169.7,170.95,169.7,169.7,300,0.0,1.0
2020-07-31,169.7,169.7,169.7,169.7,0,0.0,1.0
2020-08-03,169.7,169.7,169.7,169.7,0,0.0,1.0
2020-08-04,169.7,169.7,169.7,169.7,0,0.0,1.0
