date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,5.94,5.94,5.75,5.75,11700,0.0,1.0
1999-11-02,5.81,6.0,5.81,5.88,5200,0.0,1.0
1999-11-03,5.88,6.0,5.88,6.0,3500,0.0,1.0
1999-11-04,6.0,6.0,5.94,5.97,6400,0.0,1.0
1999-11-05,5.94,6.0,5.88,5.97,12000,0.0,1.0
1999-11-08,5.97,6.0,5.88,6.0,17700,0.0,1.0
1999-11-09,6.09,6.12,6.06,6.12,8600,0.0,1.0
1999-11-10,6.25,6.25,6.12,6.12,18500,0.0,1.0
1999-11-11,6.12,6.22,6.03,6.06,8500,0.0,1.0
1999-11-12,6.06,6.12,5.94,6.0,210900,0.0,1.0
1999-11-15,6.09,6.38,5.75,6.03,30800,0.0,1.0
1999-11-16,5.84,5.97,5.83,5.94,10100,0.0,1.0
1999-11-17,5.94,6.34,5.94,6.12,28900,0.0,1.0
1999-11-18,6.12,6.12,6.06,6.06,12000,0.0,1.0
1999-11-19,6.08,6.12,6.06,6.09,14400,0.0,1.0
1999-11-22,6.2,6.25,6.16,6.19,32000,0.0,1.0
1999-11-23,6.23,6.25,6.12,6.25,52800,0.0,1.0
1999-11-24,6.28,6.34,6.19,6.19,52400,0.0,1.0
1999-11-26,6.31,6.38,6.28,6.28,2300,0.0,1.0
1999-11-29,6.3,6.3,6.28,6.28,4700,0.0,1.0
1999-11-30,6.28,6.31,6.22,6.28,21400,0.0,1.0
1999-12-01,6.28,6.34,6.28,6.34,4800,0.0,1.0
1999-12-02,6.47,6.47,6.38,6.38,5400,0.0,1.0
1999-12-03,6.44,6.44,6.34,6.38,11500,0.0,1.0
1999-12-06,6.34,6.34,6.19,6.19,29300,0.0,1.0
1999-12-07,6.2,6.2,6.12,6.12,5000,0.0,1.0
1999-12-08,6.09,6.11,5.5,5.94,213900,0.0,1.0
1999-12-09,5.95,5.95,5.91,5.91,3100,0.0,1.0
1999-12-10,5.92,5.92,5.84,5.84,11300,0.0,1.0
1999-12-13,5.69,5.97,5.62,5.88,31700,0.0,1.0
1999-12-14,5.66,5.88,5.64,5.69,5800,0.0,1.0
1999-12-15,5.69,5.75,5.62,5.75,12800,0.0,1.0
1999-12-16,5.72,5.88,5.72,5.88,14700,0.0,1.0
1999-12-17,5.91,5.97,5.81,5.94,3600,0.0,1.0
1999-12-20,5.94,5.94,5.69,5.75,26100,0.0,1.0
1999-12-21,5.81,5.81,5.78,5.78,4300,0.0,1.0
1999-12-22,5.81,5.81,5.78,5.78,4100,0.0,1.0
1999-12-23,5.78,5.84,5.78,5.84,7500,0.0,1.0
1999-12-27,5.95,5.97,5.59,5.59,20500,0.0,1.0
1999-12-28,5.59,5.62,5.38,5.62,75100,0.0,1.0
1999-12-29,5.5,5.62,5.5,5.62,29200,0.0,1.0
1999-12-30,5.69,6.0,5.62,5.88,19200,0.0,1.0
1999-12-31,5.94,5.94,5.88,5.91,4900,0.0,1.0
2000-01-03,5.91,6.06,5.88,6.06,20600,0.0,1.0
2000-01-04,6.22,6.38,5.94,6.31,29000,0.0,1.0
2000-01-05,6.47,6.5,6.31,6.38,18900,0.0,1.0
2000-01-06,6.38,6.47,6.34,6.44,14700,0.0,1.0
2000-01-07,6.44,6.62,6.44,6.5,24000,0.0,1.0
2000-01-10,6.5,6.75,6.44,6.75,43700,0.0,1.0
2000-01-11,6.72,6.81,6.66,6.66,26900,0.0,1.0
2000-01-12,6.7,6.75,6.69,6.75,40600,0.0,1.0
2000-01-13,6.75,6.75,6.72,6.75,36600,0.0,1.0
2000-01-14,6.73,6.75,6.56,6.56,15600,0.0,1.0
2000-01-18,6.81,6.94,6.53,6.94,136300,0.0,1.0
2000-01-19,7.75,7.78,7.25,7.5,186000,0.0,1.0
2000-01-20,7.88,8.0,7.44,7.44,75800,0.0,1.0
2000-01-21,7.81,7.94,7.75,7.81,113100,0.0,1.0
2000-01-24,8.0,8.94,7.88,8.75,225400,0.0,1.0
2000-01-25,8.78,9.12,8.62,8.75,38200,0.0,1.0
2000-01-26,8.72,8.75,7.88,8.25,70400,0.0,1.0
2000-01-27,8.12,8.25,7.62,7.69,12800,0.0,1.0
2000-01-28,7.81,7.88,7.56,7.88,7700,0.0,1.0
2000-01-31,7.81,7.88,7.44,7.56,9600,0.0,1.0
2000-02-01,7.62,7.75,7.5,7.62,5700,0.0,1.0
2000-02-02,7.81,7.81,7.5,7.75,15400,0.0,1.0
2000-02-03,7.69,7.97,7.69,7.88,9200,0.0,1.0
2000-02-04,7.75,8.22,7.75,8.12,73500,0.0,1.0
2000-02-07,8.12,9.0,8.12,9.0,117500,0.0,1.0
2000-02-08,9.12,10.19,9.12,10.16,358600,0.0,1.0
