date,open_price,high_price,low_price,close_price,volume,dividend,split
2011-01-26,22.35,22.35,21.8,21.95,2180,0.0,1.0
2011-01-27,22.35,22.35,21.55,21.55,3884,0.0,1.0
2011-01-28,22.35,22.35,20.3,20.3,4274,0.0,1.0
2011-01-31,22.35,22.35,20.3,20.35,5930,0.0,1.0
2011-02-01,22.35,22.35,20.3,20.75,6528,0.0,1.0
2011-02-02,22.35,22.35,20.3,20.5,7426,0.0,1.0
2011-02-03,22.35,22.35,20.3,21.7,8340,0.0,1.0
2011-02-04,22.35,22.35,20.3,20.6,11719,0.0,1.0
2011-02-07,22.35,22.35,20.3,21.35,17719,0.0,1.0
2011-02-08,22.35,22.35,20.3,21.0,18209,0.0,1.0
2011-02-09,22.35,22.35,20.3,20.64,19577,0.0,1.0
2011-02-10,22.35,22.35,19.9,20.75,22079,0.0,1.0
2011-02-11,22.35,22.35,19.5,19.5,22283,0.0,1.0
2011-02-14,22.35,22.35,19.2,19.45,25393,0.0,1.0
2011-02-15,22.35,22.35,19.2,19.6,26004,0.0,1.0
2011-02-16,22.35,22.35,19.2,21.0,27153,0.0,1.0
2011-02-17,22.35,22.35,19.2,20.05,29135,0.0,1.0
2011-02-18,22.35,22.35,19.2,19.6,34637,0.0,1.0
2011-02-22,22.35,22.35,18.71,19.66,34941,0.0,1.0
2011-02-23,22.35,22.35,18.6,18.6,50730,0.0,1.0
2011-02-24,22.35,22.35,17.75,17.75,51794,0.0,1.0
2011-02-25,22.35,22.35,17.75,17.8,53228,0.0,1.0
2011-02-28,22.35,22.35,17.75,17.9,54082,0.0,1.0
2011-03-01,22.35,22.35,17.75,18.52,59518,0.0,1.0
2011-03-02,22.35,22.35,17.75,18.2,63424,0.0,1.0
2011-03-03,22.35,22.35,17.75,18.6,64540,0.0,1.0
2011-03-04,22.35,22.35,17.75,18.3,66862,0.0,1.0
2011-03-07,22.35,22.35,17.75,18.65,67000,0.0,1.0
2011-03-08,22.35,22.35,17.75,18.5,71922,0.0,1.0
2011-03-09,22.35,22.35,17.75,19.15,73380,0.0,1.0
2011-03-10,22.35,22.35,17.75,18.55,84820,0.0,1.0
2011-03-11,22.35,22.35,17.75,18.56,87044,0.0,1.0
2011-03-14,22.35,22.35,17.75,18.52,90200,0.0,1.0
2011-03-15,22.35,22.35,17.52,18.1,91633,0.0,1.0
2011-03-16,22.35,22.35,16.75,16.75,115805,0.0,1.0
2011-03-17,22.35,22.35,16.75,17.42,116672,0.0,1.0
2011-03-18,22.35,22.35,16.75,17.57,123475,0.0,1.0
2011-03-21,22.35,22.35,16.75,17.99,126540,0.0,1.0
2011-03-22,22.35,22.35,16.75,18.15,127720,0.0,1.0
2011-03-23,22.35,22.35,16.75,17.36,129190,0.0,1.0
2011-03-24,22.35,22.35,16.75,18.0,133527,0.0,1.0
2011-03-25,22.35,22.35,16.75,18.23,134437,0.0,1.0
2011-03-28,22.35,22.35,16.75,18.24,139014,0.0,1.0
2011-03-29,22.35,22.35,16.75,18.4,141182,0.0,1.0
2011-03-30,22.35,22.35,16.75,18.58,161122,0.0,1.0
2011-03-31,22.35,22.35,16.75,18.25,163588,0.0,1.0
2011-04-01,22.35,22.35,16.75,18.13,164296,0.0,1.0
2011-04-04,22.35,22.35,16.75,18.02,165495,0.0,1.0
2011-04-05,22.35,22.35,16.75,17.91,171269,0.0,1.0
2011-04-06,18.2,18.33,18.2,18.3,6555,0.0,1.0
2011-04-07,18.14,18.14,18.12,18.12,3400,0.0,1.0
2011-04-08,17.82,17.82,17.66,17.66,10189,0.0,1.0
2011-04-11,17.63,17.63,17.55,17.55,300,0.0,1.0
2011-04-12,18.11,18.42,18.11,18.22,1605,0.0,1.0
2011-04-13,18.32,18.32,18.27,18.32,1790,0.0,1.0
2011-04-14,18.35,18.35,18.35,18.35,133,0.0,1.0
2011-04-15,18.29,18.29,18.29,18.29,646,0.0,1.0
2011-04-18,17.6,17.69,17.47,17.53,3182,0.0,1.0
2011-04-19,17.6,17.69,17.47,17.53,0,0.0,1.0
2011-04-20,18.21,18.21,18.21,18.21,1524,0.0,1.0
2011-04-21,18.16,18.16,18.11,18.13,2500,0.0,1.0
2011-04-25,17.99,18.25,17.99,18.25,520,0.0,1.0
2011-04-26,18.69,19.0,18.69,19.0,980,0.0,1.0
2011-04-27,19.62,19.92,19.62,19.92,659,0.0,1.0
2011-04-28,19.55,19.94,19.55,19.94,527,0.0,1.0
2011-04-29,19.98,20.12,19.76,19.76,933,0.0,1.0
2011-05-02,20.35,20.35,19.63,20.35,773,0.0,1.0
2011-05-03,20.24,20.24,19.73,19.74,944,0.0,1.0
2011-05-04,19.82,19.82,19.66,19.73,6743,0.0,1.0
2011-05-05,20.0,20.36,20.0,20.01,2228,0.0,1.0
2011-05-06,20.51,20.96,20.51,20.96,1499,0.0,1.0
2011-05-09,20.24,20.45,20.24,20.45,510,0.0,1.0
2011-05-10,20.32,20.37,20.19,20.19,747,0.0,1.0
2011-05-11,20.08,20.08,20.08,20.08,700,0.0,1.0
2011-05-12,20.15,20.15,20.15,20.15,100,0.0,1.0
2011-05-13,19.52,19.52,19.52,19.52,500,0.0,1.0
2011-05-16,19.52,19.52,19.52,19.52,0,0.0,1.0
2011-05-17,19.66,19.79,19.63,19.63,697,0.0,1.0
2011-05-18,19.53,19.78,19.53,19.78,7390,0.0,1.0
2011-05-19,20.43,20.43,20.26,20.26,476,0.0,1.0
2011-05-20,20.33,20.33,20.13,20.13,225,0.0,1.0
2011-05-23,19.08,19.08,19.08,19.08,207,0.0,1.0
