date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,13.5,13.63,13.5,13.5,66000,0.0,1.0
1999-11-02,13.5,13.5,13.5,13.5,0,0.0,1.0
1999-11-03,13.69,14.13,13.69,13.88,65600,0.0,1.0
1999-11-04,14.0,14.44,13.88,14.44,135600,0.0,1.0
1999-11-05,14.13,14.38,14.13,14.38,539200,0.0,1.0
1999-11-08,14.38,14.38,14.25,14.25,2800,0.0,1.0
1999-11-09,14.5,14.63,14.25,14.5,52800,0.0,1.0
1999-11-10,14.56,14.63,14.5,14.5,477200,0.0,1.0
1999-11-11,14.63,17.0,14.63,16.94,88400,0.0,1.0
1999-11-12,17.5,18.13,17.0,17.0,202400,0.0,1.0
1999-11-15,17.63,17.63,15.94,16.31,92800,0.0,1.0
1999-11-16,16.41,16.41,16.31,16.31,8800,0.0,1.0
1999-11-17,17.0,17.0,16.0,16.0,10800,0.0,1.0
1999-11-18,16.75,17.0,16.38,16.88,51600,0.0,1.0
1999-11-19,17.0,17.38,16.63,17.13,26800,0.0,1.0
1999-11-22,17.28,17.28,16.75,17.0,234800,0.0,1.0
1999-11-23,16.5,17.13,15.63,15.88,102800,0.0,1.0
1999-11-24,15.75,16.13,15.75,15.75,16800,0.0,1.0
1999-11-26,15.75,15.75,15.75,15.75,0,0.0,1.0
1999-11-29,15.5,15.5,14.75,15.5,16000,0.0,1.0
1999-11-30,14.63,14.69,13.88,13.88,26400,0.0,1.0
1999-12-01,14.97,17.13,14.97,15.88,59200,0.0,1.0
1999-12-02,17.25,18.13,17.13,17.13,74800,0.0,1.0
1999-12-03,17.5,17.5,16.0,16.06,79600,0.0,1.0
1999-12-06,16.06,16.75,15.0,15.0,65600,0.0,1.0
1999-12-07,15.19,15.5,15.0,15.5,14400,0.0,1.0
1999-12-08,15.5,15.5,13.13,14.0,51600,0.0,1.0
1999-12-09,14.0,14.63,14.0,14.0,13600,0.0,1.0
1999-12-10,14.0,14.0,14.0,14.0,32800,0.0,1.0
1999-12-13,14.63,14.63,12.88,13.0,109600,0.0,1.0
1999-12-14,13.63,13.63,13.25,13.5,15200,0.0,1.0
1999-12-15,13.25,14.63,12.88,14.63,126000,0.0,1.0
1999-12-16,14.25,15.0,14.25,14.75,32400,0.0,1.0
1999-12-17,15.0,15.13,14.44,14.44,13200,0.0,1.0
1999-12-20,14.44,15.38,14.0,15.0,56800,0.0,1.0
1999-12-21,14.5,14.5,14.0,14.0,23600,0.0,1.0
1999-12-22,14.5,14.5,13.88,14.5,8000,0.0,1.0
1999-12-23,14.75,17.25,14.38,17.0,118400,0.0,1.0
1999-12-27,16.0,17.25,15.69,17.0,37200,0.0,1.0
1999-12-28,17.13,17.25,16.13,17.0,18000,0.0,1.0
1999-12-29,17.19,17.5,16.63,17.25,35200,0.0,1.0
1999-12-30,17.0,17.25,17.0,17.0,12800,0.0,1.0
1999-12-31,17.0,17.0,17.0,17.0,400,0.0,1.0
2000-01-03,17.0,17.0,17.0,17.0,0,0.0,1.0
2000-01-04,16.63,17.31,16.38,16.63,14000,0.0,1.0
2000-01-05,16.44,16.44,16.44,16.44,6000,0.0,1.0
2000-01-06,17.0,17.0,16.88,16.88,201600,0.0,1.0
2000-01-07,17.13,17.13,16.88,16.88,30000,0.0,1.0
2000-01-10,17.13,17.13,16.88,17.13,19600,0.0,1.0
2000-01-11,17.13,17.13,16.25,17.0,40000,0.0,1.0
