date,open_price,high_price,low_price,close_price,volume,dividend,split
2016-01-05,13.79,13.79,13.79,13.79,200,0.0,1.0
2016-01-06,13.42,13.42,13.42,13.42,200,0.0,1.0
2016-01-07,13.42,13.42,13.42,13.42,0,0.0,1.0
2016-01-08,13.42,13.42,13.42,13.42,0,0.0,1.0
2016-01-11,13.14,13.14,13.14,13.14,22566,0.0,1.0
2016-01-12,13.0,13.0,13.0,13.0,182,0.0,1.0
2016-01-13,13.0,13.0,13.0,13.0,0,0.0,1.0
2016-01-14,13.15,13.15,13.15,13.15,200,0.0,1.0
2016-01-15,12.3,12.3,12.3,12.3,1414,0.0,1.0
2016-01-19,12.3,12.3,12.3,12.3,0,0.0,1.0
2016-01-20,12.3,12.3,12.3,12.3,0,0.0,1.0
2016-01-21,13.06,13.06,13.06,13.06,30240,0.0,1.0
2016-01-22,13.06,13.06,13.06,13.06,35,0.0,1.0
2016-01-25,13.33,13.33,13.33,13.33,203,0.0,1.0
2016-01-26,13.33,13.33,13.33,13.33,0,0.0,1.0
2016-01-27,13.33,13.33,13.33,13.33,0,0.0,1.0
2016-01-28,13.33,13.33,13.33,13.33,0,0.0,1.0
2016-01-29,13.33,13.33,13.33,13.33,0,0.0,1.0
2016-02-01,13.33,13.33,13.33,13.33,0,0.0,1.0
2016-02-02,12.74,12.74,12.74,12.74,200,0.0,1.0
2016-02-03,12.74,12.74,12.74,12.74,0,0.0,1.0
2016-02-04,12.48,12.48,12.48,12.48,165,0.0,1.0
2016-02-05,12.48,12.48,12.48,12.48,31500,0.0,1.0
2016-02-08,11.7,11.7,11.7,11.7,160,0.0,1.0
2016-02-09,11.7,11.7,11.7,11.7,0,0.0,1.0
2016-02-10,11.7,11.7,11.7,11.7,0,0.0,1.0
2016-02-11,11.98,11.98,11.98,11.98,429,0.0,1.0
2016-02-12,11.84,11.95,11.84,11.95,332,0.0,1.0
2016-02-16,12.06,12.2,12.06,12.15,10966,0.0,1.0
2016-02-17,12.22,12.22,12.22,12.22,28816,0.0,1.0
