date,open_price,high_price,low_price,close_price,volume,dividend,split
2011-08-01,33.05,33.05,33.05,33.05,100,0.0,1.0
2011-08-02,33.05,33.05,33.05,33.05,0,0.0,1.0
2011-08-03,33.05,33.05,33.05,33.05,0,0.0,1.0
2011-08-04,31.4,31.4,31.4,31.4,200,0.0,1.0
2011-08-05,31.4,31.4,31.4,31.4,0,0.0,1.0
2011-08-08,31.4,31.4,31.4,31.4,0,0.0,1.0
2011-08-09,31.4,31.4,31.4,31.4,0,0.0,1.0
2011-08-10,31.4,31.4,31.4,31.4,0,0.0,1.0
2011-08-11,31.05,31.05,31.05,31.05,200,0.0,1.0
2011-08-12,31.05,31.05,31.05,31.05,0,0.0,1.0
2011-08-15,31.05,31.05,31.05,31.05,0,0.0,1.0
2011-08-16,31.05,31.05,31.05,31.05,0,0.0,1.0
2011-08-17,31.05,31.05,31.05,31.05,0,0.0,1.0
2011-08-18,31.25,31.25,31.25,31.25,230,0.0,1.0
2011-08-19,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-08-22,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-08-23,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-08-24,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-08-25,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-08-26,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-08-29,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-08-30,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-08-31,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-09-01,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-09-02,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-09-06,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-09-07,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-09-08,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-09-09,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-09-12,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-09-13,31.25,31.25,31.25,31.25,0,0.0,1.0
2011-09-14,31.35,31.35,31.35,31.35,792,0.0,1.0
2011-09-15,31.35,31.35,31.35,31.35,0,0.0,1.0
