date,open_price,high_price,low_price,close_price,volume,dividend,split
2016-01-04,1.66,1.7,1.66,1.7,2360,0.0,1.0
2016-01-05,1.81,1.84,1.8,1.82,32798,0.0,1.0
2016-01-06,1.71,1.74,1.61,1.71,8840,0.0,1.0
2016-01-07,1.64,1.71,1.64,1.67,12365,0.0,1.0
2016-01-08,1.63,1.63,1.61,1.61,5143,0.0,1.0
2016-01-11,1.77,1.77,1.7,1.71,670,0.0,1.0
2016-01-12,1.76,1.76,1.64,1.65,17806,0.0,1.0
2016-01-13,1.71,1.73,1.64,1.66,20315,0.0,1.0
2016-01-19,1.58,1.61,1.57,1.6,18087,0.0,1.0
2016-01-20,1.46,1.49,1.45,1.49,12750,0.0,1.0
2016-01-21,1.48,1.56,1.48,1.56,8168,0.0,1.0
2016-01-22,1.64,1.65,1.64,1.65,7602,0.0,1.0
2016-01-25,1.55,1.58,1.55,1.58,14900,0.0,1.0
2016-01-26,1.69,1.73,1.66,1.73,16889,0.0,1.0
2016-01-27,1.74,1.78,1.74,1.78,17391,0.0,1.0
2016-01-28,1.88,1.93,1.88,1.93,14050,0.0,1.0
2016-01-29,2.04,2.16,1.97,2.16,31113,0.0,1.0
2016-02-01,2.1,2.16,2.1,2.16,23882,0.0,1.0
2016-02-02,2.1,2.1,2.04,2.1,4714,0.0,1.0
2016-02-03,2.04,2.09,1.99,2.09,8420,0.0,1.0
2016-02-04,2.44,2.44,2.39,2.44,34797,0.0,1.0
2016-02-05,2.43,2.43,2.38,2.38,9336,0.0,1.0
2016-02-08,2.51,2.52,2.45,2.46,18738,0.0,1.0
2016-02-09,2.23,2.28,2.23,2.28,41101,0.0,1.0
2016-02-10,2.09,2.11,2.05,2.09,12421,0.0,1.0
2016-02-11,2.15,2.15,2.09,2.1,24209,0.0,1.0
2016-02-12,2.27,2.33,2.24,2.31,10869,0.0,1.0
2016-02-16,2.24,2.24,2.15,2.22,164692,0.0,1.0
2016-02-17,2.21,2.28,2.15,2.24,16551,0.0,1.0
2016-02-18,2.25,2.32,2.25,2.27,68589,0.0,1.0
2016-02-19,2.29,2.31,2.26,2.3,25427,0.0,1.0
2016-02-22,2.29,2.31,2.26,2.26,8077,0.0,1.0
2016-02-23,2.27,2.32,2.26,2.31,20014,0.0,1.0
2016-02-24,2.21,2.22,2.17,2.2,14680,0.0,1.0
2016-02-25,2.17,2.18,2.17,2.18,8803,0.0,1.0
2016-02-26,2.02,2.03,1.99,2.0,61452,0.0,1.0
2016-03-01,2.35,2.44,2.35,2.44,32741,0.0,1.0
2016-03-02,2.5,2.55,2.49,2.55,24210,0.0,1.0
2016-03-03,2.8,2.94,2.8,2.91,34028,0.0,1.0
2016-03-04,2.97,3.05,2.86,3.0,91241,0.0,1.0
2016-03-07,3.27,3.3,3.19,3.3,24881,0.0,1.0
