date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,144.0,152.3,143.0,147.9,28800,0.0,1.0
1999-11-02,149.0,155.0,145.0,145.0,67200,0.0,1.0
1999-11-03,146.3,160.9,146.3,150.5,98600,0.0,1.0
1999-11-04,158.5,159.0,150.0,150.8,48100,0.0,1.0
1999-11-05,155.0,157.9,153.3,155.5,25000,0.0,1.0
1999-11-08,153.0,166.0,151.0,162.0,63800,0.0295,1.0
1999-11-09,164.0,172.0,162.1,168.8,49500,0.0,1.0
1999-11-10,173.9,182.0,169.0,179.0,47800,0.0,1.0
1999-11-11,179.1,186.0,178.6,180.0,44800,0.0,1.0
1999-11-12,177.3,179.0,171.6,179.0,14200,0.0,1.0
1999-11-15,182.5,190.0,179.6,189.3,54000,0.0,1.0
1999-11-16,189.5,189.5,182.8,184.3,54600,0.0,1.0
1999-11-17,188.1,208.9,188.1,204.5,93200,0.0,1.0
1999-11-18,198.5,218.0,193.2,210.0,51300,0.0,1.0
1999-11-19,217.0,234.0,216.0,228.5,77000,0.0,1.0
1999-11-22,234.5,235.0,219.9,230.1,121800,0.0,1.0
1999-11-23,231.0,232.5,219.0,223.5,49000,0.0,1.0
1999-11-24,219.5,222.8,212.0,212.1,54300,0.0,1.0
1999-11-26,227.8,228.3,217.3,219.3,70600,0.0,1.0
1999-11-29,223.0,224.0,210.0,218.4,100000,0.0,1.0
1999-11-30,220.0,220.0,206.0,206.0,52000,0.0,1.0
1999-12-01,210.1,214.0,204.1,211.5,70500,0.0,1.0
1999-12-02,210.6,219.9,210.6,218.3,91600,0.0,1.0
1999-12-03,218.0,228.0,217.6,226.0,57500,0.0,1.0
1999-12-06,230.5,252.6,230.0,252.4,151600,0.0,1.0
1999-12-07,258.2,301.0,254.5,290.0,115700,0.0,1.0
1999-12-08,283.0,288.5,260.0,266.0,122200,0.0,1.0
1999-12-09,277.0,287.0,260.3,266.0,96900,0.0,1.0
1999-12-10,272.0,280.0,266.3,270.0,27100,0.0,1.0
1999-12-13,279.9,280.0,255.0,264.0,46200,0.0,1.0
1999-12-14,248.0,256.5,244.3,251.3,54000,0.0,1.0
1999-12-15,237.0,244.8,235.1,240.5,69700,0.0,1.0
1999-12-16,251.1,257.0,245.0,250.0,34500,0.0,1.0
1999-12-17,259.0,260.3,254.4,260.0,36900,0.0,1.0
1999-12-20,266.5,291.5,266.0,284.0,99700,0.0,1.0
1999-12-21,295.0,317.0,290.0,316.1,63000,0.0,1.0
1999-12-22,316.6,351.0,312.8,347.0,57800,0.0,1.0
1999-12-23,360.0,360.0,328.0,337.1,104600,0.0,1.0
1999-12-27,336.9,336.9,301.0,301.0,75600,0.0,1.0
1999-12-28,301.0,330.0,300.0,315.3,35100,0.0,1.0
1999-12-29,329.0,350.0,325.0,339.0,80200,0.0,1.0
1999-12-30,344.0,350.0,306.0,327.0,58400,0.0,1.0
1999-12-31,317.0,330.0,313.0,330.0,21000,0.0,1.0
2000-01-03,375.0,378.0,364.0,369.1,83300,0.0,1.0
2000-01-04,361.0,402.0,356.5,372.0,79000,0.0,1.0
2000-01-05,350.5,363.0,341.0,360.1,94600,0.0,1.0
2000-01-06,358.3,365.0,330.0,330.0,73500,0.0,1.0
2000-01-07,316.5,353.0,301.0,353.0,123200,0.0,1.0
2000-01-10,372.0,374.3,355.0,358.0,55200,0.0,1.0
2000-01-11,348.3,348.3,329.6,337.0,133000,0.0,1.0
2000-01-12,344.0,355.0,314.0,331.0,62000,0.0,1.0
2000-01-13,342.0,342.0,312.0,318.0,40000,0.0,1.0
2000-01-14,326.4,337.3,297.3,298.1,110800,0.0,1.0
2000-01-18,281.0,310.0,266.0,308.3,171600,0.0,1.0
2000-01-19,306.0,316.0,298.8,303.8,36200,0.0,1.0
2000-01-20,303.3,313.0,292.8,295.8,74700,0.0,1.0
