date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,24.12,24.19,23.5,23.5,82100,0.0,1.0
1999-11-02,23.38,24.19,22.62,22.88,159200,0.0,1.0
1999-11-03,22.88,23.0,19.0,19.75,1325500,0.0,1.0
1999-11-04,20.25,20.62,19.75,20.5,816100,0.0,1.0
1999-11-05,20.5,20.62,20.25,20.62,218000,0.0,1.0
1999-11-08,20.5,20.75,20.38,20.5,254300,0.0,1.0
1999-11-09,24.0,24.0,22.0,22.0,1278100,0.0,1.0
1999-11-10,22.12,24.0,22.12,24.0,766700,0.0,1.0
1999-11-11,24.0,24.0,22.81,23.12,230800,0.0,1.0
1999-11-12,23.0,23.75,22.88,23.25,226000,0.0,1.0
1999-11-15,23.12,24.19,23.0,24.12,154700,0.0,1.0
1999-11-16,24.38,24.38,23.44,24.0,163400,0.0,1.0
1999-11-17,24.0,24.0,22.94,23.0,153800,0.0,1.0
1999-11-18,23.0,23.5,23.0,23.25,164200,0.0,1.0
1999-11-19,23.25,23.25,22.25,22.62,153600,0.0,1.0
1999-11-22,22.62,22.75,21.62,22.0,89100,0.0,1.0
1999-11-23,22.06,22.19,21.38,22.0,104700,0.0,1.0
1999-11-24,21.94,22.12,21.5,21.94,109900,0.0,1.0
1999-11-26,21.88,22.06,21.56,21.81,32600,0.0,1.0
1999-11-29,21.62,21.88,21.12,21.44,189900,0.0,1.0
1999-11-30,21.44,21.44,20.88,21.06,211200,0.0,1.0
1999-12-01,21.06,21.06,19.94,20.88,315300,0.0,1.0
1999-12-02,20.88,20.94,20.0,20.44,177000,0.0,1.0
1999-12-03,20.69,20.75,20.0,20.06,221500,0.0,1.0
1999-12-06,20.06,21.75,20.06,21.19,242400,0.0,1.0
1999-12-07,21.06,21.19,20.44,20.62,92300,0.0,1.0
1999-12-08,20.62,20.62,19.62,20.25,187400,0.0,1.0
1999-12-09,20.12,20.12,19.0,19.62,201200,0.0,1.0
1999-12-10,19.88,20.0,19.62,19.94,237600,0.0,1.0
1999-12-13,19.94,20.0,19.5,19.75,409100,0.0,1.0
1999-12-14,19.75,19.75,18.62,19.0,391300,0.0,1.0
1999-12-15,19.0,19.0,18.19,18.5,596200,0.0,1.0
1999-12-16,18.5,19.69,18.5,19.38,244000,0.0,1.0
1999-12-17,19.38,19.94,19.38,19.56,155300,0.0,1.0
1999-12-20,19.81,20.0,19.5,19.75,172000,0.0,1.0
1999-12-21,19.88,20.5,19.5,20.19,198300,0.0,1.0
1999-12-22,20.19,20.62,19.88,19.88,242400,0.0,1.0
1999-12-23,19.88,20.19,19.62,19.94,94900,0.0,1.0
1999-12-27,19.81,20.56,19.81,20.31,99500,0.0,1.0
1999-12-28,20.38,20.81,19.56,20.06,170100,0.0,1.0
1999-12-29,19.94,20.56,19.94,20.56,79600,0.0,1.0
1999-12-30,20.44,20.62,19.88,20.31,76600,0.0,1.0
1999-12-31,20.56,20.81,20.0,20.69,66500,0.0,1.0
2000-01-03,20.94,21.0,19.88,20.19,99100,0.0,1.0
2000-01-04,20.06,20.12,19.56,19.69,133200,0.0,1.0
2000-01-05,19.75,19.88,19.38,19.62,93400,0.0,1.0
2000-01-06,19.62,19.81,19.25,19.44,170400,0.0,1.0
2000-01-07,19.31,19.69,19.0,19.56,356300,0.0,1.0
2000-01-10,19.56,21.25,19.56,20.88,363800,0.0,1.0
2000-01-11,20.88,21.81,20.88,21.38,331500,0.0,1.0
2000-01-12,21.38,21.56,21.06,21.5,97700,0.0,1.0
2000-01-13,21.56,22.69,21.56,22.69,198800,0.0,1.0
2000-01-14,22.56,23.0,22.44,23.0,260300,0.0,1.0
2000-01-18,22.94,22.94,22.5,22.56,129400,0.0,1.0
2000-01-19,22.56,22.56,21.75,21.88,196200,0.0,1.0
2000-01-20,22.0,22.38,21.56,22.31,206100,0.0,1.0
2000-01-21,22.06,22.12,21.56,21.88,139400,0.0,1.0
2000-01-24,21.88,22.44,21.88,22.44,94100,0.0,1.0
2000-01-25,22.69,22.75,20.62,21.69,183600,0.0,1.0
2000-01-26,21.69,21.81,20.88,21.25,247200,0.0,1.0
2000-01-27,21.19,22.06,21.19,21.38,181000,0.0,1.0
2000-01-28,21.38,21.38,20.75,20.88,111600,0.0,1.0
2000-01-31,20.88,20.94,20.0,20.56,215400,0.0,1.0
2000-02-01,20.56,21.31,20.56,21.31,170500,0.0,1.0
2000-02-02,21.31,21.44,20.88,21.19,99800,0.0,1.0
2000-02-03,21.25,21.81,21.19,21.5,106700,0.0,1.0
2000-02-04,21.75,22.06,21.62,21.62,115300,0.0,1.0
2000-02-07,21.62,21.75,20.38,20.56,224300,0.0,1.0
2000-02-08,20.56,20.94,19.75,20.81,385500,0.0,1.0
2000-02-09,20.81,21.25,20.5,20.62,334700,0.0,1.0
2000-02-10,20.88,20.94,20.12,20.19,149600,0.0,1.0
