date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-31,24.3,24.3,24.3,24.3,800,0.0,1.0
2007-08-01,23.35,23.35,23.35,23.35,22800,0.0,1.0
2007-08-02,23.35,23.35,23.35,23.35,0,0.0,1.0
2007-08-03,23.35,23.35,23.35,23.35,0,0.0,1.0
2007-08-06,23.35,23.35,23.35,23.35,0,0.0,1.0
2007-08-07,23.35,23.35,23.35,23.35,0,0.0,1.0
2007-08-08,23.35,23.35,23.35,23.35,0,0.0,1.0
2007-08-09,23.35,23.35,23.35,23.35,0,0.0,1.0
2007-08-10,22.2,22.2,22.2,22.2,400,0.0,1.0
2007-08-13,22.2,22.2,22.2,22.2,0,0.0,1.0
2007-08-14,22.2,22.2,22.2,22.2,0,0.0,1.0
2007-08-15,22.2,22.2,22.2,22.2,0,0.0,1.0
2007-08-16,22.2,22.2,22.2,22.2,0,0.0,1.0
2007-08-17,22.2,22.2,22.2,22.2,0,0.0,1.0
2007-08-20,22.2,22.2,22.2,22.2,0,0.0,1.0
2007-08-21,22.2,22.2,22.2,22.2,0,0.0,1.0
2007-08-22,22.2,22.2,22.2,22.2,0,0.0,1.0
2007-08-23,22.2,22.2,22.2,22.2,0,0.0,1.0
2007-08-24,24.6,24.6,24.6,24.6,100,0.0,1.0
2007-08-27,24.6,24.6,24.6,24.6,0,0.0,1.0
2007-08-28,24.6,24.6,24.6,24.6,0,0.0,1.0
2007-08-29,24.6,24.6,24.6,24.6,0,0.0,1.0
2007-08-30,24.6,24.6,24.6,24.6,0,0.0,1.0
2007-08-31,24.6,24.6,24.6,24.6,0,0.0,1.0
2007-09-04,24.6,24.6,24.6,24.6,0,0.0,1.0
2007-09-05,28.6,28.6,28.6,28.6,5000,0.0,1.0
2007-09-06,28.6,28.6,28.6,28.6,0,0.0,1.0
2007-09-07,28.6,28.6,28.6,28.6,0,0.0,1.0
2007-09-10,26.6,26.6,26.6,26.6,1200,0.0,1.0
2007-09-11,26.6,26.6,26.6,26.6,0,0.0,1.0
2007-09-12,26.6,26.6,26.6,26.6,0,0.0,1.0
2007-09-13,26.6,26.6,26.6,26.6,0,0.0,1.0
2007-09-14,26.6,26.6,26.6,26.6,0,0.0,1.0
2007-09-17,26.6,26.6,26.6,26.6,0,0.0,1.0
2007-09-18,27.85,27.85,27.85,27.85,782,0.0,1.0
2007-09-19,27.85,27.85,27.85,27.85,0,0.0,1.0
2007-09-20,27.85,27.85,27.85,27.85,0,0.0,1.0
2007-09-21,27.85,27.85,27.85,27.85,0,0.0,1.0
2007-09-24,27.85,27.85,27.85,27.85,0,0.0,1.0
2007-09-25,28.4,28.4,28.4,28.4,2400,0.0,1.0
2007-09-26,28.4,28.4,28.4,28.4,0,0.0,1.0
