date,open_price,high_price,low_price,close_price,volume,dividend,split
2018-07-10,6.3,6.3,6.3,6.3,151,0.0,1.0
2018-07-11,6.0,6.0,6.0,6.0,151,0.0,1.0
2018-07-31,6.0,6.0,6.0,6.0,151,0.0,1.0
2019-01-17,6.0,6.0,6.0,6.0,17,0.0,1.0
2019-04-22,6.0,6.0,6.0,6.0,1,0.0,1.0
2020-03-10,8.95,8.95,8.95,8.95,100,0.0,1.0
2020-06-22,8.95,8.95,8.95,8.95,1,0.0,1.0
2020-07-22,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-07-23,8.95,8.95,8.95,8.95,1,0.0,1.0
2020-07-24,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-07-27,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-07-28,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-07-29,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-07-30,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-07-31,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-08-03,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-08-04,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-08-05,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-08-06,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-08-07,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-08-10,8.95,8.95,8.95,8.95,0,0.0,1.0
2020-08-11,9.47,9.47,9.4,9.4,120372,0.0,1.0
2020-08-12,9.42,9.42,9.33,9.33,496119,0.0,1.0
2020-08-13,9.33,9.33,9.33,9.33,624,0.0,1.0
2020-08-14,9.29,9.35,9.0,9.35,9132,0.0,1.0
2020-08-17,9.35,9.35,9.35,9.35,0,0.0,1.0
2020-08-18,9.25,9.25,9.25,9.25,2115,0.0,1.0
2020-08-19,9.0,9.11,8.5,8.5,593,0.0,1.0
2020-08-20,8.5,8.5,8.5,8.5,0,0.0,1.0
2020-08-21,9.13,9.13,9.13,9.13,119,0.0,1.0
2020-08-24,8.9,8.9,8.9,8.9,428,0.0,1.0
2020-08-25,9.3,9.3,9.3,9.3,248,0.0,1.0
2020-08-26,9.57,9.57,9.57,9.57,577,0.0,1.0
2020-08-27,9.57,9.57,9.57,9.57,19,0.0,1.0
2020-08-28,10.0,10.0,10.0,10.0,440,0.0,1.0
2020-08-31,10.0,10.0,10.0,10.0,418,0.0,1.0
2020-09-01,9.4,9.4,9.4,9.4,581,0.0,1.0
2020-09-02,9.7,9.75,9.7,9.7,796,0.0,1.0
2020-09-03,9.6,9.65,9.6,9.65,5427,0.0,1.0
2020-09-04,9.9,9.95,9.9,9.95,659,0.0,1.0
2020-09-08,10.11,10.11,10.11,10.11,279,0.0,1.0
2020-09-09,10.9,10.95,10.45,10.95,1606,0.0,1.0
2020-09-10,10.95,10.95,10.95,10.95,2,0.0,1.0
2020-09-11,10.65,10.65,9.88,9.88,1469,0.0,1.0
2020-09-14,10.45,10.45,10.45,10.45,191,0.0,1.0
2020-09-15,10.45,10.45,10.45,10.45,0,0.0,1.0
2020-09-16,10.45,10.45,10.45,10.45,194,0.0,1.0
2020-09-17,10.5,10.7,10.12,10.12,5675,0.0,1.0
2020-09-18,10.46,10.99,9.69,10.26,14733,0.0,1.0
2020-09-21,10.26,10.26,10.26,10.26,0,0.0,1.0
2020-09-22,9.52,9.52,9.45,9.45,292,0.0,1.0
2020-09-23,9.45,9.45,9.45,9.45,9,0.0,1.0
2020-09-24,11.02,11.1,11.02,11.1,960,0.0,1.0
2020-09-25,10.4,10.4,10.4,10.4,182,0.0,1.0
2020-09-28,10.8,10.98,10.8,10.98,283,0.0,1.0
2020-09-29,10.98,10.98,10.98,10.98,0,0.0,1.0
2020-09-30,10.67,10.67,10.67,10.67,1095,0.0,1.0
2020-10-01,10.71,10.71,10.03,10.03,4701,0.0,1.0
2020-10-02,10.03,10.03,10.03,10.03,74,0.0,1.0
2020-10-05,11.19,11.19,11.19,11.19,283,0.0,1.0
2020-10-06,9.77,10.35,9.77,10.35,988,0.0,1.0
2020-10-07,9.73,10.3,9.73,10.3,299,0.0,1.0
2020-10-08,10.3,10.3,10.3,10.3,100,0.0,1.0
2020-10-09,10.52,10.52,10.52,10.52,103,0.0,1.0
2020-10-12,10.5,11.05,10.5,10.5,611,0.0,1.0
2020-10-13,10.5,10.5,10.5,10.5,0,0.0,1.0
2020-10-14,10.55,10.55,10.55,10.55,156,0.0,1.0
2020-10-15,10.5,10.5,10.5,10.5,1652,0.0,1.0
2020-10-16,10.72,10.72,10.72,10.72,367,0.0,1.0
2020-10-19,10.72,10.72,10.72,10.72,31,0.0,1.0
2020-10-20,10.63,10.63,10.26,10.48,5631,0.0,1.0
