date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,12.44,12.69,12.44,12.63,30600,0.0,1.0
1999-11-02,12.63,13.25,12.63,13.19,19600,0.0,1.0
1999-11-03,13.25,13.5,13.19,13.5,15100,0.0,1.0
1999-11-04,13.5,13.5,13.06,13.06,18800,0.0,1.0
1999-11-05,12.94,13.0,12.94,12.94,35000,0.0,1.0
1999-11-08,12.94,13.13,12.94,13.0,45900,0.0,1.0
1999-11-09,13.06,13.06,12.81,12.94,40900,0.0,1.0
1999-11-10,12.88,12.94,12.81,12.88,19900,0.0,1.0
1999-11-11,12.88,12.88,12.5,12.5,16000,0.0,1.0
1999-11-12,12.69,12.69,12.5,12.63,24900,0.0,1.0
1999-11-15,12.69,12.81,12.63,12.69,7100,0.0,1.0
1999-11-16,12.75,12.94,12.63,12.88,8700,0.0,1.0
1999-11-17,12.81,13.0,12.81,12.94,44000,0.0,1.0
1999-11-18,12.94,13.0,12.88,12.94,15600,0.0,1.0
1999-11-19,13.0,13.0,12.75,12.81,2400,0.0,1.0
1999-11-22,12.75,12.81,12.38,12.38,16300,0.0,1.0
1999-11-23,12.44,12.44,12.38,12.38,3200,0.0,1.0
1999-11-24,12.31,12.31,12.13,12.13,15000,0.0,1.0
1999-11-26,12.19,12.19,12.13,12.13,8900,0.0,1.0
1999-11-29,12.06,12.13,12.0,12.06,8900,0.0,1.0
1999-11-30,12.06,12.13,12.0,12.13,4400,0.0,1.0
1999-12-01,12.06,12.06,10.5,10.5,62000,0.0,1.0
1999-12-02,10.63,11.19,10.63,11.19,45300,0.0,1.0
1999-12-03,11.13,11.25,11.0,11.19,20000,0.0,1.0
1999-12-06,11.19,11.25,10.63,10.63,23100,0.0,1.0
1999-12-07,10.69,10.69,10.38,10.38,21700,0.0,1.0
1999-12-08,10.38,10.38,10.0,10.06,38100,0.0,1.0
1999-12-09,10.19,10.38,10.06,10.19,24600,0.0,1.0
1999-12-10,10.31,10.44,10.06,10.06,29100,0.0,1.0
1999-12-13,10.06,10.13,9.81,9.88,26700,0.0,1.0
1999-12-14,9.88,9.94,9.88,9.88,8000,0.0,1.0
1999-12-15,9.75,9.75,9.56,9.62,28400,0.0,1.0
1999-12-16,9.69,9.69,9.19,9.31,18700,0.0,1.0
1999-12-17,9.44,10.12,9.38,10.06,109100,0.0,1.0
1999-12-20,9.94,10.56,9.94,10.38,47500,0.0,1.0
1999-12-21,10.5,10.75,10.44,10.69,18700,0.0,1.0
1999-12-22,10.69,10.88,10.56,10.88,41800,0.0,1.0
1999-12-23,11.0,11.38,10.88,11.38,31500,0.0,1.0
1999-12-27,11.38,11.81,11.38,11.81,17500,0.0,1.0
1999-12-28,11.81,12.25,11.81,12.19,31800,0.0,1.0
1999-12-29,12.25,12.44,12.25,12.38,10400,0.0,1.0
1999-12-30,12.44,12.44,11.94,11.94,16400,0.0,1.0
1999-12-31,11.88,11.88,11.81,11.88,4400,0.0,1.0
2000-01-03,11.81,11.81,11.25,11.31,14900,0.0,1.0
2000-01-04,11.25,11.31,11.25,11.25,9400,0.0,1.0
2000-01-05,11.38,11.44,11.25,11.44,4300,0.0,1.0
2000-01-06,11.56,11.56,11.31,11.38,6300,0.0,1.0
2000-01-07,11.5,11.94,11.5,11.94,9100,0.0,1.0
2000-01-10,12.06,12.44,11.88,11.88,24100,0.0,1.0
2000-01-11,11.88,12.0,11.5,11.5,17600,0.0,1.0
2000-01-12,11.44,11.44,10.75,10.75,25700,0.0,1.0
2000-01-13,10.88,10.88,10.75,10.75,17000,0.0,1.0
2000-01-14,10.75,10.88,10.63,10.75,17900,0.0,1.0
2000-01-18,10.75,10.75,10.25,10.31,18700,0.0,1.0
2000-01-19,10.25,10.69,10.25,10.69,19400,0.0,1.0
2000-01-20,10.56,10.81,10.06,10.06,31200,0.0,1.0
2000-01-21,11.0,15.0,11.0,15.0,242200,0.0,1.0
2000-01-24,15.0,15.38,13.88,15.38,211900,0.0,1.0
2000-01-25,14.94,15.13,14.38,14.88,36500,0.0,1.0
2000-01-26,15.25,15.25,15.0,15.0,26000,0.0,1.0
2000-01-27,14.88,14.94,13.75,13.75,90400,0.0,1.0
