date,open_price,high_price,low_price,close_price,volume,dividend,split
2018-05-10,12.0,12.0,12.0,12.0,100,0.0,1.0
2018-07-12,10.72,10.72,10.72,10.72,200,0.0,1.0
2019-02-07,11.65,11.65,11.65,11.65,100,0.0,1.0
2019-03-01,11.92,11.92,11.92,11.92,100,0.0,1.0
2019-03-05,11.83,11.83,11.83,11.83,100,0.0,1.0
2019-04-04,11.76,12.01,11.76,12.01,800,0.0,1.0
2019-04-09,11.31,11.31,11.0,11.0,2800,0.0,1.0
2019-04-10,11.0,11.0,11.0,11.0,89,0.0,1.0
2019-07-25,11.0,11.0,11.0,11.0,89,0.0,1.0
2019-08-05,9.4,9.4,9.4,9.4,759,0.0,1.0
2019-08-21,9.4,9.4,9.4,9.4,1,0.0,1.0
2019-11-14,9.4,9.4,9.4,9.4,4,0.0,1.0
2019-11-21,9.4,9.4,9.4,9.4,1,0.0,1.0
2020-02-14,9.18,9.18,9.18,9.18,100,0.0,1.0
2020-02-21,9.18,9.18,9.18,9.18,1,0.0,1.0
2020-02-27,9.18,9.18,9.18,9.18,11,0.0,1.0
2020-03-03,9.18,9.18,9.18,9.18,74,0.0,1.0
2020-03-27,9.18,9.18,9.18,9.18,1,0.0,1.0
2020-04-15,9.18,9.18,9.18,9.18,10,0.0,1.0
2020-06-30,9.18,9.18,9.18,9.18,57,0.0,1.0
2020-07-22,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-07-23,9.18,9.18,9.18,9.18,57,0.0,1.0
2020-07-24,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-07-27,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-07-28,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-07-29,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-07-30,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-07-31,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-03,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-04,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-05,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-06,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-07,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-10,9.18,9.18,9.18,9.18,1,0.0,1.0
2020-08-11,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-12,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-13,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-14,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-17,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-18,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-19,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-20,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-21,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-24,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-25,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-26,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-27,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-28,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-08-31,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-01,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-02,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-03,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-04,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-08,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-09,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-10,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-11,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-14,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-15,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-16,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-17,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-18,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-21,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-22,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-23,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-24,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-25,9.18,9.18,9.18,9.18,0,0.0,1.0
2020-09-28,6.93,6.93,6.93,6.93,100,0.0,1.0
2020-09-29,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-09-30,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-01,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-02,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-05,6.93,6.93,6.93,6.93,1,0.0,1.0
2020-10-06,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-07,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-08,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-09,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-12,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-13,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-14,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-15,6.93,6.93,6.93,6.93,1,0.0,1.0
2020-10-16,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-19,6.93,6.93,6.93,6.93,1,0.0,1.0
2020-10-20,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-21,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-22,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-23,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-26,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-27,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-28,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-29,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-10-30,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-11-02,6.93,6.93,6.93,6.93,4,0.0,1.0
2020-11-03,6.93,6.93,6.93,6.93,2,0.0,1.0
2020-11-04,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-11-05,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-11-06,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-11-09,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-11-10,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-11-11,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-11-12,6.93,6.93,6.93,6.93,2,0.0,1.0
2020-11-13,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-11-16,6.93,6.93,6.93,6.93,2,0.0,1.0
2020-11-17,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-11-18,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-11-19,6.93,6.93,6.93,6.93,0,0.0,1.0
2020-11-20,6.93,6.93,6.93,6.93,0,0.0,1.0
