date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-23,134.75,134.75,134.75,134.75,360,0.0,1.0
2007-07-24,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-07-25,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-07-26,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-07-27,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-07-30,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-07-31,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-01,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-02,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-03,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-06,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-07,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-08,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-09,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-10,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-13,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-14,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-15,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-16,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-17,134.75,134.75,134.75,134.75,0,0.0,1.0
2007-08-20,134.75,134.75,134.75,134.75,100,0.0,1.0
2007-08-21,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-08-22,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-08-23,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-08-24,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-08-27,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-08-28,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-08-29,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-08-30,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-08-31,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-09-04,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-09-05,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-09-06,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-09-07,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-09-10,120.75,120.75,120.75,120.75,0,0.0,1.0
2007-09-11,134.75,134.75,134.75,134.75,189,0.0,1.0
2007-09-12,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-09-13,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-09-14,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-09-17,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-09-18,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-09-19,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-09-20,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-09-21,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-09-24,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-09-25,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-09-26,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-09-27,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-09-28,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-10-01,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-10-02,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-10-03,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-10-04,127.25,127.25,127.25,127.25,0,0.0,1.0
2007-10-05,142.5,142.5,142.5,142.5,1000,0.0,1.0
2007-10-08,142.5,142.5,142.5,142.5,0,0.0,1.0
2007-10-09,142.5,142.5,142.5,142.5,0,0.0,1.0
2007-10-10,142.5,142.5,142.5,142.5,0,0.0,1.0
2007-10-11,142.5,142.5,142.5,142.5,0,0.0,1.0
