date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,16.38,16.88,16.31,16.88,601600,0.0,1.0
1999-11-02,17.25,18.0,17.25,17.69,859700,0.0,1.0
1999-11-03,17.81,18.5,17.81,18.44,1305800,0.0,1.0
1999-11-04,19.63,19.63,18.94,19.13,883600,0.0,1.0
1999-11-05,18.44,18.5,18.06,18.06,456000,0.0,1.0
1999-11-08,18.0,18.0,17.63,17.69,249700,0.0,1.0
1999-11-09,18.25,18.25,17.75,17.75,447400,0.0,1.0
1999-11-10,17.63,17.63,17.31,17.56,192200,0.0,1.0
1999-11-11,17.44,17.88,17.38,17.56,256700,0.0,1.0
1999-11-12,17.88,18.19,17.38,18.19,226100,0.0,1.0
1999-11-15,17.19,17.38,17.06,17.25,410000,0.0,1.0
1999-11-16,18.13,18.5,17.88,18.38,416800,0.0,1.0
1999-11-17,17.56,17.69,17.5,17.69,292400,0.0,1.0
1999-11-18,18.88,18.88,18.13,18.44,523800,0.0,1.0
1999-11-19,18.25,18.88,18.25,18.63,253000,0.0,1.0
1999-11-22,18.69,18.69,18.31,18.31,216600,0.0,1.0
1999-11-23,19.25,19.25,18.63,18.81,624100,0.0,1.0
1999-11-24,19.56,21.31,19.56,21.31,1204100,0.0,1.0
1999-11-26,21.63,21.75,21.5,21.69,407100,0.0,1.0
1999-11-29,20.88,21.0,20.0,20.0,923000,0.0,1.0
1999-11-30,19.5,20.0,19.5,20.0,460100,0.0,1.0
1999-12-01,19.75,19.94,18.38,18.88,868000,0.0,1.0
1999-12-02,18.88,19.25,18.75,18.75,611900,0.0,1.0
1999-12-03,18.94,19.63,18.94,19.25,902700,0.0,1.0
1999-12-06,19.5,19.5,19.0,19.06,286400,0.0,1.0
1999-12-07,19.25,19.44,19.0,19.44,412800,0.0,1.0
1999-12-08,19.56,19.56,19.38,19.5,389100,0.0,1.0
1999-12-09,19.0,19.31,19.0,19.25,270600,0.0,1.0
1999-12-10,19.88,20.06,19.31,19.38,901800,0.0,1.0
1999-12-13,18.63,18.63,18.25,18.44,320500,0.0,1.0
1999-12-14,17.19,17.5,16.75,16.75,1175000,0.0,1.0
1999-12-15,16.63,16.63,16.31,16.5,658300,0.0,1.0
1999-12-16,16.31,16.63,16.19,16.31,599100,0.0,1.0
1999-12-17,16.31,16.31,16.31,16.31,802100,0.0,1.0
1999-12-20,15.94,16.25,15.81,15.81,562300,0.0,1.0
1999-12-21,15.75,15.94,15.38,15.56,551300,0.0,1.0
1999-12-22,15.19,15.25,14.56,15.25,1358900,0.0,1.0
1999-12-23,15.25,16.0,15.0,15.94,276700,0.0,1.0
1999-12-27,15.38,15.75,15.13,15.69,365700,0.0,1.0
