date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,27.45,27.45,27.25,27.45,1407,0.0,1.0
2007-07-16,27.25,27.7,27.25,27.25,1738,0.0,1.0
2007-07-17,27.0,27.0,26.5,27.0,4519,0.0,1.0
2007-07-18,27.0,27.25,26.9,27.0,1168,0.0,1.0
2007-07-19,26.75,27.4,26.75,26.75,1607,0.0,1.0
2007-07-20,27.7,27.7,26.85,27.7,2536,0.0,1.0
2007-07-23,27.0,27.7,27.0,27.0,2873,0.0,1.0
2007-07-24,27.15,28.0,27.0,27.15,4288,0.0,1.0
2007-07-25,26.45,27.0,26.45,26.45,26453,0.0,1.0
2007-07-26,24.5,25.75,24.5,24.5,4992,0.0,1.0
2007-07-27,24.9,25.5,24.5,24.9,2443,0.0,1.0
2007-07-30,24.9,24.9,24.9,24.9,0,0.0,1.0
2007-07-31,26.9,27.25,26.45,26.9,8262,0.0,1.0
2007-08-01,26.55,26.9,26.0,26.55,3465,0.0,1.0
2007-08-02,27.4,27.4,26.93,27.4,2946,0.0,1.0
2007-08-03,27.6,28.25,27.25,27.6,1722,0.0,1.0
2007-08-06,27.25,27.25,26.95,27.25,2234,0.0,1.0
2007-08-07,27.2,27.5,27.05,27.2,2245,0.0,1.0
2007-08-08,27.05,27.7,27.0,27.05,8373,0.0,1.0
2007-08-09,28.0,28.0,26.65,28.0,2861,0.0,1.0
2007-08-10,26.45,27.5,25.9,26.45,19233,0.0,1.0
2007-08-13,27.25,27.25,25.75,27.25,5309,0.0,1.0
2007-08-14,26.05,27.0,25.25,26.05,4957,0.0,1.0
2007-08-15,25.85,25.85,24.25,25.85,3543,0.0,1.0
2007-08-16,24.65,25.75,24.15,24.65,2610,0.0,1.0
2007-08-17,24.75,25.75,23.5,24.75,4643,0.0,1.0
2007-08-20,25.5,25.75,25.5,25.5,1147,0.0,1.0
2007-08-21,25.3,25.5,25.3,25.3,1362,0.0,1.0
2007-08-22,25.8,26.75,25.8,25.8,2252,0.0,1.0
2007-08-23,26.75,27.0,26.7,26.75,12334,0.0,1.0
2007-08-24,28.0,28.0,26.75,28.0,1510,0.0,1.0
2007-08-27,28.25,29.5,27.7,28.25,7264,0.0,1.0
2007-08-28,27.75,29.0,27.3,27.75,9896,0.0,1.0
2007-08-29,28.3,28.75,28.2,28.3,2527,0.0,1.0
2007-08-30,29.1,29.1,27.5,29.1,9819,0.0,1.0
2007-08-31,29.4,29.4,28.75,29.4,3116,0.0,1.0
2007-09-04,28.75,30.0,28.75,28.75,2680,0.0,1.0
2007-09-05,29.85,29.85,28.85,29.85,3682,0.4641,1.0
2007-09-06,31.5,31.5,30.0,31.5,3356,0.0,1.0
2007-09-07,30.5,31.0,29.75,30.5,958,0.0,1.0
2007-09-10,31.5,32.0,31.3,31.5,1949,0.0,1.0
2007-09-11,33.0,33.25,32.6,33.0,1032,0.0,1.0
2007-09-12,34.25,34.75,33.45,34.25,1803,0.0,1.0
2007-09-13,34.15,35.5,34.15,34.15,1802,0.0,1.0
2007-09-14,34.5,34.85,34.05,34.5,3065,0.0,1.0
2007-09-17,33.85,34.1,33.85,33.85,2665,0.0,1.0
2007-09-18,32.65,33.1,32.5,32.65,5526,0.0,1.0
2007-09-19,33.3,33.5,32.45,33.3,1822,0.0,1.0
2007-09-20,32.0,32.75,32.0,32.0,13946,0.0,1.0
2007-09-21,33.1,33.5,33.05,33.1,874,0.0,1.0
2007-09-24,33.25,34.0,33.0,33.25,2036,0.0,1.0
2007-09-25,33.25,34.0,32.5,33.25,1857,0.0,1.0
2007-09-26,34.55,35.0,34.3,34.55,3961,0.0,1.0
2007-09-27,34.65,35.25,34.65,34.65,1801,0.0,1.0
2007-09-28,32.65,34.5,32.65,32.65,3788,0.0,1.0
2007-10-01,32.75,34.15,32.75,32.75,3858,0.0,1.0
2007-10-02,35.0,35.5,34.71,35.0,5120,0.0,1.0
2007-10-03,34.9,35.25,34.2,34.9,2461,0.0,1.0
2007-10-04,34.0,34.5,33.4,34.0,10498,0.0,1.0
