date,open_price,high_price,low_price,close_price,volume,dividend,split
2004-06-03,38.5,39.15,38.25,39.15,2457900,0.0,1.0
2004-06-04,38.0,39.0,38.0,38.5,1671000,0.0,1.0
2004-06-07,38.35,38.55,38.25,38.5,2195900,0.0,1.0
2004-06-08,38.0,38.0,35.95,37.06,9365400,0.0,1.0
2004-06-09,37.0,37.11,35.88,35.95,9626800,0.0,1.0
2004-06-10,35.9,36.95,35.82,36.94,4715900,0.0,1.0
2004-06-14,36.65,37.11,36.65,37.01,4332900,0.0,1.0
2004-06-15,36.76,37.05,35.99,36.18,7314600,0.0,1.0
2004-06-16,36.02,36.22,35.93,36.07,4807300,0.0,1.0
2004-06-17,36.19,36.3,36.0,36.05,3647400,0.0,1.0
2004-06-18,36.2,36.23,36.0,36.23,3450300,0.0,1.0
2004-06-21,36.06,36.29,36.0,36.1,1912300,0.0,1.0
2004-06-22,36.14,36.14,35.38,35.55,2209400,0.0,1.0
2004-06-23,35.43,35.79,35.37,35.5,1951300,0.0,1.0
2004-06-24,35.7,35.7,34.05,34.64,3465200,0.0,1.0
2004-06-25,34.46,35.78,33.98,35.5,2904700,0.0,1.0
2004-06-28,35.0,35.53,34.48,34.74,1848100,0.0,1.0
2004-06-29,34.75,35.8,34.71,35.7,1313300,0.0,1.0
2004-06-30,35.75,37.1,35.5,37.1,5865300,0.0,1.0
2004-07-01,36.84,37.0,35.91,36.12,2259300,0.0,1.0
2004-07-02,36.19,36.25,35.65,35.69,1549500,0.0,1.0
2004-07-06,35.9,36.05,34.71,34.92,2139300,0.0,1.0
2004-07-07,34.95,35.17,34.15,34.75,2349300,0.0,1.0
2004-07-08,34.6,34.94,34.25,34.66,1770100,0.0,1.0
2004-07-09,34.5,35.37,34.36,34.71,2470300,0.0,1.0
2004-07-12,34.7,34.92,34.55,34.7,1213100,0.0,1.0
2004-07-13,34.9,34.9,34.05,34.31,1329300,0.0,1.0
2004-07-14,34.2,34.22,33.84,34.02,1532500,0.0,1.0
2004-07-15,34.25,34.25,33.82,34.19,1363200,0.0,1.0
2004-07-16,34.2,34.65,34.01,34.47,1365300,0.0,1.0
2004-07-19,34.6,34.6,34.36,34.5,1154800,0.0,1.0
2004-07-20,34.43,34.92,34.43,34.92,1734800,0.0,1.0
2004-07-21,34.76,34.92,34.2,34.69,1945800,0.0,1.0
2004-07-22,34.57,34.6,34.09,34.3,1768300,0.0,1.0
2004-07-23,34.2,34.3,33.9,34.02,1637400,0.0,1.0
2004-07-26,33.6,33.9,31.4,32.39,3580300,0.922,1.0
2004-07-27,32.31,32.32,31.8,31.98,4425700,0.0,1.0
2004-07-28,31.94,31.96,31.65,31.68,2061800,0.0,1.0
2004-07-29,31.7,31.76,31.1,31.3,3337400,0.0,1.0
2004-07-30,31.48,31.55,30.82,31.18,2728400,0.0,1.0
2004-08-02,31.0,31.23,30.9,31.14,2093500,0.0,1.0
2004-08-03,31.0,31.2,30.95,31.2,2584400,0.0,1.0
2004-08-04,31.0,31.08,29.8,30.01,3492200,0.0,1.0
2004-08-05,29.95,30.14,29.7,30.06,2985400,0.0,1.0
2004-08-06,29.8,30.39,29.51,30.1,1738500,0.0,1.0
2004-08-09,29.86,30.1,28.91,29.35,2035600,0.0,1.0
