date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,22.31,22.31,21.75,22.25,8500,0.0,1.0
1999-11-02,22.06,23.0,22.0,22.88,120500,0.0,1.0
1999-11-03,23.0,23.19,22.69,23.13,136500,0.0,1.0
1999-11-04,23.13,23.13,23.0,23.0,55500,0.0,1.0
1999-11-05,23.13,23.31,23.0,23.31,64900,0.0,1.0
1999-11-08,23.13,23.5,23.13,23.5,58300,0.0,1.0
1999-11-09,23.13,23.88,23.13,23.81,37600,0.0,1.0
1999-11-10,23.53,23.75,22.69,23.63,56900,0.0,1.0
1999-11-11,23.38,23.88,23.13,23.88,39400,0.0,1.0
1999-11-12,23.75,24.5,23.69,24.25,12200,0.0,1.0
1999-11-15,24.06,24.25,24.0,24.25,119700,0.0,1.0
1999-11-16,24.19,24.25,23.75,23.75,129500,0.0,1.0
1999-11-17,23.75,24.13,23.13,23.5,19100,0.0,1.0
1999-11-18,23.69,23.69,22.88,22.88,23800,0.0,1.0
1999-11-19,23.38,23.5,23.0,23.13,36800,0.0,1.0
1999-11-22,23.19,23.25,22.88,23.06,106900,0.0,1.0
1999-11-23,23.13,23.13,21.5,21.88,67500,0.0,1.0
1999-11-24,21.75,22.25,21.0,21.69,68000,0.0,1.0
1999-11-26,21.94,21.94,21.5,21.5,10900,0.0,1.0
1999-11-29,21.75,22.0,21.0,21.38,62000,0.0,1.0
1999-11-30,21.31,21.38,20.88,21.0,15700,0.0,1.0
1999-12-01,20.94,21.06,20.0,20.5,219200,0.0,1.0
1999-12-02,20.38,20.88,20.38,20.63,114400,0.0,1.0
1999-12-03,20.88,21.63,20.63,21.48,27100,0.0,1.0
1999-12-06,21.44,22.0,21.13,21.13,120100,0.0,1.0
1999-12-07,21.06,22.13,21.0,22.13,128300,0.0,1.0
1999-12-08,21.94,22.75,21.94,22.75,65300,0.0,1.0
1999-12-09,22.38,23.13,22.38,22.5,54700,0.0,1.0
1999-12-10,22.5,22.75,22.0,22.06,27400,0.0,1.0
