date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,2.27,2.3,2.27,2.27,171500,0.0,1.0
2007-07-16,2.3,2.3,2.3,2.3,56000,0.0,1.0
2007-07-17,2.25,2.3,2.25,2.25,38275,0.0,1.0
2007-07-18,2.3,2.3,2.3,2.3,45000,0.0,1.0
2007-07-19,2.15,2.25,2.15,2.15,130500,0.0,1.0
2007-07-20,2.16,2.2,2.16,2.16,126278,0.0,1.0
2007-07-23,2.17,2.2,2.17,2.17,46500,0.0,1.0
2007-07-24,2.19,2.2,2.19,2.19,63800,0.0,1.0
2007-07-25,2.18,2.25,2.18,2.18,33252,0.0,1.0
2007-07-26,2.16,2.16,2.16,2.16,24500,0.0,1.0
2007-07-27,2.1,2.16,2.1,2.1,31390,0.0,1.0
2007-07-30,2.08,2.2,2.08,2.08,11500,0.0,1.0
2007-07-31,2.13,2.2,2.13,2.13,40421,0.0,1.0
2007-08-01,2.15,2.2,2.15,2.15,97994,0.0,1.0
2007-08-02,2.13,2.2,2.13,2.13,945300,0.0,1.0
2007-08-03,2.12,2.2,2.12,2.12,24700,0.0,1.0
2007-08-06,2.06,2.2,2.06,2.06,51000,0.0,1.0
2007-08-07,2.2,2.2,2.2,2.2,47477,0.0,1.0
2007-08-08,2.15,2.19,2.15,2.15,241500,0.0,1.0
2007-08-09,2.16,2.2,2.16,2.16,57830,0.0,1.0
2007-08-10,2.15,2.2,2.15,2.15,400839,0.0,1.0
2007-08-13,2.1,2.14,2.1,2.1,33826,0.0,1.0
2007-08-14,2.13,2.2,2.13,2.13,36500,0.0,1.0
2007-08-15,2.1,2.12,2.1,2.1,947983,0.0,1.0
2007-08-16,2.0,2.05,2.0,2.0,36253,0.0,1.0
2007-08-17,1.99,2.05,1.99,1.99,28620,0.0,1.0
2007-08-20,2.99,2.99,2.99,2.99,6500,0.0,1.0
2007-08-21,1.9,2.05,1.9,1.9,49700,0.0,1.0
2007-08-22,2.04,2.07,2.04,2.04,35000,0.0,1.0
2007-08-23,1.95,2.1,1.95,1.95,21895,0.0,1.0
2007-08-24,2.05,2.06,2.05,2.05,36359,0.0,1.0
2007-08-27,2.08,2.09,2.08,2.08,135936,0.0,1.0
2007-08-28,2.04,2.1,2.04,2.04,58754,0.0,1.0
2007-08-29,1.96,2.03,1.96,1.96,36550,0.0,1.0
2007-08-30,2.0,2.05,2.0,2.0,11600,0.0,1.0
2007-08-31,2.04,2.06,2.04,2.04,26687,0.0,1.0
2007-09-04,2.0,2.1,2.0,2.0,9783,0.0,1.0
2007-09-05,2.12,2.15,2.12,2.12,91625,0.0,1.0
2007-09-06,2.15,2.15,2.15,2.15,15300,0.0,1.0
2007-09-07,2.0,2.15,2.0,2.0,10661,0.0,1.0
2007-09-10,2.0,2.1,2.0,2.0,30301,0.0,1.0
2007-09-11,2.15,2.15,2.15,2.15,78500,0.0,1.0
2007-09-12,2.16,2.2,2.16,2.16,33113,0.0,1.0
2007-09-13,2.22,2.22,2.22,2.22,180500,0.0,1.0
2007-09-14,2.25,2.25,2.25,2.25,54500,0.0,1.0
2007-09-17,2.2,2.25,2.2,2.2,37700,0.0,1.0
2007-09-18,2.2,2.2,2.2,2.2,13574,0.0,1.0
2007-09-19,2.19,2.25,2.19,2.19,44040,0.0,1.0
2007-09-20,2.22,2.22,2.22,2.22,28523,0.0,1.0
2007-09-21,2.18,2.2,2.18,2.18,45930,0.0,1.0
2007-09-24,2.19,2.2,2.19,2.19,19253,0.0,1.0
2007-09-25,2.21,2.23,2.21,2.21,43350,0.0,1.0
2007-09-26,2.21,2.24,2.21,2.21,50151,0.0,1.0
2007-09-27,2.23,2.25,2.23,2.23,42917,0.0,1.0
2007-09-28,2.24,2.25,2.24,2.24,61964,0.0,1.0
2007-10-01,2.3,2.3,2.3,2.3,16351,0.0,1.0
2007-10-02,2.26,2.3,2.26,2.26,64400,0.0,1.0
2007-10-03,2.23,2.25,2.23,2.23,37212,0.0,1.0
2007-10-04,2.2,2.2,2.2,2.2,29650,0.0,1.0
2007-10-05,2.22,2.23,2.22,2.22,21552,0.0,1.0
2007-10-08,2.15,2.22,2.15,2.15,60963,0.0,1.0
2007-10-09,2.22,2.22,2.22,2.22,75555,0.0,1.0
2007-10-10,2.2,2.25,2.2,2.2,67043,0.0,1.0
2007-10-11,2.25,2.29,2.25,2.25,94394,0.0,1.0
2007-10-12,2.18,2.35,2.18,2.18,133256,0.0,1.0
2007-10-15,2.35,2.35,2.35,2.35,126165,0.0,1.0
2007-10-16,2.17,2.36,2.17,2.17,125020,0.0,1.0
2007-10-17,2.17,2.37,2.17,2.17,138134,0.0,1.0
2007-10-18,2.28,2.32,2.28,2.28,55826,0.0,1.0
2007-10-19,2.35,2.35,2.35,2.35,61006,0.0,1.0
2007-10-22,2.24,2.3,2.24,2.24,31389,0.0,1.0
2007-10-23,2.3,2.32,2.3,2.3,30114,0.0,1.0
2007-10-24,2.25,2.3,2.25,2.25,87660,0.0,1.0
2007-10-25,2.3,2.32,2.3,2.3,125428,0.0,1.0
2007-10-26,2.28,2.32,2.28,2.28,12849,0.0,1.0
2007-10-29,2.29,2.29,2.29,2.29,16804,0.0,1.0
2007-10-30,2.29,2.35,2.29,2.29,40182,0.0,1.0
2007-10-31,2.28,2.37,2.28,2.28,98407,0.0,1.0
2007-11-01,2.28,2.38,2.28,2.28,60439,0.0,1.0
2007-11-02,2.28,2.35,2.28,2.28,44741,0.0,1.0
2007-11-05,2.29,2.35,2.29,2.29,45826,0.0,1.0
2007-11-06,2.28,2.35,2.28,2.28,35290,0.0,1.0
2007-11-07,2.23,2.3,2.23,2.23,159766,0.0,1.0
