date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-16,59.5,59.5,59.5,59.5,800,0.0,1.0
2007-07-17,59.5,59.5,59.5,59.5,0,0.0,1.0
2007-07-18,59.5,59.5,59.5,59.5,0,0.0,1.0
2007-07-19,59.5,59.5,59.5,59.5,0,0.0,1.0
2007-07-20,59.5,59.5,59.5,59.5,0,0.0,1.0
2007-07-23,59.5,59.5,59.5,59.5,0,0.0,1.0
2007-07-24,64.5,64.5,64.5,64.5,1000,0.0,1.0
2007-07-25,64.5,64.5,64.5,64.5,0,0.0,1.0
2007-07-26,64.5,64.5,64.5,64.5,0,0.0,1.0
2007-07-27,64.5,64.5,64.5,64.5,0,0.0,1.0
2007-07-30,59.5,59.5,59.5,59.5,100,0.0,1.0
2007-07-31,59.5,59.5,59.5,59.5,0,0.0,1.0
2007-08-01,59.5,59.5,59.5,59.5,0,0.0,1.0
2007-08-02,59.5,59.5,59.5,59.5,0,0.0,1.0
2007-08-03,59.5,59.5,59.5,59.5,0,0.0,1.0
2007-08-06,60.0,60.0,59.9,60.0,580,0.0,1.0
2007-08-07,60.0,60.0,60.0,60.0,0,0.0,1.0
2007-08-08,60.0,60.0,60.0,60.0,0,0.0,1.0
2007-08-09,60.0,60.0,60.0,60.0,0,0.0,1.0
2007-08-10,58.0,58.0,58.0,58.0,200,0.0,1.0
2007-08-13,58.0,58.0,58.0,58.0,0,0.0,1.0
2007-08-14,58.0,58.0,58.0,58.0,0,0.0388,1.0
2007-08-15,58.0,58.0,58.0,58.0,0,0.0,1.0
2007-08-16,50.0,53.0,50.0,50.0,700,0.0,1.0
2007-08-17,50.0,50.0,50.0,50.0,0,0.0,1.0
2007-08-20,50.0,50.0,50.0,50.0,0,0.0,1.0
2007-08-21,50.0,50.0,50.0,50.0,0,0.0,1.0
2007-08-22,50.0,50.0,50.0,50.0,0,0.0,1.0
2007-08-23,50.0,50.0,50.0,50.0,0,0.0,1.0
2007-08-24,50.0,50.0,50.0,50.0,0,0.0,1.0
2007-08-27,50.0,50.0,50.0,50.0,0,0.0,1.0
2007-08-28,50.0,50.0,50.0,50.0,0,0.0,1.0
2007-08-29,50.0,50.0,50.0,50.0,0,0.0,1.0
2007-08-30,63.1,63.1,63.1,63.1,400,0.0,1.0
2007-08-31,63.1,63.1,63.1,63.1,0,0.0,1.0
2007-09-04,63.1,63.1,63.1,63.1,0,0.0,1.0
2007-09-05,63.1,63.1,63.1,63.1,0,0.0,1.0
2007-09-06,63.1,63.1,63.1,63.1,0,0.0,1.0
2007-09-07,63.1,63.1,63.1,63.1,0,0.0,1.0
2007-09-10,63.1,63.1,63.1,63.1,0,0.0,1.0
2007-09-11,62.0,62.0,62.0,62.0,250,0.0,1.0
2007-09-12,62.0,62.0,62.0,62.0,0,0.0,1.0
2007-09-13,62.0,62.0,62.0,62.0,0,0.0,1.0
2007-09-14,62.0,62.0,62.0,62.0,0,0.0,1.0
2007-09-17,62.0,62.0,62.0,62.0,0,0.0,1.0
2007-09-18,62.0,62.0,62.0,62.0,0,0.0,1.0
2007-09-19,62.0,62.0,62.0,62.0,0,0.0,1.0
2007-09-20,62.0,62.0,62.0,62.0,0,0.0,1.0
2007-09-21,70.0,70.0,70.0,70.0,100,0.0,1.0
2007-09-24,70.0,70.0,70.0,70.0,0,0.0,1.0
2007-09-25,70.0,70.0,70.0,70.0,0,0.0,1.0
2007-09-26,70.0,70.0,70.0,70.0,0,0.0,1.0
2007-09-27,72.45,72.45,72.45,72.45,2000,0.0,1.0
2007-09-28,72.45,72.45,72.45,72.45,0,0.0,1.0
2007-10-01,72.45,72.45,72.45,72.45,0,0.0,1.0
2007-10-02,73.0,73.0,73.0,73.0,300,0.0,1.0
2007-10-03,73.0,73.0,73.0,73.0,0,0.0,1.0
2007-10-04,73.0,73.0,73.0,73.0,0,0.0,1.0
2007-10-05,73.0,73.0,73.0,73.0,0,0.0,1.0
2007-10-08,73.0,73.0,73.0,73.0,0,0.0,1.0
2007-10-09,73.0,73.0,73.0,73.0,0,0.0,1.0
2007-10-10,73.0,73.0,73.0,73.0,0,0.0,1.0
2007-10-11,73.0,73.0,73.0,73.0,0,0.0,1.0
2007-10-12,73.0,73.0,73.0,73.0,0,0.0,1.0
2007-10-15,73.0,73.0,73.0,73.0,0,0.0,1.0
2007-10-16,73.0,73.0,73.0,73.0,0,0.0,1.0
2007-10-17,73.0,73.0,73.0,73.0,0,0.0,1.0
2007-10-18,73.0,73.0,73.0,73.0,0,0.0,1.0
2007-10-19,73.0,73.0,73.0,73.0,0,0.0,1.0
