date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-27,25.0,28.64,24.92,28.0,14627984,0.0,1.0
2007-07-30,28.86,31.85,28.36,29.98,2883501,0.0,1.0
2007-07-31,32.0,34.17,30.21,32.14,2220748,0.0,1.0
2007-08-01,32.98,33.25,30.4,31.08,1530573,0.0,1.0
2007-08-02,32.0,33.83,31.98,33.05,984671,0.0,1.0
2007-08-03,34.45,34.5,30.09,31.0,1110390,0.0,1.0
2007-08-06,32.0,32.85,30.09,32.75,1499219,0.0,1.0
2007-08-07,33.0,37.03,32.13,36.24,1990332,0.0,1.0
2007-08-08,37.0,38.85,36.4,37.75,2033000,0.0,1.0
2007-08-09,36.65,37.75,34.5,35.35,913931,0.0,1.0
2007-08-10,34.0,36.2,32.26,36.15,1116036,0.0,1.0
2007-08-13,38.0,38.0,36.51,36.88,480887,0.0,1.0
2007-08-14,37.0,37.19,33.49,33.5,1076610,0.0,1.0
2007-08-15,35.25,35.25,32.11,33.45,764578,0.0,1.0
2007-08-16,31.95,33.39,28.7,32.03,1366064,0.0,1.0
2007-08-17,34.99,34.99,31.68,32.94,574911,0.0,1.0
2007-08-20,34.0,34.17,32.0,33.0,291080,0.0,1.0
2007-08-21,33.76,34.7,32.3,34.02,625474,0.0,1.0
2007-08-22,34.8,36.0,34.1,34.29,409698,0.0,1.0
2007-08-23,35.24,35.24,33.62,33.79,309498,0.0,1.0
2007-08-24,34.23,34.49,33.29,34.37,177007,0.0,1.0
2007-08-27,34.5,34.5,32.87,33.05,187462,0.0,1.0
2007-08-28,32.92,32.98,32.08,32.3,318419,0.0,1.0
2007-08-29,32.35,33.75,32.35,33.49,534731,0.0,1.0
2007-08-30,32.38,33.79,32.38,33.57,341031,0.0,1.0
2007-08-31,33.8,34.77,33.67,34.07,388008,0.0,1.0
2007-09-04,34.0,35.25,33.99,34.96,332397,0.0,1.0
2007-09-05,34.89,35.21,33.31,34.84,310687,0.0,1.0
2007-09-06,35.25,37.24,34.27,36.95,688359,0.0,1.0
2007-09-07,35.55,36.6,34.76,35.9,526727,0.0,1.0
2007-09-10,36.98,36.98,35.64,36.66,921647,0.0,1.0
2007-09-11,34.5,36.44,34.36,35.62,1494164,0.0,1.0
2007-09-12,35.19,36.53,35.07,35.83,336972,0.0,1.0
2007-09-13,36.72,36.73,34.83,35.03,281625,0.0,1.0
2007-09-14,34.73,35.6,33.5,34.18,443629,0.0,1.0
2007-09-17,34.8,34.8,33.34,34.71,336715,0.0,1.0
2007-09-18,34.7,36.23,34.5,36.2,328029,0.0,1.0
2007-09-19,36.75,40.36,36.3,39.33,1777719,0.0,1.0
2007-09-20,39.74,41.34,39.0,39.79,911204,0.0,1.0
2007-09-21,41.89,41.9,39.89,39.89,1334700,0.0,1.0
2007-09-24,41.09,41.48,39.05,39.37,566543,0.0,1.0
2007-09-25,39.37,42.49,38.5,42.3,849946,0.0,1.0
2007-09-26,43.15,44.23,42.79,43.03,1119911,0.0,1.0
2007-09-27,43.97,43.99,41.1,41.3,529028,0.0,1.0
2007-09-28,42.0,42.15,40.79,42.03,2068488,0.0,1.0
2007-10-01,42.83,43.3,41.73,43.06,579856,0.0,1.0
2007-10-02,43.1,47.28,43.08,45.6,1476269,0.0,1.0
2007-10-03,45.25,47.72,44.0,46.39,971059,0.0,1.0
2007-10-04,47.0,47.18,44.08,44.5,717140,0.0,1.0
2007-10-05,46.0,46.0,44.12,44.26,533970,0.0,1.0
2007-10-08,44.51,46.5,44.3,46.2,471636,0.0,1.0
2007-10-09,46.5,47.25,45.07,45.85,507952,0.0,1.0
2007-10-10,45.54,47.05,44.59,46.7,399881,0.0,1.0
2007-10-11,46.68,48.58,44.58,45.06,1018554,0.0,1.0
2007-10-12,45.0,46.0,42.78,43.32,778596,0.0,1.0
2007-10-15,43.5,44.22,40.87,41.13,1045642,0.0,1.0
2007-10-16,45.35,50.81,44.0,47.3,5632862,0.0,1.0
2007-10-17,47.5,54.0,46.9,53.8,3357341,0.0,1.0
2007-10-18,51.91,57.1,51.66,56.12,3830521,0.0,1.0
2007-10-19,56.02,56.6,54.0,55.23,1506050,0.0,1.0
2007-10-22,52.05,58.35,51.41,58.0,1624963,0.0,1.0
2007-10-23,59.43,60.7,56.3,57.63,1587383,0.0,1.0
2007-10-24,57.72,58.0,52.02,56.0,1560949,0.0,1.0
2007-10-25,55.02,55.03,50.91,51.0,1366841,0.0,1.0
2007-10-26,52.49,53.0,49.95,50.46,1466768,0.0,1.0
2007-10-29,51.66,52.95,49.27,49.74,1292843,0.0,1.0
2007-10-30,48.9,51.63,48.51,50.06,1090837,0.0,1.0
2007-10-31,51.0,53.5,48.7,53.22,1519889,0.0,1.0
2007-11-01,50.7,51.94,48.88,49.13,1265651,0.0,1.0
2007-11-02,49.01,49.7,44.0,46.95,2111902,0.0,1.0
2007-11-05,45.56,46.68,42.75,43.73,1320333,0.0,1.0
2007-11-06,44.0,44.7,42.71,42.84,1079883,0.0,1.0
2007-11-07,43.37,44.98,40.65,41.3,1496285,0.0,1.0
2007-11-08,42.51,42.51,36.89,41.66,1919787,0.0,1.0
2007-11-09,40.95,41.12,39.1,40.09,795887,0.0,1.0
2007-11-12,40.0,41.72,39.0,39.81,615374,0.0,1.0
2007-11-13,40.63,43.5,40.0,43.5,853510,0.0,1.0
2007-11-14,40.85,44.72,39.75,44.29,2714131,0.0,1.0
2007-11-15,43.08,44.63,41.21,41.5,735599,0.0,1.0
2007-11-16,42.0,44.5,40.19,41.74,600253,0.0,1.0
2007-11-19,41.0,41.44,37.31,38.21,778966,0.0,1.0
2007-11-20,38.05,39.69,34.88,35.47,950922,0.0,1.0
2007-11-21,35.04,38.67,33.8,37.77,956951,0.0,1.0
2007-11-23,39.0,39.29,37.75,39.14,99202,0.0,1.0
2007-11-26,39.46,39.99,37.66,38.12,189209,0.0,1.0
2007-11-27,38.67,39.0,37.88,38.6,498647,0.0,1.0
2007-11-28,39.08,42.62,39.08,40.5,994428,0.0,1.0
2007-11-29,43.32,44.39,40.1,41.54,1874366,0.0,1.0
2007-11-30,43.46,43.48,36.67,36.67,1827413,0.0,1.0
2007-12-03,37.3,39.97,37.01,38.97,955678,0.0,1.0
2007-12-04,38.52,39.29,37.25,37.65,530854,0.0,1.0
2007-12-05,38.41,39.36,37.92,39.12,606449,0.0,1.0
2007-12-06,39.21,40.46,39.16,40.0,364691,0.0,1.0
2007-12-07,40.3,41.95,40.3,41.85,424843,0.0,1.0
2007-12-10,42.24,43.74,42.05,43.6,614415,0.0,1.0
2007-12-11,43.6,48.5,43.53,47.0,2189972,0.0,1.0
2007-12-12,47.87,49.57,45.14,46.45,912474,0.0,1.0
2007-12-13,45.84,47.27,44.58,47.16,477628,0.0,1.0
2007-12-14,46.49,46.92,44.54,44.86,396197,0.0,1.0
2007-12-17,44.36,45.75,42.77,43.22,345470,0.0,1.0
2007-12-18,44.0,44.96,42.5,44.41,396240,0.0,1.0
