date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,40.31,40.88,39.81,40.31,368700,0.0,1.0
1999-11-02,40.31,40.63,39.5,39.69,225000,0.0,1.0
1999-11-03,40.44,40.69,39.69,39.94,490800,0.0,1.0
1999-11-04,40.25,40.31,39.63,39.69,361500,0.0,1.0
1999-11-05,40.0,40.44,39.88,40.06,486800,0.0,1.0
1999-11-08,40.06,40.75,39.94,40.31,365500,0.0,1.0
1999-11-09,40.5,40.69,40.13,40.5,584100,0.0,1.0
1999-11-10,40.5,41.81,40.44,41.81,655000,0.0,1.0
1999-11-11,42.0,42.06,41.25,41.81,329000,0.0,1.0
1999-11-12,41.56,41.69,41.0,41.56,403500,0.0,1.0
1999-11-15,41.88,42.63,41.69,42.56,507500,0.0,1.0
1999-11-16,42.56,43.31,42.56,43.06,647900,0.0,1.0
1999-11-17,42.88,43.88,42.88,43.69,574500,0.0,1.0
1999-11-18,43.94,46.0,43.81,45.88,1061600,0.0,1.0
1999-11-19,45.88,47.69,45.38,47.5,1281400,0.0,1.0
1999-11-22,47.5,48.75,46.75,47.0,1102200,0.0,1.0
1999-11-23,47.5,48.0,47.06,47.44,838100,0.0,1.0
1999-11-24,47.69,47.69,46.13,46.44,611800,0.0,1.0
1999-11-26,46.69,46.88,45.75,46.0,253600,0.0,1.0
1999-11-29,46.25,46.88,45.69,46.25,403400,0.0,1.0
1999-11-30,46.25,46.44,45.19,46.0,629900,0.0,1.0
1999-12-01,45.63,45.94,44.63,45.38,563100,0.045,1.0
1999-12-02,45.38,45.94,45.38,45.81,286300,0.0,1.0
1999-12-03,45.69,47.44,45.69,47.25,466300,0.0,1.0
1999-12-06,47.25,47.88,46.5,47.81,248900,0.0,1.0
1999-12-07,47.69,48.69,47.69,48.25,676000,0.0,1.0
1999-12-08,48.31,48.31,46.5,46.63,283600,0.0,1.0
1999-12-09,47.13,47.25,45.88,46.69,302300,0.0,1.0
1999-12-10,47.0,48.0,46.56,47.69,371500,0.0,1.0
1999-12-13,47.44,47.75,46.69,47.44,446600,0.0,1.0
1999-12-14,47.31,48.63,47.31,48.0,541100,0.0,1.0
1999-12-15,48.0,48.0,46.25,46.75,531900,0.0,1.0
1999-12-16,47.0,47.69,46.38,47.5,638400,0.0,1.0
1999-12-17,47.5,47.62,46.88,47.56,706600,0.0,1.0
1999-12-20,47.31,47.31,46.0,47.0,720900,0.0,1.0
1999-12-21,47.25,47.94,46.13,47.69,424800,0.0,1.0
1999-12-22,47.5,47.56,46.38,46.63,299300,0.0,1.0
1999-12-23,47.0,47.06,46.31,46.88,437100,0.0,1.0
1999-12-27,46.88,47.44,46.19,46.19,317700,0.0,1.0
1999-12-28,46.0,46.5,46.0,46.0,336300,0.0,1.0
1999-12-29,46.25,46.25,45.69,45.75,215200,0.0,1.0
1999-12-30,46.0,46.56,46.0,46.38,314400,0.0,1.0
1999-12-31,46.5,47.75,46.5,47.38,162400,0.0,1.0
2000-01-03,47.12,47.31,44.75,45.25,298800,0.0,1.0
2000-01-04,44.75,44.88,43.0,43.44,479400,0.0,1.0
2000-01-05,43.94,44.88,43.44,43.5,509800,0.0,1.0
2000-01-06,43.38,43.63,42.44,43.25,479400,0.0,1.0
2000-01-07,44.75,45.0,42.69,42.88,706400,0.0,1.0
2000-01-10,43.38,44.13,42.63,44.13,501900,0.0,1.0
2000-01-11,43.75,44.88,42.81,43.81,515800,0.0,1.0
2000-01-12,43.81,44.63,43.75,44.19,339600,0.0,1.0
2000-01-13,43.94,45.5,43.69,44.25,334500,0.0,1.0
2000-01-14,44.0,45.06,43.75,44.63,267200,0.0,1.0
2000-01-18,44.38,45.88,44.25,45.38,493200,0.0,1.0
2000-01-19,45.44,45.5,43.5,44.19,505100,0.0,1.0
2000-01-20,44.44,44.63,43.13,43.75,359100,0.0,1.0
2000-01-21,44.0,44.0,43.31,43.63,563000,0.0,1.0
2000-01-24,44.13,44.13,42.5,42.94,373600,0.0,1.0
2000-01-25,42.69,42.94,41.56,41.88,369300,0.0,1.0
2000-01-26,42.13,42.31,41.31,41.81,539800,0.0,1.0
2000-01-27,42.31,42.56,39.25,39.94,914800,0.0,1.0
2000-01-28,39.94,39.94,36.06,37.69,1496900,0.0,1.0
2000-01-31,37.69,38.63,37.0,38.63,2163900,0.0,1.0
2000-02-01,38.38,38.75,38.0,38.63,1081600,0.0,1.0
2000-02-02,39.0,39.75,38.81,39.56,1488100,0.0,1.0
2000-02-03,39.5,40.13,39.25,39.69,1060700,0.0,1.0
2000-02-04,40.0,40.31,38.81,39.06,542200,0.0,1.0
2000-02-07,38.88,39.38,38.38,38.69,701500,0.0,1.0
2000-02-08,38.69,39.38,38.69,39.06,776100,0.0,1.0
2000-02-09,39.0,39.31,38.25,38.31,729000,0.0,1.0
2000-02-10,38.31,38.5,37.69,37.88,582700,0.0,1.0
2000-02-11,38.0,38.25,37.56,37.88,435200,0.0,1.0
2000-02-14,38.0,38.44,37.81,38.06,402600,0.0,1.0
2000-02-15,38.0,38.0,36.25,37.0,668500,0.0,1.0
2000-02-16,37.06,37.31,36.5,36.88,583800,0.0,1.0
2000-02-17,36.63,36.94,36.06,36.31,453200,0.0,1.0
2000-02-18,36.31,36.31,34.31,34.63,558600,0.0,1.0
2000-02-22,34.38,35.81,34.31,35.38,753500,0.0,1.0
2000-02-23,35.13,35.94,34.63,34.94,305300,0.0,1.0
2000-02-24,35.0,35.0,33.25,33.81,783500,0.0,1.0
2000-02-25,33.94,34.31,33.06,33.69,440600,0.0,1.0
2000-02-28,33.44,33.88,32.81,33.44,551500,0.0,1.0
2000-02-29,33.31,33.69,32.81,33.63,421000,0.0,1.0
2000-03-01,33.63,34.5,33.44,34.44,914100,0.0,1.0
2000-03-02,34.19,34.56,33.63,34.0,1176500,0.0,1.0
2000-03-03,34.25,35.38,33.81,35.19,652200,0.0475,1.0
2000-03-06,35.19,35.44,33.69,33.94,534300,0.0,1.0
2000-03-07,34.19,34.5,32.31,32.5,622600,0.0,1.0
2000-03-08,32.75,33.44,32.56,33.25,479600,0.0,1.0
2000-03-09,33.63,33.69,32.5,33.0,480600,0.0,1.0
2000-03-10,34.0,35.0,33.31,33.31,736100,0.0,1.0
2000-03-13,33.19,34.13,33.0,34.13,520700,0.0,1.0
2000-03-14,34.13,35.0,34.13,34.69,750300,0.0,1.0
2000-03-15,34.81,34.81,33.63,33.88,432500,0.0,1.0
2000-03-16,34.25,34.31,32.75,33.0,822700,0.0,1.0
2000-03-17,33.75,36.81,33.56,36.5,1042900,0.0,1.0
2000-03-20,36.56,36.81,35.5,36.5,606600,0.0,1.0
2000-03-21,36.5,37.38,36.5,37.31,670500,0.0,1.0
2000-03-22,37.0,37.44,35.63,35.88,521100,0.0,1.0
2000-03-23,35.88,36.13,35.5,36.13,505900,0.0,1.0
2000-03-24,36.0,36.56,35.75,36.19,779800,0.0,1.0
2000-03-27,36.44,37.5,36.06,37.13,408900,0.0,1.0
2000-03-28,36.88,37.81,36.38,36.5,676000,0.0,1.0
2000-03-29,37.0,37.38,36.81,37.25,406900,0.0,1.0
2000-03-30,37.75,37.88,36.63,37.0,485200,0.0,1.0
2000-03-31,37.0,37.69,36.94,37.13,502600,0.0,1.0
2000-04-03,37.0,37.44,36.5,37.44,432700,0.0,1.0
2000-04-04,37.69,38.75,37.38,38.38,543800,0.0,1.0
2000-04-05,38.13,39.75,37.88,39.63,893000,0.0,1.0
2000-04-06,39.75,40.19,39.31,39.88,826500,0.0,1.0
2000-04-07,39.63,39.69,39.19,39.69,594200,0.0,1.0
2000-04-10,39.31,39.69,38.69,39.5,642600,0.0,1.0
2000-04-11,39.38,40.31,39.25,40.0,621000,0.0,1.0
2000-04-12,40.13,40.38,38.88,39.0,386300,0.0,1.0
2000-04-13,39.0,39.5,38.06,38.06,394000,0.0,1.0
2000-04-14,38.13,38.13,35.69,36.0,845800,0.0,1.0
2000-04-17,35.25,35.31,34.06,34.56,810200,0.0,1.0
2000-04-18,34.81,35.69,34.56,35.5,768700,0.0,1.0
2000-04-19,35.63,35.63,34.5,34.5,553700,0.0,1.0
2000-04-20,34.44,34.44,33.5,33.75,744200,0.0,1.0
2000-04-24,32.25,33.75,32.25,33.63,477800,0.0,1.0
2000-04-25,33.44,34.5,33.25,34.25,548100,0.0,1.0
2000-04-26,34.25,34.25,33.5,33.56,528900,0.0,1.0
2000-04-27,32.88,33.0,24.5,29.25,4977000,0.0,1.0
2000-04-28,26.0,26.75,24.5,24.5,5585300,0.0,1.0
2000-05-01,25.25,26.38,24.69,26.38,3502400,0.0,1.0
2000-05-02,25.75,25.81,24.44,24.81,2866900,0.0,1.0
2000-05-03,25.0,25.38,24.81,25.38,1344700,0.0,1.0
2000-05-04,25.38,25.88,25.13,25.56,1039600,0.0,1.0
2000-05-05,25.44,25.88,25.44,25.69,976300,0.0,1.0
2000-05-08,25.63,25.94,25.06,25.56,1387900,0.0,1.0
2000-05-09,25.5,26.31,25.31,25.81,1324300,0.0,1.0
2000-05-10,25.63,25.75,25.0,25.56,830300,0.0,1.0
2000-05-11,25.69,26.63,25.69,26.5,1269500,0.0,1.0
2000-05-12,26.5,27.75,26.5,27.19,1049700,0.0,1.0
2000-05-15,27.0,28.19,27.0,28.06,655900,0.0,1.0
2000-05-16,27.81,28.25,27.19,28.06,1056400,0.0,1.0
2000-05-17,28.31,28.63,27.88,28.63,1022100,0.0,1.0
2000-05-18,29.19,29.19,28.5,28.88,1248900,0.0,1.0
2000-05-19,28.5,28.56,27.44,27.94,1155000,0.0,1.0
2000-05-22,27.44,27.63,26.13,27.06,360400,0.0,1.0
2000-05-23,27.31,27.56,26.75,27.38,599100,0.0,1.0
2000-05-24,27.38,27.88,26.63,26.75,851200,0.0,1.0
2000-05-25,25.88,26.56,25.44,26.56,1831300,0.0,1.0
2000-05-26,26.19,26.63,26.0,26.31,394300,0.0,1.0
2000-05-30,27.0,27.56,26.44,27.56,523500,0.0,1.0
2000-05-31,27.63,27.63,27.06,27.06,421900,0.0475,1.0
2000-06-01,26.5,28.31,26.5,28.25,587500,0.0,1.0
2000-06-02,29.5,30.69,29.13,29.38,913700,0.0,1.0
2000-06-05,29.25,29.94,28.81,28.88,474500,0.0,1.0
2000-06-06,29.13,29.38,28.81,28.94,523400,0.0,1.0
2000-06-07,28.94,29.19,28.0,28.19,1027900,0.0,1.0
