date,open_price,high_price,low_price,close_price,volume,dividend,split
2019-07-19,34.0,39.56,32.05,37.05,18257424,0.0,1.0
2019-07-22,37.51,38.6,35.55,36.0,3594720,0.0,1.0
2019-07-23,36.73,37.3,35.8,36.73,1251132,0.0,1.0
2019-07-24,36.95,40.54,36.1,40.54,1285734,0.0,1.0
2019-07-25,41.25,44.72,41.0,41.5,4098847,0.0,1.0
2019-07-26,41.95,44.5,41.55,43.0,697251,0.0,1.0
2019-07-29,43.34,43.8,41.04,42.28,824139,0.0,1.0
2019-07-30,42.68,42.75,38.53,41.08,809345,0.0,1.0
2019-07-31,40.96,41.35,39.75,39.85,920781,0.0,1.0
2019-08-01,40.0,40.23,37.9,37.96,618801,0.0,1.0
2019-08-02,37.51,40.63,36.74,39.87,564997,0.0,1.0
2019-08-05,38.4,38.8,37.41,38.32,438689,0.0,1.0
2019-08-06,38.5,38.89,37.39,37.62,781160,0.0,1.0
2019-08-07,37.5,38.7,36.64,38.18,285594,0.0,1.0
2019-08-08,38.07,39.3,36.53,37.0,439794,0.0,1.0
2019-08-09,37.08,37.59,34.22,37.43,942919,0.0,1.0
2019-08-12,37.24,39.85,37.24,39.33,404724,0.0,1.0
2019-08-13,40.3,43.05,40.2,41.45,551355,0.0,1.0
2019-08-14,40.79,42.85,40.12,41.29,548387,0.0,1.0
2019-08-15,41.7,42.8,39.36,40.09,606506,0.0,1.0
2019-08-16,40.11,40.74,39.16,39.65,303379,0.0,1.0
2019-08-19,39.68,40.8,37.5,37.68,431466,0.0,1.0
2019-08-20,37.59,38.15,35.82,36.72,950910,0.0,1.0
2019-08-21,37.02,38.45,36.5,37.41,657208,0.0,1.0
2019-08-22,37.46,38.17,36.8,37.23,706500,0.0,1.0
2019-08-23,37.03,38.99,37.03,37.76,377657,0.0,1.0
2019-08-26,38.11,38.32,36.93,37.61,318201,0.0,1.0
2019-08-27,37.62,38.8,37.62,38.35,323590,0.0,1.0
2019-08-28,38.41,38.45,35.4,35.45,861739,0.0,1.0
2019-08-29,35.78,36.6,34.83,35.89,580184,0.0,1.0
2019-08-30,35.99,36.46,35.29,35.62,208607,0.0,1.0
2019-09-03,35.75,36.6,34.17,34.2,694783,0.0,1.0
2019-09-04,34.67,36.98,34.61,36.9,753280,0.0,1.0
2019-09-05,37.22,37.64,35.42,36.48,903893,0.0,1.0
2019-09-06,33.59,36.3,33.0,34.17,2070230,0.0,1.0
2019-09-09,33.84,33.85,26.18,28.48,4051020,0.0,1.0
2019-09-10,27.99,29.4,27.31,28.99,1368357,0.0,1.0
2019-09-11,28.67,29.2,27.75,28.4,1398371,0.0,1.0
2019-09-12,28.55,28.71,26.26,26.26,988337,0.0,1.0
2019-09-13,28.0,32.23,27.75,30.08,3053535,0.0,1.0
2019-09-16,30.0,31.22,29.64,30.42,830553,0.0,1.0
2019-09-17,30.3,32.08,30.16,31.3,1072180,0.0,1.0
2019-09-18,30.93,31.37,29.9,31.25,852499,0.0,1.0
2019-09-19,31.25,31.25,30.0,30.04,733666,0.0,1.0
2019-09-20,30.02,31.13,29.87,30.12,2346138,0.0,1.0
2019-09-23,30.0,30.69,29.5,30.31,476275,0.0,1.0
2019-09-24,30.43,30.72,29.5,30.19,1621335,0.0,1.0
2019-09-25,30.2,30.97,29.7,30.66,628048,0.0,1.0
2019-09-26,30.15,30.94,28.58,29.5,2012163,0.0,1.0
2019-09-27,29.64,30.1,26.52,27.51,1394268,0.0,1.0
2019-09-30,27.44,27.56,26.1,27.43,1356596,0.0,1.0
2019-10-01,27.04,27.5,26.16,26.41,1220196,0.0,1.0
2019-10-02,26.18,28.35,25.68,27.71,1175957,0.0,1.0
2019-10-03,27.71,28.81,26.94,28.62,758117,0.0,1.0
2019-10-04,28.62,29.8,27.56,29.8,973594,0.0,1.0
2019-10-07,29.56,29.92,29.02,29.41,835248,0.0,1.0
2019-10-08,29.12,29.35,27.65,27.71,1115019,0.0,1.0
2019-10-09,27.74,28.14,27.25,27.53,519411,0.0,1.0
2019-10-10,27.58,28.4,27.0,28.07,687570,0.0,1.0
2019-10-11,28.14,29.49,27.81,29.48,569345,0.0,1.0
2019-10-14,29.25,29.96,28.52,29.07,515427,0.0,1.0
2019-10-15,29.35,29.78,28.68,29.13,650581,0.0,1.0
2019-10-16,28.93,28.93,27.18,27.36,1756259,0.0,1.0
2019-10-17,27.56,28.4,27.17,28.29,821338,0.0,1.0
2019-10-18,28.25,28.68,27.68,28.52,784677,0.0,1.0
2019-10-21,28.38,28.68,26.24,26.3,2172520,0.0,1.0
2019-10-22,26.3,26.6,24.24,24.24,1969503,0.0,1.0
2019-10-23,24.24,25.53,23.76,25.35,1362520,0.0,1.0
2019-10-24,25.62,27.54,25.55,27.29,898663,0.0,1.0
2019-10-25,27.04,27.58,26.1,27.15,448787,0.0,1.0
2019-10-28,27.12,28.42,26.81,28.2,699585,0.0,1.0
2019-10-29,28.14,28.75,28.02,28.49,691998,0.0,1.0
2019-10-30,28.48,29.42,27.75,29.38,846716,0.0,1.0
2019-10-31,29.31,29.56,28.89,29.08,786415,0.0,1.0
2019-11-01,29.17,29.83,28.76,29.77,475581,0.0,1.0
2019-11-04,29.84,30.92,29.67,30.16,386711,0.0,1.0
2019-11-05,30.21,30.32,29.28,29.39,381765,0.0,1.0
2019-11-06,29.02,29.28,28.29,28.76,435196,0.0,1.0
2019-11-07,28.87,29.11,27.5,27.74,271667,0.0,1.0
2019-11-08,27.74,28.38,27.34,28.07,333626,0.0,1.0
2019-11-11,28.04,28.33,27.75,28.09,240898,0.0,1.0
2019-11-12,28.35,29.56,28.16,29.48,656237,0.0,1.0
2019-11-13,29.39,31.14,28.82,30.99,505925,0.0,1.0
2019-11-14,31.0,31.43,29.86,29.97,674983,0.0,1.0
2019-11-15,30.0,30.76,29.56,30.13,649558,0.0,1.0
2019-11-18,30.11,31.62,29.6,30.8,821834,0.0,1.0
2019-11-19,31.02,31.41,29.54,30.68,509283,0.0,1.0
2019-11-20,30.65,31.94,30.57,31.71,641602,0.0,1.0
2019-11-21,31.65,33.14,31.5,32.34,548399,0.0,1.0
2019-11-22,32.56,32.7,30.76,31.15,414888,0.0,1.0
2019-11-25,31.33,32.35,31.29,32.0,486956,0.0,1.0
2019-11-26,32.0,32.0,30.38,30.53,841320,0.0,1.0
2019-11-27,30.65,30.95,30.19,30.56,418511,0.0,1.0
2019-11-29,30.38,30.92,30.0,30.36,197884,0.0,1.0
2019-12-02,30.49,30.91,29.79,30.81,493612,0.0,1.0
2019-12-03,30.25,31.86,29.81,31.57,580876,0.0,1.0
2019-12-04,31.57,31.88,29.09,29.17,759909,0.0,1.0
2019-12-05,29.04,29.89,28.07,29.86,1206732,0.0,1.0
2019-12-06,32.44,32.76,27.94,28.01,2130047,0.0,1.0
2019-12-09,28.27,29.34,28.05,28.8,734096,0.0,1.0
2019-12-10,27.86,28.35,27.11,28.23,1995036,0.0,1.0
2019-12-11,28.0,28.5,27.82,28.5,697223,0.0,1.0
2019-12-12,28.5,31.98,28.08,31.97,2163974,0.0,1.0
2019-12-13,31.09,31.94,30.54,31.63,862975,0.0,1.0
2019-12-16,31.01,31.95,30.01,31.23,1288228,0.0,1.0
2019-12-17,30.96,32.16,30.57,32.01,510193,0.0,1.0
2019-12-18,31.4,31.85,30.93,31.44,989766,0.0,1.0
2019-12-19,31.02,31.5,30.82,31.41,625817,0.0,1.0
2019-12-20,31.5,32.3,31.24,32.28,1319306,0.0,1.0
2019-12-23,31.73,32.13,30.64,31.53,955303,0.0,1.0
2019-12-24,31.25,31.78,30.73,31.21,358840,0.0,1.0
2019-12-26,31.35,32.25,31.01,31.74,1929066,0.0,1.0
2019-12-27,31.68,32.08,30.8,31.66,929654,0.0,1.0
2019-12-30,31.66,32.43,31.06,31.87,2017112,0.0,1.0
2019-12-31,31.26,32.25,30.95,31.11,1306464,0.0,1.0
2020-01-02,31.45,31.5,30.78,31.01,648283,0.0,1.0
2020-01-03,30.6,30.77,29.82,29.96,724712,0.0,1.0
2020-01-06,29.78,30.86,29.2,30.71,970611,0.0,1.0
2020-01-07,30.79,31.14,30.33,30.95,624838,0.0,1.0
2020-01-08,30.7,32.05,30.7,31.48,888024,0.0,1.0
2020-01-09,31.83,34.17,31.5,33.69,1462965,0.0,1.0
2020-01-10,33.9,34.88,33.15,33.46,1195224,0.0,1.0
2020-01-13,33.19,33.55,31.56,31.65,909100,0.0,1.0
2020-01-14,31.19,33.27,30.94,32.5,1739062,0.0,1.0
2020-01-15,32.5,34.42,30.97,31.17,7732036,0.0,1.0
2020-01-16,31.09,32.04,30.6,31.93,4193732,0.0,1.0
2020-01-17,31.88,32.23,31.2,31.77,3154461,0.0,1.0
2020-01-21,31.41,31.95,31.0,31.1,2430478,0.0,1.0
2020-01-22,31.01,31.75,30.34,31.42,2843119,0.0,1.0
2020-01-23,30.95,31.33,30.62,31.13,1669831,0.0,1.0
2020-01-24,31.41,31.46,30.3,30.63,1519260,0.0,1.0
2020-01-27,30.26,30.26,29.35,29.84,1498599,0.0,1.0
2020-01-28,30.0,30.1,29.32,29.62,1710803,0.0,1.0
2020-01-29,29.88,29.88,28.68,29.19,1470547,0.0,1.0
2020-01-30,29.12,29.31,28.19,28.85,1484125,0.0,1.0
2020-01-31,28.7,28.8,27.17,28.22,1581350,0.0,1.0
