date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,45.31,46.06,45.06,45.25,106000,0.0,1.0
1999-11-02,45.19,45.31,44.06,44.06,61000,0.0,1.0
1999-11-03,44.06,44.44,41.62,42.0,341800,0.0,1.0
1999-11-04,42.31,43.25,42.19,42.31,169900,0.0,1.0
1999-11-05,42.31,42.69,41.56,42.06,132700,0.0,1.0
1999-11-08,42.88,42.88,42.19,42.5,104100,0.0,1.0
1999-11-09,43.0,46.88,43.0,45.81,385800,0.06,1.0
1999-11-10,45.62,46.62,45.38,45.56,170100,0.0,1.0
1999-11-11,45.38,45.38,44.5,44.56,130800,0.0,1.0
1999-11-12,44.75,45.12,44.06,45.0,212200,0.0,1.0
1999-11-15,45.25,47.0,45.0,46.88,197300,0.0,1.0
1999-11-16,46.62,46.75,46.19,46.69,74000,0.0,1.0
1999-11-17,46.44,46.56,45.88,45.88,54500,0.0,1.0
1999-11-18,45.62,46.5,45.62,46.44,70500,0.0,1.0
1999-11-19,46.56,46.75,46.38,46.56,60100,0.0,1.0
1999-11-22,47.25,47.38,46.25,46.25,104600,0.0,1.0
1999-11-23,46.5,46.5,44.62,44.88,79000,0.0,1.0
1999-11-24,45.25,45.25,44.12,44.44,102500,0.0,1.0
1999-11-26,44.25,44.94,44.25,44.62,53900,0.43,1.0
1999-11-29,44.38,44.38,43.75,43.88,74300,0.0,1.0
1999-11-30,43.94,44.0,43.56,43.69,185200,0.0,1.0
1999-12-01,43.5,43.5,43.06,43.25,100300,0.0,1.0
1999-12-02,43.0,43.25,42.12,42.56,124100,0.0,1.0
1999-12-03,42.31,42.75,41.88,41.94,109700,0.0,1.0
1999-12-06,42.12,42.25,41.75,42.12,172700,0.0,1.0
1999-12-07,41.88,42.25,41.81,42.06,118600,0.0,1.0
1999-12-08,42.31,42.31,41.75,41.75,38800,0.0,1.0
1999-12-09,41.5,42.31,41.44,42.19,384700,0.0,1.0
1999-12-10,42.06,42.06,41.62,41.75,130300,0.0,1.0
1999-12-13,41.75,41.75,40.81,41.12,85200,0.0,1.0
1999-12-14,40.88,41.5,40.75,41.12,123700,0.0,1.0
1999-12-15,41.0,41.25,40.5,40.81,210800,0.0,1.0
1999-12-16,40.81,41.25,40.5,40.88,67200,0.0,1.0
1999-12-17,41.0,41.31,40.88,41.19,75900,0.0,1.0
1999-12-20,41.19,41.31,40.38,40.44,123400,0.0,1.0
1999-12-21,40.5,41.0,40.06,40.62,136000,0.0,1.0
1999-12-22,40.88,40.94,40.5,40.62,59600,0.0,1.0
1999-12-23,40.88,43.31,40.88,42.88,191400,0.0,1.0
1999-12-27,42.88,44.0,42.88,42.94,94200,0.0,1.0
1999-12-28,42.75,43.25,42.25,42.75,51600,0.0,1.0
1999-12-29,42.88,44.25,42.88,43.44,68300,0.0,1.0
1999-12-30,43.19,43.19,42.69,43.0,60600,0.0,1.0
1999-12-31,43.0,43.0,42.06,42.38,101300,0.0,1.0
2000-01-03,42.75,43.12,41.38,41.38,67900,0.0,1.0
2000-01-04,40.75,42.12,40.75,41.81,108200,0.0,1.0
2000-01-05,42.0,42.38,41.88,42.25,140500,0.0,1.0
2000-01-06,42.0,43.5,41.88,43.19,114900,0.0,1.0
2000-01-07,43.94,47.06,43.75,46.19,505000,0.0,1.0
2000-01-10,46.69,47.88,46.31,46.75,238600,0.0,1.0
2000-01-11,46.56,46.56,44.25,44.38,355500,0.0,1.0
2000-01-12,44.62,46.25,44.62,45.94,180400,0.0,1.0
2000-01-13,45.88,46.31,45.88,45.94,114300,0.0,1.0
2000-01-14,46.5,46.5,45.25,45.44,115300,0.0,1.0
2000-01-18,46.75,50.0,46.75,49.0,470300,0.0,1.0
2000-01-19,49.0,50.31,47.06,47.12,271400,0.0,1.0
2000-01-20,47.0,47.38,44.88,44.88,306100,0.0,1.0
2000-01-21,44.94,45.38,44.0,44.06,389400,0.0,1.0
2000-01-24,43.5,44.12,43.06,43.12,249600,0.0,1.0
2000-01-25,43.38,43.5,42.06,42.25,319800,0.0,1.0
2000-01-26,42.06,43.31,42.06,42.69,293100,0.0,1.0
2000-01-27,42.88,43.5,42.12,42.25,118900,0.0,1.0
2000-01-28,42.0,42.19,41.56,41.56,144000,0.0,1.0
2000-01-31,41.81,42.75,41.75,41.75,153800,0.0,1.0
2000-02-01,41.75,42.38,41.69,41.88,183800,0.0,1.0
2000-02-02,41.81,43.25,41.81,42.38,130400,0.0,1.0
2000-02-03,42.12,42.38,41.5,41.56,189400,0.0,1.0
2000-02-04,41.5,41.5,40.94,41.06,211100,0.0,1.0
2000-02-07,41.06,41.69,40.25,40.56,199900,0.0,1.0
2000-02-08,40.31,40.88,38.69,40.44,400600,0.0,1.0
2000-02-09,40.25,40.31,39.25,39.38,189000,0.0,1.0
2000-02-10,39.62,39.94,38.94,39.25,260500,0.0,1.0
2000-02-11,39.25,41.81,39.12,40.5,509500,0.0,1.0
2000-02-14,40.75,41.44,40.38,41.19,246800,0.0,1.0
2000-02-15,41.44,42.25,41.25,41.31,197000,0.0,1.0
2000-02-16,41.31,41.44,41.0,41.06,215600,0.0,1.0
2000-02-17,41.06,41.38,40.69,40.75,293900,0.0,1.0
2000-02-18,40.5,41.06,39.75,40.31,420600,0.0,1.0
2000-02-22,40.06,42.19,39.88,41.69,312000,0.0,1.0
2000-02-23,41.12,42.25,41.0,41.31,436900,0.51,1.0
2000-02-24,42.12,42.62,40.25,40.88,267400,0.0,1.0
2000-02-25,41.12,42.0,41.06,41.31,540700,0.0,1.0
2000-02-28,41.06,42.19,40.62,42.19,2131400,0.0,1.0
2000-02-29,42.5,42.5,41.75,41.88,252800,0.0,1.0
2000-03-01,41.94,41.94,41.62,41.88,97800,0.0,1.0
2000-03-02,41.69,42.62,41.62,42.31,191200,0.0,1.0
2000-03-03,42.19,42.62,42.12,42.44,181200,0.0,1.0
2000-03-06,42.5,42.5,41.38,41.5,192000,0.0,1.0
2000-03-07,41.38,41.69,39.5,40.38,620300,0.0,1.0
2000-03-08,40.62,40.69,40.0,40.5,181500,0.0,1.0
2000-03-09,40.75,40.94,40.25,40.75,182800,0.0,1.0
2000-03-10,40.69,40.69,40.12,40.12,264400,0.0,1.0
2000-03-13,39.19,39.31,38.75,39.31,319200,0.0,1.0
2000-03-14,39.31,39.69,39.06,39.38,181200,0.0,1.0
2000-03-15,39.38,40.0,39.25,40.0,144300,0.0,1.0
2000-03-16,40.25,41.5,40.25,41.44,610500,0.0,1.0
2000-03-17,41.19,41.88,40.69,40.88,185800,0.0,1.0
2000-03-20,40.62,42.0,40.62,41.56,150400,0.0,1.0
2000-03-21,41.38,41.5,40.88,41.31,198200,0.0,1.0
2000-03-22,41.56,41.56,40.5,40.56,124400,0.0,1.0
2000-03-23,40.81,41.0,40.19,40.75,261200,0.0,1.0
2000-03-24,41.0,41.0,40.0,40.31,96800,0.0,1.0
2000-03-27,40.06,40.38,39.62,39.88,208700,0.0,1.0
2000-03-28,39.88,39.94,39.38,39.56,112700,0.0,1.0
2000-03-29,39.81,39.81,39.0,39.12,132800,0.0,1.0
2000-03-30,39.0,39.5,38.19,38.25,145100,0.0,1.0
2000-03-31,38.75,40.0,38.75,40.0,237700,0.0,1.0
2000-04-03,39.75,40.31,39.62,39.94,194900,0.0,1.0
2000-04-04,39.69,40.69,39.69,40.5,173400,0.0,1.0
2000-04-05,40.25,41.25,40.25,41.0,149500,0.0,1.0
2000-04-06,41.0,43.12,41.0,42.75,232400,0.0,1.0
2000-04-07,42.62,42.62,41.25,41.31,91300,0.0,1.0
2000-04-10,42.5,43.31,42.06,42.38,209800,0.0,1.0
2000-04-11,42.12,44.0,42.12,43.88,234700,0.0,1.0
2000-04-12,43.88,48.88,43.88,47.81,984900,0.0,1.0
2000-04-13,47.88,49.25,47.69,48.44,197600,0.0,1.0
2000-04-14,48.19,48.44,45.62,45.88,236800,0.0,1.0
2000-04-17,45.62,46.5,45.44,46.0,188600,0.0,1.0
2000-04-18,46.25,46.5,45.0,45.12,98900,0.0,1.0
2000-04-19,45.19,45.88,45.19,45.19,77700,0.0,1.0
2000-04-20,45.44,46.06,45.31,46.0,124200,0.0,1.0
2000-04-24,46.0,46.19,45.25,45.69,79300,0.0,1.0
2000-04-25,45.94,47.19,45.94,47.19,120300,0.0,1.0
2000-04-26,46.94,48.06,46.12,46.94,136100,0.0,1.0
2000-04-27,47.06,47.25,46.12,46.69,102200,0.0,1.0
2000-04-28,46.44,47.19,46.44,46.75,107600,0.0,1.0
2000-05-01,47.0,47.25,46.69,47.25,50100,0.0,1.0
2000-05-02,47.0,47.5,46.38,46.5,112400,0.0,1.0
2000-05-03,46.62,47.12,45.38,46.38,112000,0.0,1.0
2000-05-04,46.0,47.44,45.88,47.31,97100,0.0,1.0
2000-05-05,47.38,48.56,47.19,48.56,140900,0.0,1.0
2000-05-08,48.56,49.31,48.31,49.19,167200,0.0,1.0
2000-05-09,49.44,50.44,49.31,50.25,257400,0.0,1.0
2000-05-10,50.12,50.19,47.88,49.62,113400,0.0,1.0
2000-05-11,50.25,50.25,49.44,50.19,146300,0.0,1.0
2000-05-12,50.19,50.38,48.75,49.38,112100,0.0,1.0
2000-05-15,49.62,50.81,49.56,50.5,222300,0.0,1.0
2000-05-16,50.56,51.19,50.56,50.94,124700,0.0,1.0
2000-05-17,50.75,50.75,49.5,49.75,156900,0.0,1.0
2000-05-18,49.75,50.62,49.19,49.69,195000,0.0,1.0
2000-05-19,49.81,51.19,49.69,51.06,100100,0.0,1.0
2000-05-22,51.06,51.12,49.69,49.81,85100,0.0,1.0
2000-05-23,49.88,52.88,49.88,51.25,173500,0.0,1.0
2000-05-24,51.5,51.81,51.19,51.62,106000,0.0,1.0
2000-05-25,51.62,51.62,49.88,50.06,66200,0.0,1.0
2000-05-26,50.0,50.25,46.56,46.62,682800,0.3,1.0
2000-05-30,46.69,48.19,46.69,47.75,151800,0.0,1.0
2000-05-31,47.5,49.0,47.5,48.25,217700,0.0,1.0
2000-06-01,48.38,49.06,48.25,48.25,217900,0.0,1.0
2000-06-02,48.44,49.31,48.38,49.06,110400,0.0,1.0
2000-06-05,49.12,51.88,49.12,51.31,221600,0.0,1.0
2000-06-06,51.06,51.44,49.94,49.94,169800,0.0,1.0
2000-06-07,50.0,51.12,49.5,50.69,153300,0.0,1.0
2000-06-08,50.56,51.0,50.06,51.0,111500,0.0,1.0
2000-06-09,51.0,51.38,50.5,50.56,51400,0.0,1.0
2000-06-12,51.0,51.0,50.12,50.25,39700,0.0,1.0
2000-06-13,50.38,50.5,49.81,50.19,123700,0.0,1.0
2000-06-14,50.06,50.12,48.06,49.19,154900,0.0,1.0
2000-06-15,49.44,49.44,47.44,47.81,167800,0.0,1.0
2000-06-16,47.88,47.88,45.5,46.0,317800,0.0,1.0
2000-06-19,46.0,46.81,45.94,46.38,146300,0.0,1.0
2000-06-20,46.25,46.38,45.88,46.12,93600,0.0,1.0
2000-06-21,46.38,46.38,46.06,46.19,62600,0.0,1.0
2000-06-22,46.19,46.31,46.06,46.12,175900,0.0,1.0
2000-06-23,46.12,47.0,46.0,47.0,69900,0.0,1.0
2000-06-26,47.0,47.12,46.69,47.06,49900,0.0,1.0
2000-06-27,46.75,48.88,46.75,48.5,191300,0.0,1.0
2000-06-28,48.25,48.38,47.62,48.25,46300,0.0,1.0
2000-06-29,48.5,48.5,47.75,47.81,87600,0.0,1.0
2000-06-30,48.06,48.31,47.25,47.25,78200,0.0,1.0
2000-07-03,47.0,47.88,47.0,47.88,24600,0.0,1.0
2000-07-05,48.12,49.0,47.69,48.88,74500,0.0,1.0
2000-07-06,48.88,49.31,48.62,48.75,87800,0.0,1.0
2000-07-07,48.62,48.69,48.31,48.38,34200,0.0,1.0
2000-07-10,48.5,48.94,48.44,48.94,86100,0.0,1.0
2000-07-11,49.12,49.12,48.75,48.81,44300,0.0,1.0
2000-07-12,48.56,49.0,48.44,48.94,98800,0.0,1.0
2000-07-13,49.12,49.19,48.75,48.94,55100,0.0,1.0
2000-07-14,49.19,50.0,48.69,48.81,62100,0.0,1.0
2000-07-17,48.88,49.19,48.88,49.0,23800,0.0,1.0
2000-07-18,49.06,49.62,49.0,49.12,99000,0.0,1.0
2000-07-19,49.38,50.81,49.38,50.66,148000,0.0,1.0
2000-07-20,50.69,50.88,49.56,49.69,81100,0.0,1.0
2000-07-21,49.81,49.81,48.56,49.0,120200,0.0,1.0
2000-07-24,49.25,49.88,49.25,49.81,109300,0.0,1.0
2000-07-25,50.06,50.06,49.38,49.44,76900,0.0,1.0
2000-07-26,49.38,49.88,49.0,49.0,68700,0.0,1.0
2000-07-27,49.25,49.25,48.81,49.12,110300,0.0,1.0
2000-07-28,49.12,49.31,49.0,49.25,78800,0.0,1.0
2000-07-31,49.25,50.12,49.25,49.81,114700,0.0,1.0
2000-08-01,49.81,49.81,48.25,48.5,129000,0.0,1.0
2000-08-02,48.75,49.0,47.88,48.38,231900,0.0,1.0
2000-08-03,48.25,48.25,48.06,48.19,225600,0.0,1.0
2000-08-04,48.19,48.5,48.06,48.12,109400,0.0,1.0
2000-08-07,48.12,49.5,48.12,49.5,78500,0.0,1.0
2000-08-08,49.25,49.5,48.75,49.12,133700,0.0,1.0
2000-08-09,49.12,49.38,48.75,48.75,96700,0.0,1.0
