date,open_price,high_price,low_price,close_price,volume,dividend,split
2008-10-27,8.3,8.45,7.8,8.25,4700,0.0,1.0
2008-10-28,8.25,8.5,8.1,8.1,9400,0.0,1.0
2008-10-29,9.0,9.45,8.8,8.8,510,0.0,1.0
2008-10-30,11.0,11.0,11.0,11.0,380,0.0,1.0
2008-11-03,9.75,9.9,9.75,9.75,360,0.0,1.0
2008-11-04,10.9,11.75,10.9,11.6,6500,0.0,1.0
2008-11-05,11.0,11.0,11.0,11.0,200,0.0,1.0
2008-11-06,10.65,10.65,10.65,10.65,160,0.0,1.0
2008-11-07,10.6,10.8,10.2,10.2,680,0.0,1.0
2008-11-10,10.8,10.95,10.8,10.95,1600,0.0,1.0
2008-11-11,9.75,9.9,9.7,9.9,1900,0.0,1.0
2008-11-12,9.4,9.5,9.1,9.1,740,0.0,1.0
2008-11-13,9.05,9.5,9.0,9.25,1700,0.0,1.0
2008-11-14,9.85,9.85,9.4,9.4,270,0.0,1.0
2008-11-17,9.25,9.25,8.75,8.8,1400,0.0,1.0
2008-11-18,8.85,9.5,8.7,8.7,640,0.0,1.0
2008-11-19,8.55,8.55,7.85,7.85,15800,0.0,1.0
2008-11-20,7.6,7.6,7.2,7.2,570,0.0,1.0
2008-11-21,7.55,7.55,7.4,7.5,730,0.0,1.0
2008-11-24,8.1,8.3,8.1,8.3,800,0.0,1.0
2008-11-25,8.6,8.6,8.6,8.6,520,0.0,1.0
2008-11-26,8.95,9.75,8.95,9.15,940,0.0,1.0
2008-11-28,9.1,9.1,9.1,9.1,300,0.0,1.0
2008-12-01,8.85,9.75,8.85,9.25,520,0.0,1.0
2008-12-04,10.1,10.1,10.1,10.1,320,0.0,1.0
2008-12-05,9.1,9.1,8.9,8.9,580,0.0,1.0
2008-12-08,9.95,9.95,9.95,9.95,370,0.0,1.0
2008-12-09,10.2,11.2,10.2,10.35,25700,0.0,1.0
2008-12-10,10.75,11.3,10.65,11.3,55700,0.0,1.0
2008-12-11,10.75,11.25,10.65,11.15,123800,0.0,1.0
2008-12-12,10.33,10.8,10.1,10.55,19400,0.0,1.0
2008-12-15,10.35,10.9,10.05,10.8,11500,0.0,1.0
2008-12-16,10.3,11.35,10.3,11.35,4300,0.0,1.0
2008-12-17,11.0,11.0,10.65,11.0,3000,0.0,1.0
2008-12-18,11.4,11.4,10.85,10.85,4300,0.0,1.0
2008-12-19,10.6,10.6,10.0,10.4,28200,0.0,1.0
2008-12-22,10.05,10.35,10.05,10.1,8100,0.0,1.0
2008-12-23,10.39,10.5,10.19,10.2,9600,0.0,1.0
2008-12-24,10.25,10.25,10.05,10.25,1200,0.0,1.0
2008-12-26,9.8,9.8,9.8,9.8,2800,0.0,1.0
2008-12-29,10.45,10.65,10.2,10.65,6300,0.0,1.0
2008-12-30,10.65,10.75,10.3,10.4,20900,0.0,1.0
2008-12-31,10.8,10.8,10.55,10.55,4000,0.0,1.0
2009-01-02,10.69,10.8,10.69,10.8,5700,0.0,1.0
2009-01-05,10.85,11.15,10.85,11.15,3500,0.0,1.0
2009-01-06,10.75,10.75,10.5,10.5,1600,0.0,1.0
2009-01-07,11.0,11.0,10.61,10.61,2000,0.0,1.0
2009-01-08,10.48,10.95,10.48,10.9,225200,0.0,1.0
2009-01-09,10.7,10.75,10.5,10.55,463700,0.0,1.0
2009-01-12,10.4,10.65,10.4,10.6,216300,0.0,1.0
2009-01-13,10.22,10.4,10.17,10.3,150800,0.0,1.0
2009-01-14,10.05,10.2,10.0,10.0,137600,0.0,1.0
2009-01-15,9.89,9.89,9.45,9.8,47800,0.0,1.0
2009-01-16,9.66,9.85,9.5,9.7,287000,0.0,1.0
2009-01-20,9.34,9.35,8.8,8.8,171400,0.0,1.0
2009-01-21,9.14,9.14,8.75,9.0,180500,0.0,1.0
2009-01-22,8.51,8.64,8.35,8.6,264900,0.0,1.0
2009-01-23,7.91,8.09,7.9,8.09,21600,0.0,1.0
2009-01-26,7.83,8.0,7.83,8.0,116800,0.0,1.0
2009-01-27,7.88,8.2,7.86,8.0,22000,0.0,1.0
2009-01-28,8.37,8.4,8.2,8.2,9000,0.0,1.0
2009-01-29,7.95,8.1,7.8,7.8,66200,0.0,1.0
2009-01-30,7.96,8.0,7.75,7.95,10200,0.0,1.0
2009-02-02,7.48,7.7,7.43,7.7,12200,0.0,1.0
2009-02-03,7.68,7.95,7.68,7.95,12100,0.0,1.0
2009-02-04,7.94,8.3,7.87,8.0,16600,0.0,1.0
2009-02-05,7.91,8.17,7.79,8.16,19100,0.0,1.0
2009-02-06,8.0,8.26,8.0,8.05,7200,0.0,1.0
2009-02-09,8.55,8.58,8.38,8.45,25800,0.0,1.0
2009-02-10,8.33,8.45,7.95,8.2,17800,0.0,1.0
2009-02-11,8.13,8.25,7.94,8.15,12100,0.0,1.0
