date,open_price,high_price,low_price,close_price,volume,dividend,split
2016-01-04,13.18,13.22,13.0,13.12,140598,0.0,1.0
2016-01-05,12.95,12.99,12.85,12.91,96651,0.0,1.0
2016-01-06,12.97,13.09,12.92,12.97,101330,0.0,1.0
2016-01-07,12.79,12.85,12.63,12.73,123691,0.0,1.0
2016-01-08,12.84,12.85,12.64,12.68,126373,0.0,1.0
2016-01-11,13.1,13.12,12.86,13.0,68374,0.0,1.0
2016-01-12,13.25,13.29,13.05,13.21,40574,0.0,1.0
2016-01-13,13.37,13.44,13.07,13.14,60472,0.0,1.0
2016-01-14,12.99,13.02,12.81,12.98,65073,0.0,1.0
2016-01-15,12.6,12.71,12.55,12.61,32175,0.0,1.0
2016-01-19,12.88,12.97,12.81,12.91,87572,0.0,1.0
2016-01-20,12.73,12.75,12.4,12.64,96874,0.0,1.0
2016-01-21,12.54,12.69,12.45,12.64,40846,0.0,1.0
2016-01-22,13.14,13.18,12.85,12.94,38457,0.0,1.0
2016-01-25,13.21,13.24,13.05,13.08,46171,0.0,1.0
2016-01-26,13.26,13.35,13.17,13.35,36153,0.0,1.0
2016-01-27,13.36,13.55,13.35,13.4,53294,0.0,1.0
2016-01-28,13.5,13.52,13.29,13.48,32982,0.0,1.0
2016-01-29,13.51,13.59,13.42,13.58,28219,0.0,1.0
2016-02-01,13.54,13.62,13.45,13.59,24724,0.0,1.0
2016-02-02,13.5,13.58,13.44,13.49,20757,0.0,1.0
2016-02-03,13.79,14.02,13.66,14.0,60996,0.0,1.0
2016-02-04,13.78,13.84,13.72,13.8,44607,0.0,1.0
2016-02-05,13.57,13.66,13.47,13.53,36592,0.0,1.0
2016-02-08,13.23,13.23,13.0,13.1,37641,0.0,1.0
2016-02-09,13.13,13.31,13.13,13.22,27429,0.0,1.0
2016-02-10,13.65,13.65,13.39,13.47,265109,0.0,1.0
2016-02-11,13.32,13.43,13.24,13.35,33781,0.0,1.0
2016-02-12,13.25,13.45,13.25,13.41,59029,0.0,1.0
2016-02-16,13.45,13.47,13.3,13.41,95707,0.0,1.0
2016-02-17,14.01,14.41,14.0,14.35,71846,0.0,1.0
2016-02-18,14.52,14.68,14.49,14.49,43190,0.0,1.0
2016-02-19,14.38,14.58,14.31,14.56,48674,0.0,1.0
2016-02-22,14.52,14.58,14.42,14.48,64485,0.0,1.0
2016-02-23,14.41,14.46,14.24,14.29,52275,0.0,1.0
2016-02-24,14.26,14.57,14.23,14.55,118328,0.0,1.0
2016-02-25,14.37,14.59,14.31,14.57,68034,0.1608,1.0
2016-02-26,14.51,14.57,14.32,14.36,26108,0.0,1.0
2016-02-29,14.2,14.33,14.19,14.27,38312,0.0,1.0
2016-03-01,14.46,14.55,13.54,13.68,289503,0.0,1.0
2016-03-02,13.51,13.69,13.42,13.67,65022,0.0,1.0
2016-03-03,13.49,13.62,13.36,13.54,110702,0.0,1.0
2016-03-04,13.84,13.96,13.82,13.89,56384,0.0,1.0
2016-03-07,13.66,13.76,13.62,13.68,103317,0.0,1.0
2016-03-08,13.62,13.74,13.54,13.64,52301,0.0,1.0
2016-03-09,13.84,13.97,13.82,13.92,37924,0.0,1.0
2016-03-10,14.04,14.18,13.84,13.97,223295,0.0,1.0
2016-03-11,14.61,14.71,14.52,14.7,152460,0.0,1.0
