date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,6.65,6.65,6.65,6.65,7000,0.0,1.0
2007-07-16,6.65,6.75,6.65,6.65,8600,0.0,1.0
2007-07-17,6.65,6.65,6.65,6.65,14300,0.0,1.0
2007-07-18,6.65,6.65,6.65,6.65,4500,0.0,1.0
2007-07-19,6.45,6.45,6.45,6.45,2000,0.0,1.0
2007-07-20,7.1,7.1,7.1,7.1,12300,0.0,1.0
2007-07-23,7.45,7.48,7.45,7.45,20000,0.0,1.0
2007-07-24,7.4,7.4,7.4,7.4,28900,0.0,1.0
2007-07-25,7.25,7.45,7.25,7.25,3200,0.0,1.0
2007-07-26,7.3,7.3,7.3,7.3,18800,0.0,1.0
2007-07-27,7.2,7.2,7.2,7.2,10300,0.0,1.0
2007-07-30,7.45,7.47,7.45,7.45,21000,0.0,1.0
2007-07-31,7.1,7.15,7.1,7.1,16400,0.0,1.0
2007-08-01,7.0,7.0,7.0,7.0,300,0.0,1.0
2007-08-02,7.2,7.2,7.2,7.2,2150,0.0,1.0
2007-08-03,7.1,7.1,7.1,7.1,100,0.0,1.0
2007-08-06,6.8,6.99,6.8,6.8,7050,0.0,1.0
2007-08-07,6.8,6.99,6.8,6.8,0,0.0,1.0
2007-08-08,6.85,6.85,6.85,6.85,12000,0.0,1.0
2007-08-09,6.85,6.85,6.85,6.85,0,0.0,1.0
2007-08-10,6.55,6.6,6.55,6.55,19500,0.0,1.0
2007-08-13,6.4,6.4,6.4,6.4,4280,0.0,1.0
2007-08-14,6.5,6.5,6.5,6.5,6000,0.0,1.0
2007-08-15,6.5,6.5,6.5,6.5,0,0.0,1.0
2007-08-16,6.35,6.45,6.35,6.35,2750,0.0,1.0
2007-08-17,6.0,6.28,6.0,6.0,22650,0.0,1.0
2007-08-20,5.95,6.0,5.95,5.95,11000,0.0,1.0
2007-08-21,5.9,5.9,5.9,5.9,100,0.0,1.0
2007-08-22,5.9,5.9,5.9,5.9,1000,0.0,1.0
2007-08-23,5.9,5.9,5.9,5.9,2100,0.0,1.0
2007-08-24,6.1,6.1,6.1,6.1,300,0.0,1.0
2007-08-27,5.9,5.9,5.9,5.9,200,0.0,1.0
2007-08-28,6.1,6.1,6.1,6.1,8850,0.0,1.0
2007-08-29,6.1,6.1,6.1,6.1,5000,0.0,1.0
2007-08-30,6.1,6.1,6.1,6.1,1000,0.0,1.0
2007-08-31,6.1,6.1,6.1,6.1,0,0.0,1.0
2007-09-04,6.2,6.2,6.2,6.2,1000,0.0,1.0
2007-09-05,6.2,6.2,6.2,6.2,0,0.0,1.0
2007-09-06,6.2,6.2,6.2,6.2,0,0.0,1.0
2007-09-07,5.7,5.85,5.7,5.7,8000,0.0,1.0
2007-09-10,5.65,5.7,5.65,5.65,6500,0.0,1.0
2007-09-11,5.5,5.7,5.5,5.5,3600,0.0,1.0
2007-09-12,5.65,5.65,5.65,5.65,1599,0.0,1.0
2007-09-13,5.65,5.65,5.65,5.65,2000,0.0,1.0
2007-09-14,5.65,5.65,5.65,5.65,0,0.0,1.0
2007-09-17,5.55,5.6,5.55,5.55,1600,0.0,1.0
2007-09-18,5.6,5.6,5.6,5.6,4000,0.0,1.0
2007-09-19,5.8,5.8,5.8,5.8,100,0.0,1.0
2007-09-20,5.6,5.7,5.6,5.6,6000,0.0,1.0
2007-09-21,5.9,6.0,5.9,5.9,1200,0.0,1.0
2007-09-24,5.75,5.95,5.75,5.75,5000,0.0,1.0
