date,open_price,high_price,low_price,close_price,volume,dividend,split
2004-12-16,26.65,28.07,26.0,27.8,7963200,0.0,1.0
2004-12-17,27.45,27.48,26.37,26.98,1399400,0.0,1.0
2004-12-20,27.2,27.2,26.8,26.89,303900,0.0,1.0
2004-12-21,26.88,27.44,26.86,27.28,379800,0.0,1.0
2004-12-22,27.12,27.5,27.03,27.2,540600,0.0,1.0
2004-12-23,27.1,28.0,27.06,27.98,544600,0.0,1.0
2004-12-27,28.0,28.4,28.0,28.25,272400,0.0,1.0
2004-12-28,28.25,29.4,28.15,29.0,274500,0.0,1.0
2004-12-29,29.0,29.6,29.0,29.11,435600,0.0,1.0
2004-12-30,29.03,29.48,29.0,29.1,133300,0.0,1.0
2004-12-31,29.2,29.45,29.17,29.35,200600,0.0,1.0
2005-01-03,29.2,29.3,28.85,28.94,633700,0.0,1.0
2005-01-04,29.1,29.1,28.55,28.8,243800,0.0,1.0
2005-01-05,28.9,29.14,28.85,29.0,224200,0.0,1.0
2005-01-06,29.0,29.03,28.96,29.0,164800,0.0,1.0
2005-01-07,29.0,29.08,29.0,29.0,48600,0.0,1.0
2005-01-10,29.0,29.34,29.0,29.25,67200,0.0,1.0
2005-01-11,29.3,29.3,28.87,28.96,183900,0.0,1.0
2005-01-12,29.0,29.05,28.8,28.85,126000,0.0,1.0
2005-01-13,28.84,28.85,28.82,28.83,65600,0.0,1.0
2005-01-14,28.83,29.25,28.83,28.95,181600,0.0,1.0
2005-01-18,28.85,28.85,28.51,28.75,117900,0.0,1.0
2005-01-19,28.72,28.89,28.55,28.68,126600,0.0,1.0
2005-01-20,28.68,28.8,28.65,28.65,158900,0.0,1.0
2005-01-21,28.5,29.1,28.5,29.1,372900,0.0,1.0
2005-01-24,29.2,29.2,28.8,28.95,51400,0.0,1.0
2005-01-25,29.0,29.0,28.85,29.0,121300,0.0,1.0
2005-01-26,29.08,29.1,28.86,29.0,73600,0.0,1.0
2005-01-27,29.0,29.22,28.88,29.22,111100,0.0,1.0
2005-01-28,29.1,29.18,28.94,29.08,97100,0.0,1.0
2005-01-31,29.08,29.35,29.0,29.34,138300,0.0,1.0
2005-02-01,29.22,29.8,29.22,29.4,129300,0.0,1.0
2005-02-02,29.44,29.6,29.44,29.6,76300,0.0,1.0
2005-02-03,29.6,29.69,29.3,29.3,106400,0.0,1.0
2005-02-04,29.38,29.7,29.32,29.65,50200,0.0,1.0
2005-02-07,29.7,29.8,29.13,29.23,60600,0.0,1.0
2005-02-08,29.45,29.6,29.25,29.55,356200,0.0,1.0
2005-02-09,29.58,29.58,29.4,29.5,114700,0.0,1.0
2005-02-10,29.47,29.55,29.4,29.45,44600,0.0,1.0
2005-02-11,29.45,29.49,29.35,29.44,123100,0.0,1.0
2005-02-14,29.4,29.45,29.3,29.45,161900,0.0,1.0
2005-02-15,29.45,29.45,29.3,29.41,226800,0.0,1.0
2005-02-16,29.4,29.5,29.35,29.45,189000,0.0,1.0
2005-02-17,29.45,29.9,29.4,29.9,157100,0.0,1.0
2005-02-18,29.98,30.35,29.8,30.08,210200,0.0,1.0
2005-02-22,29.88,30.26,29.88,30.06,135500,0.0,1.0
2005-02-23,30.02,30.09,29.8,30.0,171500,0.0,1.0
2005-02-24,30.01,30.01,29.29,29.35,67200,0.0,1.0
2005-02-25,29.35,29.35,28.5,28.98,235400,0.0,1.0
2005-02-28,28.99,28.99,27.1,28.38,454200,0.0,1.0
2005-03-01,27.95,28.65,27.95,28.23,157000,0.0,1.0
2005-03-02,28.3,29.06,28.15,28.97,97000,0.0,1.0
2005-03-03,29.1,29.7,28.9,28.98,115800,0.0,1.0
2005-03-04,29.1,29.3,28.25,28.45,146500,0.0,1.0
2005-03-07,28.45,28.73,28.45,28.53,40800,0.0,1.0
2005-03-08,28.55,28.55,27.8,28.2,107300,0.0,1.0
2005-03-09,28.25,28.5,28.04,28.04,85800,0.0,1.0
2005-03-10,28.1,28.64,28.1,28.39,84800,0.0,1.0
2005-03-11,28.7,28.75,28.58,28.6,54900,0.0,1.0
2005-03-14,28.8,29.03,28.6,28.93,105400,0.0,1.0
2005-03-15,28.9,28.9,28.37,28.4,132400,0.0,1.0
2005-03-16,28.2,28.2,27.26,28.18,235500,0.0,1.0
2005-03-17,27.85,28.19,27.85,28.01,176800,0.0,1.0
2005-03-18,28.0,28.58,28.0,28.5,80400,0.0,1.0
2005-03-21,28.6,28.9,28.1,28.9,103600,0.0,1.0
2005-03-22,28.85,28.85,27.9,27.91,163600,0.0,1.0
2005-03-23,27.9,28.2,27.86,28.0,50000,0.0,1.0
2005-03-24,27.95,29.0,27.9,28.97,81200,0.0,1.0
2005-03-28,28.85,28.95,28.59,28.65,42300,0.0,1.0
2005-03-29,28.3,28.38,27.88,28.35,81200,0.0,1.0
2005-03-30,28.15,28.65,28.15,28.19,93700,0.0,1.0
2005-03-31,28.15,28.32,28.0,28.0,302700,0.0,1.0
2005-04-01,28.01,28.05,27.85,27.99,53700,0.0,1.0
2005-04-04,27.9,27.95,27.25,27.3,102100,0.0,1.0
2005-04-05,27.3,27.63,27.3,27.4,45600,0.0,1.0
2005-04-06,27.5,27.59,27.45,27.5,56700,0.0,1.0
2005-04-07,27.4,28.0,27.4,28.0,23300,0.0,1.0
2005-04-08,28.0,28.0,27.62,27.66,32600,0.0,1.0
2005-04-11,27.66,27.66,27.51,27.52,17500,0.0,1.0
2005-04-12,27.45,27.77,27.45,27.77,30300,0.0,1.0
2005-04-13,27.67,28.0,27.55,27.81,29600,0.0,1.0
2005-04-14,27.75,27.8,27.5,27.61,57700,0.0,1.0
2005-04-15,27.65,27.97,27.65,27.97,27000,0.0,1.0
2005-04-18,27.98,27.98,27.65,27.65,28200,0.0,1.0
2005-04-19,27.72,27.8,27.55,27.75,38100,0.0,1.0
2005-04-20,27.75,27.85,27.55,27.83,47600,0.0,1.0
2005-04-21,27.65,27.86,27.6,27.78,104600,0.0,1.0
2005-04-22,27.78,27.8,27.64,27.65,101200,0.0,1.0
2005-04-25,27.65,27.75,27.65,27.7,33800,0.0,1.0
2005-04-26,27.68,27.7,27.38,27.42,52300,0.0,1.0
2005-04-27,27.7,27.75,27.51,27.6,27200,0.0,1.0
2005-04-28,27.52,27.72,27.5,27.5,31100,0.0,1.0
2005-04-29,27.5,27.5,27.05,27.25,1068100,0.0,1.0
2005-05-02,27.2,27.33,27.15,27.31,35900,0.0,1.0
2005-05-03,27.3,27.35,27.17,27.21,42100,0.0,1.0
2005-05-04,27.3,27.33,27.07,27.26,123200,0.0,1.0
2005-05-05,27.2,27.3,27.15,27.3,103100,0.0,1.0
2005-05-06,27.25,28.14,27.25,28.14,355300,0.0,1.0
2005-05-09,28.14,28.48,28.14,28.27,41600,0.0,1.0
2005-05-10,28.3,28.45,28.0,28.45,30400,0.0,1.0
2005-05-11,28.3,28.68,28.3,28.66,38500,0.0,1.0
2005-05-12,28.66,28.66,28.23,28.4,69300,0.0,1.0
2005-05-13,28.5,28.54,28.35,28.5,60100,0.0,1.0
2005-05-16,27.85,28.25,27.82,28.05,83000,0.0,1.0
2005-05-17,28.08,28.15,27.7,27.85,46900,0.0,1.0
2005-05-18,27.98,28.25,27.82,28.25,252800,0.0,1.0
2005-05-19,28.21,28.22,28.1,28.17,72500,0.0,1.0
2005-05-20,28.09,28.39,28.0,28.35,42200,0.0,1.0
2005-05-23,28.35,28.42,28.25,28.38,39800,0.0,1.0
2005-05-24,28.4,28.89,28.35,28.88,43100,0.0,1.0
2005-05-25,28.82,29.09,28.65,29.02,102200,0.0,1.0
2005-05-26,28.98,29.3,28.97,29.28,121900,0.0,1.0
2005-05-27,29.3,29.6,29.25,29.51,120000,0.0,1.0
2005-05-31,28.91,29.6,28.91,29.3,63700,0.5,1.0
2005-06-01,29.31,29.53,29.3,29.5,269500,0.0,1.0
2005-06-02,29.52,29.95,29.45,29.82,429200,0.0,1.0
2005-06-03,29.82,29.82,29.3,29.4,274400,0.0,1.0
2005-06-06,29.4,29.43,29.2,29.33,52500,0.0,1.0
2005-06-07,29.2,29.22,28.5,28.52,91000,0.0,1.0
2005-06-08,28.65,28.68,27.9,28.1,51000,0.0,1.0
2005-06-09,28.02,28.03,27.88,27.92,42900,0.0,1.0
2005-06-10,28.1,28.27,28.04,28.14,47100,0.0,1.0
2005-06-13,28.32,29.22,28.32,29.11,146200,0.0,1.0
2005-06-14,29.11,29.23,29.06,29.18,91900,0.0,1.0
2005-06-15,29.43,29.5,29.25,29.31,135900,0.0,1.0
2005-06-16,29.35,29.38,29.13,29.15,100700,0.0,1.0
2005-06-17,29.08,29.3,28.91,29.3,59500,0.0,1.0
2005-06-20,29.32,29.44,28.56,28.98,99000,0.0,1.0
2005-06-21,29.01,29.01,28.3,28.3,203200,0.0,1.0
2005-06-22,28.42,28.5,28.11,28.35,73300,0.0,1.0
2005-06-23,28.34,28.35,28.02,28.16,83800,0.0,1.0
2005-06-24,28.1,28.62,27.62,27.62,212700,0.0,1.0
2005-06-27,27.6,27.91,27.52,27.8,112700,0.0,1.0
2005-06-28,27.8,28.35,27.8,28.35,64900,0.0,1.0
2005-06-29,28.3,28.65,28.29,28.4,77200,0.0,1.0
2005-06-30,28.4,28.42,28.07,28.38,59500,0.0,1.0
2005-07-01,28.45,28.45,28.17,28.18,20300,0.0,1.0
2005-07-05,28.2,28.4,28.16,28.4,24100,0.0,1.0
2005-07-06,28.35,28.4,28.14,28.35,36400,0.0,1.0
2005-07-07,28.2,28.2,28.02,28.03,53400,0.0,1.0
2005-07-08,28.02,28.4,28.02,28.31,64500,0.0,1.0
2005-07-11,28.35,28.48,27.85,28.48,64800,0.0,1.0
2005-07-12,28.55,28.64,28.52,28.64,48000,0.0,1.0
2005-07-13,28.8,28.8,28.41,28.46,31900,0.0,1.0
2005-07-14,28.75,28.75,28.4,28.55,46000,0.0,1.0
2005-07-15,28.52,28.6,28.49,28.57,31200,0.0,1.0
2005-07-18,28.59,28.7,28.57,28.57,18100,0.0,1.0
2005-07-19,28.54,28.65,28.52,28.61,60300,0.0,1.0
2005-07-20,28.95,28.97,28.68,28.69,83500,0.0,1.0
2005-07-21,28.7,28.9,28.55,28.61,70400,0.0,1.0
2005-07-22,28.61,28.61,28.05,28.48,49500,0.0,1.0
2005-07-25,28.48,28.77,28.4,28.63,55600,0.0,1.0
2005-07-26,28.68,28.81,28.68,28.78,106400,0.0,1.0
2005-07-27,28.78,28.8,28.75,28.8,29000,0.0,1.0
2005-07-28,28.75,28.8,28.6,28.71,139900,0.0,1.0
2005-07-29,28.67,28.75,28.4,28.4,25500,0.0,1.0
2005-08-01,28.45,28.45,27.92,28.04,47900,0.0,1.0
2005-08-02,28.04,28.37,27.96,28.26,33100,0.0,1.0
2005-08-03,28.28,28.28,28.02,28.12,32000,0.0,1.0
2005-08-04,28.15,28.2,27.94,27.96,26100,0.0,1.0
2005-08-05,28.15,28.2,27.9,28.06,31700,0.0,1.0
2005-08-08,28.06,28.08,27.9,27.95,11200,0.0,1.0
2005-08-09,27.96,28.0,27.6,27.98,45700,0.0,1.0
2005-08-10,28.03,28.75,28.03,28.24,104600,0.0,1.0
2005-08-11,28.49,28.75,27.86,28.01,87800,0.0,1.0
2005-08-12,28.01,28.31,28.0,28.3,24000,0.0,1.0
2005-08-15,28.31,28.37,27.91,27.92,33000,0.0,1.0
2005-08-16,27.92,28.04,27.79,27.98,51500,0.0,1.0
2005-08-17,27.92,28.0,27.9,27.92,31800,0.0,1.0
2005-08-18,27.98,28.0,27.9,27.94,23300,0.0,1.0
2005-08-19,28.0,28.8,28.0,28.1,95600,0.0,1.0
2005-08-22,28.13,28.7,27.75,28.39,1647200,0.0,1.0
2005-08-23,28.25,28.58,28.25,28.55,64300,0.0,1.0
2005-08-24,28.56,28.79,28.56,28.6,47900,0.0,1.0
2005-08-25,28.55,28.8,28.55,28.71,86600,0.0,1.0
2005-08-26,28.72,28.74,28.5,28.57,59600,0.0,1.0
2005-08-29,28.68,28.68,28.32,28.5,60400,0.0,1.0
2005-08-30,28.5,28.7,28.4,28.56,41000,0.0,1.0
2005-08-31,28.6,28.8,28.5,28.74,76000,0.0,1.0
2005-09-01,28.5,28.6,28.15,28.29,62600,0.5,1.0
2005-09-02,28.22,28.4,28.18,28.26,17100,0.0,1.0
2005-09-06,28.3,28.49,28.25,28.38,44200,0.0,1.0
2005-09-07,28.5,28.5,28.12,28.19,67100,0.0,1.0
2005-09-08,28.23,28.43,28.15,28.38,72900,0.0,1.0
2005-09-09,28.38,28.38,28.18,28.25,196200,0.0,1.0
2005-09-12,28.4,28.4,28.21,28.26,207900,0.0,1.0
2005-09-13,28.28,28.75,28.28,28.5,81400,0.0,1.0
2005-09-14,28.42,28.6,28.35,28.35,51000,0.0,1.0
2005-09-15,28.3,28.58,28.3,28.43,56200,0.0,1.0
2005-09-16,28.6,29.25,28.6,28.71,101500,0.0,1.0
2005-09-19,28.81,28.88,28.5,28.5,64500,0.0,1.0
2005-09-20,28.58,28.7,28.5,28.58,52200,0.0,1.0
2005-09-21,28.52,28.63,28.43,28.58,28700,0.0,1.0
2005-09-22,28.59,28.6,28.4,28.46,78000,0.0,1.0
2005-09-23,28.5,28.5,28.21,28.31,65700,0.0,1.0
2005-09-26,28.33,28.4,28.25,28.3,80200,0.0,1.0
2005-09-27,28.3,28.33,28.26,28.28,34100,0.0,1.0
2005-09-28,28.31,28.45,28.21,28.25,119500,0.0,1.0
2005-09-29,28.25,28.27,28.1,28.15,75600,0.0,1.0
2005-09-30,28.15,28.3,28.05,28.2,161000,0.0,1.0
2005-10-03,28.2,28.54,28.2,28.45,125000,0.0,1.0
2005-10-04,28.5,28.59,28.4,28.44,146900,0.0,1.0
2005-10-05,28.5,28.6,28.49,28.57,150100,0.0,1.0
2005-10-06,28.63,28.89,28.61,28.85,55100,0.0,1.0
2005-10-07,28.95,29.17,28.92,29.15,75200,0.0,1.0
2005-10-10,29.19,29.53,29.15,29.5,59200,0.0,1.0
2005-10-11,29.6,29.68,29.38,29.41,96800,0.0,1.0
2005-10-12,29.33,29.34,29.04,29.24,40400,0.0,1.0
2005-10-13,29.2,29.25,28.99,28.99,63600,0.0,1.0
2005-10-14,29.05,29.05,28.85,28.99,38400,0.0,1.0
2005-10-17,28.95,29.3,28.95,29.0,107700,0.0,1.0
2005-10-18,29.03,29.05,28.75,28.94,40900,0.0,1.0
2005-10-19,28.95,29.15,28.92,29.15,46700,0.0,1.0
2005-10-20,29.05,29.1,28.75,28.91,57000,0.0,1.0
2005-10-21,29.1,29.98,29.1,29.83,133300,0.0,1.0
2005-10-24,29.8,29.98,29.75,29.84,111300,0.0,1.0
2005-10-25,29.9,30.0,29.83,29.9,55600,0.0,1.0
2005-10-26,29.7,29.99,29.7,29.78,122400,0.0,1.0
2005-10-27,29.78,29.78,29.42,29.46,56900,0.0,1.0
2005-10-28,29.6,29.9,29.55,29.84,19900,0.0,1.0
2005-10-31,30.0,30.2,29.92,30.0,100600,0.0,1.0
2005-11-01,30.12,30.2,30.0,30.15,85800,0.0,1.0
2005-11-02,30.15,30.24,29.45,29.67,134800,0.0,1.0
2005-11-03,29.3,29.78,29.15,29.78,57500,0.0,1.0
2005-11-04,29.7,29.86,29.5,29.86,21100,0.0,1.0
2005-11-07,29.86,29.86,29.45,29.63,23200,0.0,1.0
2005-11-08,29.65,30.17,29.65,29.9,41700,0.0,1.0
2005-11-09,29.75,29.97,29.75,29.89,51000,0.0,1.0
2005-11-10,29.98,30.1,29.89,29.98,54800,0.0,1.0
2005-11-11,30.0,30.22,29.9,30.08,33700,0.0,1.0
2005-11-14,30.08,30.09,29.6,29.8,112300,0.0,1.0
2005-11-15,29.85,30.35,29.75,30.13,59900,0.0,1.0
2005-11-16,30.09,30.92,30.08,30.61,98200,0.0,1.0
2005-11-17,30.65,30.65,30.43,30.5,41700,0.0,1.0
2005-11-18,30.5,30.62,30.33,30.62,39400,0.0,1.0
2005-11-21,30.62,30.77,30.6,30.68,20600,0.0,1.0
2005-11-22,30.7,30.7,29.96,30.15,117300,0.0,1.0
2005-11-23,30.25,30.65,30.25,30.41,28900,0.0,1.0
2005-11-25,30.43,30.55,30.43,30.45,2300,0.0,1.0
2005-11-28,30.55,30.55,30.0,30.01,37000,0.0,1.0
2005-11-29,30.01,30.38,30.0,30.26,20600,0.0,1.0
2005-11-30,30.35,30.7,30.3,30.7,47400,0.0,1.0
2005-12-01,30.73,31.0,30.7,30.99,217200,0.0,1.0
2005-12-02,30.7,30.75,30.53,30.75,33000,0.5,1.0
2005-12-05,30.75,30.95,30.6,30.94,32100,0.0,1.0
2005-12-06,30.98,31.0,30.78,30.98,21000,0.0,1.0
2005-12-07,30.98,30.98,30.5,30.95,64500,0.0,1.0
2005-12-08,30.5,30.58,30.18,30.48,53400,0.0,1.0
2005-12-09,30.3,30.73,30.3,30.66,33100,0.0,1.0
2005-12-12,30.93,30.93,30.49,30.49,25500,0.0,1.0
2005-12-13,30.15,31.0,30.15,31.0,56400,0.0,1.0
2005-12-14,31.0,31.41,30.49,30.79,73100,0.0,1.0
2005-12-15,30.6,30.85,30.42,30.85,34500,0.0,1.0
2005-12-16,30.82,30.98,30.78,30.98,22300,0.0,1.0
2005-12-19,30.97,30.97,30.68,30.74,15400,0.0,1.0
2005-12-20,30.74,30.8,30.31,30.7,68000,0.0,1.0
2005-12-21,30.7,30.79,30.64,30.7,32500,0.0,1.0
2005-12-22,30.75,30.8,30.74,30.8,27500,0.0,1.0
2005-12-23,30.75,30.85,30.75,30.77,12600,0.0,1.0
2005-12-27,30.78,30.82,30.51,30.54,20700,0.0,1.0
2005-12-28,30.65,30.7,30.53,30.7,32800,0.0,1.0
2005-12-29,30.9,30.98,30.78,30.8,118100,0.0,1.0
2005-12-30,30.8,30.83,30.75,30.8,80000,0.0,1.0
2006-01-03,30.98,31.0,30.81,30.83,106600,0.0,1.0
2006-01-04,30.9,30.93,30.78,30.8,117000,0.0,1.0
2006-01-05,30.8,30.9,30.64,30.82,45500,0.0,1.0
2006-01-06,30.95,30.99,30.77,30.79,51100,0.0,1.0
2006-01-09,30.97,31.23,30.92,31.2,140100,0.0,1.0
2006-01-10,31.2,31.22,31.05,31.12,39400,0.0,1.0
2006-01-11,31.2,31.23,31.1,31.17,237200,0.0,1.0
2006-01-12,31.19,31.4,31.16,31.24,257400,0.0,1.0
2006-01-13,31.24,31.46,31.24,31.33,281600,0.0,1.0
2006-01-17,31.45,31.75,31.35,31.71,174400,0.0,1.0
2006-01-18,31.65,31.75,31.65,31.72,29600,0.0,1.0
2006-01-19,31.73,31.73,31.48,31.6,42200,0.0,1.0
2006-01-20,31.7,31.88,31.64,31.74,66200,0.0,1.0
2006-01-23,31.95,32.0,31.76,31.95,166700,0.0,1.0
2006-01-24,31.95,32.25,31.94,32.1,135700,0.0,1.0
2006-01-25,32.1,32.25,32.1,32.17,125000,0.0,1.0
2006-01-26,32.2,32.21,32.15,32.17,35600,0.0,1.0
2006-01-27,32.2,32.2,32.16,32.2,56900,0.0,1.0
2006-01-30,32.2,32.21,32.1,32.15,66300,0.0,1.0
2006-01-31,32.25,32.72,32.15,32.7,103300,0.0,1.0
2006-02-01,32.95,32.98,32.71,32.8,44100,0.0,1.0
2006-02-02,32.22,33.21,32.2,33.2,87300,0.0,1.0
2006-02-03,33.0,33.66,32.95,33.18,100100,0.0,1.0
2006-02-06,33.55,33.87,33.43,33.78,63300,0.0,1.0
2006-02-07,33.75,34.09,33.62,33.92,65500,0.0,1.0
2006-02-08,34.05,34.15,33.79,34.0,47700,0.0,1.0
2006-02-09,34.07,34.33,33.95,34.14,43800,0.0,1.0
2006-02-10,34.0,34.1,33.65,33.98,56500,0.0,1.0
2006-02-13,34.05,34.5,33.6,33.84,56100,0.0,1.0
2006-02-14,34.1,34.56,33.95,34.25,160000,0.0,1.0
2006-02-15,34.45,34.49,34.2,34.25,141100,0.0,1.0
2006-02-16,34.21,34.45,34.11,34.3,64600,0.0,1.0
2006-02-17,34.3,34.6,34.01,34.17,102800,0.0,1.0
2006-02-21,33.92,34.22,33.36,33.48,98900,0.0,1.0
2006-02-22,33.42,33.82,33.33,33.68,137400,0.0,1.0
2006-02-23,33.7,34.27,33.62,34.25,64300,0.0,1.0
2006-02-24,34.3,34.53,34.13,34.46,57300,0.0,1.0
2006-02-27,34.35,34.42,34.26,34.28,85600,0.0,1.0
2006-02-28,34.4,34.6,34.25,34.54,126000,0.0,1.0
