date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,26.45,26.5,26.45,26.45,48500,0.0,1.0
2007-07-16,26.9,27.0,26.9,26.9,7250,0.0,1.0
2007-07-17,26.9,27.0,26.9,26.9,0,0.0,1.0
2007-07-18,26.45,26.6,26.45,26.45,4000,0.0,1.0
2007-07-19,26.25,26.25,26.25,26.25,2700,0.0,1.0
2007-07-20,26.25,26.25,26.25,26.25,0,0.0,1.0
2007-07-23,26.25,26.25,26.25,26.25,0,0.0,1.0
2007-07-24,25.65,25.65,25.65,25.65,1000,0.0,1.0
2007-07-25,25.85,25.85,25.85,25.85,1000,0.0,1.0
2007-07-26,25.85,25.85,25.85,25.85,0,0.0,1.0
2007-07-27,25.85,25.85,25.85,25.85,0,0.0,1.0
2007-07-30,25.85,25.85,25.85,25.85,0,0.0,1.0
2007-07-31,25.85,25.85,25.85,25.85,0,0.0,1.0
2007-08-01,25.85,25.85,25.85,25.85,0,0.0,1.0
2007-08-02,27.0,27.0,27.0,27.0,200,0.0,1.0
2007-08-03,27.6,27.6,27.6,27.6,100,0.0,1.0
2007-08-06,27.6,27.6,27.6,27.6,0,0.0,1.0
2007-08-07,27.75,28.25,27.75,27.75,2200,0.0,1.0
2007-08-08,27.75,28.25,27.75,27.75,0,0.0,1.0
2007-08-09,28.85,28.85,28.85,28.85,300,0.0,1.0
2007-08-10,28.85,28.85,28.85,28.85,0,0.0,1.0
2007-08-13,28.85,28.85,28.85,28.85,0,0.0,1.0
2007-08-14,26.95,26.95,26.95,26.95,1000,0.0,1.0
2007-08-15,26.1,26.1,26.1,26.1,120,0.0,1.0
2007-08-16,26.0,26.0,26.0,26.0,150,0.0,1.0
2007-08-17,26.0,26.0,26.0,26.0,0,0.0,1.0
2007-08-20,26.0,26.0,26.0,26.0,0,0.0,1.0
2007-08-21,26.65,26.65,26.65,26.65,1000,0.0,1.0
2007-08-22,26.65,26.65,26.65,26.65,0,0.0,1.0
2007-08-23,26.65,26.65,26.65,26.65,0,0.0,1.0
2007-08-24,26.65,26.65,26.65,26.65,0,0.0,1.0
2007-08-27,26.65,26.65,26.65,26.65,0,0.0,1.0
2007-08-28,26.65,26.65,26.65,26.65,0,0.0,1.0
2007-08-29,26.3,26.3,26.3,26.3,100,0.0,1.0
2007-08-30,26.3,26.3,26.3,26.3,0,0.0,1.0
2007-08-31,26.3,26.3,26.3,26.3,0,0.0,1.0
2007-09-04,25.75,25.75,25.75,25.75,1000,0.0,1.0
2007-09-05,24.85,24.85,24.85,24.85,200,0.0,1.0
2007-09-06,24.85,24.85,24.85,24.85,0,0.0,1.0
2007-09-07,24.85,24.85,24.85,24.85,0,0.0,1.0
2007-09-10,24.85,24.85,24.85,24.85,0,0.0,1.0
2007-09-11,24.85,24.85,24.85,24.85,1150,0.0,1.0
2007-09-12,25.05,25.05,25.05,25.05,1000,0.0,1.0
2007-09-13,25.05,25.05,25.05,25.05,0,0.0,1.0
2007-09-14,25.75,25.75,25.75,25.75,1140,0.0,1.0
2007-09-17,25.6,25.6,25.6,25.6,1000,0.0,1.0
2007-09-18,25.34,25.34,25.34,25.34,18000,0.0,1.0
2007-09-19,26.1,26.1,26.1,26.1,1000,0.0,1.0
2007-09-20,26.1,26.1,26.1,26.1,0,0.0,1.0
2007-09-21,26.1,26.1,26.1,26.1,0,0.0,1.0
2007-09-24,26.1,26.1,26.1,26.1,0,0.0,1.0
2007-09-25,26.1,26.1,26.1,26.1,0,0.0,1.0
2007-09-26,26.1,26.1,26.1,26.1,0,0.0,1.0
2007-09-27,29.55,29.55,29.55,29.55,14000,0.0,1.0
2007-09-28,29.55,29.55,29.55,29.55,0,0.0,1.0
2007-10-01,29.55,29.55,29.55,29.55,0,0.0,1.0
2007-10-02,29.55,29.55,29.55,29.55,0,0.0,1.0
2007-10-03,29.55,29.55,29.55,29.55,0,0.0,1.0
2007-10-04,29.55,29.55,29.55,29.55,0,0.0,1.0
2007-10-05,31.35,31.35,31.35,31.35,25000,0.0,1.0
2007-10-08,31.35,31.35,31.35,31.35,10000,0.0,1.0
2007-10-09,31.35,31.35,31.35,31.35,0,0.0,1.0
2007-10-10,31.35,31.35,31.35,31.35,0,0.0,1.0
2007-10-11,29.9,30.3,29.9,29.9,7870,0.0,1.0
2007-10-12,29.4,29.5,29.4,29.4,7400,0.0,1.0
2007-10-15,28.8,28.8,28.8,28.8,5600,0.0,1.0
2007-10-16,28.35,28.5,28.35,28.35,1000,0.0,1.0
2007-10-17,28.2,28.2,28.2,28.2,500,0.0,1.0
2007-10-18,27.7,27.7,27.7,27.7,2000,0.0,1.0
2007-10-19,27.7,27.7,27.7,27.7,0,0.0,1.0
2007-10-22,27.7,27.7,27.7,27.7,0,0.0,1.0
2007-10-23,27.7,27.7,27.7,27.7,0,0.0,1.0
2007-10-24,27.7,27.7,27.7,27.7,0,0.0,1.0
2007-10-25,27.7,27.7,27.7,27.7,0,0.0,1.0
2007-10-26,27.7,27.7,27.7,27.7,0,0.0,1.0
2007-10-29,27.7,27.7,27.7,27.7,0,0.0,1.0
2007-10-30,29.9,29.9,29.9,29.9,1150,0.0,1.0
2007-10-31,30.0,30.0,30.0,30.0,4150,0.0,1.0
2007-11-01,30.0,30.0,30.0,30.0,0,0.0,1.0
2007-11-02,29.2,29.2,29.2,29.2,2000,0.0,1.0
2007-11-05,28.0,28.0,28.0,28.0,1000,0.0,1.0
2007-11-06,28.0,28.0,28.0,28.0,0,0.0,1.0
2007-11-07,28.0,28.0,28.0,28.0,0,0.0,1.0
2007-11-08,28.0,28.0,28.0,28.0,0,0.0,1.0
2007-11-09,28.0,28.0,28.0,28.0,0,0.0,1.0
2007-11-12,26.1,26.1,26.1,26.1,1200,0.0,1.0
2007-11-14,26.1,26.1,26.1,26.1,0,0.0,1.0
2007-11-15,26.35,26.35,26.35,26.35,1200,0.0,1.0
2007-11-16,26.35,26.35,26.35,26.35,1200,0.0,1.0
2007-11-19,26.35,26.35,26.35,26.35,1200,0.0,1.0
2007-11-21,26.35,26.35,26.35,26.35,1200,0.0,1.0
2007-11-23,26.35,26.35,26.35,26.35,1200,0.0,1.0
2007-11-26,26.5,26.5,26.5,26.5,200,0.0,1.0
2007-11-27,26.5,26.5,26.5,26.5,0,0.0,1.0
2007-11-28,26.5,26.5,26.5,26.5,200,0.0,1.0
2007-11-29,26.5,26.5,26.5,26.5,200,0.0,1.0
2007-11-30,26.5,26.5,26.5,26.5,200,0.0,1.0
2007-12-03,26.5,26.5,26.5,26.5,0,0.0,1.0
2007-12-04,26.5,26.9,26.5,26.5,3900,0.0,1.0
2007-12-05,26.5,26.9,26.5,26.5,0,0.0,1.0
2007-12-06,26.5,26.9,26.5,26.5,0,0.0,1.0
2007-12-07,26.5,26.9,26.5,26.5,0,0.0,1.0
2007-12-10,26.15,26.15,26.15,26.15,100,0.0,1.0
2007-12-11,26.5,26.5,26.5,26.5,1000,0.0,1.0
2007-12-12,26.5,26.5,26.5,26.5,0,0.0,1.0
2007-12-13,26.5,26.5,26.5,26.5,0,0.0,1.0
2007-12-14,26.5,26.5,26.5,26.5,0,0.0,1.0
2007-12-17,26.5,26.5,26.5,26.5,0,0.0,1.0
2007-12-18,26.5,26.5,26.5,26.5,0,0.0,1.0
2007-12-19,23.15,23.15,23.15,23.15,1000,0.0,1.0
2007-12-20,22.85,22.85,22.85,22.85,1000,0.0,1.0
2007-12-21,22.75,22.75,22.75,22.75,360,0.0,1.0
2007-12-24,22.75,22.75,22.75,22.75,0,0.0,1.0
2007-12-26,24.25,24.25,24.25,24.25,200,0.0,1.0
2007-12-27,24.25,24.25,24.25,24.25,0,0.0,1.0
2007-12-28,23.6,23.6,23.6,23.6,1000,0.0,1.0
2007-12-31,23.6,23.6,23.6,23.6,0,0.0,1.0
2008-01-02,23.6,23.6,23.6,23.6,0,0.0,1.0
2008-01-03,23.6,23.6,23.6,23.6,0,0.0,1.0
2008-01-04,23.6,23.6,23.6,23.6,0,0.0,1.0
2008-01-07,22.4,22.4,22.4,22.4,750,0.0,1.0
2008-01-08,22.1,22.17,22.1,22.1,1350,0.0,1.0
2008-01-09,22.75,22.75,22.75,22.75,10100,0.0,1.0
2008-01-10,22.75,22.75,22.75,22.75,0,0.0,1.0
2008-01-11,20.35,20.84,20.35,20.35,15230,0.0,1.0
2008-01-14,21.25,21.25,21.25,21.25,2000,0.0,1.0
2008-01-15,21.25,21.25,21.25,21.25,0,0.0,1.0
2008-01-16,21.2,21.5,21.2,21.2,3200,0.0,1.0
2008-01-17,22.9,23.15,22.9,22.9,2000,0.0,1.0
2008-01-18,23.55,23.55,23.55,23.55,2000,0.0,1.0
2008-01-22,22.2,22.2,22.2,22.2,2000,0.0,1.0
2008-01-23,22.2,22.2,22.2,22.2,0,0.0,1.0
2008-01-24,23.5,23.5,23.5,23.5,1200,0.0,1.0
2008-01-25,23.5,23.5,23.5,23.5,0,0.0,1.0
2008-01-28,23.5,23.5,23.5,23.5,0,0.0,1.0
2008-01-29,23.5,23.5,23.5,23.5,0,0.0,1.0
2008-01-30,23.5,23.5,23.5,23.5,0,0.0,1.0
2008-01-31,26.75,26.75,26.75,26.75,125,0.0,1.0
2008-02-01,26.75,26.75,26.75,26.75,0,0.0,1.0
2008-02-04,26.75,26.75,26.75,26.75,0,0.0,1.0
2008-02-05,26.75,26.75,26.75,26.75,2650,0.0,1.0
2008-02-06,26.75,26.75,26.75,26.75,0,0.0,1.0
2008-02-07,26.75,26.75,26.75,26.75,0,0.0,1.0
2008-02-08,26.75,26.75,26.75,26.75,0,0.0,1.0
2008-02-11,26.75,26.75,26.75,26.75,0,0.0,1.0
2008-02-12,25.0,25.0,25.0,25.0,6100,0.0,1.0
2008-02-13,23.75,23.75,23.75,23.75,319,0.0,1.0
2008-02-14,23.75,23.75,23.75,23.75,0,0.0,1.0
2008-02-15,23.75,23.75,23.75,23.75,0,0.0,1.0
2008-02-19,24.1,24.1,24.1,24.1,100,0.0,1.0
2008-02-20,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-02-21,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-02-22,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-02-25,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-02-26,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-02-27,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-02-28,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-02-29,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-03-03,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-03-04,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-03-05,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-03-06,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-03-07,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-03-10,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-03-11,24.1,24.1,24.1,24.1,0,0.0,1.0
2008-03-12,24.1,24.1,24.1,24.1,0,0.0,1.0
