date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-09-22,14.83,14.83,14.83,14.83,50,0.0,1.0
2017-10-04,14.83,14.83,14.83,14.83,55,0.0,1.0
2017-10-09,14.83,14.83,14.83,14.83,1,0.0,1.0
2017-10-10,14.37,14.37,14.37,14.37,150,0.0,1.0
2017-10-13,14.37,14.37,14.37,14.37,30,0.0,1.0
2017-10-16,14.63,14.63,14.63,14.63,200,0.0,1.0
2017-10-20,14.63,14.63,14.63,14.63,30027,0.0,1.0
2017-10-23,14.65,14.65,14.65,14.65,1000,0.0,1.0
2017-10-24,15.07,15.07,15.07,15.07,19650,0.0,1.0
2017-11-06,14.66,14.66,14.66,14.66,500,0.0,1.0
2017-11-07,14.66,14.66,14.66,14.66,9915,0.0,1.0
2017-11-08,15.17,15.17,15.17,15.17,600,0.0,1.0
2017-11-09,15.17,15.17,15.17,15.17,40,0.0,1.0
2017-11-15,14.65,14.65,14.65,14.65,450,0.0,1.0
2017-11-16,14.65,14.65,14.65,14.65,102,0.0,1.0
2017-11-29,14.95,14.95,14.95,14.95,800,0.0,1.0
2017-12-07,14.95,14.95,14.95,14.95,55185,0.0,1.0
2017-12-12,15.06,15.06,15.06,15.06,270,0.0,1.0
2017-12-13,15.19,15.19,15.19,15.19,500,0.0,1.0
2017-12-19,15.19,15.19,15.19,15.19,35,0.0,1.0
2017-12-20,15.62,15.62,15.62,15.62,470,0.0,1.0
2018-01-04,16.64,16.64,16.64,16.64,19600,0.0,1.0
2018-01-08,17.15,17.15,17.15,17.15,200,0.0,1.0
2018-01-10,17.13,17.13,17.13,17.13,227,0.0,1.0
2018-01-12,17.13,17.13,17.13,17.13,40,0.0,1.0
2018-01-17,17.13,17.13,17.13,17.13,50,0.0,1.0
2018-01-23,17.35,17.35,17.35,17.35,810,0.0,1.0
2018-01-24,17.67,17.67,17.67,17.67,230,0.0,1.0
2018-01-30,17.84,17.88,17.84,17.84,770,0.0,1.0
2018-02-02,17.84,17.84,17.84,17.84,50,0.0,1.0
2018-02-05,18.08,18.08,18.08,18.08,515,0.0,1.0
2018-02-06,17.24,17.24,17.24,17.24,750,0.0,1.0
2018-02-07,17.76,17.76,17.76,17.76,270,0.0,1.0
2018-02-12,17.76,17.76,17.76,17.76,80,0.0,1.0
2018-02-14,17.76,17.76,17.76,17.76,64677,0.0,1.0
2018-02-21,17.76,17.76,17.76,17.76,850,0.0,1.0
2018-02-26,18.8,18.8,18.8,18.8,186,0.0,1.0
2018-02-27,18.8,18.8,18.8,18.8,280,0.0,1.0
2018-03-01,18.01,18.01,18.01,18.01,200,0.0,1.0
2018-03-02,17.85,17.85,17.85,17.85,1762,0.0,1.0
2018-03-05,17.85,17.85,17.85,17.85,9010,0.0,1.0
2018-03-06,17.85,17.85,17.85,17.85,13,0.0,1.0
2018-03-07,17.85,17.85,17.85,17.85,127,0.0,1.0
2018-03-08,17.85,17.85,17.85,17.85,70,0.0,1.0
2018-03-12,17.74,17.74,17.74,17.74,170,0.0,1.0
