date,open_price,high_price,low_price,close_price,volume,dividend,split
2013-04-22,48.2,48.95,48.2,48.81,29911,0.0,1.0
2013-04-23,49.52,49.85,49.52,49.85,66305,0.0,1.0
2013-04-24,51.67,52.3,51.67,52.21,67881,0.0,1.0
2013-04-25,51.14,51.5,51.09,51.38,71769,0.0,1.0
2013-04-26,54.75,55.2,54.6,55.2,263144,0.0,1.0
2013-04-29,55.2,56.25,55.2,55.95,12083,0.0,1.0
2013-04-30,60.98,61.0,58.43,60.17,425396,0.0,1.0
2013-05-01,58.27,58.96,58.15,58.4,304972,0.0,1.0
2013-05-02,56.59,57.41,56.55,57.4,82278,0.0,1.0
2013-05-03,57.47,58.25,57.47,58.25,14749,0.0,1.0
2013-05-06,57.76,58.15,57.76,57.86,7567,0.0,1.0
2013-05-07,58.5,58.55,57.51,57.97,32997,0.0,1.0
2013-05-08,55.6,55.65,55.38,55.65,4699,0.0,1.0
2013-05-09,55.95,56.5,55.95,56.3,30112,0.0,1.0
2013-05-10,56.06,56.5,56.06,56.43,8609,0.0,1.0
2013-05-13,57.0,57.15,56.93,57.15,4243,0.0,1.0
2013-05-14,57.12,57.67,57.07,57.67,40714,0.0,1.0
2013-05-15,56.95,56.99,56.64,56.89,8407,0.0,1.0
2013-05-16,56.95,57.18,56.86,57.18,3882,0.0,1.0
2013-05-17,56.8,57.21,56.75,57.0,2376,0.0,1.0
2013-05-20,57.62,58.12,57.62,58.06,118461,0.0,1.0
2013-05-21,59.09,59.85,59.09,59.85,4882,0.0,1.0
2013-05-22,59.34,60.1,58.54,58.6,9778,0.0,1.0
2013-05-23,53.65,55.9,53.11,55.9,19068,0.0,1.0
2013-05-24,55.58,55.64,55.25,55.64,59087,0.0,1.0
2013-05-28,56.97,57.71,56.97,57.48,12564,0.0,1.0
2013-05-29,55.9,55.9,54.55,55.44,7797,0.0,1.0
2013-05-30,55.09,55.7,55.09,55.7,1934,0.0,1.0
2013-05-31,54.32,54.45,53.93,54.28,2597,0.0,1.0
2013-06-03,52.25,53.15,51.75,53.0,81595,0.0,1.0
2013-06-04,55.18,55.34,54.74,55.23,8553,0.0,1.0
2013-06-05,52.97,53.15,52.25,52.36,5728,0.0,1.0
2013-06-06,52.3,52.85,52.25,52.69,35919,0.0,1.0
2013-06-07,52.37,54.44,52.35,54.25,25721,0.0,1.0
2013-06-10,56.56,56.75,55.95,56.71,14529,0.0,1.0
2013-06-11,55.96,56.54,55.4,55.47,5960,0.0,1.0
2013-06-12,56.52,56.52,55.6,55.65,18127,0.0,1.0
2013-06-13,56.78,58.25,56.43,58.25,32467,0.0,1.0
2013-06-14,57.75,57.9,57.25,57.64,79634,0.0,1.0
2013-06-17,59.4,59.75,58.89,59.08,15259,0.0,1.0
2013-06-18,59.11,60.05,58.91,59.43,24418,0.0,1.0
2013-06-19,60.42,61.6,60.42,60.59,61221,0.0,1.0
2013-06-20,57.0,57.2,56.29,56.75,67116,0.0,1.0
2013-06-21,56.05,56.7,55.65,55.77,5688,0.0,1.0
2013-06-24,54.5,54.71,53.46,54.36,3706,0.0,1.0
2013-06-25,55.39,55.42,55.3,55.42,2968,0.0,1.0
2013-06-26,54.01,54.01,53.59,54.0,3109,0.0,1.0
2013-06-27,54.43,55.3,54.43,55.3,4572,0.0,1.0
2013-06-28,54.39,54.85,54.21,54.21,4203,0.0,1.0
2013-07-01,55.04,55.48,55.03,55.19,4016,0.0,1.0
2013-07-02,57.27,57.27,56.5,56.55,10216,0.0,1.0
2013-07-03,54.19,54.88,54.04,54.8,3360,0.0,1.0
2013-07-05,54.29,54.3,53.71,53.9,3344,0.0,1.0
2013-07-08,54.0,54.28,54.0,54.28,2834,0.0,1.0
2013-07-09,56.06,56.34,55.85,56.25,4722,0.0,1.0
2013-07-10,56.3,56.83,56.23,56.74,2461,0.0,1.0
2013-07-11,57.72,58.23,57.4,58.23,1194,0.0,1.0
2013-07-12,57.83,58.25,57.75,58.1,3500,0.0,1.0
2013-07-15,58.25,58.55,58.25,58.44,14809,0.0,1.0
2013-07-16,58.95,59.35,57.76,59.27,36368,0.0,1.0
2013-07-17,60.41,60.7,60.25,60.7,832,0.0,1.0
2013-07-18,59.51,59.69,59.25,59.25,3029,0.0,1.0
2013-07-19,58.15,58.4,57.91,58.4,3907,0.0,1.0
2013-07-22,57.26,57.45,57.15,57.45,2110,0.0,1.0
2013-07-23,56.1,56.1,55.7,55.91,2218,0.0,1.0
2013-07-24,55.84,55.84,55.27,55.29,4289,0.0,1.0
2013-07-25,54.18,54.66,54.1,54.66,1809,0.0,1.0
2013-07-26,54.28,54.3,53.9,54.22,6790,0.0,1.0
2013-07-29,53.56,53.56,53.08,53.4,1407,0.0,1.0
2013-07-30,53.16,53.63,53.16,53.42,3935,0.0,1.0
2013-07-31,52.06,52.34,52.06,52.34,7044,0.0,1.0
2013-08-01,53.28,53.85,53.28,53.66,2721,0.0,1.0
2013-08-02,53.13,53.67,53.01,53.16,6286,0.0,1.0
2013-08-05,53.14,53.19,52.79,53.19,1145,0.0,1.0
2013-08-06,52.8,52.85,52.41,52.41,2606,0.0,1.0
2013-08-07,51.75,51.88,51.47,51.49,2744,0.0,1.0
2013-08-08,50.75,51.15,50.65,51.15,2325,0.0,1.0
2013-08-09,51.16,51.22,50.8,51.22,1957,0.0,1.0
2013-08-12,50.2,50.2,50.0,50.05,3468,0.0,1.0
2013-08-13,49.28,49.56,49.2,49.56,9406,0.0,1.0
2013-08-14,50.98,51.28,50.85,51.21,23826,0.0,1.0
2013-08-15,53.62,53.62,52.95,53.3,7135,0.0,1.0
2013-08-16,54.04,54.19,53.7,54.05,49095,0.0,1.0
2013-08-19,54.8,54.86,54.5,54.54,36223,0.0,1.0
2013-08-20,54.17,54.17,54.12,54.15,54142,0.0,1.0
2013-08-21,54.76,54.87,54.34,54.84,72033,0.0,1.0
2013-08-22,54.89,55.01,54.8,54.98,53121,0.0,1.0
2013-08-23,55.09,55.55,55.05,55.55,123654,0.0,1.0
2013-08-26,55.35,55.51,55.15,55.15,5243,0.0,1.0
2013-08-27,55.62,55.62,54.85,54.85,48879,0.0,1.0
2013-08-28,54.25,54.39,54.25,54.3,2830,0.0,1.0
2013-08-29,53.8,54.0,53.66,53.66,1681,0.0,1.0
2013-08-30,53.08,53.08,52.6,52.65,847,0.0,1.0
2013-09-03,54.55,54.55,54.15,54.15,16488,0.0,1.0
2013-09-04,54.5,55.14,54.5,54.8,2992,0.0,1.0
2013-09-05,54.65,55.2,54.65,55.2,5483,0.0,1.0
2013-09-06,54.59,54.8,54.26,54.8,22909,0.0,1.0
2013-09-09,55.57,55.72,55.39,55.72,59975,0.0,1.0
2013-09-10,56.15,56.78,56.15,56.51,6841,0.0,1.0
2013-09-11,56.49,56.89,56.43,56.89,2487,0.0,1.0
2013-09-12,57.3,57.36,57.0,57.36,1406,0.0,1.0
2013-09-13,57.36,57.55,57.03,57.55,6677,0.0,1.0
2013-09-16,58.02,58.59,58.01,58.01,2852,0.0,1.0
2013-09-17,58.37,58.99,58.37,58.99,5208,0.0,1.0
2013-09-18,57.55,59.1,57.26,59.1,4870,0.0,1.0
2013-09-19,58.53,58.68,58.4,58.62,3105,0.0,1.0
2013-09-20,58.91,58.91,58.4,58.67,2362,0.0,1.0
2013-09-23,58.41,58.88,58.41,58.88,4627,0.0,1.0
2013-09-24,58.5,58.65,58.23,58.24,3877,0.0,1.0
2013-09-25,58.93,58.93,58.83,58.93,2360,0.0,1.0
2013-09-26,58.93,59.14,58.86,59.09,1640,0.0,1.0
