date,open_price,high_price,low_price,close_price,volume,dividend,split
2013-01-08,3.7,3.7,3.7,3.7,50000,0.0,1.0
2013-01-09,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-10,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-11,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-14,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-15,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-16,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-17,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-18,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-22,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-23,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-24,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-25,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-28,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-29,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-30,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-01-31,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-01,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-04,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-05,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-06,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-07,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-08,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-11,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-12,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-13,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-14,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-15,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-19,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-20,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-21,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-22,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-25,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-26,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-27,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-02-28,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-01,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-04,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-05,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-06,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-07,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-08,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-11,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-12,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-13,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-14,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-15,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-18,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-19,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-20,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-21,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-22,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-25,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-26,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-27,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-03-28,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-04-01,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-04-02,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-04-03,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-04-04,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-04-05,3.7,3.7,3.7,3.7,0,0.0,1.0
2013-04-08,3.99,3.99,3.99,3.99,13000,0.0,1.0
2013-04-09,3.99,3.99,3.99,3.99,0,0.0,1.0
2013-04-10,3.99,3.99,3.99,3.99,0,0.0,1.0
2013-04-11,3.99,3.99,3.99,3.99,0,0.0,1.0
2013-04-12,3.99,3.99,3.99,3.99,0,0.0,1.0
2013-04-15,3.99,3.99,3.99,3.99,0,0.0,1.0
2013-04-16,3.99,3.99,3.99,3.99,0,0.0,1.0
2013-04-17,3.99,3.99,3.99,3.99,0,0.0,1.0
2013-04-18,3.99,3.99,3.99,3.99,0,0.0,1.0
2013-04-19,3.99,3.99,3.99,3.99,0,0.0,1.0
2013-04-22,3.99,3.99,3.99,3.99,0,0.0,1.0
2013-04-23,3.99,3.99,3.99,3.99,0,0.0,1.0
2013-04-24,3.99,3.99,3.99,3.99,0,0.0,1.0
2013-04-25,3.73,3.73,3.73,3.73,358,0.0,1.0
2013-04-26,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-04-29,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-04-30,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-01,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-02,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-03,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-06,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-07,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-08,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-09,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-10,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-13,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-14,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-15,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-16,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-17,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-20,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-21,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-22,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-23,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-24,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-28,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-29,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-30,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-05-31,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-06-03,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-06-04,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-06-05,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-06-06,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-06-07,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-06-10,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-06-11,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-06-12,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-06-13,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-06-14,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-06-17,3.73,3.73,3.73,3.73,0,0.0,1.0
2013-06-18,3.73,3.73,3.73,3.73,0,0.0,1.0
