date,open_price,high_price,low_price,close_price,volume,dividend,split
2001-03-19,30.0,31.0,29.84,31.0,64300,0.0,1.0
2001-03-20,30.75,30.75,29.75,30.25,57200,0.0,1.0
2001-03-21,29.8,30.2,28.84,30.0,62400,0.0,1.0
2001-03-22,29.84,29.84,28.5,28.77,48300,0.0,1.0
2001-03-23,28.83,29.45,28.62,29.3,25700,0.0,1.0
2001-03-26,29.45,30.41,29.3,30.34,77100,0.0,1.0
2001-03-27,30.2,30.41,29.66,30.41,89300,0.0,1.0
2001-03-28,30.5,31.0,30.3,30.45,55700,0.0,1.0
2001-03-29,30.59,30.59,29.45,29.45,67800,0.0,1.0
2001-03-30,29.75,30.16,29.66,30.09,23400,0.0,1.0
2001-04-02,30.16,30.34,29.7,29.8,19600,0.0,1.0
2001-04-03,30.0,30.2,28.91,28.91,24100,0.0,1.0
2001-04-04,28.91,29.66,28.91,29.66,13400,0.0,1.0
2001-04-05,29.7,29.95,29.5,29.95,19400,0.0,1.0
2001-04-06,29.91,29.95,29.7,29.75,7600,0.0,1.0
2001-04-09,29.9,29.99,29.7,29.95,19300,0.0,1.0
2001-04-10,30.0,30.3,29.7,29.9,31500,0.0,1.0
2001-04-11,30.05,30.4,29.94,30.4,22500,0.0,1.0
2001-04-12,30.4,30.45,30.1,30.45,25800,0.0,1.0
2001-04-16,30.5,31.0,30.3,31.0,30700,0.0,1.0
2001-04-17,31.1,31.4,30.7,31.3,41200,0.0,1.0
2001-04-18,31.3,31.3,29.9,30.3,71900,0.0,1.0
2001-04-19,30.25,30.8,30.2,30.7,11800,0.0,1.0
2001-04-20,30.5,31.1,30.3,31.0,20700,0.0,1.0
2001-04-23,31.1,31.35,30.75,31.05,33300,0.0,1.0
2001-04-24,31.0,31.5,30.7,31.45,94000,0.0,1.0
2001-04-25,31.25,32.41,31.2,32.3,60300,0.0,1.0
2001-04-26,32.5,33.45,32.3,32.9,83000,0.0,1.0
2001-04-27,32.4,32.7,32.3,32.6,30500,0.292,1.0
2001-04-30,32.7,33.4,32.7,33.3,34500,0.0,1.0
2001-05-01,33.4,33.5,33.27,33.42,16300,0.0,1.0
2001-05-02,33.4,33.45,33.0,33.25,68300,0.0,1.0
2001-05-03,33.15,33.15,32.55,32.76,24200,0.0,1.0
2001-05-04,32.95,33.04,32.6,33.04,11600,0.0,1.0
2001-05-07,33.29,34.0,33.29,33.4,49900,0.0,1.0
2001-05-08,33.4,33.45,32.95,33.0,57500,0.0,1.0
2001-05-09,33.15,33.25,32.75,32.85,16900,0.0,1.0
2001-05-10,32.95,33.15,32.9,33.08,6600,0.0,1.0
2001-05-11,33.1,33.1,32.6,32.74,12700,0.0,1.0
2001-05-14,32.85,33.19,32.85,33.05,43300,0.0,1.0
2001-05-15,32.97,33.3,32.8,33.3,25000,0.0,1.0
2001-05-16,33.2,33.2,32.4,32.4,16500,0.0,1.0
2001-05-17,32.3,32.35,32.1,32.1,17500,0.0,1.0
