date,open_price,high_price,low_price,close_price,volume,dividend,split
2014-12-15,15.21,15.4,13.6,14.46,2894916,0.0,1.0
2014-12-16,14.46,14.46,13.81,13.92,1443883,0.0,1.0
2014-12-17,13.8,14.0,13.2,13.29,1947187,0.0,1.0
2014-12-18,13.24,14.17,12.91,13.76,2092225,0.0,1.0
2014-12-19,13.69,13.69,12.01,12.56,2624820,0.0,1.0
2014-12-22,12.29,12.3,10.82,10.83,2647892,0.0,1.0
2014-12-23,10.85,12.13,10.84,11.97,2735673,0.0,1.0
2014-12-24,12.29,12.38,11.75,12.03,678946,0.0,1.0
2014-12-26,12.14,12.35,11.5,11.53,779712,0.0,1.0
2014-12-29,11.63,12.2,11.45,11.53,516062,0.0,1.0
2014-12-30,11.4,11.95,11.32,11.87,300374,0.0,1.0
2014-12-31,11.82,12.22,11.67,12.0,476520,0.0,1.0
2015-01-02,12.0,12.8,11.95,12.77,781668,0.0,1.0
2015-01-05,12.77,13.63,12.42,13.09,1265955,0.0,1.0
2015-01-06,13.21,13.35,11.88,12.16,1168632,0.0,1.0
2015-01-07,12.34,12.67,11.99,12.25,394640,0.0,1.0
2015-01-08,12.38,12.38,12.06,12.08,386783,0.0,1.0
2015-01-09,12.01,12.33,11.75,12.07,658374,0.0,1.0
2015-01-12,12.09,12.43,11.76,11.97,366404,0.0,1.0
2015-01-13,12.0,12.07,10.05,10.78,1326066,0.0,1.0
2015-01-14,10.58,10.88,10.3,10.73,653410,0.0,1.0
2015-01-15,10.71,11.4,10.08,11.12,530241,0.0,1.0
2015-01-16,11.06,11.19,10.76,10.95,149685,0.0,1.0
2015-01-20,10.91,11.15,10.58,10.91,270269,0.0,1.0
2015-01-21,10.85,11.34,10.7,11.2,208767,0.0,1.0
2015-01-22,11.28,11.28,10.75,10.81,712036,0.0,1.0
2015-01-23,10.74,10.9,10.21,10.49,761894,0.0,1.0
2015-01-26,10.4,10.67,10.25,10.33,226155,0.0,1.0
2015-01-27,10.2,10.25,9.8,10.02,608092,0.0,1.0
2015-01-28,10.01,10.46,10.01,10.28,570974,0.0,1.0
2015-01-29,10.22,10.28,9.7,9.94,710108,0.0,1.0
2015-01-30,9.92,10.0,9.82,9.84,250140,0.0,1.0
2015-02-02,9.84,9.98,9.72,9.82,285349,0.0,1.0
2015-02-03,9.94,10.35,9.79,10.19,316686,0.0,1.0
2015-02-04,10.3,11.73,10.11,10.71,704647,0.0,1.0
2015-02-05,10.7,11.17,10.46,10.48,393209,0.0,1.0
2015-02-06,10.56,10.83,10.3,10.34,194379,0.0,1.0
2015-02-09,10.31,10.5,10.31,10.38,130016,0.0,1.0
2015-02-10,10.4,10.64,10.18,10.27,183104,0.0,1.0
2015-02-11,10.23,10.44,10.18,10.25,81769,0.0,1.0
2015-02-12,10.39,11.59,10.33,11.49,598419,0.0,1.0
2015-02-13,11.6,12.17,11.01,11.02,754785,0.0,1.0
2015-02-17,11.12,11.36,11.0,11.22,148163,0.0,1.0
2015-02-18,11.3,11.3,11.09,11.21,98894,0.0,1.0
2015-02-19,11.12,11.4,11.11,11.15,47531,0.0,1.0
2015-02-20,11.4,11.58,11.11,11.5,204533,0.0,1.0
2015-02-23,11.5,11.73,11.41,11.5,175946,0.0,1.0
2015-02-24,11.6,12.28,11.5,12.27,420650,0.0,1.0
2015-02-25,12.3,12.71,12.04,12.52,520046,0.0,1.0
2015-02-26,12.72,12.81,12.4,12.52,773411,0.0,1.0
2015-02-27,12.33,12.62,11.25,11.31,349716,0.0,1.0
2015-03-02,11.85,12.88,11.4,12.0,722264,0.0,1.0
2015-03-03,11.89,12.45,11.71,12.18,1382921,0.0,1.0
2015-03-04,12.07,12.85,12.03,12.55,1168011,0.0,1.0
2015-03-05,12.6,12.6,10.5,11.09,1982891,0.0,1.0
2015-03-06,10.69,11.25,10.58,11.03,996546,0.0,1.0
2015-03-09,10.99,11.08,10.7,10.93,336652,0.0,1.0
2015-03-10,10.85,10.95,10.37,10.44,768606,0.0,1.0
2015-03-11,10.5,10.69,10.3,10.62,1095649,0.0,1.0
2015-03-12,10.57,10.66,10.2,10.28,257506,0.0,1.0
2015-03-13,10.3,10.5,10.0,10.02,501965,0.0,1.0
2015-03-16,10.0,10.55,10.0,10.3,449336,0.0,1.0
2015-03-17,10.3,10.3,10.0,10.0,255377,0.0,1.0
2015-03-18,10.2,10.2,9.83,10.01,250126,0.0,1.0
2015-03-19,10.0,10.19,9.96,10.02,158992,0.0,1.0
2015-03-20,10.27,10.55,10.04,10.41,346074,0.0,1.0
2015-03-23,10.38,10.5,9.96,10.4,733284,0.0,1.0
2015-03-24,10.35,10.5,10.09,10.44,433965,0.0,1.0
2015-03-25,10.23,10.44,10.1,10.29,276563,0.0,1.0
2015-03-26,10.08,10.53,10.06,10.52,271339,0.0,1.0
2015-03-27,10.46,10.88,10.42,10.7,321056,0.0,1.0
2015-03-30,10.68,10.88,10.4,10.5,277655,0.0,1.0
2015-03-31,10.52,10.64,10.4,10.6,306209,0.0,1.0
2015-04-01,10.63,10.74,10.15,10.59,313480,0.0,1.0
2015-04-02,10.38,10.65,9.5,10.51,978273,0.0,1.0
2015-04-06,10.43,10.99,10.35,10.85,267139,0.0,1.0
2015-04-07,10.61,10.9,10.46,10.5,159494,0.0,1.0
2015-04-08,10.34,11.49,10.34,11.17,469864,0.0,1.0
2015-04-09,11.11,12.12,10.9,11.96,794473,0.0,1.0
2015-04-10,12.0,12.18,11.52,11.52,192453,0.0,1.0
2015-04-13,11.49,11.93,10.92,11.2,348337,0.0,1.0
2015-04-14,11.06,11.46,10.93,11.41,184302,0.0,1.0
2015-04-15,11.39,11.39,10.9,10.99,365182,0.0,1.0
2015-04-16,11.03,11.4,10.95,11.26,232600,0.0,1.0
2015-04-17,11.16,11.47,10.86,10.92,210409,0.0,1.0
2015-04-20,11.0,11.27,10.75,10.99,309549,0.0,1.0
2015-04-21,11.09,11.14,10.94,11.0,277022,0.0,1.0
2015-04-22,11.07,11.73,10.96,11.2,706640,0.0,1.0
2015-04-23,11.1,11.8,11.1,11.39,566669,0.0,1.0
2015-04-24,11.4,12.47,11.4,12.41,591191,0.0,1.0
2015-04-27,12.4,12.4,11.81,11.93,543192,0.0,1.0
2015-04-28,12.52,12.73,11.6,11.7,528233,0.0,1.0
2015-04-29,11.53,11.73,11.3,11.36,204141,0.0,1.0
2015-04-30,11.3,11.42,10.9,11.05,319653,0.0,1.0
2015-05-01,11.05,11.31,10.9,11.17,200101,0.0,1.0
2015-05-04,11.21,11.45,11.07,11.26,756266,0.0,1.0
2015-05-05,11.25,11.26,10.56,10.88,196108,0.0,1.0
2015-05-06,10.85,11.1,10.67,10.96,115230,0.0,1.0
2015-05-07,11.0,11.25,10.8,10.93,121055,0.0,1.0
2015-05-08,11.01,11.5,10.96,11.29,227471,0.0,1.0
2015-05-11,11.32,11.59,11.01,11.07,414408,0.0,1.0
2015-05-12,11.0,11.31,10.82,11.1,298695,0.0,1.0
2015-05-13,11.18,11.33,10.96,10.98,228599,0.0,1.0
2015-05-14,11.06,12.48,10.88,12.38,1040202,0.0,1.0
2015-05-15,12.49,12.75,11.73,12.39,702440,0.0,1.0
2015-05-18,12.3,13.16,12.01,12.82,1501267,0.0,1.0
2015-05-19,15.22,16.35,14.55,16.27,9333831,0.0,1.0
2015-05-20,15.82,19.15,15.36,17.2,6262695,0.0,1.0
2015-05-21,17.6,18.37,16.22,16.85,2244910,0.0,1.0
2015-05-22,16.98,18.65,16.98,17.9,2060569,0.0,1.0
2015-05-26,17.89,19.38,17.29,18.94,2319541,0.0,1.0
2015-05-27,18.88,19.89,18.35,19.11,1253432,0.0,1.0
2015-05-28,18.7,18.71,16.69,18.34,1719298,0.0,1.0
2015-05-29,18.43,19.09,17.77,18.06,806317,0.0,1.0
2015-06-01,18.5,18.9,16.95,17.02,1340829,0.0,1.0
2015-06-02,17.07,17.9,16.91,17.05,913866,0.0,1.0
2015-06-03,17.28,17.6,16.91,17.51,605707,0.0,1.0
2015-06-04,17.32,18.09,16.92,16.98,1075715,0.0,1.0
2015-06-05,17.0,18.1,16.51,17.13,2055108,0.0,1.0
2015-06-08,17.3,18.12,17.01,17.04,1497539,0.0,1.0
2015-06-09,16.56,16.68,15.06,16.0,3932058,0.0,1.0
2015-06-10,15.61,16.1,15.6,15.8,1804033,0.0,1.0
2015-06-11,15.8,16.0,15.39,15.46,2254594,0.0,1.0
2015-06-12,15.45,15.97,15.15,15.65,3391151,0.0,1.0
2015-06-15,15.82,15.88,15.11,15.63,3110498,0.0,1.0
2015-06-16,15.51,15.78,15.13,15.6,2011168,0.0,1.0
2015-06-17,15.9,17.09,15.84,16.41,4370896,0.0,1.0
2015-06-18,16.5,17.38,16.34,16.99,2025588,0.0,1.0
2015-06-19,16.92,17.3,16.6,16.83,2673723,0.0,1.0
2015-06-22,16.86,17.0,15.64,15.69,1566038,0.0,1.0
2015-06-23,17.26,17.8,17.08,17.24,6264905,0.0,1.0
2015-06-24,17.24,17.57,17.16,17.22,1286827,0.0,1.0
2015-06-25,17.1,17.25,16.85,17.06,1169432,0.0,1.0
2015-06-26,16.88,16.93,16.25,16.53,1182336,0.0,1.0
2015-06-29,16.05,16.5,15.8,15.83,1200982,0.0,1.0
2015-06-30,16.2,16.66,15.93,16.1,1214602,0.0,1.0
2015-07-01,16.14,16.4,15.8,15.88,896188,0.0,1.0
2015-07-02,16.0,16.21,15.83,16.11,341800,0.0,1.0
2015-07-06,15.8,15.82,14.54,14.75,2094517,0.0,1.0
2015-07-07,14.58,15.17,12.8,13.96,2547510,0.0,1.0
2015-07-08,12.91,13.94,12.91,13.68,1176203,0.0,1.0
2015-07-09,15.45,16.25,15.02,15.05,1589480,0.0,1.0
2015-07-10,15.51,15.77,15.15,15.28,859998,0.0,1.0
2015-07-13,15.5,15.94,15.28,15.73,402455,0.0,1.0
2015-07-14,15.62,16.22,15.57,16.1,962550,0.0,1.0
2015-07-15,16.0,16.0,15.18,15.57,1144774,0.0,1.0
2015-07-16,15.73,15.98,15.72,15.77,769544,0.0,1.0
2015-07-17,16.0,16.15,15.63,16.0,612812,0.0,1.0
2015-07-20,15.99,16.38,15.67,15.93,604887,0.0,1.0
2015-07-21,15.86,16.0,15.7,15.93,291482,0.0,1.0
2015-07-22,15.73,16.24,15.73,16.2,184733,0.0,1.0
2015-07-23,16.25,16.65,15.91,16.0,481886,0.0,1.0
2015-07-24,15.99,16.14,15.81,15.97,188592,0.0,1.0
2015-07-27,15.6,15.88,15.33,15.72,414122,0.0,1.0
2015-07-28,15.71,16.02,15.41,15.94,398193,0.0,1.0
2015-07-29,15.93,16.27,15.68,16.06,212001,0.0,1.0
2015-07-30,15.81,16.32,15.8,16.18,385335,0.0,1.0
2015-07-31,16.15,16.35,16.1,16.19,151251,0.0,1.0
2015-08-03,16.14,16.58,15.92,16.52,503759,0.0,1.0
2015-08-04,16.42,16.58,16.32,16.46,325389,0.0,1.0
2015-08-05,16.46,17.0,16.32,16.4,533744,0.0,1.0
2015-08-06,16.34,16.58,15.88,16.04,287599,0.0,1.0
2015-08-07,16.03,16.32,15.93,15.95,188394,0.0,1.0
2015-08-10,16.15,16.52,16.0,16.47,160059,0.0,1.0
2015-08-11,16.3,16.5,15.8,15.89,249283,0.0,1.0
2015-08-12,15.7,15.95,15.6,15.68,632470,0.0,1.0
2015-08-13,15.67,16.02,15.67,15.72,373100,0.0,1.0
2015-08-14,15.63,16.22,15.63,16.13,293877,0.0,1.0
2015-08-17,16.08,16.52,16.08,16.36,543864,0.0,1.0
2015-08-18,16.17,16.31,15.9,16.12,287901,0.0,1.0
2015-08-19,15.98,16.25,15.65,15.98,776699,0.0,1.0
2015-08-20,15.5,15.98,14.65,14.81,2540025,0.0,1.0
2015-08-21,14.68,14.69,13.3,13.78,1788045,0.0,1.0
