date,open_price,high_price,low_price,close_price,volume,dividend,split
2013-12-20,19.95,20.0,19.95,20.0,1965,0.0,1.0
2013-12-23,20.15,20.7,20.15,20.5,845,0.0,1.0
2013-12-24,20.25,20.5,20.25,20.5,17250,0.0,1.0
2013-12-26,20.25,20.5,20.25,20.5,0,0.0,1.0
2013-12-27,20.25,20.35,20.25,20.35,23750,0.0,1.0
2013-12-30,21.97,21.97,21.97,21.97,300,0.0,1.0
2013-12-31,21.9,21.9,21.9,21.9,300,0.0,1.0
2014-01-02,21.98,22.25,21.98,22.25,18154,0.0,1.0
2014-01-03,22.35,22.35,22.35,22.35,1215,0.0,1.0
2014-01-06,22.0,22.0,22.0,22.0,180,0.0,1.0
2014-01-07,22.0,22.0,22.0,22.0,0,0.0,1.0
2014-01-08,20.8,20.8,20.8,20.8,200,0.0,1.0
2014-01-09,20.8,20.8,20.8,20.8,0,0.0,1.0
2014-01-10,20.8,20.8,20.8,20.8,0,0.0,1.0
2014-01-13,20.8,20.8,20.8,20.8,0,0.0,1.0
2014-01-14,20.8,20.8,20.8,20.8,0,0.0,1.0
2014-01-15,20.8,20.8,20.8,20.8,0,0.0,1.0
2014-01-16,20.1,20.1,20.05,20.05,651,0.0,1.0
2014-01-17,19.95,19.95,19.95,19.95,125,0.0,1.0
2014-01-21,18.57,18.63,18.57,18.63,700,0.0,1.0
2014-01-22,18.15,18.15,18.15,18.15,175,0.0,1.0
2014-01-23,18.15,18.15,18.15,18.15,0,0.0,1.0
2014-01-24,18.28,18.28,18.28,18.28,240,0.0,1.0
2014-01-27,18.64,18.9,18.45,18.83,6925,0.0,1.0
2014-01-28,18.45,19.0,18.45,19.0,4250,0.0,1.0
2014-01-29,19.07,19.14,19.07,19.14,28000,0.0,1.0
2014-01-30,18.7,18.95,18.5,18.95,3705,0.0,1.0
2014-01-31,18.92,19.3,18.92,19.18,2195,0.0,1.0
2014-02-03,19.1,19.25,19.0,19.25,3000,0.0,1.0
2014-02-04,19.1,19.25,19.0,19.25,0,0.0,1.0
2014-02-05,18.75,18.75,18.75,18.75,1000,0.0,1.0
2014-02-06,18.75,18.75,18.75,18.75,0,0.0,1.0
2014-02-07,18.75,18.75,18.75,18.75,0,0.0,1.0
2014-02-10,18.7,18.7,18.7,18.7,51000,0.0,1.0
2014-02-11,19.06,19.06,19.06,19.06,1300,0.0,1.0
2014-02-12,19.38,19.63,19.3,19.47,8550,0.0,1.0
2014-02-13,19.38,19.63,19.3,19.47,0,0.0,1.0
2014-02-14,19.44,19.44,19.35,19.35,3250,0.0,1.0
2014-02-18,19.36,19.36,19.36,19.36,100,0.0,1.0
2014-02-19,19.36,19.36,19.36,19.36,0,0.0,1.0
2014-02-20,19.53,19.53,19.53,19.53,260,0.0,1.0
2014-02-21,19.53,19.53,19.53,19.53,0,0.0,1.0
2014-02-24,19.53,19.53,19.53,19.53,0,0.0,1.0
2014-02-25,18.5,18.5,18.5,18.5,1665,0.0,1.0
2014-02-26,18.57,18.57,18.55,18.55,1300,0.0,1.0
2014-02-27,18.55,18.55,18.55,18.55,555,0.0,1.0
2014-02-28,18.28,18.57,18.28,18.57,1700,0.0,1.0
2014-03-03,18.07,18.07,17.98,18.02,2400,0.0,1.0
2014-03-04,18.06,18.06,18.05,18.05,1275,0.0,1.0
2014-03-05,18.06,18.06,18.05,18.05,0,0.0,1.0
2014-03-06,18.55,18.55,18.55,18.55,2000,0.0,1.0
2014-03-07,18.99,18.99,18.99,18.99,100,0.0,1.0
2014-03-10,18.99,18.99,18.99,18.99,0,0.0,1.0
2014-03-11,18.99,18.99,18.99,18.99,0,0.0,1.0
2014-03-12,18.0,18.0,17.82,17.83,2505,0.0,1.0
2014-03-13,18.0,18.0,17.82,17.83,0,0.0,1.0
2014-03-14,17.26,17.36,17.26,17.36,1250,0.0,1.0
