date,open_price,high_price,low_price,close_price,volume,dividend,split
2020-11-20,31.95,32.46,29.4,29.85,20259661,0.0,1.0
2020-11-23,31.11,31.25,28.01,29.0,3621240,0.0,1.0
2020-11-24,29.14,29.7,25.56,26.29,3392824,0.0,1.0
2020-11-25,26.75,27.66,26.04,26.96,2086274,0.0,1.0
2020-11-27,27.41,30.27,27.41,29.16,5155393,0.0,1.0
2020-11-30,29.16,29.5,27.73,28.15,1694389,0.0,1.0
2020-12-01,28.29,30.2,26.5,27.79,1523435,0.0,1.0
2020-12-02,27.19,29.01,27.16,28.12,842982,0.0,1.0
2020-12-03,28.0,28.59,27.41,27.68,1158615,0.0,1.0
2020-12-04,27.68,27.89,27.4,27.62,232145,0.0,1.0
2020-12-07,27.48,27.76,24.75,26.82,1338906,0.0,1.0
2020-12-08,26.46,26.53,25.08,25.6,1321984,0.0,1.0
2020-12-09,25.53,25.62,23.62,24.5,952350,0.0,1.0
2020-12-10,24.3,25.69,23.91,25.54,1735749,0.0,1.0
2020-12-11,25.09,26.36,24.91,25.17,515523,0.0,1.0
2020-12-14,25.74,26.53,25.16,25.73,1333822,0.0,1.0
2020-12-15,26.84,27.49,26.45,26.62,1688834,0.0,1.0
2020-12-16,27.27,28.23,26.8,27.46,1569110,0.0,1.0
2020-12-17,27.64,30.26,27.64,29.55,1385478,0.0,1.0
2020-12-18,29.77,30.04,29.09,29.99,1328046,0.0,1.0
2020-12-21,29.16,30.35,28.51,29.53,2162441,0.0,1.0
2020-12-22,29.53,31.19,29.4,30.86,1661217,0.0,1.0
2020-12-23,31.0,31.0,29.76,30.17,1243491,0.0,1.0
2020-12-24,30.1,30.1,29.45,29.71,386844,0.0,1.0
2020-12-28,30.04,30.22,28.61,28.82,841278,0.0,1.0
2020-12-29,28.98,28.98,26.76,27.0,848723,0.0,1.0
2020-12-30,27.24,28.59,27.24,27.97,1088004,0.0,1.0
2020-12-31,28.0,28.51,27.61,28.05,669064,0.0,1.0
2021-01-04,28.85,29.44,27.35,27.5,1610226,0.0,1.0
2021-01-05,27.46,27.89,26.64,27.0,770030,0.0,1.0
2021-01-06,26.72,26.96,25.32,25.8,1418841,0.0,1.0
2021-01-07,26.0,26.43,25.68,25.91,1107120,0.0,1.0
2021-01-08,26.0,26.58,25.75,26.3,892981,0.0,1.0
2021-01-11,26.02,27.85,26.02,27.01,1715003,0.0,1.0
2021-01-12,27.01,28.8,27.01,27.92,1384483,0.0,1.0
2021-01-13,28.02,28.53,27.02,27.1,799802,0.0,1.0
2021-01-14,27.52,28.5,27.52,27.87,999044,0.0,1.0
2021-01-15,27.94,28.2,26.81,27.77,295725,0.0,1.0
2021-01-19,28.01,31.69,28.01,30.6,3141308,0.0,1.0
2021-01-20,32.04,33.92,29.56,30.16,1996763,0.0,1.0
2021-01-21,30.39,30.61,29.5,30.2,1289941,0.0,1.0
2021-01-22,29.93,31.74,29.93,31.29,1414001,0.0,1.0
2021-01-25,31.54,31.99,30.36,31.57,1134578,0.0,1.0
2021-01-26,31.91,33.0,31.4,31.75,999418,0.0,1.0
2021-01-27,30.45,31.89,27.71,29.57,2594818,0.0,1.0
2021-01-28,29.96,30.25,28.09,30.05,1754419,0.0,1.0
2021-01-29,30.69,35.61,30.24,34.84,2804027,0.0,1.0
2021-02-01,34.87,36.39,33.73,36.19,1611657,0.0,1.0
2021-02-02,36.7,37.26,34.42,34.53,975511,0.0,1.0
