date,open_price,high_price,low_price,close_price,volume,dividend,split
2010-04-01,13.74,13.74,13.48,13.48,17952,0.0,1.0
2010-04-05,13.74,13.9,13.48,13.75,53695,0.0,1.0
2010-04-06,13.74,14.0,13.48,14.0,99936,0.0,1.0
2010-04-07,13.74,14.55,13.48,14.3,172537,0.0,1.0
2010-04-08,13.74,14.55,13.48,14.45,232383,0.0,1.0
2010-04-09,13.74,14.55,13.48,14.25,289163,0.0,1.0
2010-04-12,13.74,14.55,13.48,14.54,357435,0.0,1.0
2010-04-13,13.74,14.55,13.48,14.36,396850,0.0,1.0
2010-04-14,13.74,14.55,13.48,14.41,431340,0.0,1.0
2010-04-15,13.74,14.73,13.48,14.66,497218,0.0,1.0
2010-04-16,13.74,14.85,13.48,14.72,554510,0.0,1.0
2010-04-19,13.74,14.85,13.48,14.5,629730,0.0,1.0
2010-04-20,13.74,14.85,13.48,14.37,666515,0.0,1.0
2010-04-21,13.74,14.85,13.48,14.44,704449,0.0,1.0
2010-04-22,13.74,14.85,13.48,14.3,748939,0.0,1.0
2010-04-23,13.74,14.85,13.48,14.65,802607,0.0,1.0
2010-04-26,13.74,14.9,13.48,14.7,862824,0.0,1.0
2010-04-27,13.74,14.9,13.48,14.2,938168,0.0,1.0
2010-04-28,13.74,14.9,13.48,14.18,1010258,0.0,1.0
2010-04-29,13.74,14.9,13.48,14.46,1049246,0.0,1.0
2010-04-30,13.74,14.9,13.48,14.16,1194176,0.0,1.0
2010-05-03,13.74,14.9,13.48,14.05,1244383,0.0,1.0
2010-05-04,13.74,14.9,13.48,13.68,1297971,0.0,1.0
2010-05-05,13.74,14.9,13.48,13.8,1366497,0.0,1.0
2010-05-06,13.74,14.9,13.26,13.55,1431386,0.0,1.0
2010-05-07,13.74,14.9,13.05,13.18,1520269,0.0,1.0
2010-05-10,13.74,14.9,13.05,13.55,1574835,0.0,1.0
2010-05-11,13.74,14.9,12.95,13.11,1641027,0.0,1.0
2010-05-12,13.74,14.9,12.88,13.1,1722901,0.0,1.0
2010-05-13,13.74,14.9,12.88,12.94,1797331,0.0,1.0
2010-05-14,13.74,14.9,12.65,12.71,1883247,0.0,1.0
2010-05-17,13.74,14.9,12.61,12.75,1947475,0.0,1.0
2010-05-18,13.74,14.9,12.35,12.48,1992743,0.0,1.0
2010-05-19,13.74,14.9,12.35,12.56,2080816,0.0,1.0
2010-05-20,13.74,14.9,12.35,12.65,2193540,0.0,1.0
2010-05-21,13.74,14.9,12.3,12.57,2271696,0.0,1.0
2010-05-24,13.74,14.9,12.01,12.08,2364042,0.0,1.0
2010-05-25,13.74,14.9,11.95,12.28,2490240,0.0,1.0
2010-05-26,13.74,14.9,11.85,11.97,2565834,0.0,1.0
