date,open_price,high_price,low_price,close_price,volume,dividend,split
2018-02-14,63.0,63.0,63.0,63.0,411,0.0,1.0
2018-04-04,74.0,74.0,74.0,74.0,113,0.0,1.0
2018-04-05,74.0,74.0,74.0,74.0,191711,0.0,1.0
2018-04-06,75.5,75.5,75.25,75.25,92599,0.0,1.0
2018-04-09,75.3,75.3,75.3,75.3,817,0.0,1.0
2018-04-10,75.95,75.95,75.95,75.95,310,0.0,1.0
2018-04-11,76.25,76.5,76.25,76.5,2640,0.0,1.0
2018-04-12,75.75,76.25,75.75,76.25,953,0.0,1.0
2018-04-13,76.5,76.5,76.5,76.5,423,0.0,1.0
2018-04-16,76.5,76.5,76.5,76.5,414,0.0,1.0
2018-04-17,75.55,75.55,75.55,75.55,289,0.0,1.0
2018-04-18,77.0,77.0,76.9,77.0,25259,0.0,1.0
2018-04-19,76.9,76.9,76.9,76.9,1895,0.0,1.0
2018-04-20,76.5,76.5,76.5,76.5,823,0.0,1.0
2018-04-23,76.5,76.5,76.5,76.5,254,0.0,1.0
2018-04-24,77.5,77.5,77.5,77.5,594,0.0,1.0
2018-04-25,76.5,76.5,75.5,75.5,2188,0.0,1.0
2018-04-26,76.0,77.0,76.0,77.0,1196,0.0,1.0
2018-04-27,77.0,78.0,77.0,78.0,598,0.0,1.0
2018-04-30,77.0,78.0,77.0,78.0,505,0.0,1.0
2018-05-01,80.0,80.0,77.0,77.0,797,0.0,1.0
2018-05-02,78.0,78.0,78.0,78.0,429,0.0,1.0
2018-05-03,78.0,78.0,78.0,78.0,245,0.0,1.0
2018-05-04,72.84,77.0,72.84,77.0,677,0.0,1.0
2018-05-07,77.0,77.0,77.0,77.0,130,0.0,1.0
2018-05-08,77.0,77.0,77.0,77.0,167,0.0,1.0
2018-05-09,77.0,77.0,77.0,77.0,186,0.0,1.0
2018-05-10,74.61,74.61,74.61,74.61,178,0.0,1.0
2018-05-11,78.9,78.9,76.98,76.98,857,0.0,1.0
2018-05-14,86.0,86.0,86.0,86.0,203,0.0,1.0
2018-05-15,86.0,86.0,86.0,86.0,99503,0.0,1.0
2018-05-16,80.41,80.41,80.41,80.41,56224,0.0,1.0
2018-05-17,79.3,79.3,78.2,78.2,3066,0.0,1.0
2018-05-18,80.0,80.0,80.0,80.0,1017,0.0,1.0
2018-05-21,80.0,80.0,80.0,80.0,194,0.0,1.0
2018-05-22,77.5,77.5,75.5,77.5,1038,0.0,1.0
2018-05-23,77.0,77.0,77.0,77.0,495,0.0,1.0
2018-05-24,76.5,77.5,76.5,77.5,1052,0.0,1.0
2018-05-25,76.0,76.75,75.5,75.5,14317,0.0,1.0
2018-05-29,77.0,77.0,76.0,76.0,692,0.0,1.0
2018-05-30,76.0,76.0,76.0,76.0,344,0.0,1.0
2018-05-31,77.0,77.0,77.0,77.0,1319,0.0,1.0
2018-06-01,77.0,77.0,77.0,77.0,116,0.0,1.0
2018-06-04,77.0,77.0,77.0,77.0,158,0.0,1.0
2018-06-05,77.63,77.63,77.63,77.63,427,0.0,1.0
2018-06-06,77.74,77.74,73.28,75.51,1714,0.0,1.0
2018-06-07,75.51,75.51,75.51,75.51,359,0.0,1.0
2018-06-08,77.97,77.97,77.97,77.97,398,0.0,1.0
2018-06-11,75.58,77.25,73.28,77.25,1795,0.0,1.0
2018-06-12,77.94,77.94,73.28,73.28,437,0.0,1.0
2018-06-13,78.93,78.93,78.93,78.93,1338,0.0,1.0
2018-06-14,78.93,78.93,78.93,78.93,63,0.0,1.0
2018-06-15,78.21,78.21,78.21,78.21,747,0.0,1.0
2018-06-18,71.84,71.85,71.84,71.85,556,0.0,1.0
2018-06-19,70.39,76.03,70.39,73.48,2076,0.0,1.0
2018-06-20,71.08,71.08,71.08,71.08,533,0.0,1.0
2018-06-21,71.08,71.08,71.08,71.08,308,0.0,1.0
2018-06-22,75.59,75.59,75.59,75.59,477,0.0,1.0
2018-06-25,72.57,72.57,71.88,71.88,543,0.0,1.0
2018-06-26,74.52,74.52,74.52,74.52,381,0.0,1.0
2018-06-27,73.35,73.35,73.34,73.34,2007,0.0,1.0
